game,2014,17,20141228,201412280nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",26
player,201412280nyg,phi,SproDa00,rec_td,0,,,,,
player,201412280nyg,phi,SproDa00,rec_long,10,,,,,
player,201412280nyg,phi,SproDa00,fumbles,0,,,,,
player,201412280nyg,phi,SproDa00,fumbles_lost,0,,,,,
player,201412280nyg,phi,MattJo00,pass_cmp,0,,,,,
player,201412280nyg,phi,MattJo00,pass_att,0,,,,,
player,201412280nyg,phi,MattJo00,pass_yds,0,,,,,
player,201412280nyg,phi,MattJo00,pass_td,0,,,,,
player,201412280nyg,phi,MattJo00,pass_int,0,,,,,
player,201412280nyg,phi,MattJo00,pass_sacked,0,,,,,
player,201412280nyg,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201412280nyg,phi,MattJo00,pass_long,0,,,,,
player,201412280nyg,phi,MattJo00,pass_rating,,,,,,
player,201412280nyg,phi,MattJo00,rush_att,0,,,,,
player,201412280nyg,phi,MattJo00,rush_yds,0,,,,,
player,201412280nyg,phi,MattJo00,rush_td,0,,,,,
player,201412280nyg,phi,MattJo00,rush_long,0,,,,,
player,201412280nyg,phi,MattJo00,targets,10,,,,,
player,201412280nyg,phi,MattJo00,rec,8,,,,,
player,201412280nyg,phi,MattJo00,rec_yds,105,,,,,
player,201412280nyg,phi,MattJo00,rec_td,1,,,,,
player,201412280nyg,phi,MattJo00,rec_long,44,,,,,
player,201412280nyg,phi,MattJo00,fumbles,0,,,,,
player,201412280nyg,phi,MattJo00,fumbles_lost,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_cmp,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_att,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_yds,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_td,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_int,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_sacked,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_long,0,,,,,
player,201412280nyg,phi,ErtzZa00,pass_rating,,,,,,
player,201412280nyg,phi,ErtzZa00,rush_att,0,,,,,
player,201412280nyg,phi,ErtzZa00,rush_yds,0,,,,,
player,201412280nyg,phi,ErtzZa00,rush_td,0,,,,,
player,201412280nyg,phi,ErtzZa00,rush_long,0,,,,,
player,201412280nyg,phi,ErtzZa00,targets,6,,,,,
player,201412280nyg,phi,ErtzZa00,rec,4,,,,,
player,201412280nyg,phi,ErtzZa00,rec_yds,56,,,,,
player,201412280nyg,phi,ErtzZa00,rec_td,0,,,,,
player,201412280nyg,phi,ErtzZa00,rec_long,19,,,,,
player,201412280nyg,phi,ErtzZa00,fumbles,0,,,,,
player,201412280nyg,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_cmp,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_att,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_yds,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_td,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_int,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_sacked,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_long,0,,,,,
player,201412280nyg,phi,MaclJe00,pass_rating,,,,,,
player,201412280nyg,phi,MaclJe00,rush_att,0,,,,,
player,201412280nyg,phi,MaclJe00,rush_yds,0,,,,,
player,201412280nyg,phi,MaclJe00,rush_td,0,,,,,
player,201412280nyg,phi,MaclJe00,rush_long,0,,,,,
player,201412280nyg,phi,MaclJe00,targets,6,,,,,
player,201412280nyg,phi,MaclJe00,rec,3,,,,,
player,201412280nyg,phi,MaclJe00,rec_yds,49,,,,,
player,201412280nyg,phi,MaclJe00,rec_td,0,,,,,
player,201412280nyg,phi,MaclJe00,rec_long,25,,,,,
player,201412280nyg,phi,MaclJe00,fumbles,0,,,,,
player,201412280nyg,phi,MaclJe00,fumbles_lost,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_cmp,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_att,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_yds,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_td,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_int,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_sacked,0,,,,,
player,201412280nyg,phi,CoopRi00,pass_sacked_yds,0,,,,,
