game,2014,9,20141103,201411030nyg,clt,"Indianapolis Colts",40,nyg,"New York Giants",24
player,201411030nyg,clt,HerrDa00,pass_int,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_sacked,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_long,0,,,,,
player,201411030nyg,clt,HerrDa00,pass_rating,,,,,,
player,201411030nyg,clt,HerrDa00,rush_att,8,,,,,
player,201411030nyg,clt,HerrDa00,rush_yds,10,,,,,
player,201411030nyg,clt,HerrDa00,rush_td,0,,,,,
player,201411030nyg,clt,HerrDa00,rush_long,5,,,,,
player,201411030nyg,clt,HerrDa00,targets,1,,,,,
player,201411030nyg,clt,HerrDa00,rec,1,,,,,
player,201411030nyg,clt,HerrDa00,rec_yds,4,,,,,
player,201411030nyg,clt,HerrDa00,rec_td,0,,,,,
player,201411030nyg,clt,HerrDa00,rec_long,4,,,,,
player,201411030nyg,clt,HerrDa00,fumbles,0,,,,,
player,201411030nyg,clt,HerrDa00,fumbles_lost,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_cmp,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_att,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_yds,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_td,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_int,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_sacked,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_long,0,,,,,
player,201411030nyg,clt,FleeCo00,pass_rating,,,,,,
player,201411030nyg,clt,FleeCo00,rush_att,0,,,,,
player,201411030nyg,clt,FleeCo00,rush_yds,0,,,,,
player,201411030nyg,clt,FleeCo00,rush_td,0,,,,,
player,201411030nyg,clt,FleeCo00,rush_long,0,,,,,
player,201411030nyg,clt,FleeCo00,targets,11,,,,,
player,201411030nyg,clt,FleeCo00,rec,4,,,,,
player,201411030nyg,clt,FleeCo00,rec_yds,77,,,,,
player,201411030nyg,clt,FleeCo00,rec_td,1,,,,,
player,201411030nyg,clt,FleeCo00,rec_long,32,,,,,
player,201411030nyg,clt,FleeCo00,fumbles,0,,,,,
player,201411030nyg,clt,FleeCo00,fumbles_lost,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_cmp,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_att,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_yds,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_td,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_int,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_sacked,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_long,0,,,,,
player,201411030nyg,clt,HiltT.00,pass_rating,,,,,,
player,201411030nyg,clt,HiltT.00,rush_att,0,,,,,
player,201411030nyg,clt,HiltT.00,rush_yds,0,,,,,
player,201411030nyg,clt,HiltT.00,rush_td,0,,,,,
player,201411030nyg,clt,HiltT.00,rush_long,0,,,,,
player,201411030nyg,clt,HiltT.00,targets,6,,,,,
player,201411030nyg,clt,HiltT.00,rec,3,,,,,
player,201411030nyg,clt,HiltT.00,rec_yds,71,,,,,
player,201411030nyg,clt,HiltT.00,rec_td,1,,,,,
player,201411030nyg,clt,HiltT.00,rec_long,31,,,,,
player,201411030nyg,clt,HiltT.00,fumbles,0,,,,,
player,201411030nyg,clt,HiltT.00,fumbles_lost,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_cmp,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_att,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_yds,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_td,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_int,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_sacked,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_long,0,,,,,
player,201411030nyg,clt,WaynRe00,pass_rating,,,,,,
player,201411030nyg,clt,WaynRe00,rush_att,0,,,,,
player,201411030nyg,clt,WaynRe00,rush_yds,0,,,,,
player,201411030nyg,clt,WaynRe00,rush_td,0,,,,,
player,201411030nyg,clt,WaynRe00,rush_long,0,,,,,
player,201411030nyg,clt,WaynRe00,targets,10,,,,,
player,201411030nyg,clt,WaynRe00,rec,4,,,,,
player,201411030nyg,clt,WaynRe00,rec_yds,70,,,,,
player,201411030nyg,clt,WaynRe00,rec_td,1,,,,,
player,201411030nyg,clt,WaynRe00,rec_long,40,,,,,
player,201411030nyg,clt,WaynRe00,fumbles,0,,,,,
player,201411030nyg,clt,WaynRe00,fumbles_lost,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_cmp,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_att,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_yds,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_td,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_int,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_sacked,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_long,0,,,,,
player,201411030nyg,clt,AlleDw00,pass_rating,,,,,,
player,201411030nyg,clt,AlleDw00,rush_att,0,,,,,
player,201411030nyg,clt,AlleDw00,rush_yds,0,,,,,
player,201411030nyg,clt,AlleDw00,rush_td,0,,,,,
player,201411030nyg,clt,AlleDw00,rush_long,0,,,,,
player,201411030nyg,clt,AlleDw00,targets,5,,,,,
player,201411030nyg,clt,AlleDw00,rec,4,,,,,
player,201411030nyg,clt,AlleDw00,rec_yds,48,,,,,
player,201411030nyg,clt,AlleDw00,rec_td,1,,,,,
player,201411030nyg,clt,AlleDw00,rec_long,35,,,,,
player,201411030nyg,clt,AlleDw00,fumbles,0,,,,,
player,201411030nyg,clt,AlleDw00,fumbles_lost,0,,,,,
player,201411030nyg,clt,NickHa01,pass_cmp,0,,,,,
player,201411030nyg,clt,NickHa01,pass_att,0,,,,,
player,201411030nyg,clt,NickHa01,pass_yds,0,,,,,
player,201411030nyg,clt,NickHa01,pass_td,0,,,,,
player,201411030nyg,clt,NickHa01,pass_int,0,,,,,
player,201411030nyg,clt,NickHa01,pass_sacked,0,,,,,
player,201411030nyg,clt,NickHa01,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,NickHa01,pass_long,0,,,,,
player,201411030nyg,clt,NickHa01,pass_rating,,,,,,
player,201411030nyg,clt,NickHa01,rush_att,0,,,,,
player,201411030nyg,clt,NickHa01,rush_yds,0,,,,,
player,201411030nyg,clt,NickHa01,rush_td,0,,,,,
player,201411030nyg,clt,NickHa01,rush_long,0,,,,,
player,201411030nyg,clt,NickHa01,targets,4,,,,,
player,201411030nyg,clt,NickHa01,rec,3,,,,,
player,201411030nyg,clt,NickHa01,rec_yds,44,,,,,
player,201411030nyg,clt,NickHa01,rec_td,0,,,,,
player,201411030nyg,clt,NickHa01,rec_long,22,,,,,
player,201411030nyg,clt,NickHa01,fumbles,0,,,,,
player,201411030nyg,clt,NickHa01,fumbles_lost,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_cmp,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_att,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_yds,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_td,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_int,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_sacked,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_long,0,,,,,
player,201411030nyg,clt,MoncDo00,pass_rating,,,,,,
player,201411030nyg,clt,MoncDo00,rush_att,0,,,,,
player,201411030nyg,clt,MoncDo00,rush_yds,0,,,,,
player,201411030nyg,clt,MoncDo00,rush_td,0,,,,,
player,201411030nyg,clt,MoncDo00,rush_long,0,,,,,
player,201411030nyg,clt,MoncDo00,targets,1,,,,,
player,201411030nyg,clt,MoncDo00,rec,1,,,,,
player,201411030nyg,clt,MoncDo00,rec_yds,2,,,,,
player,201411030nyg,clt,MoncDo00,rec_td,0,,,,,
player,201411030nyg,clt,MoncDo00,rec_long,2,,,,,
player,201411030nyg,clt,MoncDo00,fumbles,0,,,,,
player,201411030nyg,clt,MoncDo00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,MannEl00,pass_cmp,27,,,,,
player,201411030nyg,nyg,MannEl00,pass_att,52,,,,,
player,201411030nyg,nyg,MannEl00,pass_yds,359,,,,,
player,201411030nyg,nyg,MannEl00,pass_td,2,,,,,
player,201411030nyg,nyg,MannEl00,pass_int,0,,,,,
player,201411030nyg,nyg,MannEl00,pass_sacked,3,,,,,
player,201411030nyg,nyg,MannEl00,pass_sacked_yds,10,,,,,
player,201411030nyg,nyg,MannEl00,pass_long,59,,,,,
player,201411030nyg,nyg,MannEl00,pass_rating,86.9,,,,,
player,201411030nyg,nyg,MannEl00,rush_att,1,,,,,
player,201411030nyg,nyg,MannEl00,rush_yds,18,,,,,
player,201411030nyg,nyg,MannEl00,rush_td,0,,,,,
player,201411030nyg,nyg,MannEl00,rush_long,18,,,,,
player,201411030nyg,nyg,MannEl00,targets,0,,,,,
player,201411030nyg,nyg,MannEl00,rec,0,,,,,
player,201411030nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201411030nyg,nyg,MannEl00,rec_td,0,,,,,
player,201411030nyg,nyg,MannEl00,rec_long,0,,,,,
player,201411030nyg,nyg,MannEl00,fumbles,2,,,,,
player,201411030nyg,nyg,MannEl00,fumbles_lost,1,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_cmp,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_att,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_yds,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_td,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_int,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_sacked,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_long,0,,,,,
player,201411030nyg,nyg,CoxxMi00,pass_rating,,,,,,
player,201411030nyg,nyg,CoxxMi00,rush_att,2,,,,,
player,201411030nyg,nyg,CoxxMi00,rush_yds,27,,,,,
player,201411030nyg,nyg,CoxxMi00,rush_td,0,,,,,
player,201411030nyg,nyg,CoxxMi00,rush_long,17,,,,,
player,201411030nyg,nyg,CoxxMi00,targets,0,,,,,
player,201411030nyg,nyg,CoxxMi00,rec,0,,,,,
player,201411030nyg,nyg,CoxxMi00,rec_yds,0,,,,,
player,201411030nyg,nyg,CoxxMi00,rec_td,0,,,,,
player,201411030nyg,nyg,CoxxMi00,rec_long,0,,,,,
player,201411030nyg,nyg,CoxxMi00,fumbles,0,,,,,
player,201411030nyg,nyg,CoxxMi00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_cmp,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_att,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_yds,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_td,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_int,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_sacked,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_long,0,,,,,
player,201411030nyg,nyg,WillAn00,pass_rating,,,,,,
player,201411030nyg,nyg,WillAn00,rush_att,12,,,,,
player,201411030nyg,nyg,WillAn00,rush_yds,22,,,,,
player,201411030nyg,nyg,WillAn00,rush_td,1,,,,,
player,201411030nyg,nyg,WillAn00,rush_long,9,,,,,
player,201411030nyg,nyg,WillAn00,targets,1,,,,,
player,201411030nyg,nyg,WillAn00,rec,1,,,,,
player,201411030nyg,nyg,WillAn00,rec_yds,24,,,,,
player,201411030nyg,nyg,WillAn00,rec_td,0,,,,,
player,201411030nyg,nyg,WillAn00,rec_long,24,,,,,
player,201411030nyg,nyg,WillAn00,fumbles,1,,,,,
player,201411030nyg,nyg,WillAn00,fumbles_lost,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_cmp,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_att,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_yds,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_td,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_int,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_sacked,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_sacked_yds,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_long,0,,,,,
player,201411030nyg,nyg,HillPe00,pass_rating,,,,,,
player,201411030nyg,nyg,HillPe00,rush_att,4,,,,,
player,201411030nyg,nyg,HillPe00,rush_yds,20,,,,,
