game,2014,1,20140907,201409070tam,car,"Carolina Panthers",20,tam,"Tampa Bay Buccaneers",14
team,201409070tam,car,First Downs,19,,,,,,
team,201409070tam,tam,First Downs,17,,,,,,
team,201409070tam,car,Rush-Yds-TDs,33-113-0,,,,,,
team,201409070tam,tam,Rush-Yds-TDs,17-102-0,,,,,,
team,201409070tam,car,Cmp-Att-Yd-TD-INT,24-34-230-2-0,,,,,,
team,201409070tam,tam,Cmp-Att-Yd-TD-INT,22-35-183-2-2,,,,,,
team,201409070tam,car,Sacked-Yards,1-9,,,,,,
team,201409070tam,tam,Sacked-Yards,3-21,,,,,,
team,201409070tam,car,Net Pass Yards,221,,,,,,
team,201409070tam,tam,Net Pass Yards,162,,,,,,
team,201409070tam,car,Total Yards,334,,,,,,
team,201409070tam,tam,Total Yards,264,,,,,,
team,201409070tam,car,Fumbles-Lost,1-0,,,,,,
team,201409070tam,tam,Fumbles-Lost,3-1,,,,,,
team,201409070tam,car,Turnovers,0,,,,,,
team,201409070tam,tam,Turnovers,3,,,,,,
team,201409070tam,car,Penalties-Yards,6-55,,,,,,
team,201409070tam,tam,Penalties-Yards,3-15,,,,,,
team,201409070tam,car,Third Down Conv.,6-15,,,,,,
team,201409070tam,tam,Third Down Conv.,6-12,,,,,,
team,201409070tam,car,Fourth Down Conv.,1-1,,,,,,
team,201409070tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201409070tam,car,Time of Possession,35:12,,,,,,
team,201409070tam,tam,Time of Possession,24:48,,,,,,
player,201409070tam,car,AndeDe00,pass_cmp,24,,,,,
player,201409070tam,car,AndeDe00,pass_att,34,,,,,
player,201409070tam,car,AndeDe00,pass_yds,230,,,,,
player,201409070tam,car,AndeDe00,pass_td,2,,,,,
player,201409070tam,car,AndeDe00,pass_int,0,,,,,
player,201409070tam,car,AndeDe00,pass_sacked,1,,,,,
player,201409070tam,car,AndeDe00,pass_sacked_yds,9,,,,,
player,201409070tam,car,AndeDe00,pass_long,26,,,,,
player,201409070tam,car,AndeDe00,pass_rating,108.7,,,,,
player,201409070tam,car,AndeDe00,rush_att,3,,,,,
player,201409070tam,car,AndeDe00,rush_yds,10,,,,,
player,201409070tam,car,AndeDe00,rush_td,0,,,,,
player,201409070tam,car,AndeDe00,rush_long,8,,,,,
player,201409070tam,car,AndeDe00,targets,0,,,,,
player,201409070tam,car,AndeDe00,rec,0,,,,,
player,201409070tam,car,AndeDe00,rec_yds,0,,,,,
player,201409070tam,car,AndeDe00,rec_td,0,,,,,
player,201409070tam,car,AndeDe00,rec_long,0,,,,,
player,201409070tam,car,AndeDe00,fumbles,1,,,,,
player,201409070tam,car,AndeDe00,fumbles_lost,0,,,,,
player,201409070tam,car,WillDe02,pass_cmp,0,,,,,
player,201409070tam,car,WillDe02,pass_att,0,,,,,
player,201409070tam,car,WillDe02,pass_yds,0,,,,,
player,201409070tam,car,WillDe02,pass_td,0,,,,,
player,201409070tam,car,WillDe02,pass_int,0,,,,,
player,201409070tam,car,WillDe02,pass_sacked,0,,,,,
player,201409070tam,car,WillDe02,pass_sacked_yds,0,,,,,
player,201409070tam,car,WillDe02,pass_long,0,,,,,
player,201409070tam,car,WillDe02,pass_rating,,,,,,
player,201409070tam,car,WillDe02,rush_att,14,,,,,
player,201409070tam,car,WillDe02,rush_yds,72,,,,,
player,201409070tam,car,WillDe02,rush_td,0,,,,,
player,201409070tam,car,WillDe02,rush_long,17,,,,,
player,201409070tam,car,WillDe02,targets,1,,,,,
player,201409070tam,car,WillDe02,rec,0,,,,,
player,201409070tam,car,WillDe02,rec_yds,0,,,,,
player,201409070tam,car,WillDe02,rec_td,0,,,,,
player,201409070tam,car,WillDe02,rec_long,0,,,,,
player,201409070tam,car,WillDe02,fumbles,0,,,,,
player,201409070tam,car,WillDe02,fumbles_lost,0,,,,,
player,201409070tam,car,StewJo00,pass_cmp,0,,,,,
player,201409070tam,car,StewJo00,pass_att,0,,,,,
player,201409070tam,car,StewJo00,pass_yds,0,,,,,
player,201409070tam,car,StewJo00,pass_td,0,,,,,
player,201409070tam,car,StewJo00,pass_int,0,,,,,
player,201409070tam,car,StewJo00,pass_sacked,0,,,,,
player,201409070tam,car,StewJo00,pass_sacked_yds,0,,,,,
player,201409070tam,car,StewJo00,pass_long,0,,,,,
player,201409070tam,car,StewJo00,pass_rating,,,,,,
player,201409070tam,car,StewJo00,rush_att,9,,,,,
player,201409070tam,car,StewJo00,rush_yds,20,,,,,
player,201409070tam,car,StewJo00,rush_td,0,,,,,
player,201409070tam,car,StewJo00,rush_long,6,,,,,
player,201409070tam,car,StewJo00,targets,3,,,,,
player,201409070tam,car,StewJo00,rec,3,,,,,
player,201409070tam,car,StewJo00,rec_yds,17,,,,,
player,201409070tam,car,StewJo00,rec_td,0,,,,,
player,201409070tam,car,StewJo00,rec_long,14,,,,,
player,201409070tam,car,StewJo00,fumbles,0,,,,,
player,201409070tam,car,StewJo00,fumbles_lost,0,,,,,
player,201409070tam,car,TolbMi00,pass_cmp,0,,,,,
player,201409070tam,car,TolbMi00,pass_att,0,,,,,
player,201409070tam,car,TolbMi00,pass_yds,0,,,,,
player,201409070tam,car,TolbMi00,pass_td,0,,,,,
player,201409070tam,car,TolbMi00,pass_int,0,,,,,
player,201409070tam,car,TolbMi00,pass_sacked,0,,,,,
player,201409070tam,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201409070tam,car,TolbMi00,pass_long,0,,,,,
player,201409070tam,car,TolbMi00,pass_rating,,,,,,
player,201409070tam,car,TolbMi00,rush_att,7,,,,,
player,201409070tam,car,TolbMi00,rush_yds,11,,,,,
player,201409070tam,car,TolbMi00,rush_td,0,,,,,
player,201409070tam,car,TolbMi00,rush_long,5,,,,,
player,201409070tam,car,TolbMi00,targets,4,,,,,
player,201409070tam,car,TolbMi00,rec,2,,,,,
player,201409070tam,car,TolbMi00,rec_yds,6,,,,,
player,201409070tam,car,TolbMi00,rec_td,0,,,,,
player,201409070tam,car,TolbMi00,rec_long,3,,,,,
player,201409070tam,car,TolbMi00,fumbles,0,,,,,
player,201409070tam,car,TolbMi00,fumbles_lost,0,,,,,
player,201409070tam,car,BenjKe00,pass_cmp,0,,,,,
player,201409070tam,car,BenjKe00,pass_att,0,,,,,
player,201409070tam,car,BenjKe00,pass_yds,0,,,,,
player,201409070tam,car,BenjKe00,pass_td,0,,,,,
player,201409070tam,car,BenjKe00,pass_int,0,,,,,
player,201409070tam,car,BenjKe00,pass_sacked,0,,,,,
player,201409070tam,car,BenjKe00,pass_sacked_yds,0,,,,,
player,201409070tam,car,BenjKe00,pass_long,0,,,,,
player,201409070tam,car,BenjKe00,pass_rating,,,,,,
player,201409070tam,car,BenjKe00,rush_att,0,,,,,
player,201409070tam,car,BenjKe00,rush_yds,0,,,,,
player,201409070tam,car,BenjKe00,rush_td,0,,,,,
player,201409070tam,car,BenjKe00,rush_long,0,,,,,
player,201409070tam,car,BenjKe00,targets,8,,,,,
player,201409070tam,car,BenjKe00,rec,6,,,,,
player,201409070tam,car,BenjKe00,rec_yds,92,,,,,
player,201409070tam,car,BenjKe00,rec_td,1,,,,,
player,201409070tam,car,BenjKe00,rec_long,26,,,,,
player,201409070tam,car,BenjKe00,fumbles,0,,,,,
player,201409070tam,car,BenjKe00,fumbles_lost,0,,,,,
player,201409070tam,car,OlseGr00,pass_cmp,0,,,,,
player,201409070tam,car,OlseGr00,pass_att,0,,,,,
player,201409070tam,car,OlseGr00,pass_yds,0,,,,,
player,201409070tam,car,OlseGr00,pass_td,0,,,,,
player,201409070tam,car,OlseGr00,pass_int,0,,,,,
player,201409070tam,car,OlseGr00,pass_sacked,0,,,,,
player,201409070tam,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201409070tam,car,OlseGr00,pass_long,0,,,,,
player,201409070tam,car,OlseGr00,pass_rating,,,,,,
player,201409070tam,car,OlseGr00,rush_att,0,,,,,
player,201409070tam,car,OlseGr00,rush_yds,0,,,,,
player,201409070tam,car,OlseGr00,rush_td,0,,,,,
player,201409070tam,car,OlseGr00,rush_long,0,,,,,
player,201409070tam,car,OlseGr00,targets,11,,,,,
player,201409070tam,car,OlseGr00,rec,8,,,,,
player,201409070tam,car,OlseGr00,rec_yds,83,,,,,
player,201409070tam,car,OlseGr00,rec_td,1,,,,,
player,201409070tam,car,OlseGr00,rec_long,22,,,,,
player,201409070tam,car,OlseGr00,fumbles,0,,,,,
player,201409070tam,car,OlseGr00,fumbles_lost,0,,,,,
player,201409070tam,car,CotcJe00,pass_cmp,0,,,,,
player,201409070tam,car,CotcJe00,pass_att,0,,,,,
player,201409070tam,car,CotcJe00,pass_yds,0,,,,,
player,201409070tam,car,CotcJe00,pass_td,0,,,,,
player,201409070tam,car,CotcJe00,pass_int,0,,,,,
player,201409070tam,car,CotcJe00,pass_sacked,0,,,,,
player,201409070tam,car,CotcJe00,pass_sacked_yds,0,,,,,
player,201409070tam,car,CotcJe00,pass_long,0,,,,,
player,201409070tam,car,CotcJe00,pass_rating,,,,,,
player,201409070tam,car,CotcJe00,rush_att,0,,,,,
player,201409070tam,car,CotcJe00,rush_yds,0,,,,,
player,201409070tam,car,CotcJe00,rush_td,0,,,,,
player,201409070tam,car,CotcJe00,rush_long,0,,,,,
player,201409070tam,car,CotcJe00,targets,4,,,,,
player,201409070tam,car,CotcJe00,rec,4,,,,,
player,201409070tam,car,CotcJe00,rec_yds,32,,,,,
player,201409070tam,car,CotcJe00,rec_td,0,,,,,
player,201409070tam,car,CotcJe00,rec_long,11,,,,,
player,201409070tam,car,CotcJe00,fumbles,0,,,,,
player,201409070tam,car,CotcJe00,fumbles_lost,0,,,,,
player,201409070tam,car,AvanJa00,pass_cmp,0,,,,,
player,201409070tam,car,AvanJa00,pass_att,0,,,,,
player,201409070tam,car,AvanJa00,pass_yds,0,,,,,
player,201409070tam,car,AvanJa00,pass_td,0,,,,,
player,201409070tam,car,AvanJa00,pass_int,0,,,,,
player,201409070tam,car,AvanJa00,pass_sacked,0,,,,,
player,201409070tam,car,AvanJa00,pass_sacked_yds,0,,,,,
player,201409070tam,car,AvanJa00,pass_long,0,,,,,
