game,2014,3,20140921,201409210nwe,rai,"Oakland Raiders",9,nwe,"New England Patriots",16
team,201409210nwe,rai,First Downs,14,,,,,,
team,201409210nwe,nwe,First Downs,21,,,,,,
team,201409210nwe,rai,Rush-Yds-TDs,22-67-0,,,,,,
team,201409210nwe,nwe,Rush-Yds-TDs,32-76-0,,,,,,
team,201409210nwe,rai,Cmp-Att-Yd-TD-INT,21-34-174-0-1,,,,,,
team,201409210nwe,nwe,Cmp-Att-Yd-TD-INT,24-37-234-1-0,,,,,,
team,201409210nwe,rai,Sacked-Yards,0-0,,,,,,
team,201409210nwe,nwe,Sacked-Yards,2-13,,,,,,
team,201409210nwe,rai,Net Pass Yards,174,,,,,,
team,201409210nwe,nwe,Net Pass Yards,221,,,,,,
team,201409210nwe,rai,Total Yards,241,,,,,,
team,201409210nwe,nwe,Total Yards,297,,,,,,
team,201409210nwe,rai,Fumbles-Lost,0-0,,,,,,
team,201409210nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201409210nwe,rai,Turnovers,1,,,,,,
team,201409210nwe,nwe,Turnovers,0,,,,,,
team,201409210nwe,rai,Penalties-Yards,6-49,,,,,,
team,201409210nwe,nwe,Penalties-Yards,6-59,,,,,,
team,201409210nwe,rai,Third Down Conv.,5-13,,,,,,
team,201409210nwe,nwe,Third Down Conv.,9-18,,,,,,
team,201409210nwe,rai,Fourth Down Conv.,0-0,,,,,,
team,201409210nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201409210nwe,rai,Time of Possession,28:25,,,,,,
team,201409210nwe,nwe,Time of Possession,31:35,,,,,,
player,201409210nwe,rai,CarrDe02,pass_cmp,21,,,,,
player,201409210nwe,rai,CarrDe02,pass_att,34,,,,,
player,201409210nwe,rai,CarrDe02,pass_yds,174,,,,,
player,201409210nwe,rai,CarrDe02,pass_td,0,,,,,
player,201409210nwe,rai,CarrDe02,pass_int,1,,,,,
player,201409210nwe,rai,CarrDe02,pass_sacked,0,,,,,
player,201409210nwe,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201409210nwe,rai,CarrDe02,pass_long,29,,,,,
player,201409210nwe,rai,CarrDe02,pass_rating,62.6,,,,,
player,201409210nwe,rai,CarrDe02,rush_att,0,,,,,
player,201409210nwe,rai,CarrDe02,rush_yds,0,,,,,
player,201409210nwe,rai,CarrDe02,rush_td,0,,,,,
player,201409210nwe,rai,CarrDe02,rush_long,0,,,,,
player,201409210nwe,rai,CarrDe02,targets,0,,,,,
player,201409210nwe,rai,CarrDe02,rec,0,,,,,
