game,2014,7,20141019,201410190was,oti,"Tennessee Titans",17,was,"Washington Redskins",19
team,201410190was,oti,First Downs,14,,,,,,
team,201410190was,was,First Downs,16,,,,,,
team,201410190was,oti,Rush-Yds-TDs,22-76-0,,,,,,
team,201410190was,was,Rush-Yds-TDs,26-100-0,,,,,,
team,201410190was,oti,Cmp-Att-Yd-TD-INT,17-26-160-2-1,,,,,,
team,201410190was,was,Cmp-Att-Yd-TD-INT,21-28-267-1-1,,,,,,
team,201410190was,oti,Sacked-Yards,1-0,,,,,,
team,201410190was,was,Sacked-Yards,3-16,,,,,,
team,201410190was,oti,Net Pass Yards,160,,,,,,
team,201410190was,was,Net Pass Yards,251,,,,,,
team,201410190was,oti,Total Yards,236,,,,,,
team,201410190was,was,Total Yards,351,,,,,,
team,201410190was,oti,Fumbles-Lost,1-1,,,,,,
team,201410190was,was,Fumbles-Lost,1-1,,,,,,
team,201410190was,oti,Turnovers,2,,,,,,
team,201410190was,was,Turnovers,2,,,,,,
team,201410190was,oti,Penalties-Yards,11-96,,,,,,
team,201410190was,was,Penalties-Yards,7-50,,,,,,
team,201410190was,oti,Third Down Conv.,3-11,,,,,,
team,201410190was,was,Third Down Conv.,3-11,,,,,,
team,201410190was,oti,Fourth Down Conv.,1-1,,,,,,
team,201410190was,was,Fourth Down Conv.,0-0,,,,,,
team,201410190was,oti,Time of Possession,30:56,,,,,,
team,201410190was,was,Time of Possession,29:04,,,,,,
player,201410190was,oti,WhitCh02,pass_cmp,17,,,,,
player,201410190was,oti,WhitCh02,pass_att,26,,,,,
player,201410190was,oti,WhitCh02,pass_yds,160,,,,,
player,201410190was,oti,WhitCh02,pass_td,2,,,,,
player,201410190was,oti,WhitCh02,pass_int,1,,,,,
player,201410190was,oti,WhitCh02,pass_sacked,1,,,,,
player,201410190was,oti,WhitCh02,pass_sacked_yds,0,,,,,
player,201410190was,oti,WhitCh02,pass_long,38,,,,,
player,201410190was,oti,WhitCh02,pass_rating,91.8,,,,,
player,201410190was,oti,WhitCh02,rush_att,2,,,,,
player,201410190was,oti,WhitCh02,rush_yds,10,,,,,
player,201410190was,oti,WhitCh02,rush_td,0,,,,,
player,201410190was,oti,WhitCh02,rush_long,6,,,,,
player,201410190was,oti,WhitCh02,targets,0,,,,,
player,201410190was,oti,WhitCh02,rec,0,,,,,
player,201410190was,oti,WhitCh02,rec_yds,0,,,,,
player,201410190was,oti,WhitCh02,rec_td,0,,,,,
player,201410190was,oti,WhitCh02,rec_long,0,,,,,
player,201410190was,oti,WhitCh02,fumbles,0,,,,,
player,201410190was,oti,WhitCh02,fumbles_lost,0,,,,,
player,201410190was,oti,SankBi00,pass_cmp,0,,,,,
player,201410190was,oti,SankBi00,pass_att,0,,,,,
