game,2014,16,20141221,201412210nor,atl,"Atlanta Falcons",30,nor,"New Orleans Saints",14
team,201412210nor,atl,First Downs,18,,,,,,
team,201412210nor,nor,First Downs,22,,,,,,
team,201412210nor,atl,Rush-Yds-TDs,22-81-1,,,,,,
team,201412210nor,nor,Rush-Yds-TDs,18-57-1,,,,,,
team,201412210nor,atl,Cmp-Att-Yd-TD-INT,30-40-322-1-0,,,,,,
team,201412210nor,nor,Cmp-Att-Yd-TD-INT,30-47-313-1-2,,,,,,
team,201412210nor,atl,Sacked-Yards,0-0,,,,,,
team,201412210nor,nor,Sacked-Yards,5-42,,,,,,
team,201412210nor,atl,Net Pass Yards,322,,,,,,
team,201412210nor,nor,Net Pass Yards,271,,,,,,
team,201412210nor,atl,Total Yards,403,,,,,,
team,201412210nor,nor,Total Yards,328,,,,,,
team,201412210nor,atl,Fumbles-Lost,1-0,,,,,,
team,201412210nor,nor,Fumbles-Lost,3-2,,,,,,
team,201412210nor,atl,Turnovers,0,,,,,,
team,201412210nor,nor,Turnovers,4,,,,,,
team,201412210nor,atl,Penalties-Yards,6-64,,,,,,
team,201412210nor,nor,Penalties-Yards,3-25,,,,,,
team,201412210nor,atl,Third Down Conv.,7-15,,,,,,
team,201412210nor,nor,Third Down Conv.,7-14,,,,,,
team,201412210nor,atl,Fourth Down Conv.,0-0,,,,,,
team,201412210nor,nor,Fourth Down Conv.,1-2,,,,,,
team,201412210nor,atl,Time of Possession,32:09,,,,,,
team,201412210nor,nor,Time of Possession,27:51,,,,,,
player,201412210nor,atl,RyanMa00,pass_cmp,30,,,,,
player,201412210nor,atl,RyanMa00,pass_att,40,,,,,
player,201412210nor,atl,RyanMa00,pass_yds,322,,,,,
player,201412210nor,atl,RyanMa00,pass_td,1,,,,,
player,201412210nor,atl,RyanMa00,pass_int,0,,,,,
player,201412210nor,atl,RyanMa00,pass_sacked,0,,,,,
player,201412210nor,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201412210nor,atl,RyanMa00,pass_long,36,,,,,
player,201412210nor,atl,RyanMa00,pass_rating,106.5,,,,,
player,201412210nor,atl,RyanMa00,rush_att,2,,,,,
player,201412210nor,atl,RyanMa00,rush_yds,7,,,,,
player,201412210nor,atl,RyanMa00,rush_td,0,,,,,
player,201412210nor,atl,RyanMa00,rush_long,7,,,,,
player,201412210nor,atl,RyanMa00,targets,0,,,,,
player,201412210nor,atl,RyanMa00,rec,0,,,,,
player,201412210nor,atl,RyanMa00,rec_yds,0,,,,,
player,201412210nor,atl,RyanMa00,rec_td,0,,,,,
player,201412210nor,atl,RyanMa00,rec_long,0,,,,,
player,201412210nor,atl,RyanMa00,fumbles,1,,,,,
player,201412210nor,atl,RyanMa00,fumbles_lost,0,,,,,
player,201412210nor,atl,FreeDe00,pass_cmp,0,,,,,
player,201412210nor,atl,FreeDe00,pass_att,0,,,,,
player,201412210nor,atl,FreeDe00,pass_yds,0,,,,,
player,201412210nor,atl,FreeDe00,pass_td,0,,,,,
player,201412210nor,atl,FreeDe00,pass_int,0,,,,,
player,201412210nor,atl,FreeDe00,pass_sacked,0,,,,,
player,201412210nor,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201412210nor,atl,FreeDe00,pass_long,0,,,,,
player,201412210nor,atl,FreeDe00,pass_rating,,,,,,
player,201412210nor,atl,FreeDe00,rush_att,5,,,,,
player,201412210nor,atl,FreeDe00,rush_yds,36,,,,,
player,201412210nor,atl,FreeDe00,rush_td,1,,,,,
player,201412210nor,atl,FreeDe00,rush_long,31,,,,,
player,201412210nor,atl,FreeDe00,targets,4,,,,,
player,201412210nor,atl,FreeDe00,rec,3,,,,,
player,201412210nor,atl,FreeDe00,rec_yds,48,,,,,
player,201412210nor,atl,FreeDe00,rec_td,0,,,,,
player,201412210nor,atl,FreeDe00,rec_long,36,,,,,
player,201412210nor,atl,FreeDe00,fumbles,0,,,,,
player,201412210nor,atl,FreeDe00,fumbles_lost,0,,,,,
player,201412210nor,atl,RodgJa00,pass_cmp,0,,,,,
player,201412210nor,atl,RodgJa00,pass_att,0,,,,,
player,201412210nor,atl,RodgJa00,pass_yds,0,,,,,
player,201412210nor,atl,RodgJa00,pass_td,0,,,,,
player,201412210nor,atl,RodgJa00,pass_int,0,,,,,
player,201412210nor,atl,RodgJa00,pass_sacked,0,,,,,
player,201412210nor,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201412210nor,atl,RodgJa00,pass_long,0,,,,,
player,201412210nor,atl,RodgJa00,pass_rating,,,,,,
player,201412210nor,atl,RodgJa00,rush_att,11,,,,,
player,201412210nor,atl,RodgJa00,rush_yds,29,,,,,
player,201412210nor,atl,RodgJa00,rush_td,0,,,,,
player,201412210nor,atl,RodgJa00,rush_long,8,,,,,
player,201412210nor,atl,RodgJa00,targets,2,,,,,
player,201412210nor,atl,RodgJa00,rec,1,,,,,
player,201412210nor,atl,RodgJa00,rec_yds,3,,,,,
player,201412210nor,atl,RodgJa00,rec_td,0,,,,,
player,201412210nor,atl,RodgJa00,rec_long,3,,,,,
player,201412210nor,atl,RodgJa00,fumbles,0,,,,,
player,201412210nor,atl,RodgJa00,fumbles_lost,0,,,,,
player,201412210nor,atl,JackSt00,pass_cmp,0,,,,,
player,201412210nor,atl,JackSt00,pass_att,0,,,,,
player,201412210nor,atl,JackSt00,pass_yds,0,,,,,
player,201412210nor,atl,JackSt00,pass_td,0,,,,,
player,201412210nor,atl,JackSt00,pass_int,0,,,,,
player,201412210nor,atl,JackSt00,pass_sacked,0,,,,,
player,201412210nor,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201412210nor,atl,JackSt00,pass_long,0,,,,,
player,201412210nor,atl,JackSt00,pass_rating,,,,,,
player,201412210nor,atl,JackSt00,rush_att,4,,,,,
player,201412210nor,atl,JackSt00,rush_yds,9,,,,,
player,201412210nor,atl,JackSt00,rush_td,0,,,,,
player,201412210nor,atl,JackSt00,rush_long,5,,,,,
player,201412210nor,atl,JackSt00,targets,1,,,,,
player,201412210nor,atl,JackSt00,rec,1,,,,,
player,201412210nor,atl,JackSt00,rec_yds,14,,,,,
player,201412210nor,atl,JackSt00,rec_td,0,,,,,
player,201412210nor,atl,JackSt00,rec_long,14,,,,,
player,201412210nor,atl,JackSt00,fumbles,0,,,,,
player,201412210nor,atl,JackSt00,fumbles_lost,0,,,,,
player,201412210nor,atl,JoneJu02,pass_cmp,0,,,,,
player,201412210nor,atl,JoneJu02,pass_att,0,,,,,
player,201412210nor,atl,JoneJu02,pass_yds,0,,,,,
player,201412210nor,atl,JoneJu02,pass_td,0,,,,,
player,201412210nor,atl,JoneJu02,pass_int,0,,,,,
player,201412210nor,atl,JoneJu02,pass_sacked,0,,,,,
player,201412210nor,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201412210nor,atl,JoneJu02,pass_long,0,,,,,
