game,2014,9,20141102,201411020sea,rai,"Oakland Raiders",24,sea,"Seattle Seahawks",30
team,201411020sea,rai,First Downs,17,,,,,,
team,201411020sea,sea,First Downs,21,,,,,,
team,201411020sea,rai,Rush-Yds-TDs,18-37-0,,,,,,
team,201411020sea,sea,Rush-Yds-TDs,38-149-2,,,,,,
team,201411020sea,rai,Cmp-Att-Yd-TD-INT,24-41-194-2-2,,,,,,
team,201411020sea,sea,Cmp-Att-Yd-TD-INT,17-35-179-0-0,,,,,,
team,201411020sea,rai,Sacked-Yards,1-5,,,,,,
team,201411020sea,sea,Sacked-Yards,1-2,,,,,,
team,201411020sea,rai,Net Pass Yards,189,,,,,,
team,201411020sea,sea,Net Pass Yards,177,,,,,,
team,201411020sea,rai,Total Yards,226,,,,,,
team,201411020sea,sea,Total Yards,326,,,,,,
team,201411020sea,rai,Fumbles-Lost,4-1,,,,,,
team,201411020sea,sea,Fumbles-Lost,0-0,,,,,,
team,201411020sea,rai,Turnovers,3,,,,,,
team,201411020sea,sea,Turnovers,0,,,,,,
team,201411020sea,rai,Penalties-Yards,5-69,,,,,,
team,201411020sea,sea,Penalties-Yards,9-65,,,,,,
team,201411020sea,rai,Third Down Conv.,5-15,,,,,,
team,201411020sea,sea,Third Down Conv.,7-18,,,,,,
team,201411020sea,rai,Fourth Down Conv.,2-2,,,,,,
team,201411020sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201411020sea,rai,Time of Possession,24:54,,,,,,
team,201411020sea,sea,Time of Possession,35:06,,,,,,
player,201411020sea,rai,CarrDe02,pass_cmp,24,,,,,
player,201411020sea,rai,CarrDe02,pass_att,41,,,,,
player,201411020sea,rai,CarrDe02,pass_yds,194,,,,,
player,201411020sea,rai,CarrDe02,pass_td,2,,,,,
player,201411020sea,rai,CarrDe02,pass_int,2,,,,,
player,201411020sea,rai,CarrDe02,pass_sacked,1,,,,,
player,201411020sea,rai,CarrDe02,pass_sacked_yds,5,,,,,
player,201411020sea,rai,CarrDe02,pass_long,23,,,,,
player,201411020sea,rai,CarrDe02,pass_rating,66.5,,,,,
player,201411020sea,rai,CarrDe02,rush_att,2,,,,,
player,201411020sea,rai,CarrDe02,rush_yds,9,,,,,
player,201411020sea,rai,CarrDe02,rush_td,0,,,,,
player,201411020sea,rai,CarrDe02,rush_long,7,,,,,
player,201411020sea,rai,CarrDe02,targets,0,,,,,
player,201411020sea,rai,CarrDe02,rec,0,,,,,
player,201411020sea,rai,CarrDe02,rec_yds,0,,,,,
player,201411020sea,rai,CarrDe02,rec_td,0,,,,,
player,201411020sea,rai,CarrDe02,rec_long,0,,,,,
player,201411020sea,rai,CarrDe02,fumbles,1,,,,,
player,201411020sea,rai,CarrDe02,fumbles_lost,0,,,,,
player,201411020sea,rai,McFaDa00,pass_cmp,0,,,,,
player,201411020sea,rai,McFaDa00,pass_att,0,,,,,
player,201411020sea,rai,McFaDa00,pass_yds,0,,,,,
player,201411020sea,rai,McFaDa00,pass_td,0,,,,,
player,201411020sea,rai,McFaDa00,pass_int,0,,,,,
player,201411020sea,rai,McFaDa00,pass_sacked,,,,,,
player,201411020sea,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201411020sea,rai,McFaDa00,pass_long,0,,,,,
player,201411020sea,rai,McFaDa00,pass_rating,,,,,,
player,201411020sea,rai,McFaDa00,rush_att,13,,,,,
player,201411020sea,rai,McFaDa00,rush_yds,20,,,,,
player,201411020sea,rai,McFaDa00,rush_td,0,,,,,
player,201411020sea,rai,McFaDa00,rush_long,9,,,,,
player,201411020sea,rai,McFaDa00,targets,5,,,,,
player,201411020sea,rai,McFaDa00,rec,4,,,,,
player,201411020sea,rai,McFaDa00,rec_yds,47,,,,,
player,201411020sea,rai,McFaDa00,rec_td,0,,,,,
player,201411020sea,rai,McFaDa00,rec_long,23,,,,,
player,201411020sea,rai,McFaDa00,fumbles,0,,,,,
player,201411020sea,rai,McFaDa00,fumbles_lost,0,,,,,
player,201411020sea,rai,ReecMa00,pass_cmp,0,,,,,
player,201411020sea,rai,ReecMa00,pass_att,0,,,,,
player,201411020sea,rai,ReecMa00,pass_yds,0,,,,,
player,201411020sea,rai,ReecMa00,pass_td,0,,,,,
player,201411020sea,rai,ReecMa00,pass_int,0,,,,,
player,201411020sea,rai,ReecMa00,pass_sacked,,,,,,
player,201411020sea,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201411020sea,rai,ReecMa00,pass_long,0,,,,,
player,201411020sea,rai,ReecMa00,pass_rating,,,,,,
player,201411020sea,rai,ReecMa00,rush_att,1,,,,,
player,201411020sea,rai,ReecMa00,rush_yds,10,,,,,
player,201411020sea,rai,ReecMa00,rush_td,0,,,,,
player,201411020sea,rai,ReecMa00,rush_long,10,,,,,
player,201411020sea,rai,ReecMa00,targets,3,,,,,
player,201411020sea,rai,ReecMa00,rec,1,,,,,
player,201411020sea,rai,ReecMa00,rec_yds,12,,,,,
player,201411020sea,rai,ReecMa00,rec_td,0,,,,,
player,201411020sea,rai,ReecMa00,rec_long,12,,,,,
player,201411020sea,rai,ReecMa00,fumbles,0,,,,,
player,201411020sea,rai,ReecMa00,fumbles_lost,0,,,,,
player,201411020sea,rai,RiveMy00,pass_cmp,0,,,,,
player,201411020sea,rai,RiveMy00,pass_att,0,,,,,
player,201411020sea,rai,RiveMy00,pass_yds,0,,,,,
player,201411020sea,rai,RiveMy00,pass_td,0,,,,,
player,201411020sea,rai,RiveMy00,pass_int,0,,,,,
player,201411020sea,rai,RiveMy00,pass_sacked,,,,,,
player,201411020sea,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201411020sea,rai,RiveMy00,pass_long,0,,,,,
player,201411020sea,rai,RiveMy00,pass_rating,,,,,,
player,201411020sea,rai,RiveMy00,rush_att,0,,,,,
player,201411020sea,rai,RiveMy00,rush_yds,0,,,,,
player,201411020sea,rai,RiveMy00,rush_td,0,,,,,
player,201411020sea,rai,RiveMy00,rush_long,0,,,,,
player,201411020sea,rai,RiveMy00,targets,11,,,,,
player,201411020sea,rai,RiveMy00,rec,8,,,,,
player,201411020sea,rai,RiveMy00,rec_yds,38,,,,,
player,201411020sea,rai,RiveMy00,rec_td,2,,,,,
player,201411020sea,rai,RiveMy00,rec_long,16,,,,,
player,201411020sea,rai,RiveMy00,fumbles,2,,,,,
player,201411020sea,rai,RiveMy00,fumbles_lost,0,,,,,
player,201411020sea,rai,HolmAn00,pass_cmp,0,,,,,
player,201411020sea,rai,HolmAn00,pass_att,0,,,,,
player,201411020sea,rai,HolmAn00,pass_yds,0,,,,,
player,201411020sea,rai,HolmAn00,pass_td,0,,,,,
player,201411020sea,rai,HolmAn00,pass_int,0,,,,,
player,201411020sea,rai,HolmAn00,pass_sacked,,,,,,
player,201411020sea,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201411020sea,rai,HolmAn00,pass_long,0,,,,,
player,201411020sea,rai,HolmAn00,pass_rating,,,,,,
player,201411020sea,rai,HolmAn00,rush_att,0,,,,,
player,201411020sea,rai,HolmAn00,rush_yds,0,,,,,
player,201411020sea,rai,HolmAn00,rush_td,0,,,,,
player,201411020sea,rai,HolmAn00,rush_long,0,,,,,
player,201411020sea,rai,HolmAn00,targets,5,,,,,
player,201411020sea,rai,HolmAn00,rec,2,,,,,
player,201411020sea,rai,HolmAn00,rec_yds,28,,,,,
player,201411020sea,rai,HolmAn00,rec_td,0,,,,,
player,201411020sea,rai,HolmAn00,rec_long,17,,,,,
player,201411020sea,rai,HolmAn00,fumbles,0,,,,,
player,201411020sea,rai,HolmAn00,fumbles_lost,0,,,,,
player,201411020sea,rai,ButlBr00,pass_cmp,0,,,,,
player,201411020sea,rai,ButlBr00,pass_att,0,,,,,
player,201411020sea,rai,ButlBr00,pass_yds,0,,,,,
player,201411020sea,rai,ButlBr00,pass_td,0,,,,,
player,201411020sea,rai,ButlBr00,pass_int,0,,,,,
player,201411020sea,rai,ButlBr00,pass_sacked,,,,,,
player,201411020sea,rai,ButlBr00,pass_sacked_yds,0,,,,,
player,201411020sea,rai,ButlBr00,pass_long,0,,,,,
player,201411020sea,rai,ButlBr00,pass_rating,,,,,,
player,201411020sea,rai,ButlBr00,rush_att,0,,,,,
player,201411020sea,rai,ButlBr00,rush_yds,0,,,,,
player,201411020sea,rai,ButlBr00,rush_td,0,,,,,
player,201411020sea,rai,ButlBr00,rush_long,0,,,,,
player,201411020sea,rai,ButlBr00,targets,2,,,,,
player,201411020sea,rai,ButlBr00,rec,2,,,,,
player,201411020sea,rai,ButlBr00,rec_yds,20,,,,,
player,201411020sea,rai,ButlBr00,rec_td,0,,,,,
player,201411020sea,rai,ButlBr00,rec_long,12,,,,,
player,201411020sea,rai,ButlBr00,fumbles,0,,,,,
player,201411020sea,rai,ButlBr00,fumbles_lost,0,,,,,
player,201411020sea,rai,JoneJa04,pass_cmp,0,,,,,
player,201411020sea,rai,JoneJa04,pass_att,0,,,,,
player,201411020sea,rai,JoneJa04,pass_yds,0,,,,,
player,201411020sea,rai,JoneJa04,pass_td,0,,,,,
player,201411020sea,rai,JoneJa04,pass_int,0,,,,,
player,201411020sea,rai,JoneJa04,pass_sacked,,,,,,
