game,2014,9,20141102,201411020nwe,den,"Denver Broncos",21,nwe,"New England Patriots",43
team,201411020nwe,den,First Downs,26,,,,,,
team,201411020nwe,nwe,First Downs,29,,,,,,
team,201411020nwe,den,Rush-Yds-TDs,17-43-1,,,,,,
team,201411020nwe,nwe,Rush-Yds-TDs,25-66-0,,,,,,
team,201411020nwe,den,Cmp-Att-Yd-TD-INT,34-57-438-2-2,,,,,,
team,201411020nwe,nwe,Cmp-Att-Yd-TD-INT,33-53-333-4-1,,,,,,
team,201411020nwe,den,Sacked-Yards,1-9,,,,,,
team,201411020nwe,nwe,Sacked-Yards,1-1,,,,,,
team,201411020nwe,den,Net Pass Yards,429,,,,,,
team,201411020nwe,nwe,Net Pass Yards,332,,,,,,
team,201411020nwe,den,Total Yards,472,,,,,,
team,201411020nwe,nwe,Total Yards,398,,,,,,
team,201411020nwe,den,Fumbles-Lost,1-0,,,,,,
team,201411020nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201411020nwe,den,Turnovers,2,,,,,,
team,201411020nwe,nwe,Turnovers,1,,,,,,
team,201411020nwe,den,Penalties-Yards,10-72,,,,,,
team,201411020nwe,nwe,Penalties-Yards,9-71,,,,,,
team,201411020nwe,den,Third Down Conv.,3-11,,,,,,
team,201411020nwe,nwe,Third Down Conv.,6-16,,,,,,
team,201411020nwe,den,Fourth Down Conv.,0-4,,,,,,
team,201411020nwe,nwe,Fourth Down Conv.,1-1,,,,,,
team,201411020nwe,den,Time of Possession,30:33,,,,,,
team,201411020nwe,nwe,Time of Possession,29:27,,,,,,
player,201411020nwe,den,MannPe00,pass_cmp,34,,,,,
player,201411020nwe,den,MannPe00,pass_att,57,,,,,
player,201411020nwe,den,MannPe00,pass_yds,438,,,,,
player,201411020nwe,den,MannPe00,pass_td,2,,,,,
player,201411020nwe,den,MannPe00,pass_int,2,,,,,
player,201411020nwe,den,MannPe00,pass_sacked,1,,,,,
player,201411020nwe,den,MannPe00,pass_sacked_yds,9,,,,,
player,201411020nwe,den,MannPe00,pass_long,41,,,,,
player,201411020nwe,den,MannPe00,pass_rating,80.9,,,,,
player,201411020nwe,den,MannPe00,rush_att,2,,,,,
player,201411020nwe,den,MannPe00,rush_yds,3,,,,,
player,201411020nwe,den,MannPe00,rush_td,0,,,,,
player,201411020nwe,den,MannPe00,rush_long,4,,,,,
player,201411020nwe,den,MannPe00,targets,0,,,,,
player,201411020nwe,den,MannPe00,rec,0,,,,,
player,201411020nwe,den,MannPe00,rec_yds,0,,,,,
player,201411020nwe,den,MannPe00,rec_td,0,,,,,
player,201411020nwe,den,MannPe00,rec_long,0,,,,,
player,201411020nwe,den,MannPe00,fumbles,0,,,,,
player,201411020nwe,den,MannPe00,fumbles_lost,0,,,,,
player,201411020nwe,den,AndeC.00,pass_cmp,0,,,,,
player,201411020nwe,den,AndeC.00,pass_att,0,,,,,
player,201411020nwe,den,AndeC.00,pass_yds,0,,,,,
player,201411020nwe,den,AndeC.00,pass_td,0,,,,,
player,201411020nwe,den,AndeC.00,pass_int,0,,,,,
player,201411020nwe,den,AndeC.00,pass_sacked,0,,,,,
player,201411020nwe,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201411020nwe,den,AndeC.00,pass_long,0,,,,,
player,201411020nwe,den,AndeC.00,pass_rating,,,,,,
player,201411020nwe,den,AndeC.00,rush_att,3,,,,,
player,201411020nwe,den,AndeC.00,rush_yds,18,,,,,
player,201411020nwe,den,AndeC.00,rush_td,0,,,,,
player,201411020nwe,den,AndeC.00,rush_long,8,,,,,
player,201411020nwe,den,AndeC.00,targets,4,,,,,
player,201411020nwe,den,AndeC.00,rec,3,,,,,
player,201411020nwe,den,AndeC.00,rec_yds,33,,,,,
player,201411020nwe,den,AndeC.00,rec_td,0,,,,,
player,201411020nwe,den,AndeC.00,rec_long,24,,,,,
player,201411020nwe,den,AndeC.00,fumbles,0,,,,,
player,201411020nwe,den,AndeC.00,fumbles_lost,0,,,,,
player,201411020nwe,den,HillRo00,pass_cmp,0,,,,,
player,201411020nwe,den,HillRo00,pass_att,0,,,,,
player,201411020nwe,den,HillRo00,pass_yds,0,,,,,
player,201411020nwe,den,HillRo00,pass_td,0,,,,,
player,201411020nwe,den,HillRo00,pass_int,0,,,,,
player,201411020nwe,den,HillRo00,pass_sacked,0,,,,,
player,201411020nwe,den,HillRo00,pass_sacked_yds,0,,,,,
player,201411020nwe,den,HillRo00,pass_long,0,,,,,
player,201411020nwe,den,HillRo00,pass_rating,,,,,,
player,201411020nwe,den,HillRo00,rush_att,10,,,,,
player,201411020nwe,den,HillRo00,rush_yds,16,,,,,
player,201411020nwe,den,HillRo00,rush_td,1,,,,,
player,201411020nwe,den,HillRo00,rush_long,4,,,,,
player,201411020nwe,den,HillRo00,targets,10,,,,,
