game,2014,9,20141102,201411020mia,sdg,"San Diego Chargers",0,mia,"Miami Dolphins",37
team,201411020mia,sdg,First Downs,10,,,,,,
team,201411020mia,mia,First Downs,28,,,,,,
team,201411020mia,sdg,Rush-Yds-TDs,19-50-0,,,,,,
team,201411020mia,mia,Rush-Yds-TDs,35-132-1,,,,,,
team,201411020mia,sdg,Cmp-Att-Yd-TD-INT,13-26-148-0-3,,,,,,
team,201411020mia,mia,Cmp-Att-Yd-TD-INT,26-39-309-3-0,,,,,,
team,201411020mia,sdg,Sacked-Yards,4-20,,,,,,
team,201411020mia,mia,Sacked-Yards,0-0,,,,,,
team,201411020mia,sdg,Net Pass Yards,128,,,,,,
team,201411020mia,mia,Net Pass Yards,309,,,,,,
team,201411020mia,sdg,Total Yards,178,,,,,,
team,201411020mia,mia,Total Yards,441,,,,,,
team,201411020mia,sdg,Fumbles-Lost,1-1,,,,,,
team,201411020mia,mia,Fumbles-Lost,1-0,,,,,,
team,201411020mia,sdg,Turnovers,4,,,,,,
team,201411020mia,mia,Turnovers,0,,,,,,
team,201411020mia,sdg,Penalties-Yards,7-57,,,,,,
team,201411020mia,mia,Penalties-Yards,3-25,,,,,,
team,201411020mia,sdg,Third Down Conv.,3-11,,,,,,
team,201411020mia,mia,Third Down Conv.,8-14,,,,,,
team,201411020mia,sdg,Fourth Down Conv.,0-1,,,,,,
team,201411020mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201411020mia,sdg,Time of Possession,23:53,,,,,,
team,201411020mia,mia,Time of Possession,36:07,,,,,,
player,201411020mia,sdg,RivePh00,pass_cmp,12,,,,,
player,201411020mia,sdg,RivePh00,pass_att,23,,,,,
player,201411020mia,sdg,RivePh00,pass_yds,138,,,,,
player,201411020mia,sdg,RivePh00,pass_td,0,,,,,
player,201411020mia,sdg,RivePh00,pass_int,3,,,,,
player,201411020mia,sdg,RivePh00,pass_sacked,3,,,,,
player,201411020mia,sdg,RivePh00,pass_sacked_yds,11,,,,,
player,201411020mia,sdg,RivePh00,pass_long,18,,,,,
player,201411020mia,sdg,RivePh00,pass_rating,31.0,,,,,
player,201411020mia,sdg,RivePh00,rush_att,1,,,,,
player,201411020mia,sdg,RivePh00,rush_yds,3,,,,,
player,201411020mia,sdg,RivePh00,rush_td,0,,,,,
player,201411020mia,sdg,RivePh00,rush_long,3,,,,,
player,201411020mia,sdg,RivePh00,targets,0,,,,,
player,201411020mia,sdg,RivePh00,rec,0,,,,,
player,201411020mia,sdg,RivePh00,rec_yds,0,,,,,
player,201411020mia,sdg,RivePh00,rec_td,0,,,,,
player,201411020mia,sdg,RivePh00,rec_long,0,,,,,
player,201411020mia,sdg,RivePh00,fumbles,1,,,,,
player,201411020mia,sdg,RivePh00,fumbles_lost,1,,,,,
player,201411020mia,sdg,ClemKe00,pass_cmp,1,,,,,
player,201411020mia,sdg,ClemKe00,pass_att,3,,,,,
player,201411020mia,sdg,ClemKe00,pass_yds,10,,,,,
player,201411020mia,sdg,ClemKe00,pass_td,0,,,,,
player,201411020mia,sdg,ClemKe00,pass_int,0,,,,,
player,201411020mia,sdg,ClemKe00,pass_sacked,1,,,,,
player,201411020mia,sdg,ClemKe00,pass_sacked_yds,9,,,,,
player,201411020mia,sdg,ClemKe00,pass_long,10,,,,,
player,201411020mia,sdg,ClemKe00,pass_rating,43.7,,,,,
player,201411020mia,sdg,ClemKe00,rush_att,0,,,,,
player,201411020mia,sdg,ClemKe00,rush_yds,0,,,,,
player,201411020mia,sdg,ClemKe00,rush_td,0,,,,,
player,201411020mia,sdg,ClemKe00,rush_long,0,,,,,
player,201411020mia,sdg,ClemKe00,targets,0,,,,,
player,201411020mia,sdg,ClemKe00,rec,0,,,,,
player,201411020mia,sdg,ClemKe00,rec_yds,0,,,,,
player,201411020mia,sdg,ClemKe00,rec_td,0,,,,,
player,201411020mia,sdg,ClemKe00,rec_long,0,,,,,
player,201411020mia,sdg,ClemKe00,fumbles,0,,,,,
player,201411020mia,sdg,ClemKe00,fumbles_lost,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_cmp,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_att,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_yds,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_td,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_int,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_sacked,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_long,0,,,,,
player,201411020mia,sdg,BrowDo00,pass_rating,,,,,,
player,201411020mia,sdg,BrowDo00,rush_att,4,,,,,
player,201411020mia,sdg,BrowDo00,rush_yds,23,,,,,
player,201411020mia,sdg,BrowDo00,rush_td,0,,,,,
player,201411020mia,sdg,BrowDo00,rush_long,16,,,,,
player,201411020mia,sdg,BrowDo00,targets,2,,,,,
player,201411020mia,sdg,BrowDo00,rec,1,,,,,
player,201411020mia,sdg,BrowDo00,rec_yds,6,,,,,
player,201411020mia,sdg,BrowDo00,rec_td,0,,,,,
player,201411020mia,sdg,BrowDo00,rec_long,6,,,,,
player,201411020mia,sdg,BrowDo00,fumbles,0,,,,,
player,201411020mia,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_cmp,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_att,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_yds,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_td,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_int,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_sacked,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_long,0,,,,,
player,201411020mia,sdg,OlivBr01,pass_rating,,,,,,
player,201411020mia,sdg,OlivBr01,rush_att,13,,,,,
player,201411020mia,sdg,OlivBr01,rush_yds,19,,,,,
player,201411020mia,sdg,OlivBr01,rush_td,0,,,,,
player,201411020mia,sdg,OlivBr01,rush_long,11,,,,,
player,201411020mia,sdg,OlivBr01,targets,2,,,,,
player,201411020mia,sdg,OlivBr01,rec,1,,,,,
player,201411020mia,sdg,OlivBr01,rec_yds,7,,,,,
player,201411020mia,sdg,OlivBr01,rec_td,0,,,,,
player,201411020mia,sdg,OlivBr01,rec_long,7,,,,,
player,201411020mia,sdg,OlivBr01,fumbles,0,,,,,
player,201411020mia,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_cmp,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_att,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_yds,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_td,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_int,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_sacked,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_sacked_yds,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_long,0,,,,,
player,201411020mia,sdg,BrowRo05,pass_rating,,,,,,
player,201411020mia,sdg,BrowRo05,rush_att,1,,,,,
player,201411020mia,sdg,BrowRo05,rush_yds,5,,,,,
player,201411020mia,sdg,BrowRo05,rush_td,0,,,,,
player,201411020mia,sdg,BrowRo05,rush_long,5,,,,,
player,201411020mia,sdg,BrowRo05,targets,1,,,,,
player,201411020mia,sdg,BrowRo05,rec,0,,,,,
player,201411020mia,sdg,BrowRo05,rec_yds,0,,,,,
player,201411020mia,sdg,BrowRo05,rec_td,0,,,,,
player,201411020mia,sdg,BrowRo05,rec_long,0,,,,,
player,201411020mia,sdg,BrowRo05,fumbles,0,,,,,
player,201411020mia,sdg,BrowRo05,fumbles_lost,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_cmp,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_att,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_yds,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_td,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_int,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_sacked,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_long,0,,,,,
player,201411020mia,sdg,FloyMa00,pass_rating,,,,,,
player,201411020mia,sdg,FloyMa00,rush_att,0,,,,,
player,201411020mia,sdg,FloyMa00,rush_yds,0,,,,,
player,201411020mia,sdg,FloyMa00,rush_td,0,,,,,
player,201411020mia,sdg,FloyMa00,rush_long,0,,,,,
player,201411020mia,sdg,FloyMa00,targets,5,,,,,
