game,2014,15,20141214,201412140sea,sfo,"San Francisco 49ers",7,sea,"Seattle Seahawks",17
team,201412140sea,sfo,First Downs,14,,,,,,
team,201412140sea,sea,First Downs,18,,,,,,
team,201412140sea,sfo,Rush-Yds-TDs,32-140-1,,,,,,
team,201412140sea,sea,Rush-Yds-TDs,32-152-1,,,,,,
team,201412140sea,sfo,Cmp-Att-Yd-TD-INT,11-19-141-0-0,,,,,,
team,201412140sea,sea,Cmp-Att-Yd-TD-INT,12-24-168-1-1,,,,,,
team,201412140sea,sfo,Sacked-Yards,6-36,,,,,,
team,201412140sea,sea,Sacked-Yards,5-30,,,,,,
team,201412140sea,sfo,Net Pass Yards,105,,,,,,
team,201412140sea,sea,Net Pass Yards,138,,,,,,
team,201412140sea,sfo,Total Yards,245,,,,,,
team,201412140sea,sea,Total Yards,290,,,,,,
team,201412140sea,sfo,Fumbles-Lost,0-0,,,,,,
team,201412140sea,sea,Fumbles-Lost,0-0,,,,,,
team,201412140sea,sfo,Turnovers,0,,,,,,
team,201412140sea,sea,Turnovers,1,,,,,,
team,201412140sea,sfo,Penalties-Yards,8-78,,,,,,
team,201412140sea,sea,Penalties-Yards,7-50,,,,,,
team,201412140sea,sfo,Third Down Conv.,6-15,,,,,,
team,201412140sea,sea,Third Down Conv.,8-14,,,,,,
team,201412140sea,sfo,Fourth Down Conv.,2-4,,,,,,
team,201412140sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201412140sea,sfo,Time of Possession,31:02,,,,,,
team,201412140sea,sea,Time of Possession,28:58,,,,,,
player,201412140sea,sfo,KaepCo00,pass_cmp,11,,,,,
player,201412140sea,sfo,KaepCo00,pass_att,19,,,,,
player,201412140sea,sfo,KaepCo00,pass_yds,141,,,,,
player,201412140sea,sfo,KaepCo00,pass_td,0,,,,,
player,201412140sea,sfo,KaepCo00,pass_int,0,,,,,
player,201412140sea,sfo,KaepCo00,pass_sacked,6,,,,,
player,201412140sea,sfo,KaepCo00,pass_sacked_yds,36,,,,,
player,201412140sea,sfo,KaepCo00,pass_long,31,,,,,
player,201412140sea,sfo,KaepCo00,pass_rating,81.2,,,,,
player,201412140sea,sfo,KaepCo00,rush_att,9,,,,,
player,201412140sea,sfo,KaepCo00,rush_yds,46,,,,,
player,201412140sea,sfo,KaepCo00,rush_td,0,,,,,
player,201412140sea,sfo,KaepCo00,rush_long,22,,,,,
player,201412140sea,sfo,KaepCo00,targets,0,,,,,
player,201412140sea,sfo,KaepCo00,rec,0,,,,,
player,201412140sea,sfo,KaepCo00,rec_yds,0,,,,,
player,201412140sea,sfo,KaepCo00,rec_td,0,,,,,
player,201412140sea,sfo,KaepCo00,rec_long,0,,,,,
player,201412140sea,sfo,KaepCo00,fumbles,0,,,,,
player,201412140sea,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201412140sea,sfo,HydeCa00,pass_cmp,0,,,,,
player,201412140sea,sfo,HydeCa00,pass_att,0,,,,,
player,201412140sea,sfo,HydeCa00,pass_yds,0,,,,,
