game,2014,2,20140914,201409140oti,dal,"Dallas Cowboys",26,oti,"Tennessee Titans",10
team,201409140oti,dal,First Downs,26,,,,,,
team,201409140oti,oti,First Downs,13,,,,,,
team,201409140oti,dal,Rush-Yds-TDs,43-220-1,,,,,,
team,201409140oti,oti,Rush-Yds-TDs,13-82-0,,,,,,
team,201409140oti,dal,Cmp-Att-Yd-TD-INT,19-29-176-1-0,,,,,,
team,201409140oti,oti,Cmp-Att-Yd-TD-INT,18-34-234-1-2,,,,,,
team,201409140oti,dal,Sacked-Yards,4-28,,,,,,
team,201409140oti,oti,Sacked-Yards,2-2,,,,,,
team,201409140oti,dal,Net Pass Yards,148,,,,,,
team,201409140oti,oti,Net Pass Yards,232,,,,,,
team,201409140oti,dal,Total Yards,368,,,,,,
team,201409140oti,oti,Total Yards,314,,,,,,
team,201409140oti,dal,Fumbles-Lost,1-1,,,,,,
team,201409140oti,oti,Fumbles-Lost,1-0,,,,,,
team,201409140oti,dal,Turnovers,1,,,,,,
team,201409140oti,oti,Turnovers,2,,,,,,
team,201409140oti,dal,Penalties-Yards,4-25,,,,,,
team,201409140oti,oti,Penalties-Yards,5-30,,,,,,
team,201409140oti,dal,Third Down Conv.,9-16,,,,,,
team,201409140oti,oti,Third Down Conv.,2-10,,,,,,
team,201409140oti,dal,Fourth Down Conv.,0-0,,,,,,
team,201409140oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201409140oti,dal,Time of Possession,41:11,,,,,,
team,201409140oti,oti,Time of Possession,18:49,,,,,,
player,201409140oti,dal,RomoTo00,pass_cmp,19,,,,,
player,201409140oti,dal,RomoTo00,pass_att,29,,,,,
player,201409140oti,dal,RomoTo00,pass_yds,176,,,,,
player,201409140oti,dal,RomoTo00,pass_td,1,,,,,
player,201409140oti,dal,RomoTo00,pass_int,0,,,,,
player,201409140oti,dal,RomoTo00,pass_sacked,4,,,,,
player,201409140oti,dal,RomoTo00,pass_sacked_yds,28,,,,,
player,201409140oti,dal,RomoTo00,pass_long,22,,,,,
player,201409140oti,dal,RomoTo00,pass_rating,93.5,,,,,
player,201409140oti,dal,RomoTo00,rush_att,0,,,,,
player,201409140oti,dal,RomoTo00,rush_yds,0,,,,,
player,201409140oti,dal,RomoTo00,rush_td,0,,,,,
player,201409140oti,dal,RomoTo00,rush_long,0,,,,,
player,201409140oti,dal,RomoTo00,targets,0,,,,,
player,201409140oti,dal,RomoTo00,rec,0,,,,,
player,201409140oti,dal,RomoTo00,rec_yds,0,,,,,
player,201409140oti,dal,RomoTo00,rec_td,0,,,,,
player,201409140oti,dal,RomoTo00,rec_long,0,,,,,
player,201409140oti,dal,RomoTo00,fumbles,0,,,,,
player,201409140oti,dal,RomoTo00,fumbles_lost,0,,,,,
player,201409140oti,dal,MurrDe00,pass_cmp,0,,,,,
player,201409140oti,dal,MurrDe00,pass_att,0,,,,,
player,201409140oti,dal,MurrDe00,pass_yds,0,,,,,
player,201409140oti,dal,MurrDe00,pass_td,0,,,,,
player,201409140oti,dal,MurrDe00,pass_int,0,,,,,
player,201409140oti,dal,MurrDe00,pass_sacked,0,,,,,
player,201409140oti,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201409140oti,dal,MurrDe00,pass_long,0,,,,,
player,201409140oti,dal,MurrDe00,pass_rating,,,,,,
player,201409140oti,dal,MurrDe00,rush_att,29,,,,,
player,201409140oti,dal,MurrDe00,rush_yds,167,,,,,
player,201409140oti,dal,MurrDe00,rush_td,1,,,,,
player,201409140oti,dal,MurrDe00,rush_long,22,,,,,
player,201409140oti,dal,MurrDe00,targets,2,,,,,
player,201409140oti,dal,MurrDe00,rec,1,,,,,
player,201409140oti,dal,MurrDe00,rec_yds,6,,,,,
player,201409140oti,dal,MurrDe00,rec_td,0,,,,,
player,201409140oti,dal,MurrDe00,rec_long,6,,,,,
player,201409140oti,dal,MurrDe00,fumbles,1,,,,,
player,201409140oti,dal,MurrDe00,fumbles_lost,1,,,,,
player,201409140oti,dal,DunbLa00,pass_cmp,0,,,,,
player,201409140oti,dal,DunbLa00,pass_att,0,,,,,
player,201409140oti,dal,DunbLa00,pass_yds,0,,,,,
player,201409140oti,dal,DunbLa00,pass_td,0,,,,,
player,201409140oti,dal,DunbLa00,pass_int,0,,,,,
player,201409140oti,dal,DunbLa00,pass_sacked,0,,,,,
player,201409140oti,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201409140oti,dal,DunbLa00,pass_long,0,,,,,
player,201409140oti,dal,DunbLa00,pass_rating,,,,,,
player,201409140oti,dal,DunbLa00,rush_att,11,,,,,
player,201409140oti,dal,DunbLa00,rush_yds,27,,,,,
player,201409140oti,dal,DunbLa00,rush_td,0,,,,,
player,201409140oti,dal,DunbLa00,rush_long,7,,,,,
player,201409140oti,dal,DunbLa00,targets,0,,,,,
player,201409140oti,dal,DunbLa00,rec,0,,,,,
player,201409140oti,dal,DunbLa00,rec_yds,0,,,,,
player,201409140oti,dal,DunbLa00,rec_td,0,,,,,
player,201409140oti,dal,DunbLa00,rec_long,0,,,,,
