game,2014,3,20140918,201409180atl,tam,"Tampa Bay Buccaneers",14,atl,"Atlanta Falcons",56
player,201409180atl,tam,EvanMi00,pass_cmp,0,,,,,
player,201409180atl,tam,EvanMi00,pass_att,0,,,,,
player,201409180atl,tam,EvanMi00,pass_yds,0,,,,,
player,201409180atl,tam,EvanMi00,pass_td,0,,,,,
player,201409180atl,tam,EvanMi00,pass_int,0,,,,,
player,201409180atl,tam,EvanMi00,pass_sacked,0,,,,,
player,201409180atl,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201409180atl,tam,EvanMi00,pass_long,0,,,,,
player,201409180atl,tam,EvanMi00,pass_rating,,,,,,
player,201409180atl,tam,EvanMi00,rush_att,0,,,,,
player,201409180atl,tam,EvanMi00,rush_yds,0,,,,,
player,201409180atl,tam,EvanMi00,rush_td,0,,,,,
player,201409180atl,tam,EvanMi00,rush_long,0,,,,,
player,201409180atl,tam,EvanMi00,targets,7,,,,,
player,201409180atl,tam,EvanMi00,rec,4,,,,,
player,201409180atl,tam,EvanMi00,rec_yds,52,,,,,
player,201409180atl,tam,EvanMi00,rec_td,0,,,,,
player,201409180atl,tam,EvanMi00,rec_long,36,,,,,
player,201409180atl,tam,EvanMi00,fumbles,0,,,,,
player,201409180atl,tam,EvanMi00,fumbles_lost,0,,,,,
player,201409180atl,tam,MyerBr00,pass_cmp,0,,,,,
player,201409180atl,tam,MyerBr00,pass_att,0,,,,,
player,201409180atl,tam,MyerBr00,pass_yds,0,,,,,
player,201409180atl,tam,MyerBr00,pass_td,0,,,,,
player,201409180atl,tam,MyerBr00,pass_int,0,,,,,
player,201409180atl,tam,MyerBr00,pass_sacked,0,,,,,
player,201409180atl,tam,MyerBr00,pass_sacked_yds,0,,,,,
player,201409180atl,tam,MyerBr00,pass_long,0,,,,,
player,201409180atl,tam,MyerBr00,pass_rating,,,,,,
player,201409180atl,tam,MyerBr00,rush_att,0,,,,,
player,201409180atl,tam,MyerBr00,rush_yds,0,,,,,
player,201409180atl,tam,MyerBr00,rush_td,0,,,,,
player,201409180atl,tam,MyerBr00,rush_long,0,,,,,
player,201409180atl,tam,MyerBr00,targets,5,,,,,
player,201409180atl,tam,MyerBr00,rec,5,,,,,
player,201409180atl,tam,MyerBr00,rec_yds,33,,,,,
player,201409180atl,tam,MyerBr00,rec_td,0,,,,,
player,201409180atl,tam,MyerBr00,rec_long,9,,,,,
player,201409180atl,tam,MyerBr00,fumbles,0,,,,,
player,201409180atl,tam,MyerBr00,fumbles_lost,0,,,,,
player,201409180atl,tam,StocLu00,pass_cmp,0,,,,,
player,201409180atl,tam,StocLu00,pass_att,0,,,,,
player,201409180atl,tam,StocLu00,pass_yds,0,,,,,
player,201409180atl,tam,StocLu00,pass_td,0,,,,,
player,201409180atl,tam,StocLu00,pass_int,0,,,,,
player,201409180atl,tam,StocLu00,pass_sacked,0,,,,,
player,201409180atl,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201409180atl,tam,StocLu00,pass_long,0,,,,,
player,201409180atl,tam,StocLu00,pass_rating,,,,,,
player,201409180atl,tam,StocLu00,rush_att,0,,,,,
player,201409180atl,tam,StocLu00,rush_yds,0,,,,,
player,201409180atl,tam,StocLu00,rush_td,0,,,,,
player,201409180atl,tam,StocLu00,rush_long,0,,,,,
player,201409180atl,tam,StocLu00,targets,2,,,,,
player,201409180atl,tam,StocLu00,rec,2,,,,,
player,201409180atl,tam,StocLu00,rec_yds,15,,,,,
player,201409180atl,tam,StocLu00,rec_td,0,,,,,
player,201409180atl,tam,StocLu00,rec_long,11,,,,,
player,201409180atl,tam,StocLu00,fumbles,0,,,,,
player,201409180atl,tam,StocLu00,fumbles_lost,0,,,,,
