game,2014,6,20141012,201410120mia,gnb,"Green Bay Packers",27,mia,"Miami Dolphins",24
team,201410120mia,gnb,First Downs,27,,,,,,
team,201410120mia,mia,First Downs,19,,,,,,
team,201410120mia,gnb,Rush-Yds-TDs,34-121-0,,,,,,
team,201410120mia,mia,Rush-Yds-TDs,23-112-1,,,,,,
team,201410120mia,gnb,Cmp-Att-Yd-TD-INT,24-42-264-3-0,,,,,,
team,201410120mia,mia,Cmp-Att-Yd-TD-INT,20-31-244-2-2,,,,,,
team,201410120mia,gnb,Sacked-Yards,3-16,,,,,,
team,201410120mia,mia,Sacked-Yards,1-7,,,,,,
team,201410120mia,gnb,Net Pass Yards,248,,,,,,
team,201410120mia,mia,Net Pass Yards,237,,,,,,
team,201410120mia,gnb,Total Yards,369,,,,,,
team,201410120mia,mia,Total Yards,349,,,,,,
team,201410120mia,gnb,Fumbles-Lost,1-0,,,,,,
team,201410120mia,mia,Fumbles-Lost,1-1,,,,,,
team,201410120mia,gnb,Turnovers,0,,,,,,
team,201410120mia,mia,Turnovers,3,,,,,,
team,201410120mia,gnb,Penalties-Yards,4-44,,,,,,
team,201410120mia,mia,Penalties-Yards,5-25,,,,,,
team,201410120mia,gnb,Third Down Conv.,8-17,,,,,,
team,201410120mia,mia,Third Down Conv.,4-10,,,,,,
team,201410120mia,gnb,Fourth Down Conv.,1-1,,,,,,
team,201410120mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201410120mia,gnb,Time of Possession,37:12,,,,,,
team,201410120mia,mia,Time of Possession,22:48,,,,,,
player,201410120mia,gnb,RodgAa00,pass_cmp,24,,,,,
player,201410120mia,gnb,RodgAa00,pass_att,42,,,,,
player,201410120mia,gnb,RodgAa00,pass_yds,264,,,,,
player,201410120mia,gnb,RodgAa00,pass_td,3,,,,,
player,201410120mia,gnb,RodgAa00,pass_int,0,,,,,
player,201410120mia,gnb,RodgAa00,pass_sacked,3,,,,,
player,201410120mia,gnb,RodgAa00,pass_sacked_yds,16,,,,,
player,201410120mia,gnb,RodgAa00,pass_long,28,,,,,
player,201410120mia,gnb,RodgAa00,pass_rating,99.7,,,,,
player,201410120mia,gnb,RodgAa00,rush_att,7,,,,,
player,201410120mia,gnb,RodgAa00,rush_yds,34,,,,,
player,201410120mia,gnb,RodgAa00,rush_td,0,,,,,
player,201410120mia,gnb,RodgAa00,rush_long,9,,,,,
player,201410120mia,gnb,RodgAa00,targets,0,,,,,
player,201410120mia,gnb,RodgAa00,rec,0,,,,,
player,201410120mia,gnb,RodgAa00,rec_yds,0,,,,,
player,201410120mia,gnb,RodgAa00,rec_td,0,,,,,
player,201410120mia,gnb,RodgAa00,rec_long,0,,,,,
player,201410120mia,gnb,RodgAa00,fumbles,1,,,,,
player,201410120mia,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_cmp,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_att,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_yds,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_td,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_int,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_sacked,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_long,0,,,,,
player,201410120mia,gnb,LacyEd00,pass_rating,,,,,,
player,201410120mia,gnb,LacyEd00,rush_att,14,,,,,
player,201410120mia,gnb,LacyEd00,rush_yds,40,,,,,
player,201410120mia,gnb,LacyEd00,rush_td,0,,,,,
