game,2014,5,20141005,201410050sfo,kan,"Kansas City Chiefs",17,sfo,"San Francisco 49ers",22
team,201410050sfo,kan,First Downs,14,,,,,,
team,201410050sfo,sfo,First Downs,22,,,,,,
team,201410050sfo,kan,Rush-Yds-TDs,20-107-1,,,,,,
team,201410050sfo,sfo,Rush-Yds-TDs,40-171-0,,,,,,
team,201410050sfo,kan,Cmp-Att-Yd-TD-INT,16-30-158-1-1,,,,,,
team,201410050sfo,sfo,Cmp-Att-Yd-TD-INT,14-27-201-1-0,,,,,,
team,201410050sfo,kan,Sacked-Yards,0-0,,,,,,
team,201410050sfo,sfo,Sacked-Yards,3-15,,,,,,
team,201410050sfo,kan,Net Pass Yards,158,,,,,,
team,201410050sfo,sfo,Net Pass Yards,186,,,,,,
team,201410050sfo,kan,Total Yards,265,,,,,,
team,201410050sfo,sfo,Total Yards,357,,,,,,
team,201410050sfo,kan,Fumbles-Lost,1-0,,,,,,
team,201410050sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201410050sfo,kan,Turnovers,1,,,,,,
team,201410050sfo,sfo,Turnovers,0,,,,,,
team,201410050sfo,kan,Penalties-Yards,4-29,,,,,,
team,201410050sfo,sfo,Penalties-Yards,2-10,,,,,,
team,201410050sfo,kan,Third Down Conv.,6-11,,,,,,
team,201410050sfo,sfo,Third Down Conv.,6-16,,,,,,
team,201410050sfo,kan,Fourth Down Conv.,0-0,,,,,,
team,201410050sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201410050sfo,kan,Time of Possession,23:56,,,,,,
team,201410050sfo,sfo,Time of Possession,36:04,,,,,,
player,201410050sfo,kan,SmitAl03,pass_cmp,16,,,,,
player,201410050sfo,kan,SmitAl03,pass_att,30,,,,,
player,201410050sfo,kan,SmitAl03,pass_yds,158,,,,,
player,201410050sfo,kan,SmitAl03,pass_td,1,,,,,
player,201410050sfo,kan,SmitAl03,pass_int,1,,,,,
player,201410050sfo,kan,SmitAl03,pass_sacked,0,,,,,
player,201410050sfo,kan,SmitAl03,pass_sacked_yds,0,,,,,
player,201410050sfo,kan,SmitAl03,pass_long,18,,,,,
