game,2014,8,20141026,201410260nwe,chi,"Chicago Bears",23,nwe,"New England Patriots",51
team,201410260nwe,chi,First Downs,27,,,,,,
team,201410260nwe,nwe,First Downs,32,,,,,,
team,201410260nwe,chi,Rush-Yds-TDs,26-153-0,,,,,,
team,201410260nwe,nwe,Rush-Yds-TDs,32-122-0,,,,,,
team,201410260nwe,chi,Cmp-Att-Yd-TD-INT,21-35-249-3-1,,,,,,
team,201410260nwe,nwe,Cmp-Att-Yd-TD-INT,33-38-376-5-0,,,,,,
team,201410260nwe,chi,Sacked-Yards,3-18,,,,,,
team,201410260nwe,nwe,Sacked-Yards,1-11,,,,,,
team,201410260nwe,chi,Net Pass Yards,231,,,,,,
team,201410260nwe,nwe,Net Pass Yards,365,,,,,,
team,201410260nwe,chi,Total Yards,384,,,,,,
team,201410260nwe,nwe,Total Yards,487,,,,,,
team,201410260nwe,chi,Fumbles-Lost,1-1,,,,,,
team,201410260nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201410260nwe,chi,Turnovers,2,,,,,,
team,201410260nwe,nwe,Turnovers,0,,,,,,
team,201410260nwe,chi,Penalties-Yards,5-41,,,,,,
team,201410260nwe,nwe,Penalties-Yards,7-38,,,,,,
team,201410260nwe,chi,Third Down Conv.,4-11,,,,,,
team,201410260nwe,nwe,Third Down Conv.,7-11,,,,,,
team,201410260nwe,chi,Fourth Down Conv.,1-3,,,,,,
team,201410260nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201410260nwe,chi,Time of Possession,27:17,,,,,,
team,201410260nwe,nwe,Time of Possession,32:43,,,,,,
player,201410260nwe,chi,CutlJa00,pass_cmp,20,,,,,
player,201410260nwe,chi,CutlJa00,pass_att,30,,,,,
player,201410260nwe,chi,CutlJa00,pass_yds,227,,,,,
player,201410260nwe,chi,CutlJa00,pass_td,3,,,,,
player,201410260nwe,chi,CutlJa00,pass_int,1,,,,,
player,201410260nwe,chi,CutlJa00,pass_sacked,3,,,,,
player,201410260nwe,chi,CutlJa00,pass_sacked_yds,18,,,,,
player,201410260nwe,chi,CutlJa00,pass_long,34,,,,,
player,201410260nwe,chi,CutlJa00,pass_rating,108.6,,,,,
player,201410260nwe,chi,CutlJa00,rush_att,1,,,,,
player,201410260nwe,chi,CutlJa00,rush_yds,6,,,,,
player,201410260nwe,chi,CutlJa00,rush_td,0,,,,,
player,201410260nwe,chi,CutlJa00,rush_long,6,,,,,
player,201410260nwe,chi,CutlJa00,targets,0,,,,,
player,201410260nwe,chi,CutlJa00,rec,0,,,,,
player,201410260nwe,chi,CutlJa00,rec_yds,0,,,,,
player,201410260nwe,chi,CutlJa00,rec_td,0,,,,,
player,201410260nwe,chi,CutlJa00,rec_long,0,,,,,
player,201410260nwe,chi,CutlJa00,fumbles,1,,,,,
player,201410260nwe,chi,CutlJa00,fumbles_lost,1,,,,,
player,201410260nwe,chi,ClauJi00,pass_cmp,1,,,,,
player,201410260nwe,chi,ClauJi00,pass_att,5,,,,,
