game,2014,5,20141006,201410060was,sea,"Seattle Seahawks",27,was,"Washington Redskins",17
team,201410060was,sea,First Downs,20,,,,,,
team,201410060was,was,First Downs,14,,,,,,
team,201410060was,sea,Rush-Yds-TDs,36-225-1,,,,,,
team,201410060was,was,Rush-Yds-TDs,17-32-0,,,,,,
team,201410060was,sea,Cmp-Att-Yd-TD-INT,18-24-201-2-0,,,,,,
team,201410060was,was,Cmp-Att-Yd-TD-INT,21-36-283-2-0,,,,,,
team,201410060was,sea,Sacked-Yards,3-23,,,,,,
team,201410060was,was,Sacked-Yards,1-8,,,,,,
team,201410060was,sea,Net Pass Yards,178,,,,,,
team,201410060was,was,Net Pass Yards,275,,,,,,
team,201410060was,sea,Total Yards,403,,,,,,
team,201410060was,was,Total Yards,307,,,,,,
team,201410060was,sea,Fumbles-Lost,2-0,,,,,,
team,201410060was,was,Fumbles-Lost,1-0,,,,,,
team,201410060was,sea,Turnovers,0,,,,,,
team,201410060was,was,Turnovers,0,,,,,,
team,201410060was,sea,Penalties-Yards,13-90,,,,,,
team,201410060was,was,Penalties-Yards,3-30,,,,,,
team,201410060was,sea,Third Down Conv.,5-14,,,,,,
team,201410060was,was,Third Down Conv.,3-12,,,,,,
team,201410060was,sea,Fourth Down Conv.,1-1,,,,,,
team,201410060was,was,Fourth Down Conv.,0-0,,,,,,
team,201410060was,sea,Time of Possession,34:56,,,,,,
team,201410060was,was,Time of Possession,25:04,,,,,,
player,201410060was,sea,WilsRu00,pass_cmp,18,,,,,
player,201410060was,sea,WilsRu00,pass_att,24,,,,,
player,201410060was,sea,WilsRu00,pass_yds,201,,,,,
player,201410060was,sea,WilsRu00,pass_td,2,,,,,
player,201410060was,sea,WilsRu00,pass_int,0,,,,,
player,201410060was,sea,WilsRu00,pass_sacked,3,,,,,
player,201410060was,sea,WilsRu00,pass_sacked_yds,23,,,,,
player,201410060was,sea,WilsRu00,pass_long,36,,,,,
player,201410060was,sea,WilsRu00,pass_rating,127.3,,,,,
player,201410060was,sea,WilsRu00,rush_att,11,,,,,
player,201410060was,sea,WilsRu00,rush_yds,122,,,,,
player,201410060was,sea,WilsRu00,rush_td,1,,,,,
player,201410060was,sea,WilsRu00,rush_long,29,,,,,
player,201410060was,sea,WilsRu00,targets,0,,,,,
player,201410060was,sea,WilsRu00,rec,0,,,,,
player,201410060was,sea,WilsRu00,rec_yds,0,,,,,
player,201410060was,sea,WilsRu00,rec_td,0,,,,,
player,201410060was,sea,WilsRu00,rec_long,0,,,,,
player,201410060was,sea,WilsRu00,fumbles,2,,,,,
player,201410060was,sea,WilsRu00,fumbles_lost,0,,,,,
player,201410060was,sea,LyncMa00,pass_cmp,0,,,,,
player,201410060was,sea,LyncMa00,pass_att,0,,,,,
player,201410060was,sea,LyncMa00,pass_yds,0,,,,,
player,201410060was,sea,LyncMa00,pass_td,0,,,,,
player,201410060was,sea,LyncMa00,pass_int,0,,,,,
player,201410060was,sea,LyncMa00,pass_sacked,0,,,,,
player,201410060was,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201410060was,sea,LyncMa00,pass_long,0,,,,,
player,201410060was,sea,LyncMa00,pass_rating,,,,,,
player,201410060was,sea,LyncMa00,rush_att,17,,,,,
player,201410060was,sea,LyncMa00,rush_yds,72,,,,,
player,201410060was,sea,LyncMa00,rush_td,0,,,,,
player,201410060was,sea,LyncMa00,rush_long,17,,,,,
player,201410060was,sea,LyncMa00,targets,6,,,,,
player,201410060was,sea,LyncMa00,rec,5,,,,,
player,201410060was,sea,LyncMa00,rec_yds,45,,,,,
player,201410060was,sea,LyncMa00,rec_td,1,,,,,
player,201410060was,sea,LyncMa00,rec_long,30,,,,,
player,201410060was,sea,LyncMa00,fumbles,0,,,,,
player,201410060was,sea,LyncMa00,fumbles_lost,0,,,,,
player,201410060was,sea,TurbRo00,pass_cmp,0,,,,,
player,201410060was,sea,TurbRo00,pass_att,0,,,,,
player,201410060was,sea,TurbRo00,pass_yds,0,,,,,
player,201410060was,sea,TurbRo00,pass_td,0,,,,,
player,201410060was,sea,TurbRo00,pass_int,0,,,,,
player,201410060was,sea,TurbRo00,pass_sacked,0,,,,,
player,201410060was,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201410060was,sea,TurbRo00,pass_long,0,,,,,
player,201410060was,sea,TurbRo00,pass_rating,,,,,,
player,201410060was,sea,TurbRo00,rush_att,5,,,,,
player,201410060was,sea,TurbRo00,rush_yds,19,,,,,
player,201410060was,sea,TurbRo00,rush_td,0,,,,,
player,201410060was,sea,TurbRo00,rush_long,9,,,,,
player,201410060was,sea,TurbRo00,targets,0,,,,,
player,201410060was,sea,TurbRo00,rec,0,,,,,
player,201410060was,sea,TurbRo00,rec_yds,0,,,,,
player,201410060was,sea,TurbRo00,rec_td,0,,,,,
player,201410060was,sea,TurbRo00,rec_long,0,,,,,
player,201410060was,sea,TurbRo00,fumbles,0,,,,,
player,201410060was,sea,TurbRo00,fumbles_lost,0,,,,,
player,201410060was,sea,HarvPe00,pass_cmp,0,,,,,
player,201410060was,sea,HarvPe00,pass_att,0,,,,,
player,201410060was,sea,HarvPe00,pass_yds,0,,,,,
player,201410060was,sea,HarvPe00,pass_td,0,,,,,
player,201410060was,sea,HarvPe00,pass_int,0,,,,,
player,201410060was,sea,HarvPe00,pass_sacked,0,,,,,
player,201410060was,sea,HarvPe00,pass_sacked_yds,0,,,,,
