game,2014,13,20141130,201411300ram,rai,"Oakland Raiders",0,ram,"St. Louis Rams",52
team,201411300ram,rai,First Downs,17,,,,,,
team,201411300ram,ram,First Downs,17,,,,,,
team,201411300ram,rai,Rush-Yds-TDs,21-61-0,,,,,,
team,201411300ram,ram,Rush-Yds-TDs,26-172-4,,,,,,
team,201411300ram,rai,Cmp-Att-Yd-TD-INT,29-48-230-0-3,,,,,,
team,201411300ram,ram,Cmp-Att-Yd-TD-INT,13-22-183-2-0,,,,,,
team,201411300ram,rai,Sacked-Yards,6-47,,,,,,
team,201411300ram,ram,Sacked-Yards,1-7,,,,,,
team,201411300ram,rai,Net Pass Yards,183,,,,,,
team,201411300ram,ram,Net Pass Yards,176,,,,,,
team,201411300ram,rai,Total Yards,244,,,,,,
team,201411300ram,ram,Total Yards,348,,,,,,
team,201411300ram,rai,Fumbles-Lost,3-2,,,,,,
team,201411300ram,ram,Fumbles-Lost,2-0,,,,,,
team,201411300ram,rai,Turnovers,5,,,,,,
team,201411300ram,ram,Turnovers,0,,,,,,
team,201411300ram,rai,Penalties-Yards,8-73,,,,,,
team,201411300ram,ram,Penalties-Yards,8-60,,,,,,
team,201411300ram,rai,Third Down Conv.,4-18,,,,,,
team,201411300ram,ram,Third Down Conv.,1-8,,,,,,
team,201411300ram,rai,Fourth Down Conv.,0-1,,,,,,
team,201411300ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201411300ram,rai,Time of Possession,36:56,,,,,,
team,201411300ram,ram,Time of Possession,23:04,,,,,,
player,201411300ram,rai,CarrDe02,pass_cmp,24,,,,,
player,201411300ram,rai,CarrDe02,pass_att,39,,,,,
player,201411300ram,rai,CarrDe02,pass_yds,173,,,,,
player,201411300ram,rai,CarrDe02,pass_td,0,,,,,
player,201411300ram,rai,CarrDe02,pass_int,2,,,,,
player,201411300ram,rai,CarrDe02,pass_sacked,3,,,,,
player,201411300ram,rai,CarrDe02,pass_sacked_yds,23,,,,,
player,201411300ram,rai,CarrDe02,pass_long,18,,,,,
player,201411300ram,rai,CarrDe02,pass_rating,50.5,,,,,
player,201411300ram,rai,CarrDe02,rush_att,1,,,,,
player,201411300ram,rai,CarrDe02,rush_yds,1,,,,,
player,201411300ram,rai,CarrDe02,rush_td,0,,,,,
player,201411300ram,rai,CarrDe02,rush_long,1,,,,,
player,201411300ram,rai,CarrDe02,targets,0,,,,,
player,201411300ram,rai,CarrDe02,rec,0,,,,,
player,201411300ram,rai,CarrDe02,rec_yds,0,,,,,
player,201411300ram,rai,CarrDe02,rec_td,0,,,,,
player,201411300ram,rai,CarrDe02,rec_long,0,,,,,
player,201411300ram,rai,CarrDe02,fumbles,0,,,,,
player,201411300ram,rai,CarrDe02,fumbles_lost,0,,,,,
player,201411300ram,rai,SchaMa00,pass_cmp,5,,,,,
player,201411300ram,rai,SchaMa00,pass_att,9,,,,,
player,201411300ram,rai,SchaMa00,pass_yds,57,,,,,
player,201411300ram,rai,SchaMa00,pass_td,0,,,,,
player,201411300ram,rai,SchaMa00,pass_int,1,,,,,
player,201411300ram,rai,SchaMa00,pass_sacked,3,,,,,
player,201411300ram,rai,SchaMa00,pass_sacked_yds,24,,,,,
player,201411300ram,rai,SchaMa00,pass_long,16,,,,,
player,201411300ram,rai,SchaMa00,pass_rating,35.2,,,,,
player,201411300ram,rai,SchaMa00,rush_att,0,,,,,
player,201411300ram,rai,SchaMa00,rush_yds,0,,,,,
player,201411300ram,rai,SchaMa00,rush_td,0,,,,,
player,201411300ram,rai,SchaMa00,rush_long,0,,,,,
player,201411300ram,rai,SchaMa00,targets,0,,,,,
player,201411300ram,rai,SchaMa00,rec,0,,,,,
player,201411300ram,rai,SchaMa00,rec_yds,0,,,,,
player,201411300ram,rai,SchaMa00,rec_td,0,,,,,
player,201411300ram,rai,SchaMa00,rec_long,0,,,,,
player,201411300ram,rai,SchaMa00,fumbles,2,,,,,
player,201411300ram,rai,SchaMa00,fumbles_lost,1,,,,,
player,201411300ram,rai,McFaDa00,pass_cmp,0,,,,,
player,201411300ram,rai,McFaDa00,pass_att,0,,,,,
player,201411300ram,rai,McFaDa00,pass_yds,0,,,,,
player,201411300ram,rai,McFaDa00,pass_td,0,,,,,
player,201411300ram,rai,McFaDa00,pass_int,0,,,,,
player,201411300ram,rai,McFaDa00,pass_sacked,,,,,,
player,201411300ram,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201411300ram,rai,McFaDa00,pass_long,0,,,,,
player,201411300ram,rai,McFaDa00,pass_rating,,,,,,
player,201411300ram,rai,McFaDa00,rush_att,11,,,,,
player,201411300ram,rai,McFaDa00,rush_yds,27,,,,,
player,201411300ram,rai,McFaDa00,rush_td,0,,,,,
player,201411300ram,rai,McFaDa00,rush_long,7,,,,,
player,201411300ram,rai,McFaDa00,targets,2,,,,,
player,201411300ram,rai,McFaDa00,rec,2,,,,,
player,201411300ram,rai,McFaDa00,rec_yds,18,,,,,
player,201411300ram,rai,McFaDa00,rec_td,0,,,,,
player,201411300ram,rai,McFaDa00,rec_long,13,,,,,
player,201411300ram,rai,McFaDa00,fumbles,0,,,,,
player,201411300ram,rai,McFaDa00,fumbles_lost,0,,,,,
player,201411300ram,rai,DrewMa00,pass_cmp,0,,,,,
player,201411300ram,rai,DrewMa00,pass_att,0,,,,,
player,201411300ram,rai,DrewMa00,pass_yds,0,,,,,
player,201411300ram,rai,DrewMa00,pass_td,0,,,,,
player,201411300ram,rai,DrewMa00,pass_int,0,,,,,
player,201411300ram,rai,DrewMa00,pass_sacked,,,,,,
player,201411300ram,rai,DrewMa00,pass_sacked_yds,0,,,,,
player,201411300ram,rai,DrewMa00,pass_long,0,,,,,
player,201411300ram,rai,DrewMa00,pass_rating,,,,,,
player,201411300ram,rai,DrewMa00,rush_att,5,,,,,
