game,2014,7,20141019,201410190ram,sea,"Seattle Seahawks",26,ram,"St. Louis Rams",28
team,201410190ram,sea,First Downs,25,,,,,,
team,201410190ram,ram,First Downs,18,,,,,,
team,201410190ram,sea,Rush-Yds-TDs,29-171-1,,,,,,
team,201410190ram,ram,Rush-Yds-TDs,27-102-1,,,,,,
team,201410190ram,sea,Cmp-Att-Yd-TD-INT,23-36-313-2-0,,,,,,
team,201410190ram,ram,Cmp-Att-Yd-TD-INT,18-21-173-2-0,,,,,,
team,201410190ram,sea,Sacked-Yards,3-21,,,,,,
team,201410190ram,ram,Sacked-Yards,0-0,,,,,,
team,201410190ram,sea,Net Pass Yards,292,,,,,,
team,201410190ram,ram,Net Pass Yards,173,,,,,,
team,201410190ram,sea,Total Yards,463,,,,,,
team,201410190ram,ram,Total Yards,275,,,,,,
team,201410190ram,sea,Fumbles-Lost,0-0,,,,,,
team,201410190ram,ram,Fumbles-Lost,1-0,,,,,,
team,201410190ram,sea,Turnovers,0,,,,,,
team,201410190ram,ram,Turnovers,0,,,,,,
team,201410190ram,sea,Penalties-Yards,10-86,,,,,,
team,201410190ram,ram,Penalties-Yards,2-20,,,,,,
team,201410190ram,sea,Third Down Conv.,6-12,,,,,,
team,201410190ram,ram,Third Down Conv.,4-9,,,,,,
team,201410190ram,sea,Fourth Down Conv.,0-0,,,,,,
team,201410190ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201410190ram,sea,Time of Possession,32:24,,,,,,
team,201410190ram,ram,Time of Possession,27:36,,,,,,
player,201410190ram,sea,WilsRu00,pass_cmp,23,,,,,
player,201410190ram,sea,WilsRu00,pass_att,36,,,,,
player,201410190ram,sea,WilsRu00,pass_yds,313,,,,,
player,201410190ram,sea,WilsRu00,pass_td,2,,,,,
player,201410190ram,sea,WilsRu00,pass_int,0,,,,,
player,201410190ram,sea,WilsRu00,pass_sacked,3,,,,,
player,201410190ram,sea,WilsRu00,pass_sacked_yds,21,,,,,
player,201410190ram,sea,WilsRu00,pass_long,49,,,,,
player,201410190ram,sea,WilsRu00,pass_rating,110.1,,,,,
player,201410190ram,sea,WilsRu00,rush_att,7,,,,,
player,201410190ram,sea,WilsRu00,rush_yds,106,,,,,
player,201410190ram,sea,WilsRu00,rush_td,1,,,,,
player,201410190ram,sea,WilsRu00,rush_long,52,,,,,
player,201410190ram,sea,WilsRu00,targets,0,,,,,
player,201410190ram,sea,WilsRu00,rec,0,,,,,
player,201410190ram,sea,WilsRu00,rec_yds,0,,,,,
player,201410190ram,sea,WilsRu00,rec_td,0,,,,,
player,201410190ram,sea,WilsRu00,rec_long,0,,,,,
player,201410190ram,sea,WilsRu00,fumbles,0,,,,,
player,201410190ram,sea,WilsRu00,fumbles_lost,0,,,,,
player,201410190ram,sea,LyncMa00,pass_cmp,0,,,,,
player,201410190ram,sea,LyncMa00,pass_att,0,,,,,
player,201410190ram,sea,LyncMa00,pass_yds,0,,,,,
player,201410190ram,sea,LyncMa00,pass_td,0,,,,,
player,201410190ram,sea,LyncMa00,pass_int,0,,,,,
player,201410190ram,sea,LyncMa00,pass_sacked,0,,,,,
player,201410190ram,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201410190ram,sea,LyncMa00,pass_long,0,,,,,
player,201410190ram,sea,LyncMa00,pass_rating,,,,,,
player,201410190ram,sea,LyncMa00,rush_att,18,,,,,
player,201410190ram,sea,LyncMa00,rush_yds,53,,,,,
player,201410190ram,sea,LyncMa00,rush_td,0,,,,,
player,201410190ram,sea,LyncMa00,rush_long,13,,,,,
player,201410190ram,sea,LyncMa00,targets,2,,,,,
player,201410190ram,sea,LyncMa00,rec,2,,,,,
player,201410190ram,sea,LyncMa00,rec_yds,18,,,,,
player,201410190ram,sea,LyncMa00,rec_td,0,,,,,
player,201410190ram,sea,LyncMa00,rec_long,12,,,,,
player,201410190ram,sea,LyncMa00,fumbles,0,,,,,
player,201410190ram,sea,LyncMa00,fumbles_lost,0,,,,,
player,201410190ram,sea,TurbRo00,pass_cmp,0,,,,,
player,201410190ram,sea,TurbRo00,pass_att,0,,,,,
player,201410190ram,sea,TurbRo00,pass_yds,0,,,,,
player,201410190ram,sea,TurbRo00,pass_td,0,,,,,
player,201410190ram,sea,TurbRo00,pass_int,0,,,,,
player,201410190ram,sea,TurbRo00,pass_sacked,0,,,,,
player,201410190ram,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201410190ram,sea,TurbRo00,pass_long,0,,,,,
player,201410190ram,sea,TurbRo00,pass_rating,,,,,,
player,201410190ram,sea,TurbRo00,rush_att,2,,,,,
player,201410190ram,sea,TurbRo00,rush_yds,7,,,,,
