game,2014,5,20141005,201410050dal,htx,"Houston Texans",17,dal,"Dallas Cowboys",20
team,201410050dal,htx,First Downs,15,,,,,,
team,201410050dal,dal,First Downs,24,,,,,,
team,201410050dal,htx,Rush-Yds-TDs,31-176-2,,,,,,
team,201410050dal,dal,Rush-Yds-TDs,33-140-0,,,,,,
team,201410050dal,htx,Cmp-Att-Yd-TD-INT,16-25-154-0-1,,,,,,
team,201410050dal,dal,Cmp-Att-Yd-TD-INT,28-41-324-2-1,,,,,,
team,201410050dal,htx,Sacked-Yards,0-0,,,,,,
team,201410050dal,dal,Sacked-Yards,1-8,,,,,,
team,201410050dal,htx,Net Pass Yards,154,,,,,,
team,201410050dal,dal,Net Pass Yards,316,,,,,,
team,201410050dal,htx,Total Yards,330,,,,,,
team,201410050dal,dal,Total Yards,456,,,,,,
team,201410050dal,htx,Fumbles-Lost,0-0,,,,,,
team,201410050dal,dal,Fumbles-Lost,2-2,,,,,,
team,201410050dal,htx,Turnovers,1,,,,,,
team,201410050dal,dal,Turnovers,3,,,,,,
team,201410050dal,htx,Penalties-Yards,5-35,,,,,,
team,201410050dal,dal,Penalties-Yards,7-56,,,,,,
team,201410050dal,htx,Third Down Conv.,4-13,,,,,,
team,201410050dal,dal,Third Down Conv.,8-14,,,,,,
team,201410050dal,htx,Fourth Down Conv.,1-1,,,,,,
team,201410050dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201410050dal,htx,Time of Possession,31:08,,,,,,
team,201410050dal,dal,Time of Possession,36:07,,,,,,
player,201410050dal,htx,FitzRy00,pass_cmp,16,,,,,
player,201410050dal,htx,FitzRy00,pass_att,25,,,,,
player,201410050dal,htx,FitzRy00,pass_yds,154,,,,,
player,201410050dal,htx,FitzRy00,pass_td,0,,,,,
player,201410050dal,htx,FitzRy00,pass_int,1,,,,,
player,201410050dal,htx,FitzRy00,pass_sacked,0,,,,,
player,201410050dal,htx,FitzRy00,pass_sacked_yds,0,,,,,
player,201410050dal,htx,FitzRy00,pass_long,20,,,,,
player,201410050dal,htx,FitzRy00,pass_rating,64.4,,,,,
player,201410050dal,htx,FitzRy00,rush_att,3,,,,,
