game,2014,4,20140928,201409280chi,gnb,"Green Bay Packers",38,chi,"Chicago Bears",17
team,201409280chi,gnb,First Downs,21,,,,,,
team,201409280chi,chi,First Downs,33,,,,,,
team,201409280chi,gnb,Rush-Yds-TDs,18-56-1,,,,,,
team,201409280chi,chi,Rush-Yds-TDs,41-235-0,,,,,,
team,201409280chi,gnb,Cmp-Att-Yd-TD-INT,22-28-302-4-0,,,,,,
team,201409280chi,chi,Cmp-Att-Yd-TD-INT,23-35-265-2-2,,,,,,
team,201409280chi,gnb,Sacked-Yards,1-0,,,,,,
team,201409280chi,chi,Sacked-Yards,1-4,,,,,,
team,201409280chi,gnb,Net Pass Yards,302,,,,,,
team,201409280chi,chi,Net Pass Yards,261,,,,,,
team,201409280chi,gnb,Total Yards,358,,,,,,
team,201409280chi,chi,Total Yards,496,,,,,,
team,201409280chi,gnb,Fumbles-Lost,0-0,,,,,,
team,201409280chi,chi,Fumbles-Lost,3-0,,,,,,
team,201409280chi,gnb,Turnovers,0,,,,,,
team,201409280chi,chi,Turnovers,2,,,,,,
team,201409280chi,gnb,Penalties-Yards,9-70,,,,,,
team,201409280chi,chi,Penalties-Yards,6-46,,,,,,
team,201409280chi,gnb,Third Down Conv.,4-8,,,,,,
team,201409280chi,chi,Third Down Conv.,7-11,,,,,,
team,201409280chi,gnb,Fourth Down Conv.,0-0,,,,,,
team,201409280chi,chi,Fourth Down Conv.,2-3,,,,,,
team,201409280chi,gnb,Time of Possession,23:38,,,,,,
team,201409280chi,chi,Time of Possession,36:22,,,,,,
player,201409280chi,gnb,RodgAa00,pass_cmp,22,,,,,
player,201409280chi,gnb,RodgAa00,pass_att,28,,,,,
player,201409280chi,gnb,RodgAa00,pass_yds,302,,,,,
player,201409280chi,gnb,RodgAa00,pass_td,4,,,,,
player,201409280chi,gnb,RodgAa00,pass_int,0,,,,,
player,201409280chi,gnb,RodgAa00,pass_sacked,1,,,,,
player,201409280chi,gnb,RodgAa00,pass_sacked_yds,0,,,,,
player,201409280chi,gnb,RodgAa00,pass_long,46,,,,,
player,201409280chi,gnb,RodgAa00,pass_rating,151.2,,,,,
player,201409280chi,gnb,RodgAa00,rush_att,1,,,,,
player,201409280chi,gnb,RodgAa00,rush_yds,8,,,,,
player,201409280chi,gnb,RodgAa00,rush_td,0,,,,,
player,201409280chi,gnb,RodgAa00,rush_long,8,,,,,
player,201409280chi,gnb,RodgAa00,targets,0,,,,,
player,201409280chi,gnb,RodgAa00,rec,0,,,,,
player,201409280chi,gnb,RodgAa00,rec_yds,0,,,,,
player,201409280chi,gnb,RodgAa00,rec_td,0,,,,,
player,201409280chi,gnb,RodgAa00,rec_long,0,,,,,
player,201409280chi,gnb,RodgAa00,fumbles,0,,,,,
player,201409280chi,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_cmp,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_att,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_yds,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_td,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_int,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_sacked,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_long,0,,,,,
player,201409280chi,gnb,LacyEd00,pass_rating,,,,,,
player,201409280chi,gnb,LacyEd00,rush_att,17,,,,,
player,201409280chi,gnb,LacyEd00,rush_yds,48,,,,,
player,201409280chi,gnb,LacyEd00,rush_td,1,,,,,
