game,2014,11,20141116,201411160was,tam,"Tampa Bay Buccaneers",27,was,"Washington Redskins",7
team,201411160was,tam,First Downs,12,,,,,,
team,201411160was,was,First Downs,20,,,,,,
team,201411160was,tam,Rush-Yds-TDs,21-48-0,,,,,,
team,201411160was,was,Rush-Yds-TDs,31-155-0,,,,,,
team,201411160was,tam,Cmp-Att-Yd-TD-INT,15-23-288-2-0,,,,,,
team,201411160was,was,Cmp-Att-Yd-TD-INT,23-32-207-1-2,,,,,,
team,201411160was,tam,Sacked-Yards,2-7,,,,,,
team,201411160was,was,Sacked-Yards,6-40,,,,,,
team,201411160was,tam,Net Pass Yards,281,,,,,,
team,201411160was,was,Net Pass Yards,167,,,,,,
team,201411160was,tam,Total Yards,329,,,,,,
team,201411160was,was,Total Yards,322,,,,,,
team,201411160was,tam,Fumbles-Lost,2-1,,,,,,
team,201411160was,was,Fumbles-Lost,4-1,,,,,,
team,201411160was,tam,Turnovers,1,,,,,,
team,201411160was,was,Turnovers,3,,,,,,
team,201411160was,tam,Penalties-Yards,11-101,,,,,,
team,201411160was,was,Penalties-Yards,9-67,,,,,,
team,201411160was,tam,Third Down Conv.,3-10,,,,,,
team,201411160was,was,Third Down Conv.,4-13,,,,,,
team,201411160was,tam,Fourth Down Conv.,0-0,,,,,,
team,201411160was,was,Fourth Down Conv.,1-1,,,,,,
team,201411160was,tam,Time of Possession,25:49,,,,,,
team,201411160was,was,Time of Possession,34:11,,,,,,
player,201411160was,tam,McCoJo01,pass_cmp,15,,,,,
player,201411160was,tam,McCoJo01,pass_att,23,,,,,
player,201411160was,tam,McCoJo01,pass_yds,288,,,,,
player,201411160was,tam,McCoJo01,pass_td,2,,,,,
player,201411160was,tam,McCoJo01,pass_int,0,,,,,
player,201411160was,tam,McCoJo01,pass_sacked,2,,,,,
player,201411160was,tam,McCoJo01,pass_sacked_yds,7,,,,,
player,201411160was,tam,McCoJo01,pass_long,56,,,,,
player,201411160was,tam,McCoJo01,pass_rating,137.5,,,,,
player,201411160was,tam,McCoJo01,rush_att,3,,,,,
player,201411160was,tam,McCoJo01,rush_yds,8,,,,,
player,201411160was,tam,McCoJo01,rush_td,0,,,,,
player,201411160was,tam,McCoJo01,rush_long,5,,,,,
player,201411160was,tam,McCoJo01,targets,0,,,,,
player,201411160was,tam,McCoJo01,rec,0,,,,,
player,201411160was,tam,McCoJo01,rec_yds,0,,,,,
player,201411160was,tam,McCoJo01,rec_td,0,,,,,
player,201411160was,tam,McCoJo01,rec_long,0,,,,,
player,201411160was,tam,McCoJo01,fumbles,1,,,,,
player,201411160was,tam,McCoJo01,fumbles_lost,0,,,,,
player,201411160was,tam,SimsCh00,pass_cmp,0,,,,,
player,201411160was,tam,SimsCh00,pass_att,0,,,,,
player,201411160was,tam,SimsCh00,pass_yds,0,,,,,
player,201411160was,tam,SimsCh00,pass_td,0,,,,,
player,201411160was,tam,SimsCh00,pass_int,0,,,,,
player,201411160was,tam,SimsCh00,pass_sacked,0,,,,,
player,201411160was,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201411160was,tam,SimsCh00,pass_long,0,,,,,
player,201411160was,tam,SimsCh00,pass_rating,,,,,,
player,201411160was,tam,SimsCh00,rush_att,13,,,,,
player,201411160was,tam,SimsCh00,rush_yds,36,,,,,
player,201411160was,tam,SimsCh00,rush_td,0,,,,,
player,201411160was,tam,SimsCh00,rush_long,12,,,,,
player,201411160was,tam,SimsCh00,targets,4,,,,,
player,201411160was,tam,SimsCh00,rec,3,,,,,
player,201411160was,tam,SimsCh00,rec_yds,8,,,,,
player,201411160was,tam,SimsCh00,rec_td,0,,,,,
player,201411160was,tam,SimsCh00,rec_long,4,,,,,
