game,2014,16,20141221,201412210htx,rav,"Baltimore Ravens",13,htx,"Houston Texans",25
team,201412210htx,rav,First Downs,15,,,,,,
team,201412210htx,htx,First Downs,18,,,,,,
team,201412210htx,rav,Rush-Yds-TDs,16-33-0,,,,,,
team,201412210htx,htx,Rush-Yds-TDs,38-123-0,,,,,,
team,201412210htx,rav,Cmp-Att-Yd-TD-INT,21-50-195-2-3,,,,,,
team,201412210htx,htx,Cmp-Att-Yd-TD-INT,21-43-190-1-1,,,,,,
team,201412210htx,rav,Sacked-Yards,2-17,,,,,,
team,201412210htx,htx,Sacked-Yards,0-0,,,,,,
team,201412210htx,rav,Net Pass Yards,178,,,,,,
team,201412210htx,htx,Net Pass Yards,190,,,,,,
team,201412210htx,rav,Total Yards,211,,,,,,
team,201412210htx,htx,Total Yards,313,,,,,,
team,201412210htx,rav,Fumbles-Lost,1-0,,,,,,
team,201412210htx,htx,Fumbles-Lost,1-0,,,,,,
team,201412210htx,rav,Turnovers,3,,,,,,
team,201412210htx,htx,Turnovers,1,,,,,,
team,201412210htx,rav,Penalties-Yards,7-56,,,,,,
team,201412210htx,htx,Penalties-Yards,7-69,,,,,,
team,201412210htx,rav,Third Down Conv.,4-15,,,,,,
team,201412210htx,htx,Third Down Conv.,7-21,,,,,,
team,201412210htx,rav,Fourth Down Conv.,0-2,,,,,,
team,201412210htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201412210htx,rav,Time of Possession,25:02,,,,,,
team,201412210htx,htx,Time of Possession,34:58,,,,,,
player,201412210htx,rav,FlacJo00,pass_cmp,21,,,,,
player,201412210htx,rav,FlacJo00,pass_att,50,,,,,
player,201412210htx,rav,FlacJo00,pass_yds,195,,,,,
player,201412210htx,rav,FlacJo00,pass_td,2,,,,,
player,201412210htx,rav,FlacJo00,pass_int,3,,,,,
player,201412210htx,rav,FlacJo00,pass_sacked,2,,,,,
player,201412210htx,rav,FlacJo00,pass_sacked_yds,17,,,,,
player,201412210htx,rav,FlacJo00,pass_long,20,,,,,
player,201412210htx,rav,FlacJo00,pass_rating,41.7,,,,,
player,201412210htx,rav,FlacJo00,rush_att,1,,,,,
player,201412210htx,rav,FlacJo00,rush_yds,5,,,,,
player,201412210htx,rav,FlacJo00,rush_td,0,,,,,
player,201412210htx,rav,FlacJo00,rush_long,5,,,,,
player,201412210htx,rav,FlacJo00,targets,0,,,,,
player,201412210htx,rav,FlacJo00,rec,0,,,,,
player,201412210htx,rav,FlacJo00,rec_yds,0,,,,,
player,201412210htx,rav,FlacJo00,rec_td,0,,,,,
player,201412210htx,rav,FlacJo00,rec_long,0,,,,,
player,201412210htx,rav,FlacJo00,fumbles,1,,,,,
player,201412210htx,rav,FlacJo00,fumbles_lost,0,,,,,
player,201412210htx,rav,ForsJu00,pass_cmp,0,,,,,
player,201412210htx,rav,ForsJu00,pass_att,0,,,,,
