game,2014,11,20141116,201411160gnb,phi,"Philadelphia Eagles",20,gnb,"Green Bay Packers",53
team,201411160gnb,phi,First Downs,22,,,,,,
team,201411160gnb,gnb,First Downs,25,,,,,,
team,201411160gnb,phi,Rush-Yds-TDs,31-109-0,,,,,,
team,201411160gnb,gnb,Rush-Yds-TDs,25-110-1,,,,,,
team,201411160gnb,phi,Cmp-Att-Yd-TD-INT,26-44-346-2-2,,,,,,
team,201411160gnb,gnb,Cmp-Att-Yd-TD-INT,24-38-367-3-0,,,,,,
team,201411160gnb,phi,Sacked-Yards,3-26,,,,,,
team,201411160gnb,gnb,Sacked-Yards,1-2,,,,,,
team,201411160gnb,phi,Net Pass Yards,320,,,,,,
team,201411160gnb,gnb,Net Pass Yards,365,,,,,,
team,201411160gnb,phi,Total Yards,429,,,,,,
team,201411160gnb,gnb,Total Yards,475,,,,,,
team,201411160gnb,phi,Fumbles-Lost,4-2,,,,,,
team,201411160gnb,gnb,Fumbles-Lost,2-0,,,,,,
team,201411160gnb,phi,Turnovers,4,,,,,,
team,201411160gnb,gnb,Turnovers,0,,,,,,
team,201411160gnb,phi,Penalties-Yards,6-53,,,,,,
team,201411160gnb,gnb,Penalties-Yards,4-52,,,,,,
team,201411160gnb,phi,Third Down Conv.,5-15,,,,,,
team,201411160gnb,gnb,Third Down Conv.,8-14,,,,,,
team,201411160gnb,phi,Fourth Down Conv.,2-3,,,,,,
team,201411160gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201411160gnb,phi,Time of Possession,27:18,,,,,,
team,201411160gnb,gnb,Time of Possession,32:42,,,,,,
player,201411160gnb,phi,SancMa00,pass_cmp,26,,,,,
player,201411160gnb,phi,SancMa00,pass_att,44,,,,,
player,201411160gnb,phi,SancMa00,pass_yds,346,,,,,
player,201411160gnb,phi,SancMa00,pass_td,2,,,,,
player,201411160gnb,phi,SancMa00,pass_int,2,,,,,
player,201411160gnb,phi,SancMa00,pass_sacked,3,,,,,
player,201411160gnb,phi,SancMa00,pass_sacked_yds,26,,,,,
player,201411160gnb,phi,SancMa00,pass_long,40,,,,,
player,201411160gnb,phi,SancMa00,pass_rating,80.3,,,,,
