game,2014,3,20140921,201409210crd,sfo,"San Francisco 49ers",14,crd,"Arizona Cardinals",23
team,201409210crd,sfo,First Downs,20,,,,,,
team,201409210crd,crd,First Downs,24,,,,,,
team,201409210crd,sfo,Rush-Yds-TDs,23-82-1,,,,,,
team,201409210crd,crd,Rush-Yds-TDs,27-84-0,,,,,,
team,201409210crd,sfo,Cmp-Att-Yd-TD-INT,29-37-245-1-0,,,,,,
team,201409210crd,crd,Cmp-Att-Yd-TD-INT,19-34-254-2-0,,,,,,
team,201409210crd,sfo,Sacked-Yards,1-9,,,,,,
team,201409210crd,crd,Sacked-Yards,0-0,,,,,,
team,201409210crd,sfo,Net Pass Yards,236,,,,,,
team,201409210crd,crd,Net Pass Yards,254,,,,,,
team,201409210crd,sfo,Total Yards,318,,,,,,
team,201409210crd,crd,Total Yards,338,,,,,,
team,201409210crd,sfo,Fumbles-Lost,0-0,,,,,,
team,201409210crd,crd,Fumbles-Lost,1-1,,,,,,
team,201409210crd,sfo,Turnovers,0,,,,,,
team,201409210crd,crd,Turnovers,1,,,,,,
team,201409210crd,sfo,Penalties-Yards,9-107,,,,,,
team,201409210crd,crd,Penalties-Yards,5-36,,,,,,
team,201409210crd,sfo,Third Down Conv.,6-12,,,,,,
team,201409210crd,crd,Third Down Conv.,8-13,,,,,,
team,201409210crd,sfo,Fourth Down Conv.,1-1,,,,,,
team,201409210crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201409210crd,sfo,Time of Possession,32:20,,,,,,
team,201409210crd,crd,Time of Possession,27:40,,,,,,
player,201409210crd,sfo,KaepCo00,pass_cmp,29,,,,,
player,201409210crd,sfo,KaepCo00,pass_att,37,,,,,
player,201409210crd,sfo,KaepCo00,pass_yds,245,,,,,
player,201409210crd,sfo,KaepCo00,pass_td,1,,,,,
player,201409210crd,sfo,KaepCo00,pass_int,0,,,,,
player,201409210crd,sfo,KaepCo00,pass_sacked,1,,,,,
player,201409210crd,sfo,KaepCo00,pass_sacked_yds,9,,,,,
player,201409210crd,sfo,KaepCo00,pass_long,32,,,,,
player,201409210crd,sfo,KaepCo00,pass_rating,103.3,,,,,
player,201409210crd,sfo,KaepCo00,rush_att,12,,,,,
player,201409210crd,sfo,KaepCo00,rush_yds,54,,,,,
player,201409210crd,sfo,KaepCo00,rush_td,0,,,,,
player,201409210crd,sfo,KaepCo00,rush_long,10,,,,,
player,201409210crd,sfo,KaepCo00,targets,0,,,,,
player,201409210crd,sfo,KaepCo00,rec,0,,,,,
player,201409210crd,sfo,KaepCo00,rec_yds,0,,,,,
player,201409210crd,sfo,KaepCo00,rec_td,0,,,,,
player,201409210crd,sfo,KaepCo00,rec_long,0,,,,,
player,201409210crd,sfo,KaepCo00,fumbles,0,,,,,
player,201409210crd,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_cmp,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_att,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_yds,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_td,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_int,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_sacked,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_long,0,,,,,
player,201409210crd,sfo,HydeCa00,pass_rating,,,,,,
player,201409210crd,sfo,HydeCa00,rush_att,3,,,,,
player,201409210crd,sfo,HydeCa00,rush_yds,13,,,,,
player,201409210crd,sfo,HydeCa00,rush_td,1,,,,,
player,201409210crd,sfo,HydeCa00,rush_long,6,,,,,
player,201409210crd,sfo,HydeCa00,targets,2,,,,,
player,201409210crd,sfo,HydeCa00,rec,2,,,,,
player,201409210crd,sfo,HydeCa00,rec_yds,-2,,,,,
player,201409210crd,sfo,HydeCa00,rec_td,0,,,,,
player,201409210crd,sfo,HydeCa00,rec_long,1,,,,,
player,201409210crd,sfo,HydeCa00,fumbles,0,,,,,
player,201409210crd,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_cmp,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_att,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_yds,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_td,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_int,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_sacked,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_long,0,,,,,
player,201409210crd,sfo,GoreFr00,pass_rating,,,,,,
player,201409210crd,sfo,GoreFr00,rush_att,6,,,,,
player,201409210crd,sfo,GoreFr00,rush_yds,10,,,,,
player,201409210crd,sfo,GoreFr00,rush_td,0,,,,,
player,201409210crd,sfo,GoreFr00,rush_long,4,,,,,
player,201409210crd,sfo,GoreFr00,targets,0,,,,,
player,201409210crd,sfo,GoreFr00,rec,0,,,,,
player,201409210crd,sfo,GoreFr00,rec_yds,0,,,,,
player,201409210crd,sfo,GoreFr00,rec_td,0,,,,,
player,201409210crd,sfo,GoreFr00,rec_long,0,,,,,
player,201409210crd,sfo,GoreFr00,fumbles,0,,,,,
player,201409210crd,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_cmp,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_att,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_yds,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_td,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_int,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_sacked,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_long,0,,,,,
player,201409210crd,sfo,CrabMi00,pass_rating,,,,,,
player,201409210crd,sfo,CrabMi00,rush_att,1,,,,,
player,201409210crd,sfo,CrabMi00,rush_yds,4,,,,,
player,201409210crd,sfo,CrabMi00,rush_td,0,,,,,
player,201409210crd,sfo,CrabMi00,rush_long,4,,,,,
player,201409210crd,sfo,CrabMi00,targets,11,,,,,
player,201409210crd,sfo,CrabMi00,rec,10,,,,,
player,201409210crd,sfo,CrabMi00,rec_yds,80,,,,,
player,201409210crd,sfo,CrabMi00,rec_td,1,,,,,
player,201409210crd,sfo,CrabMi00,rec_long,20,,,,,
player,201409210crd,sfo,CrabMi00,fumbles,0,,,,,
player,201409210crd,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_cmp,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_att,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_yds,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_td,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_int,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_sacked,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_sacked_yds,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_long,0,,,,,
player,201409210crd,sfo,ElliBr00,pass_rating,,,,,,
player,201409210crd,sfo,ElliBr00,rush_att,1,,,,,
player,201409210crd,sfo,ElliBr00,rush_yds,1,,,,,
player,201409210crd,sfo,ElliBr00,rush_td,0,,,,,
player,201409210crd,sfo,ElliBr00,rush_long,1,,,,,
player,201409210crd,sfo,ElliBr00,targets,1,,,,,
