game,2014,14,20141207,201412070was,ram,"St. Louis Rams",24,was,"Washington Redskins",0
team,201412070was,ram,First Downs,19,,,,,,
team,201412070was,was,First Downs,13,,,,,,
team,201412070was,ram,Rush-Yds-TDs,30-131-0,,,,,,
team,201412070was,was,Rush-Yds-TDs,12-27-0,,,,,,
team,201412070was,ram,Cmp-Att-Yd-TD-INT,16-22-213-2-0,,,,,,
team,201412070was,was,Cmp-Att-Yd-TD-INT,23-36-232-0-2,,,,,,
team,201412070was,ram,Sacked-Yards,4-15,,,,,,
team,201412070was,was,Sacked-Yards,7-53,,,,,,
team,201412070was,ram,Net Pass Yards,198,,,,,,
team,201412070was,was,Net Pass Yards,179,,,,,,
team,201412070was,ram,Total Yards,329,,,,,,
team,201412070was,was,Total Yards,206,,,,,,
team,201412070was,ram,Fumbles-Lost,2-0,,,,,,
team,201412070was,was,Fumbles-Lost,2-0,,,,,,
team,201412070was,ram,Turnovers,0,,,,,,
team,201412070was,was,Turnovers,2,,,,,,
team,201412070was,ram,Penalties-Yards,11-98,,,,,,
team,201412070was,was,Penalties-Yards,5-51,,,,,,
team,201412070was,ram,Third Down Conv.,6-12,,,,,,
team,201412070was,was,Third Down Conv.,3-12,,,,,,
team,201412070was,ram,Fourth Down Conv.,0-0,,,,,,
team,201412070was,was,Fourth Down Conv.,0-3,,,,,,
team,201412070was,ram,Time of Possession,32:49,,,,,,
team,201412070was,was,Time of Possession,27:11,,,,,,
player,201412070was,ram,HillSh00,pass_cmp,16,,,,,
player,201412070was,ram,HillSh00,pass_att,22,,,,,
player,201412070was,ram,HillSh00,pass_yds,213,,,,,
player,201412070was,ram,HillSh00,pass_td,2,,,,,
player,201412070was,ram,HillSh00,pass_int,0,,,,,
player,201412070was,ram,HillSh00,pass_sacked,4,,,,,
player,201412070was,ram,HillSh00,pass_sacked_yds,15,,,,,
player,201412070was,ram,HillSh00,pass_long,41,,,,,
player,201412070was,ram,HillSh00,pass_rating,133.3,,,,,
player,201412070was,ram,HillSh00,rush_att,2,,,,,
player,201412070was,ram,HillSh00,rush_yds,-1,,,,,
player,201412070was,ram,HillSh00,rush_td,0,,,,,
player,201412070was,ram,HillSh00,rush_long,0,,,,,
player,201412070was,ram,HillSh00,targets,0,,,,,
player,201412070was,ram,HillSh00,rec,0,,,,,
player,201412070was,ram,HillSh00,rec_yds,0,,,,,
player,201412070was,ram,HillSh00,rec_td,0,,,,,
player,201412070was,ram,HillSh00,rec_long,0,,,,,
player,201412070was,ram,HillSh00,fumbles,2,,,,,
player,201412070was,ram,HillSh00,fumbles_lost,0,,,,,
player,201412070was,ram,MasoTr00,pass_cmp,0,,,,,
player,201412070was,ram,MasoTr00,pass_att,0,,,,,
player,201412070was,ram,MasoTr00,pass_yds,0,,,,,
player,201412070was,ram,MasoTr00,pass_td,0,,,,,
player,201412070was,ram,MasoTr00,pass_int,0,,,,,
player,201412070was,ram,MasoTr00,pass_sacked,0,,,,,
player,201412070was,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201412070was,ram,MasoTr00,pass_long,0,,,,,
player,201412070was,ram,MasoTr00,pass_rating,,,,,,
player,201412070was,ram,MasoTr00,rush_att,20,,,,,
player,201412070was,ram,MasoTr00,rush_yds,66,,,,,
player,201412070was,ram,MasoTr00,rush_td,0,,,,,
player,201412070was,ram,MasoTr00,rush_long,15,,,,,
player,201412070was,ram,MasoTr00,targets,2,,,,,
player,201412070was,ram,MasoTr00,rec,0,,,,,
player,201412070was,ram,MasoTr00,rec_yds,0,,,,,
player,201412070was,ram,MasoTr00,rec_td,0,,,,,
player,201412070was,ram,MasoTr00,rec_long,0,,,,,
player,201412070was,ram,MasoTr00,fumbles,0,,,,,
player,201412070was,ram,MasoTr00,fumbles_lost,0,,,,,
player,201412070was,ram,AustTa00,pass_cmp,0,,,,,
player,201412070was,ram,AustTa00,pass_att,0,,,,,
player,201412070was,ram,AustTa00,pass_yds,0,,,,,
player,201412070was,ram,AustTa00,pass_td,0,,,,,
player,201412070was,ram,AustTa00,pass_int,0,,,,,
player,201412070was,ram,AustTa00,pass_sacked,0,,,,,
player,201412070was,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201412070was,ram,AustTa00,pass_long,0,,,,,
player,201412070was,ram,AustTa00,pass_rating,,,,,,
player,201412070was,ram,AustTa00,rush_att,5,,,,,
player,201412070was,ram,AustTa00,rush_yds,46,,,,,
player,201412070was,ram,AustTa00,rush_td,0,,,,,
player,201412070was,ram,AustTa00,rush_long,18,,,,,
player,201412070was,ram,AustTa00,targets,2,,,,,
player,201412070was,ram,AustTa00,rec,2,,,,,
player,201412070was,ram,AustTa00,rec_yds,14,,,,,
player,201412070was,ram,AustTa00,rec_td,0,,,,,
player,201412070was,ram,AustTa00,rec_long,9,,,,,
player,201412070was,ram,AustTa00,fumbles,0,,,,,
player,201412070was,ram,AustTa00,fumbles_lost,0,,,,,
player,201412070was,ram,CunnBe01,pass_cmp,0,,,,,
player,201412070was,ram,CunnBe01,pass_att,0,,,,,
player,201412070was,ram,CunnBe01,pass_yds,0,,,,,
player,201412070was,ram,CunnBe01,pass_td,0,,,,,
player,201412070was,ram,CunnBe01,pass_int,0,,,,,
player,201412070was,ram,CunnBe01,pass_sacked,0,,,,,
player,201412070was,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201412070was,ram,CunnBe01,pass_long,0,,,,,
player,201412070was,ram,CunnBe01,pass_rating,,,,,,
player,201412070was,ram,CunnBe01,rush_att,3,,,,,
player,201412070was,ram,CunnBe01,rush_yds,20,,,,,
player,201412070was,ram,CunnBe01,rush_td,0,,,,,
player,201412070was,ram,CunnBe01,rush_long,20,,,,,
player,201412070was,ram,CunnBe01,targets,5,,,,,
player,201412070was,ram,CunnBe01,rec,5,,,,,
player,201412070was,ram,CunnBe01,rec_yds,28,,,,,
player,201412070was,ram,CunnBe01,rec_td,0,,,,,
player,201412070was,ram,CunnBe01,rec_long,15,,,,,
player,201412070was,ram,CunnBe01,fumbles,0,,,,,
player,201412070was,ram,CunnBe01,fumbles_lost,0,,,,,
player,201412070was,ram,CookJa02,pass_cmp,0,,,,,
player,201412070was,ram,CookJa02,pass_att,0,,,,,
player,201412070was,ram,CookJa02,pass_yds,0,,,,,
player,201412070was,ram,CookJa02,pass_td,0,,,,,
player,201412070was,ram,CookJa02,pass_int,0,,,,,
player,201412070was,ram,CookJa02,pass_sacked,0,,,,,
player,201412070was,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201412070was,ram,CookJa02,pass_long,0,,,,,
player,201412070was,ram,CookJa02,pass_rating,,,,,,
player,201412070was,ram,CookJa02,rush_att,0,,,,,
player,201412070was,ram,CookJa02,rush_yds,0,,,,,
player,201412070was,ram,CookJa02,rush_td,0,,,,,
player,201412070was,ram,CookJa02,rush_long,0,,,,,
player,201412070was,ram,CookJa02,targets,5,,,,,
player,201412070was,ram,CookJa02,rec,4,,,,,
player,201412070was,ram,CookJa02,rec_yds,61,,,,,
player,201412070was,ram,CookJa02,rec_td,2,,,,,
player,201412070was,ram,CookJa02,rec_long,35,,,,,
player,201412070was,ram,CookJa02,fumbles,0,,,,,
player,201412070was,ram,CookJa02,fumbles_lost,0,,,,,
player,201412070was,ram,BritKe00,pass_cmp,0,,,,,
player,201412070was,ram,BritKe00,pass_att,0,,,,,
player,201412070was,ram,BritKe00,pass_yds,0,,,,,
player,201412070was,ram,BritKe00,pass_td,0,,,,,
