game,2014,13,20141130,201411300gnb,nwe,"New England Patriots",21,gnb,"Green Bay Packers",26
team,201411300gnb,nwe,First Downs,20,,,,,,
team,201411300gnb,gnb,First Downs,24,,,,,,
team,201411300gnb,nwe,Rush-Yds-TDs,18-84-1,,,,,,
team,201411300gnb,gnb,Rush-Yds-TDs,29-130-0,,,,,,
team,201411300gnb,nwe,Cmp-Att-Yd-TD-INT,22-35-245-2-0,,,,,,
team,201411300gnb,gnb,Cmp-Att-Yd-TD-INT,24-38-368-2-0,,,,,,
team,201411300gnb,nwe,Sacked-Yards,1-9,,,,,,
team,201411300gnb,gnb,Sacked-Yards,3-20,,,,,,
team,201411300gnb,nwe,Net Pass Yards,236,,,,,,
team,201411300gnb,gnb,Net Pass Yards,348,,,,,,
team,201411300gnb,nwe,Total Yards,320,,,,,,
team,201411300gnb,gnb,Total Yards,478,,,,,,
team,201411300gnb,nwe,Fumbles-Lost,0-0,,,,,,
team,201411300gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201411300gnb,nwe,Turnovers,0,,,,,,
team,201411300gnb,gnb,Turnovers,0,,,,,,
team,201411300gnb,nwe,Penalties-Yards,4-25,,,,,,
team,201411300gnb,gnb,Penalties-Yards,4-22,,,,,,
team,201411300gnb,nwe,Third Down Conv.,4-10,,,,,,
team,201411300gnb,gnb,Third Down Conv.,10-17,,,,,,
team,201411300gnb,nwe,Fourth Down Conv.,1-1,,,,,,
team,201411300gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201411300gnb,nwe,Time of Possession,23:25,,,,,,
team,201411300gnb,gnb,Time of Possession,36:35,,,,,,
player,201411300gnb,nwe,BradTo00,pass_cmp,22,,,,,
player,201411300gnb,nwe,BradTo00,pass_att,35,,,,,
player,201411300gnb,nwe,BradTo00,pass_yds,245,,,,,
player,201411300gnb,nwe,BradTo00,pass_td,2,,,,,
player,201411300gnb,nwe,BradTo00,pass_int,0,,,,,
player,201411300gnb,nwe,BradTo00,pass_sacked,1,,,,,
player,201411300gnb,nwe,BradTo00,pass_sacked_yds,9,,,,,
player,201411300gnb,nwe,BradTo00,pass_long,29,,,,,
player,201411300gnb,nwe,BradTo00,pass_rating,102.7,,,,,
player,201411300gnb,nwe,BradTo00,rush_att,1,,,,,
player,201411300gnb,nwe,BradTo00,rush_yds,-1,,,,,
player,201411300gnb,nwe,BradTo00,rush_td,0,,,,,
player,201411300gnb,nwe,BradTo00,rush_long,-1,,,,,
player,201411300gnb,nwe,BradTo00,targets,0,,,,,
player,201411300gnb,nwe,BradTo00,rec,0,,,,,
player,201411300gnb,nwe,BradTo00,rec_yds,0,,,,,
player,201411300gnb,nwe,BradTo00,rec_td,0,,,,,
player,201411300gnb,nwe,BradTo00,rec_long,0,,,,,
player,201411300gnb,nwe,BradTo00,fumbles,0,,,,,
player,201411300gnb,nwe,BradTo00,fumbles_lost,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_cmp,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_att,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_yds,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_td,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_int,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_sacked,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_long,0,,,,,
player,201411300gnb,nwe,BlouLe00,pass_rating,,,,,,
player,201411300gnb,nwe,BlouLe00,rush_att,10,,,,,
player,201411300gnb,nwe,BlouLe00,rush_yds,58,,,,,
