game,2014,11,20141116,201411160clt,nwe,"New England Patriots",42,clt,"Indianapolis Colts",20
team,201411160clt,nwe,First Downs,33,,,,,,
team,201411160clt,clt,First Downs,17,,,,,,
team,201411160clt,nwe,Rush-Yds-TDs,44-246-4,,,,,,
team,201411160clt,clt,Rush-Yds-TDs,16-19-0,,,,,,
team,201411160clt,nwe,Cmp-Att-Yd-TD-INT,19-30-257-2-2,,,,,,
team,201411160clt,clt,Cmp-Att-Yd-TD-INT,23-39-303-2-1,,,,,,
team,201411160clt,nwe,Sacked-Yards,0-0,,,,,,
team,201411160clt,clt,Sacked-Yards,1-0,,,,,,
team,201411160clt,nwe,Net Pass Yards,257,,,,,,
team,201411160clt,clt,Net Pass Yards,303,,,,,,
team,201411160clt,nwe,Total Yards,503,,,,,,
team,201411160clt,clt,Total Yards,322,,,,,,
team,201411160clt,nwe,Fumbles-Lost,0-0,,,,,,
team,201411160clt,clt,Fumbles-Lost,1-0,,,,,,
team,201411160clt,nwe,Turnovers,2,,,,,,
team,201411160clt,clt,Turnovers,1,,,,,,
team,201411160clt,nwe,Penalties-Yards,5-53,,,,,,
team,201411160clt,clt,Penalties-Yards,4-27,,,,,,
team,201411160clt,nwe,Third Down Conv.,9-11,,,,,,
team,201411160clt,clt,Third Down Conv.,5-13,,,,,,
team,201411160clt,nwe,Fourth Down Conv.,0-0,,,,,,
team,201411160clt,clt,Fourth Down Conv.,1-3,,,,,,
team,201411160clt,nwe,Time of Possession,34:21,,,,,,
team,201411160clt,clt,Time of Possession,25:39,,,,,,
player,201411160clt,nwe,BradTo00,pass_cmp,19,,,,,
player,201411160clt,nwe,BradTo00,pass_att,30,,,,,
player,201411160clt,nwe,BradTo00,pass_yds,257,,,,,
player,201411160clt,nwe,BradTo00,pass_td,2,,,,,
player,201411160clt,nwe,BradTo00,pass_int,2,,,,,
player,201411160clt,nwe,BradTo00,pass_sacked,0,,,,,
player,201411160clt,nwe,BradTo00,pass_sacked_yds,0,,,,,
player,201411160clt,nwe,BradTo00,pass_long,39,,,,,
player,201411160clt,nwe,BradTo00,pass_rating,85.0,,,,,
player,201411160clt,nwe,BradTo00,rush_att,2,,,,,
player,201411160clt,nwe,BradTo00,rush_yds,-2,,,,,
player,201411160clt,nwe,BradTo00,rush_td,0,,,,,
player,201411160clt,nwe,BradTo00,rush_long,-1,,,,,
player,201411160clt,nwe,BradTo00,targets,0,,,,,
player,201411160clt,nwe,BradTo00,rec,0,,,,,
player,201411160clt,nwe,BradTo00,rec_yds,0,,,,,
player,201411160clt,nwe,BradTo00,rec_td,0,,,,,
player,201411160clt,nwe,BradTo00,rec_long,0,,,,,
player,201411160clt,nwe,BradTo00,fumbles,0,,,,,
player,201411160clt,nwe,BradTo00,fumbles_lost,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_cmp,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_att,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_yds,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_td,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_int,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_sacked,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_sacked_yds,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_long,0,,,,,
player,201411160clt,nwe,GrayJo00,pass_rating,,,,,,
player,201411160clt,nwe,GrayJo00,rush_att,37,,,,,
player,201411160clt,nwe,GrayJo00,rush_yds,201,,,,,
player,201411160clt,nwe,GrayJo00,rush_td,4,,,,,
player,201411160clt,nwe,GrayJo00,rush_long,20,,,,,
player,201411160clt,nwe,GrayJo00,targets,0,,,,,
player,201411160clt,nwe,GrayJo00,rec,0,,,,,
player,201411160clt,nwe,GrayJo00,rec_yds,0,,,,,
player,201411160clt,nwe,GrayJo00,rec_td,0,,,,,
player,201411160clt,nwe,GrayJo00,rec_long,0,,,,,
player,201411160clt,nwe,GrayJo00,fumbles,0,,,,,
player,201411160clt,nwe,GrayJo00,fumbles_lost,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_cmp,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_att,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_yds,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_td,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_int,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_sacked,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_long,0,,,,,
player,201411160clt,nwe,EdelJu00,pass_rating,,,,,,
player,201411160clt,nwe,EdelJu00,rush_att,2,,,,,
player,201411160clt,nwe,EdelJu00,rush_yds,31,,,,,
player,201411160clt,nwe,EdelJu00,rush_td,0,,,,,
player,201411160clt,nwe,EdelJu00,rush_long,25,,,,,
player,201411160clt,nwe,EdelJu00,targets,8,,,,,
player,201411160clt,nwe,EdelJu00,rec,5,,,,,
player,201411160clt,nwe,EdelJu00,rec_yds,50,,,,,
player,201411160clt,nwe,EdelJu00,rec_td,0,,,,,
player,201411160clt,nwe,EdelJu00,rec_long,14,,,,,
player,201411160clt,nwe,EdelJu00,fumbles,0,,,,,
player,201411160clt,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201411160clt,nwe,VereSh00,pass_cmp,0,,,,,
player,201411160clt,nwe,VereSh00,pass_att,0,,,,,
player,201411160clt,nwe,VereSh00,pass_yds,0,,,,,
player,201411160clt,nwe,VereSh00,pass_td,0,,,,,
player,201411160clt,nwe,VereSh00,pass_int,0,,,,,
player,201411160clt,nwe,VereSh00,pass_sacked,0,,,,,
player,201411160clt,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201411160clt,nwe,VereSh00,pass_long,0,,,,,
player,201411160clt,nwe,VereSh00,pass_rating,,,,,,
player,201411160clt,nwe,VereSh00,rush_att,1,,,,,
player,201411160clt,nwe,VereSh00,rush_yds,18,,,,,
player,201411160clt,nwe,VereSh00,rush_td,0,,,,,
player,201411160clt,nwe,VereSh00,rush_long,18,,,,,
player,201411160clt,nwe,VereSh00,targets,4,,,,,
player,201411160clt,nwe,VereSh00,rec,4,,,,,
player,201411160clt,nwe,VereSh00,rec_yds,59,,,,,
player,201411160clt,nwe,VereSh00,rec_td,0,,,,,
player,201411160clt,nwe,VereSh00,rec_long,39,,,,,
player,201411160clt,nwe,VereSh00,fumbles,0,,,,,
player,201411160clt,nwe,VereSh00,fumbles_lost,0,,,,,
player,201411160clt,nwe,GronRo00,pass_cmp,0,,,,,
player,201411160clt,nwe,GronRo00,pass_att,0,,,,,
player,201411160clt,nwe,GronRo00,pass_yds,0,,,,,
player,201411160clt,nwe,GronRo00,pass_td,0,,,,,
player,201411160clt,nwe,GronRo00,pass_int,0,,,,,
player,201411160clt,nwe,GronRo00,pass_sacked,0,,,,,
player,201411160clt,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201411160clt,nwe,GronRo00,pass_long,0,,,,,
player,201411160clt,nwe,GronRo00,pass_rating,,,,,,
player,201411160clt,nwe,GronRo00,rush_att,0,,,,,
player,201411160clt,nwe,GronRo00,rush_yds,0,,,,,
player,201411160clt,nwe,GronRo00,rush_td,0,,,,,
player,201411160clt,nwe,GronRo00,rush_long,0,,,,,
player,201411160clt,nwe,GronRo00,targets,5,,,,,
player,201411160clt,nwe,GronRo00,rec,4,,,,,
player,201411160clt,nwe,GronRo00,rec_yds,71,,,,,
player,201411160clt,nwe,GronRo00,rec_td,1,,,,,
player,201411160clt,nwe,GronRo00,rec_long,26,,,,,
player,201411160clt,nwe,GronRo00,fumbles,0,,,,,
player,201411160clt,nwe,GronRo00,fumbles_lost,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_cmp,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_att,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_yds,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_td,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_int,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_sacked,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_sacked_yds,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_long,0,,,,,
player,201411160clt,nwe,LaFeBr00,pass_rating,,,,,,
player,201411160clt,nwe,LaFeBr00,rush_att,0,,,,,
player,201411160clt,nwe,LaFeBr00,rush_yds,0,,,,,
player,201411160clt,nwe,LaFeBr00,rush_td,0,,,,,
player,201411160clt,nwe,LaFeBr00,rush_long,0,,,,,
player,201411160clt,nwe,LaFeBr00,targets,4,,,,,
player,201411160clt,nwe,LaFeBr00,rec,3,,,,,
player,201411160clt,nwe,LaFeBr00,rec_yds,62,,,,,
player,201411160clt,nwe,LaFeBr00,rec_td,0,,,,,
player,201411160clt,nwe,LaFeBr00,rec_long,26,,,,,
player,201411160clt,nwe,LaFeBr00,fumbles,0,,,,,
player,201411160clt,nwe,LaFeBr00,fumbles_lost,0,,,,,
