game,2014,2,20140914,201409140rai,htx,"Houston Texans",30,rai,"Oakland Raiders",14
player,201409140rai,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201409140rai,rai,HolmAn00,pass_long,0,,,,,
player,201409140rai,rai,HolmAn00,pass_rating,,,,,,
player,201409140rai,rai,HolmAn00,rush_att,0,,,,,
player,201409140rai,rai,HolmAn00,rush_yds,0,,,,,
player,201409140rai,rai,HolmAn00,rush_td,0,,,,,
player,201409140rai,rai,HolmAn00,rush_long,0,,,,,
player,201409140rai,rai,HolmAn00,targets,7,,,,,
player,201409140rai,rai,HolmAn00,rec,5,,,,,
player,201409140rai,rai,HolmAn00,rec_yds,45,,,,,
player,201409140rai,rai,HolmAn00,rec_td,0,,,,,
player,201409140rai,rai,HolmAn00,rec_long,15,,,,,
player,201409140rai,rai,HolmAn00,fumbles,0,,,,,
player,201409140rai,rai,HolmAn00,fumbles_lost,0,,,,,
player,201409140rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201409140rai,rai,RiveMy00,pass_att,0,,,,,
player,201409140rai,rai,RiveMy00,pass_yds,0,,,,,
player,201409140rai,rai,RiveMy00,pass_td,0,,,,,
player,201409140rai,rai,RiveMy00,pass_int,0,,,,,
player,201409140rai,rai,RiveMy00,pass_sacked,,,,,,
player,201409140rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201409140rai,rai,RiveMy00,pass_long,0,,,,,
player,201409140rai,rai,RiveMy00,pass_rating,,,,,,
player,201409140rai,rai,RiveMy00,rush_att,0,,,,,
player,201409140rai,rai,RiveMy00,rush_yds,0,,,,,
player,201409140rai,rai,RiveMy00,rush_td,0,,,,,
player,201409140rai,rai,RiveMy00,rush_long,0,,,,,
player,201409140rai,rai,RiveMy00,targets,7,,,,,
player,201409140rai,rai,RiveMy00,rec,5,,,,,
player,201409140rai,rai,RiveMy00,rec_yds,31,,,,,
player,201409140rai,rai,RiveMy00,rec_td,0,,,,,
player,201409140rai,rai,RiveMy00,rec_long,10,,,,,
player,201409140rai,rai,RiveMy00,fumbles,1,,,,,
player,201409140rai,rai,RiveMy00,fumbles_lost,1,,,,,
player,201409140rai,rai,MoorDe02,pass_cmp,0,,,,,
player,201409140rai,rai,MoorDe02,pass_att,0,,,,,
player,201409140rai,rai,MoorDe02,pass_yds,0,,,,,
player,201409140rai,rai,MoorDe02,pass_td,0,,,,,
player,201409140rai,rai,MoorDe02,pass_int,0,,,,,
player,201409140rai,rai,MoorDe02,pass_sacked,,,,,,
player,201409140rai,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201409140rai,rai,MoorDe02,pass_long,0,,,,,
player,201409140rai,rai,MoorDe02,pass_rating,,,,,,
player,201409140rai,rai,MoorDe02,rush_att,0,,,,,
player,201409140rai,rai,MoorDe02,rush_yds,0,,,,,
player,201409140rai,rai,MoorDe02,rush_td,0,,,,,
player,201409140rai,rai,MoorDe02,rush_long,0,,,,,
