game,2014,5,20141005,201410050den,crd,"Arizona Cardinals",20,den,"Denver Broncos",41
team,201410050den,crd,First Downs,9,,,,,,
team,201410050den,den,First Downs,24,,,,,,
team,201410050den,crd,Rush-Yds-TDs,19-37-1,,,,,,
team,201410050den,den,Rush-Yds-TDs,28-92-1,,,,,,
team,201410050den,crd,Cmp-Att-Yd-TD-INT,12-34-199-1-0,,,,,,
team,201410050den,den,Cmp-Att-Yd-TD-INT,31-47-479-4-2,,,,,,
team,201410050den,crd,Sacked-Yards,3-21,,,,,,
team,201410050den,den,Sacked-Yards,1-3,,,,,,
team,201410050den,crd,Net Pass Yards,178,,,,,,
team,201410050den,den,Net Pass Yards,476,,,,,,
team,201410050den,crd,Total Yards,215,,,,,,
team,201410050den,den,Total Yards,568,,,,,,
team,201410050den,crd,Fumbles-Lost,1-0,,,,,,
team,201410050den,den,Fumbles-Lost,0-0,,,,,,
team,201410050den,crd,Turnovers,0,,,,,,
team,201410050den,den,Turnovers,2,,,,,,
team,201410050den,crd,Penalties-Yards,3-15,,,,,,
team,201410050den,den,Penalties-Yards,7-67,,,,,,
team,201410050den,crd,Third Down Conv.,3-16,,,,,,
team,201410050den,den,Third Down Conv.,7-16,,,,,,
team,201410050den,crd,Fourth Down Conv.,0-0,,,,,,
team,201410050den,den,Fourth Down Conv.,0-0,,,,,,
team,201410050den,crd,Time of Possession,24:43,,,,,,
team,201410050den,den,Time of Possession,35:17,,,,,,
player,201410050den,crd,StanDr00,pass_cmp,11,,,,,
player,201410050den,crd,StanDr00,pass_att,26,,,,,
player,201410050den,crd,StanDr00,pass_yds,118,,,,,
player,201410050den,crd,StanDr00,pass_td,0,,,,,
player,201410050den,crd,StanDr00,pass_int,0,,,,,
player,201410050den,crd,StanDr00,pass_sacked,1,,,,,
player,201410050den,crd,StanDr00,pass_sacked_yds,10,,,,,
player,201410050den,crd,StanDr00,pass_long,33,,,,,
player,201410050den,crd,StanDr00,pass_rating,56.2,,,,,
player,201410050den,crd,StanDr00,rush_att,0,,,,,
player,201410050den,crd,StanDr00,rush_yds,0,,,,,
player,201410050den,crd,StanDr00,rush_td,0,,,,,
player,201410050den,crd,StanDr00,rush_long,0,,,,,
player,201410050den,crd,StanDr00,targets,0,,,,,
player,201410050den,crd,StanDr00,rec,0,,,,,
player,201410050den,crd,StanDr00,rec_yds,0,,,,,
player,201410050den,crd,StanDr00,rec_td,0,,,,,
player,201410050den,crd,StanDr00,rec_long,0,,,,,
player,201410050den,crd,StanDr00,fumbles,0,,,,,
player,201410050den,crd,StanDr00,fumbles_lost,0,,,,,
player,201410050den,crd,ThomLo00,pass_cmp,1,,,,,
player,201410050den,crd,ThomLo00,pass_att,8,,,,,
player,201410050den,crd,ThomLo00,pass_yds,81,,,,,
player,201410050den,crd,ThomLo00,pass_td,1,,,,,
player,201410050den,crd,ThomLo00,pass_int,0,,,,,
player,201410050den,crd,ThomLo00,pass_sacked,2,,,,,
player,201410050den,crd,ThomLo00,pass_sacked_yds,11,,,,,
player,201410050den,crd,ThomLo00,pass_long,81,,,,,
player,201410050den,crd,ThomLo00,pass_rating,108.9,,,,,
player,201410050den,crd,ThomLo00,rush_att,0,,,,,
player,201410050den,crd,ThomLo00,rush_yds,0,,,,,
player,201410050den,crd,ThomLo00,rush_td,0,,,,,
player,201410050den,crd,ThomLo00,rush_long,0,,,,,
player,201410050den,crd,ThomLo00,targets,0,,,,,
player,201410050den,crd,ThomLo00,rec,0,,,,,
player,201410050den,crd,ThomLo00,rec_yds,0,,,,,
player,201410050den,crd,ThomLo00,rec_td,0,,,,,
player,201410050den,crd,ThomLo00,rec_long,0,,,,,
player,201410050den,crd,ThomLo00,fumbles,0,,,,,
player,201410050den,crd,ThomLo00,fumbles_lost,0,,,,,
player,201410050den,crd,ElliAn00,pass_cmp,0,,,,,
player,201410050den,crd,ElliAn00,pass_att,0,,,,,
player,201410050den,crd,ElliAn00,pass_yds,0,,,,,
player,201410050den,crd,ElliAn00,pass_td,0,,,,,
player,201410050den,crd,ElliAn00,pass_int,0,,,,,
player,201410050den,crd,ElliAn00,pass_sacked,0,,,,,
player,201410050den,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201410050den,crd,ElliAn00,pass_long,0,,,,,
player,201410050den,crd,ElliAn00,pass_rating,,,,,,
player,201410050den,crd,ElliAn00,rush_att,16,,,,,
player,201410050den,crd,ElliAn00,rush_yds,32,,,,,
player,201410050den,crd,ElliAn00,rush_td,1,,,,,
player,201410050den,crd,ElliAn00,rush_long,6,,,,,
player,201410050den,crd,ElliAn00,targets,7,,,,,
player,201410050den,crd,ElliAn00,rec,4,,,,,
player,201410050den,crd,ElliAn00,rec_yds,112,,,,,
player,201410050den,crd,ElliAn00,rec_td,1,,,,,
player,201410050den,crd,ElliAn00,rec_long,81,,,,,
player,201410050den,crd,ElliAn00,fumbles,0,,,,,
player,201410050den,crd,ElliAn00,fumbles_lost,0,,,,,
player,201410050den,crd,TaylSt00,pass_cmp,0,,,,,
player,201410050den,crd,TaylSt00,pass_att,0,,,,,
player,201410050den,crd,TaylSt00,pass_yds,0,,,,,
player,201410050den,crd,TaylSt00,pass_td,0,,,,,
player,201410050den,crd,TaylSt00,pass_int,0,,,,,
player,201410050den,crd,TaylSt00,pass_sacked,0,,,,,
player,201410050den,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201410050den,crd,TaylSt00,pass_long,0,,,,,
player,201410050den,crd,TaylSt00,pass_rating,,,,,,
player,201410050den,crd,TaylSt00,rush_att,1,,,,,
player,201410050den,crd,TaylSt00,rush_yds,6,,,,,
player,201410050den,crd,TaylSt00,rush_td,0,,,,,
player,201410050den,crd,TaylSt00,rush_long,6,,,,,
player,201410050den,crd,TaylSt00,targets,0,,,,,
player,201410050den,crd,TaylSt00,rec,0,,,,,
player,201410050den,crd,TaylSt00,rec_yds,0,,,,,
player,201410050den,crd,TaylSt00,rec_td,0,,,,,
player,201410050den,crd,TaylSt00,rec_long,0,,,,,
player,201410050den,crd,TaylSt00,fumbles,0,,,,,
player,201410050den,crd,TaylSt00,fumbles_lost,0,,,,,
player,201410050den,crd,FitzLa00,pass_cmp,0,,,,,
player,201410050den,crd,FitzLa00,pass_att,0,,,,,
player,201410050den,crd,FitzLa00,pass_yds,0,,,,,
player,201410050den,crd,FitzLa00,pass_td,0,,,,,
player,201410050den,crd,FitzLa00,pass_int,0,,,,,
player,201410050den,crd,FitzLa00,pass_sacked,0,,,,,
player,201410050den,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201410050den,crd,FitzLa00,pass_long,0,,,,,
player,201410050den,crd,FitzLa00,pass_rating,,,,,,
player,201410050den,crd,FitzLa00,rush_att,0,,,,,
player,201410050den,crd,FitzLa00,rush_yds,0,,,,,
player,201410050den,crd,FitzLa00,rush_td,0,,,,,
player,201410050den,crd,FitzLa00,rush_long,0,,,,,
player,201410050den,crd,FitzLa00,targets,7,,,,,
player,201410050den,crd,FitzLa00,rec,3,,,,,
player,201410050den,crd,FitzLa00,rec_yds,57,,,,,
player,201410050den,crd,FitzLa00,rec_td,0,,,,,
player,201410050den,crd,FitzLa00,rec_long,33,,,,,
player,201410050den,crd,FitzLa00,fumbles,0,,,,,
player,201410050den,crd,FitzLa00,fumbles_lost,0,,,,,
player,201410050den,crd,CarlJo00,pass_cmp,0,,,,,
player,201410050den,crd,CarlJo00,pass_att,0,,,,,
player,201410050den,crd,CarlJo00,pass_yds,0,,,,,
player,201410050den,crd,CarlJo00,pass_td,0,,,,,
player,201410050den,crd,CarlJo00,pass_int,0,,,,,
player,201410050den,crd,CarlJo00,pass_sacked,0,,,,,
player,201410050den,crd,CarlJo00,pass_sacked_yds,0,,,,,
player,201410050den,crd,CarlJo00,pass_long,0,,,,,
player,201410050den,crd,CarlJo00,pass_rating,,,,,,
player,201410050den,crd,CarlJo00,rush_att,0,,,,,
player,201410050den,crd,CarlJo00,rush_yds,0,,,,,
player,201410050den,crd,CarlJo00,rush_td,0,,,,,
player,201410050den,crd,CarlJo00,rush_long,0,,,,,
player,201410050den,crd,CarlJo00,targets,3,,,,,
player,201410050den,crd,CarlJo00,rec,2,,,,,
player,201410050den,crd,CarlJo00,rec_yds,19,,,,,
player,201410050den,crd,CarlJo00,rec_td,0,,,,,
player,201410050den,crd,CarlJo00,rec_long,14,,,,,
player,201410050den,crd,CarlJo00,fumbles,0,,,,,
player,201410050den,crd,CarlJo00,fumbles_lost,0,,,,,
player,201410050den,crd,FloyMi00,pass_cmp,0,,,,,
player,201410050den,crd,FloyMi00,pass_att,0,,,,,
player,201410050den,crd,FloyMi00,pass_yds,0,,,,,
player,201410050den,crd,FloyMi00,pass_td,0,,,,,
player,201410050den,crd,FloyMi00,pass_int,0,,,,,
player,201410050den,crd,FloyMi00,pass_sacked,0,,,,,
player,201410050den,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201410050den,crd,FloyMi00,pass_long,0,,,,,
player,201410050den,crd,FloyMi00,pass_rating,,,,,,
player,201410050den,crd,FloyMi00,rush_att,0,,,,,
player,201410050den,crd,FloyMi00,rush_yds,0,,,,,
player,201410050den,crd,FloyMi00,rush_td,0,,,,,
player,201410050den,crd,FloyMi00,rush_long,0,,,,,
player,201410050den,crd,FloyMi00,targets,7,,,,,
player,201410050den,crd,FloyMi00,rec,1,,,,,
player,201410050den,crd,FloyMi00,rec_yds,7,,,,,
player,201410050den,crd,FloyMi00,rec_td,0,,,,,
player,201410050den,crd,FloyMi00,rec_long,7,,,,,
player,201410050den,crd,FloyMi00,fumbles,0,,,,,
player,201410050den,crd,FloyMi00,fumbles_lost,0,,,,,
player,201410050den,crd,BrowJo02,pass_cmp,0,,,,,
player,201410050den,crd,BrowJo02,pass_att,0,,,,,
player,201410050den,crd,BrowJo02,pass_yds,0,,,,,
player,201410050den,crd,BrowJo02,pass_td,0,,,,,
player,201410050den,crd,BrowJo02,pass_int,0,,,,,
player,201410050den,crd,BrowJo02,pass_sacked,0,,,,,
player,201410050den,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201410050den,crd,BrowJo02,pass_long,0,,,,,
player,201410050den,crd,BrowJo02,pass_rating,,,,,,
player,201410050den,crd,BrowJo02,rush_att,0,,,,,
player,201410050den,crd,BrowJo02,rush_yds,0,,,,,
player,201410050den,crd,BrowJo02,rush_td,0,,,,,
player,201410050den,crd,BrowJo02,rush_long,0,,,,,
player,201410050den,crd,BrowJo02,targets,7,,,,,
player,201410050den,crd,BrowJo02,rec,2,,,,,
player,201410050den,crd,BrowJo02,rec_yds,4,,,,,
player,201410050den,crd,BrowJo02,rec_td,0,,,,,
player,201410050den,crd,BrowJo02,rec_long,2,,,,,
player,201410050den,crd,BrowJo02,fumbles,0,,,,,
player,201410050den,crd,BrowJo02,fumbles_lost,0,,,,,
player,201410050den,crd,HousRo01,pass_cmp,0,,,,,
player,201410050den,crd,HousRo01,pass_att,0,,,,,
player,201410050den,crd,HousRo01,pass_yds,0,,,,,
player,201410050den,crd,HousRo01,pass_td,0,,,,,
player,201410050den,crd,HousRo01,pass_int,0,,,,,
player,201410050den,crd,HousRo01,pass_sacked,0,,,,,
player,201410050den,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201410050den,crd,HousRo01,pass_long,0,,,,,
player,201410050den,crd,HousRo01,pass_rating,,,,,,
player,201410050den,crd,HousRo01,rush_att,0,,,,,
player,201410050den,crd,HousRo01,rush_yds,0,,,,,
player,201410050den,crd,HousRo01,rush_td,0,,,,,
player,201410050den,crd,HousRo01,rush_long,0,,,,,
player,201410050den,crd,HousRo01,targets,1,,,,,
player,201410050den,crd,HousRo01,rec,0,,,,,
player,201410050den,crd,HousRo01,rec_yds,0,,,,,
player,201410050den,crd,HousRo01,rec_td,0,,,,,
player,201410050den,crd,HousRo01,rec_long,0,,,,,
player,201410050den,crd,HousRo01,fumbles,0,,,,,
player,201410050den,crd,HousRo01,fumbles_lost,0,,,,,
player,201410050den,crd,HughRo00,pass_cmp,0,,,,,
player,201410050den,crd,HughRo00,pass_att,0,,,,,
player,201410050den,crd,HughRo00,pass_yds,0,,,,,
player,201410050den,crd,HughRo00,pass_td,0,,,,,
player,201410050den,crd,HughRo00,pass_int,0,,,,,
player,201410050den,crd,HughRo00,pass_sacked,0,,,,,
player,201410050den,crd,HughRo00,pass_sacked_yds,0,,,,,
player,201410050den,crd,HughRo00,pass_long,0,,,,,
player,201410050den,crd,HughRo00,pass_rating,,,,,,
player,201410050den,crd,HughRo00,rush_att,1,,,,,
player,201410050den,crd,HughRo00,rush_yds,0,,,,,
player,201410050den,crd,HughRo00,rush_td,0,,,,,
player,201410050den,crd,HughRo00,rush_long,0,,,,,
player,201410050den,crd,HughRo00,targets,0,,,,,
player,201410050den,crd,HughRo00,rec,0,,,,,
player,201410050den,crd,HughRo00,rec_yds,0,,,,,
player,201410050den,crd,HughRo00,rec_td,0,,,,,
player,201410050den,crd,HughRo00,rec_long,0,,,,,
player,201410050den,crd,HughRo00,fumbles,0,,,,,
player,201410050den,crd,HughRo00,fumbles_lost,0,,,,,
player,201410050den,crd,GinnTe00,pass_cmp,0,,,,,
player,201410050den,crd,GinnTe00,pass_att,0,,,,,
player,201410050den,crd,GinnTe00,pass_yds,0,,,,,
player,201410050den,crd,GinnTe00,pass_td,0,,,,,
player,201410050den,crd,GinnTe00,pass_int,0,,,,,
player,201410050den,crd,GinnTe00,pass_sacked,0,,,,,
player,201410050den,crd,GinnTe00,pass_sacked_yds,0,,,,,
player,201410050den,crd,GinnTe00,pass_long,0,,,,,
player,201410050den,crd,GinnTe00,pass_rating,,,,,,
player,201410050den,crd,GinnTe00,rush_att,1,,,,,
player,201410050den,crd,GinnTe00,rush_yds,-1,,,,,
player,201410050den,crd,GinnTe00,rush_td,0,,,,,
player,201410050den,crd,GinnTe00,rush_long,-1,,,,,
player,201410050den,crd,GinnTe00,targets,2,,,,,
player,201410050den,crd,GinnTe00,rec,0,,,,,
player,201410050den,crd,GinnTe00,rec_yds,0,,,,,
player,201410050den,crd,GinnTe00,rec_td,0,,,,,
player,201410050den,crd,GinnTe00,rec_long,0,,,,,
player,201410050den,crd,GinnTe00,fumbles,1,,,,,
player,201410050den,crd,GinnTe00,fumbles_lost,0,,,,,
player,201410050den,den,MannPe00,pass_cmp,31,,,,,
player,201410050den,den,MannPe00,pass_att,47,,,,,
player,201410050den,den,MannPe00,pass_yds,479,,,,,
