game,2014,2,20140914,201409140sdg,sea,"Seattle Seahawks",21,sdg,"San Diego Chargers",30
team,201409140sdg,sea,First Downs,14,,,,,,
team,201409140sdg,sdg,First Downs,26,,,,,,
team,201409140sdg,sea,Rush-Yds-TDs,13-108-1,,,,,,
team,201409140sdg,sdg,Rush-Yds-TDs,37-101-0,,,,,,
team,201409140sdg,sea,Cmp-Att-Yd-TD-INT,17-25-202-2-0,,,,,,
team,201409140sdg,sdg,Cmp-Att-Yd-TD-INT,28-37-284-3-0,,,,,,
team,201409140sdg,sea,Sacked-Yards,2-22,,,,,,
team,201409140sdg,sdg,Sacked-Yards,1-8,,,,,,
team,201409140sdg,sea,Net Pass Yards,180,,,,,,
team,201409140sdg,sdg,Net Pass Yards,276,,,,,,
team,201409140sdg,sea,Total Yards,288,,,,,,
team,201409140sdg,sdg,Total Yards,377,,,,,,
team,201409140sdg,sea,Fumbles-Lost,2-1,,,,,,
team,201409140sdg,sdg,Fumbles-Lost,4-0,,,,,,
team,201409140sdg,sea,Turnovers,1,,,,,,
team,201409140sdg,sdg,Turnovers,0,,,,,,
team,201409140sdg,sea,Penalties-Yards,8-53,,,,,,
team,201409140sdg,sdg,Penalties-Yards,6-53,,,,,,
team,201409140sdg,sea,Third Down Conv.,3-8,,,,,,
team,201409140sdg,sdg,Third Down Conv.,10-17,,,,,,
team,201409140sdg,sea,Fourth Down Conv.,0-1,,,,,,
team,201409140sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201409140sdg,sea,Time of Possession,17:45,,,,,,
team,201409140sdg,sdg,Time of Possession,42:15,,,,,,
player,201409140sdg,sea,WilsRu00,pass_cmp,17,,,,,
player,201409140sdg,sea,WilsRu00,pass_att,25,,,,,
player,201409140sdg,sea,WilsRu00,pass_yds,202,,,,,
player,201409140sdg,sea,WilsRu00,pass_td,2,,,,,
player,201409140sdg,sea,WilsRu00,pass_int,0,,,,,
player,201409140sdg,sea,WilsRu00,pass_sacked,2,,,,,
player,201409140sdg,sea,WilsRu00,pass_sacked_yds,22,,,,,
player,201409140sdg,sea,WilsRu00,pass_long,32,,,,,
player,201409140sdg,sea,WilsRu00,pass_rating,119.1,,,,,
player,201409140sdg,sea,WilsRu00,rush_att,2,,,,,
player,201409140sdg,sea,WilsRu00,rush_yds,18,,,,,
player,201409140sdg,sea,WilsRu00,rush_td,0,,,,,
player,201409140sdg,sea,WilsRu00,rush_long,13,,,,,
