game,2013,12,20131124,201311240nwe,den,"Denver Broncos",31,nwe,"New England Patriots",34
team,201311240nwe,den,First Downs,28,,,,,,
team,201311240nwe,nwe,First Downs,27,,,,,,
team,201311240nwe,den,Rush-Yds-TDs,48-280-1,,,,,,
team,201311240nwe,nwe,Rush-Yds-TDs,31-116-1,,,,,,
team,201311240nwe,den,Cmp-Att-Yd-TD-INT,19-36-150-2-1,,,,,,
team,201311240nwe,nwe,Cmp-Att-Yd-TD-INT,34-50-344-3-0,,,,,,
team,201311240nwe,den,Sacked-Yards,2-18,,,,,,
team,201311240nwe,nwe,Sacked-Yards,3-20,,,,,,
team,201311240nwe,den,Net Pass Yards,132,,,,,,
team,201311240nwe,nwe,Net Pass Yards,324,,,,,,
team,201311240nwe,den,Total Yards,412,,,,,,
team,201311240nwe,nwe,Total Yards,440,,,,,,
team,201311240nwe,den,Fumbles-Lost,5-3,,,,,,
team,201311240nwe,nwe,Fumbles-Lost,6-3,,,,,,
team,201311240nwe,den,Turnovers,4,,,,,,
team,201311240nwe,nwe,Turnovers,3,,,,,,
team,201311240nwe,den,Penalties-Yards,9-85,,,,,,
team,201311240nwe,nwe,Penalties-Yards,5-36,,,,,,
team,201311240nwe,den,Third Down Conv.,9-18,,,,,,
team,201311240nwe,nwe,Third Down Conv.,6-14,,,,,,
team,201311240nwe,den,Fourth Down Conv.,0-0,,,,,,
team,201311240nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201311240nwe,den,Time of Possession,38:58,,,,,,
team,201311240nwe,nwe,Time of Possession,34:06,,,,,,
player,201311240nwe,den,MannPe00,pass_cmp,19,,,,,
player,201311240nwe,den,MannPe00,pass_att,36,,,,,
player,201311240nwe,den,MannPe00,pass_yds,150,,,,,
player,201311240nwe,den,MannPe00,pass_td,2,,,,,
player,201311240nwe,den,MannPe00,pass_int,1,,,,,
player,201311240nwe,den,MannPe00,pass_sacked,2,,,,,
player,201311240nwe,den,MannPe00,pass_sacked_yds,18,,,,,
player,201311240nwe,den,MannPe00,pass_long,31,,,,,
player,201311240nwe,den,MannPe00,pass_rating,70.4,,,,,
player,201311240nwe,den,MannPe00,rush_att,1,,,,,
player,201311240nwe,den,MannPe00,rush_yds,0,,,,,
player,201311240nwe,den,MannPe00,rush_td,0,,,,,
player,201311240nwe,den,MannPe00,rush_long,0,,,,,
player,201311240nwe,den,MannPe00,targets,0,,,,,
player,201311240nwe,den,MannPe00,rec,0,,,,,
player,201311240nwe,den,MannPe00,rec_yds,0,,,,,
player,201311240nwe,den,MannPe00,rec_td,0,,,,,
player,201311240nwe,den,MannPe00,rec_long,0,,,,,
player,201311240nwe,den,MannPe00,fumbles,2,,,,,
player,201311240nwe,den,MannPe00,fumbles_lost,0,,,,,
player,201311240nwe,den,MoreKn00,pass_cmp,0,,,,,
player,201311240nwe,den,MoreKn00,pass_att,0,,,,,
player,201311240nwe,den,MoreKn00,pass_yds,0,,,,,
player,201311240nwe,den,MoreKn00,pass_td,0,,,,,
player,201311240nwe,den,MoreKn00,pass_int,0,,,,,
player,201311240nwe,den,MoreKn00,pass_sacked,0,,,,,
player,201311240nwe,den,MoreKn00,pass_sacked_yds,0,,,,,
player,201311240nwe,den,MoreKn00,pass_long,0,,,,,
player,201311240nwe,den,MoreKn00,pass_rating,,,,,,
player,201311240nwe,den,MoreKn00,rush_att,37,,,,,
player,201311240nwe,den,MoreKn00,rush_yds,224,,,,,
player,201311240nwe,den,MoreKn00,rush_td,1,,,,,
player,201311240nwe,den,MoreKn00,rush_long,18,,,,,
player,201311240nwe,den,MoreKn00,targets,1,,,,,
player,201311240nwe,den,MoreKn00,rec,1,,,,,
player,201311240nwe,den,MoreKn00,rec_yds,6,,,,,
player,201311240nwe,den,MoreKn00,rec_td,0,,,,,
player,201311240nwe,den,MoreKn00,rec_long,6,,,,,
player,201311240nwe,den,MoreKn00,fumbles,0,,,,,
player,201311240nwe,den,MoreKn00,fumbles_lost,0,,,,,
player,201311240nwe,den,BallMo00,pass_cmp,0,,,,,
player,201311240nwe,den,BallMo00,pass_att,0,,,,,
player,201311240nwe,den,BallMo00,pass_yds,0,,,,,
player,201311240nwe,den,BallMo00,pass_td,0,,,,,
player,201311240nwe,den,BallMo00,pass_int,0,,,,,
player,201311240nwe,den,BallMo00,pass_sacked,0,,,,,
player,201311240nwe,den,BallMo00,pass_sacked_yds,0,,,,,
player,201311240nwe,den,BallMo00,pass_long,0,,,,,
player,201311240nwe,den,BallMo00,pass_rating,,,,,,
player,201311240nwe,den,BallMo00,rush_att,7,,,,,
player,201311240nwe,den,BallMo00,rush_yds,40,,,,,
player,201311240nwe,den,BallMo00,rush_td,0,,,,,
player,201311240nwe,den,BallMo00,rush_long,16,,,,,
player,201311240nwe,den,BallMo00,targets,3,,,,,
player,201311240nwe,den,BallMo00,rec,3,,,,,
player,201311240nwe,den,BallMo00,rec_yds,17,,,,,
player,201311240nwe,den,BallMo00,rec_td,0,,,,,
player,201311240nwe,den,BallMo00,rec_long,31,,,,,
player,201311240nwe,den,BallMo00,fumbles,1,,,,,
player,201311240nwe,den,BallMo00,fumbles_lost,1,,,,,
player,201311240nwe,den,AndeC.00,pass_cmp,0,,,,,
player,201311240nwe,den,AndeC.00,pass_att,0,,,,,
player,201311240nwe,den,AndeC.00,pass_yds,0,,,,,
player,201311240nwe,den,AndeC.00,pass_td,0,,,,,
player,201311240nwe,den,AndeC.00,pass_int,0,,,,,
player,201311240nwe,den,AndeC.00,pass_sacked,0,,,,,
player,201311240nwe,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201311240nwe,den,AndeC.00,pass_long,0,,,,,
player,201311240nwe,den,AndeC.00,pass_rating,,,,,,
player,201311240nwe,den,AndeC.00,rush_att,3,,,,,
