game,2013,11,20131117,201311170sea,min,"Minnesota Vikings",20,sea,"Seattle Seahawks",41
team,201311170sea,min,First Downs,19,,,,,,
team,201311170sea,sea,First Downs,16,,,,,,
team,201311170sea,min,Rush-Yds-TDs,33-132-0,,,,,,
team,201311170sea,sea,Rush-Yds-TDs,28-93-2,,,,,,
team,201311170sea,min,Cmp-Att-Yd-TD-INT,18-35-207-2-3,,,,,,
team,201311170sea,sea,Cmp-Att-Yd-TD-INT,14-21-236-2-0,,,,,,
team,201311170sea,min,Sacked-Yards,2-3,,,,,,
team,201311170sea,sea,Sacked-Yards,1-6,,,,,,
team,201311170sea,min,Net Pass Yards,204,,,,,,
team,201311170sea,sea,Net Pass Yards,230,,,,,,
team,201311170sea,min,Total Yards,336,,,,,,
team,201311170sea,sea,Total Yards,323,,,,,,
team,201311170sea,min,Fumbles-Lost,2-1,,,,,,
team,201311170sea,sea,Fumbles-Lost,1-0,,,,,,
team,201311170sea,min,Turnovers,4,,,,,,
team,201311170sea,sea,Turnovers,0,,,,,,
team,201311170sea,min,Penalties-Yards,4-20,,,,,,
team,201311170sea,sea,Penalties-Yards,7-96,,,,,,
team,201311170sea,min,Third Down Conv.,5-14,,,,,,
team,201311170sea,sea,Third Down Conv.,4-11,,,,,,
team,201311170sea,min,Fourth Down Conv.,0-1,,,,,,
team,201311170sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201311170sea,min,Time of Possession,34:09,,,,,,
team,201311170sea,sea,Time of Possession,25:51,,,,,,
player,201311170sea,min,PondCh00,pass_cmp,13,,,,,
player,201311170sea,min,PondCh00,pass_att,22,,,,,
player,201311170sea,min,PondCh00,pass_yds,129,,,,,
player,201311170sea,min,PondCh00,pass_td,1,,,,,
player,201311170sea,min,PondCh00,pass_int,2,,,,,
player,201311170sea,min,PondCh00,pass_sacked,2,,,,,
player,201311170sea,min,PondCh00,pass_sacked_yds,3,,,,,
player,201311170sea,min,PondCh00,pass_long,38,,,,,
player,201311170sea,min,PondCh00,pass_rating,53.0,,,,,
player,201311170sea,min,PondCh00,rush_att,5,,,,,
player,201311170sea,min,PondCh00,rush_yds,0,,,,,
player,201311170sea,min,PondCh00,rush_td,0,,,,,
player,201311170sea,min,PondCh00,rush_long,4,,,,,
player,201311170sea,min,PondCh00,targets,0,,,,,
player,201311170sea,min,PondCh00,rec,0,,,,,
player,201311170sea,min,PondCh00,rec_yds,0,,,,,
player,201311170sea,min,PondCh00,rec_td,0,,,,,
player,201311170sea,min,PondCh00,rec_long,0,,,,,
player,201311170sea,min,PondCh00,fumbles,2,,,,,
player,201311170sea,min,PondCh00,fumbles_lost,1,,,,,
player,201311170sea,min,CassMa00,pass_cmp,5,,,,,
player,201311170sea,min,CassMa00,pass_att,13,,,,,
player,201311170sea,min,CassMa00,pass_yds,78,,,,,
player,201311170sea,min,CassMa00,pass_td,1,,,,,
player,201311170sea,min,CassMa00,pass_int,1,,,,,
player,201311170sea,min,CassMa00,pass_sacked,0,,,,,
player,201311170sea,min,CassMa00,pass_sacked_yds,0,,,,,
player,201311170sea,min,CassMa00,pass_long,30,,,,,
player,201311170sea,min,CassMa00,pass_rating,52.7,,,,,
player,201311170sea,min,CassMa00,rush_att,0,,,,,
player,201311170sea,min,CassMa00,rush_yds,0,,,,,
