game,2013,10,20131110,201311100sfo,car,"Carolina Panthers",10,sfo,"San Francisco 49ers",9
player,201311100sfo,sfo,HuntKe00,pass_att,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_yds,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_td,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_int,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_sacked,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_long,0,,,,,
player,201311100sfo,sfo,HuntKe00,pass_rating,,,,,,
player,201311100sfo,sfo,HuntKe00,rush_att,3,,,,,
player,201311100sfo,sfo,HuntKe00,rush_yds,8,,,,,
player,201311100sfo,sfo,HuntKe00,rush_td,0,,,,,
player,201311100sfo,sfo,HuntKe00,rush_long,11,,,,,
player,201311100sfo,sfo,HuntKe00,targets,1,,,,,
player,201311100sfo,sfo,HuntKe00,rec,0,,,,,
player,201311100sfo,sfo,HuntKe00,rec_yds,0,,,,,
player,201311100sfo,sfo,HuntKe00,rec_td,0,,,,,
player,201311100sfo,sfo,HuntKe00,rec_long,0,,,,,
player,201311100sfo,sfo,HuntKe00,fumbles,1,,,,,
player,201311100sfo,sfo,HuntKe00,fumbles_lost,1,,,,,
player,201311100sfo,sfo,MannMa01,pass_cmp,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_att,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_yds,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_td,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_int,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_sacked,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_long,0,,,,,
player,201311100sfo,sfo,MannMa01,pass_rating,,,,,,
player,201311100sfo,sfo,MannMa01,rush_att,0,,,,,
player,201311100sfo,sfo,MannMa01,rush_yds,0,,,,,
player,201311100sfo,sfo,MannMa01,rush_td,0,,,,,
player,201311100sfo,sfo,MannMa01,rush_long,0,,,,,
player,201311100sfo,sfo,MannMa01,targets,6,,,,,
player,201311100sfo,sfo,MannMa01,rec,3,,,,,
player,201311100sfo,sfo,MannMa01,rec_yds,30,,,,,
player,201311100sfo,sfo,MannMa01,rec_td,0,,,,,
player,201311100sfo,sfo,MannMa01,rec_long,14,,,,,
player,201311100sfo,sfo,MannMa01,fumbles,0,,,,,
player,201311100sfo,sfo,MannMa01,fumbles_lost,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_cmp,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_att,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_yds,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_td,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_int,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_sacked,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_long,0,,,,,
player,201311100sfo,sfo,BoldAn00,pass_rating,,,,,,
player,201311100sfo,sfo,BoldAn00,rush_att,0,,,,,
player,201311100sfo,sfo,BoldAn00,rush_yds,0,,,,,
player,201311100sfo,sfo,BoldAn00,rush_td,0,,,,,
player,201311100sfo,sfo,BoldAn00,rush_long,0,,,,,
player,201311100sfo,sfo,BoldAn00,targets,5,,,,,
player,201311100sfo,sfo,BoldAn00,rec,3,,,,,
player,201311100sfo,sfo,BoldAn00,rec_yds,23,,,,,
player,201311100sfo,sfo,BoldAn00,rec_td,0,,,,,
player,201311100sfo,sfo,BoldAn00,rec_long,9,,,,,
player,201311100sfo,sfo,BoldAn00,fumbles,0,,,,,
player,201311100sfo,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_att,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_td,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_int,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_long,0,,,,,
player,201311100sfo,sfo,MillBr02,pass_rating,,,,,,
player,201311100sfo,sfo,MillBr02,rush_att,0,,,,,
player,201311100sfo,sfo,MillBr02,rush_yds,0,,,,,
player,201311100sfo,sfo,MillBr02,rush_td,0,,,,,
player,201311100sfo,sfo,MillBr02,rush_long,0,,,,,
player,201311100sfo,sfo,MillBr02,targets,2,,,,,
player,201311100sfo,sfo,MillBr02,rec,1,,,,,
player,201311100sfo,sfo,MillBr02,rec_yds,10,,,,,
player,201311100sfo,sfo,MillBr02,rec_td,0,,,,,
player,201311100sfo,sfo,MillBr02,rec_long,10,,,,,
player,201311100sfo,sfo,MillBr02,fumbles,0,,,,,
player,201311100sfo,sfo,MillBr02,fumbles_lost,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_cmp,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_att,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_yds,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_td,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_int,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_sacked,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_long,0,,,,,
player,201311100sfo,sfo,WillKy01,pass_rating,,,,,,
player,201311100sfo,sfo,WillKy01,rush_att,0,,,,,
player,201311100sfo,sfo,WillKy01,rush_yds,0,,,,,
player,201311100sfo,sfo,WillKy01,rush_td,0,,,,,
player,201311100sfo,sfo,WillKy01,rush_long,0,,,,,
player,201311100sfo,sfo,WillKy01,targets,2,,,,,
player,201311100sfo,sfo,WillKy01,rec,1,,,,,
player,201311100sfo,sfo,WillKy01,rec_yds,5,,,,,
player,201311100sfo,sfo,WillKy01,rec_td,0,,,,,
player,201311100sfo,sfo,WillKy01,rec_long,5,,,,,
player,201311100sfo,sfo,WillKy01,fumbles,0,,,,,
player,201311100sfo,sfo,WillKy01,fumbles_lost,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201311100sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201311100sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201311100sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201311100sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201311100sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201311100sfo,sfo,DaviVe00,targets,2,,,,,
player,201311100sfo,sfo,DaviVe00,rec,1,,,,,
player,201311100sfo,sfo,DaviVe00,rec_yds,2,,,,,
player,201311100sfo,sfo,DaviVe00,rec_td,0,,,,,
player,201311100sfo,sfo,DaviVe00,rec_long,2,,,,,
player,201311100sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201311100sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_cmp,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_att,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_yds,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_td,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_int,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_sacked,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_long,0,,,,,
player,201311100sfo,sfo,McDoVa00,pass_rating,,,,,,
player,201311100sfo,sfo,McDoVa00,rush_att,0,,,,,
player,201311100sfo,sfo,McDoVa00,rush_yds,0,,,,,
player,201311100sfo,sfo,McDoVa00,rush_td,0,,,,,
player,201311100sfo,sfo,McDoVa00,rush_long,0,,,,,
player,201311100sfo,sfo,McDoVa00,targets,2,,,,,
player,201311100sfo,sfo,McDoVa00,rec,0,,,,,
player,201311100sfo,sfo,McDoVa00,rec_yds,0,,,,,
player,201311100sfo,sfo,McDoVa00,rec_td,0,,,,,
player,201311100sfo,sfo,McDoVa00,rec_long,0,,,,,
player,201311100sfo,sfo,McDoVa00,fumbles,0,,,,,
player,201311100sfo,sfo,McDoVa00,fumbles_lost,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_cmp,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_att,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_yds,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_td,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_int,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_sacked,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_sacked_yds,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_long,0,,,,,
player,201311100sfo,sfo,JameLa00,pass_rating,,,,,,
player,201311100sfo,sfo,JameLa00,rush_att,1,,,,,
player,201311100sfo,sfo,JameLa00,rush_yds,-1,,,,,
player,201311100sfo,sfo,JameLa00,rush_td,0,,,,,
player,201311100sfo,sfo,JameLa00,rush_long,-1,,,,,
player,201311100sfo,sfo,JameLa00,targets,0,,,,,
player,201311100sfo,sfo,JameLa00,rec,0,,,,,
player,201311100sfo,sfo,JameLa00,rec_yds,0,,,,,
player,201311100sfo,sfo,JameLa00,rec_td,0,,,,,
player,201311100sfo,sfo,JameLa00,rec_long,0,,,,,
player,201311100sfo,sfo,JameLa00,fumbles,0,,,,,
player,201311100sfo,sfo,JameLa00,fumbles_lost,0,,,,,
player,201311100sfo,car,FlorDr20,def_int,1,,,,,
player,201311100sfo,car,FlorDr20,def_int_yds,2,,,,,
player,201311100sfo,car,FlorDr20,def_int_td,0,,,,,
player,201311100sfo,car,FlorDr20,def_int_long,2,,,,,
player,201311100sfo,car,FlorDr20,pass_defended,2,,,,,
player,201311100sfo,car,FlorDr20,sacks,0.0,,,,,
player,201311100sfo,car,FlorDr20,tackles_combined,0,,,,,
player,201311100sfo,car,FlorDr20,tackles_solo,0,,,,,
player,201311100sfo,car,FlorDr20,tackles_assists,0,,,,,
player,201311100sfo,car,FlorDr20,tackles_loss,0,,,,,
player,201311100sfo,car,FlorDr20,qb_hits,0,,,,,
player,201311100sfo,car,FlorDr20,fumbles_rec,0,,,,,
player,201311100sfo,car,FlorDr20,fumbles_rec_yds,0,,,,,
player,201311100sfo,car,FlorDr20,fumbles_rec_td,0,,,,,
player,201311100sfo,car,FlorDr20,fumbles_forced,0,,,,,
player,201311100sfo,car,EdwaDw20,def_int,0,,,,,
player,201311100sfo,car,EdwaDw20,def_int_yds,0,,,,,
player,201311100sfo,car,EdwaDw20,def_int_td,0,,,,,
player,201311100sfo,car,EdwaDw20,def_int_long,0,,,,,
player,201311100sfo,car,EdwaDw20,pass_defended,0,,,,,
player,201311100sfo,car,EdwaDw20,sacks,2.0,,,,,
player,201311100sfo,car,EdwaDw20,tackles_combined,3,,,,,
player,201311100sfo,car,EdwaDw20,tackles_solo,3,,,,,
player,201311100sfo,car,EdwaDw20,tackles_assists,0,,,,,
player,201311100sfo,car,EdwaDw20,tackles_loss,2,,,,,
player,201311100sfo,car,EdwaDw20,qb_hits,2,,,,,
player,201311100sfo,car,EdwaDw20,fumbles_rec,0,,,,,
player,201311100sfo,car,EdwaDw20,fumbles_rec_yds,0,,,,,
player,201311100sfo,car,EdwaDw20,fumbles_rec_td,0,,,,,
player,201311100sfo,car,EdwaDw20,fumbles_forced,0,,,,,
player,201311100sfo,car,JohnCh98,def_int,0,,,,,
player,201311100sfo,car,JohnCh98,def_int_yds,0,,,,,
player,201311100sfo,car,JohnCh98,def_int_td,0,,,,,
player,201311100sfo,car,JohnCh98,def_int_long,0,,,,,
player,201311100sfo,car,JohnCh98,pass_defended,0,,,,,
