game,2013,10,20131110,201311100nor,dal,"Dallas Cowboys",17,nor,"New Orleans Saints",49
team,201311100nor,dal,First Downs,9,,,,,,
team,201311100nor,nor,First Downs,40,,,,,,
team,201311100nor,dal,Rush-Yds-TDs,16-89-1,,,,,,
team,201311100nor,nor,Rush-Yds-TDs,38-242-3,,,,,,
team,201311100nor,dal,Cmp-Att-Yd-TD-INT,10-24-128-1-0,,,,,,
team,201311100nor,nor,Cmp-Att-Yd-TD-INT,34-41-392-4-0,,,,,,
team,201311100nor,dal,Sacked-Yards,3-24,,,,,,
team,201311100nor,nor,Sacked-Yards,1-9,,,,,,
team,201311100nor,dal,Net Pass Yards,104,,,,,,
team,201311100nor,nor,Net Pass Yards,383,,,,,,
team,201311100nor,dal,Total Yards,193,,,,,,
team,201311100nor,nor,Total Yards,625,,,,,,
team,201311100nor,dal,Fumbles-Lost,0-0,,,,,,
team,201311100nor,nor,Fumbles-Lost,1-1,,,,,,
team,201311100nor,dal,Turnovers,0,,,,,,
team,201311100nor,nor,Turnovers,1,,,,,,
team,201311100nor,dal,Penalties-Yards,11-82,,,,,,
team,201311100nor,nor,Penalties-Yards,6-44,,,,,,
team,201311100nor,dal,Third Down Conv.,0-9,,,,,,
team,201311100nor,nor,Third Down Conv.,9-12,,,,,,
team,201311100nor,dal,Fourth Down Conv.,0-0,,,,,,
team,201311100nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201311100nor,dal,Time of Possession,20:28,,,,,,
team,201311100nor,nor,Time of Possession,39:32,,,,,,
player,201311100nor,dal,RomoTo00,pass_cmp,10,,,,,
player,201311100nor,dal,RomoTo00,pass_att,24,,,,,
player,201311100nor,dal,RomoTo00,pass_yds,128,,,,,
player,201311100nor,dal,RomoTo00,pass_td,1,,,,,
player,201311100nor,dal,RomoTo00,pass_int,0,,,,,
player,201311100nor,dal,RomoTo00,pass_sacked,3,,,,,
player,201311100nor,dal,RomoTo00,pass_sacked_yds,24,,,,,
player,201311100nor,dal,RomoTo00,pass_long,44,,,,,
player,201311100nor,dal,RomoTo00,pass_rating,72.9,,,,,
player,201311100nor,dal,RomoTo00,rush_att,0,,,,,
player,201311100nor,dal,RomoTo00,rush_yds,0,,,,,
player,201311100nor,dal,RomoTo00,rush_td,0,,,,,
player,201311100nor,dal,RomoTo00,rush_long,0,,,,,
player,201311100nor,dal,RomoTo00,targets,0,,,,,
player,201311100nor,dal,RomoTo00,rec,0,,,,,
player,201311100nor,dal,RomoTo00,rec_yds,0,,,,,
player,201311100nor,dal,RomoTo00,rec_td,0,,,,,
player,201311100nor,dal,RomoTo00,rec_long,0,,,,,
player,201311100nor,dal,RomoTo00,fumbles,0,,,,,
player,201311100nor,dal,RomoTo00,fumbles_lost,0,,,,,
player,201311100nor,dal,MurrDe00,pass_cmp,0,,,,,
player,201311100nor,dal,MurrDe00,pass_att,0,,,,,
player,201311100nor,dal,MurrDe00,pass_yds,0,,,,,
player,201311100nor,dal,MurrDe00,pass_td,0,,,,,
player,201311100nor,dal,MurrDe00,pass_int,0,,,,,
player,201311100nor,dal,MurrDe00,pass_sacked,0,,,,,
player,201311100nor,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201311100nor,dal,MurrDe00,pass_long,0,,,,,
player,201311100nor,dal,MurrDe00,pass_rating,,,,,,
player,201311100nor,dal,MurrDe00,rush_att,16,,,,,
