game,2013,4,20130929,201309290rai,was,"Washington Redskins",24,rai,"Oakland Raiders",14
player,201309290rai,was,HankLe00,pass_sacked_yds,0,,,,,
player,201309290rai,was,HankLe00,pass_long,0,,,,,
player,201309290rai,was,HankLe00,pass_rating,,,,,,
player,201309290rai,was,HankLe00,rush_att,0,,,,,
player,201309290rai,was,HankLe00,rush_yds,0,,,,,
player,201309290rai,was,HankLe00,rush_td,0,,,,,
player,201309290rai,was,HankLe00,rush_long,0,,,,,
player,201309290rai,was,HankLe00,targets,7,,,,,
player,201309290rai,was,HankLe00,rec,4,,,,,
player,201309290rai,was,HankLe00,rec_yds,49,,,,,
player,201309290rai,was,HankLe00,rec_td,0,,,,,
player,201309290rai,was,HankLe00,rec_long,17,,,,,
player,201309290rai,was,HankLe00,fumbles,0,,,,,
player,201309290rai,was,HankLe00,fumbles_lost,0,,,,,
player,201309290rai,was,PaulLo00,pass_cmp,0,,,,,
player,201309290rai,was,PaulLo00,pass_att,0,,,,,
player,201309290rai,was,PaulLo00,pass_yds,0,,,,,
player,201309290rai,was,PaulLo00,pass_td,0,,,,,
player,201309290rai,was,PaulLo00,pass_int,0,,,,,
player,201309290rai,was,PaulLo00,pass_sacked,0,,,,,
player,201309290rai,was,PaulLo00,pass_sacked_yds,0,,,,,
player,201309290rai,was,PaulLo00,pass_long,0,,,,,
player,201309290rai,was,PaulLo00,pass_rating,,,,,,
player,201309290rai,was,PaulLo00,rush_att,0,,,,,
player,201309290rai,was,PaulLo00,rush_yds,0,,,,,
player,201309290rai,was,PaulLo00,rush_td,0,,,,,
player,201309290rai,was,PaulLo00,rush_long,0,,,,,
player,201309290rai,was,PaulLo00,targets,2,,,,,
player,201309290rai,was,PaulLo00,rec,2,,,,,
player,201309290rai,was,PaulLo00,rec_yds,46,,,,,
player,201309290rai,was,PaulLo00,rec_td,0,,,,,
player,201309290rai,was,PaulLo00,rec_long,33,,,,,
player,201309290rai,was,PaulLo00,fumbles,1,,,,,
player,201309290rai,was,PaulLo00,fumbles_lost,1,,,,,
player,201309290rai,was,PaulNi00,pass_cmp,0,,,,,
player,201309290rai,was,PaulNi00,pass_att,0,,,,,
player,201309290rai,was,PaulNi00,pass_yds,0,,,,,
player,201309290rai,was,PaulNi00,pass_td,0,,,,,
player,201309290rai,was,PaulNi00,pass_int,0,,,,,
player,201309290rai,was,PaulNi00,pass_sacked,0,,,,,
player,201309290rai,was,PaulNi00,pass_sacked_yds,0,,,,,
player,201309290rai,was,PaulNi00,pass_long,0,,,,,
player,201309290rai,was,PaulNi00,pass_rating,,,,,,
player,201309290rai,was,PaulNi00,rush_att,0,,,,,
player,201309290rai,was,PaulNi00,rush_yds,0,,,,,
player,201309290rai,was,PaulNi00,rush_td,0,,,,,
player,201309290rai,was,PaulNi00,rush_long,0,,,,,
player,201309290rai,was,PaulNi00,targets,3,,,,,
