game,2013,9,20131103,201311030sea,tam,"Tampa Bay Buccaneers",24,sea,"Seattle Seahawks",27
team,201311030sea,tam,First Downs,24,,,,,,
team,201311030sea,sea,First Downs,26,,,,,,
team,201311030sea,tam,Rush-Yds-TDs,38-205-0,,,,,,
team,201311030sea,sea,Rush-Yds-TDs,35-198-1,,,,,,
team,201311030sea,tam,Cmp-Att-Yd-TD-INT,18-24-170-3-0,,,,,,
team,201311030sea,sea,Cmp-Att-Yd-TD-INT,19-26-217-2-2,,,,,,
team,201311030sea,tam,Sacked-Yards,3-25,,,,,,
team,201311030sea,sea,Sacked-Yards,0-0,,,,,,
team,201311030sea,tam,Net Pass Yards,145,,,,,,
team,201311030sea,sea,Net Pass Yards,217,,,,,,
team,201311030sea,tam,Total Yards,350,,,,,,
team,201311030sea,sea,Total Yards,415,,,,,,
team,201311030sea,tam,Fumbles-Lost,1-0,,,,,,
team,201311030sea,sea,Fumbles-Lost,1-1,,,,,,
team,201311030sea,tam,Turnovers,0,,,,,,
team,201311030sea,sea,Turnovers,3,,,,,,
team,201311030sea,tam,Penalties-Yards,8-99,,,,,,
team,201311030sea,sea,Penalties-Yards,6-67,,,,,,
team,201311030sea,tam,Third Down Conv.,8-15,,,,,,
team,201311030sea,sea,Third Down Conv.,8-12,,,,,,
team,201311030sea,tam,Fourth Down Conv.,0-0,,,,,,
team,201311030sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201311030sea,tam,Time of Possession,36:37,,,,,,
team,201311030sea,sea,Time of Possession,30:12,,,,,,
player,201311030sea,tam,GlenMi00,pass_cmp,17,,,,,
player,201311030sea,tam,GlenMi00,pass_att,23,,,,,
player,201311030sea,tam,GlenMi00,pass_yds,168,,,,,
player,201311030sea,tam,GlenMi00,pass_td,2,,,,,
player,201311030sea,tam,GlenMi00,pass_int,0,,,,,
player,201311030sea,tam,GlenMi00,pass_sacked,3,,,,,
player,201311030sea,tam,GlenMi00,pass_sacked_yds,25,,,,,
player,201311030sea,tam,GlenMi00,pass_long,27,,,,,
player,201311030sea,tam,GlenMi00,pass_rating,123.1,,,,,
player,201311030sea,tam,GlenMi00,rush_att,4,,,,,
player,201311030sea,tam,GlenMi00,rush_yds,13,,,,,
player,201311030sea,tam,GlenMi00,rush_td,0,,,,,
player,201311030sea,tam,GlenMi00,rush_long,10,,,,,
player,201311030sea,tam,GlenMi00,targets,0,,,,,
player,201311030sea,tam,GlenMi00,rec,0,,,,,
player,201311030sea,tam,GlenMi00,rec_yds,0,,,,,
