game,2013,1,20130908,201309080cle,mia,"Miami Dolphins",23,cle,"Cleveland Browns",10
team,201309080cle,mia,First Downs,18,,,,,,
team,201309080cle,cle,First Downs,20,,,,,,
team,201309080cle,mia,Rush-Yds-TDs,23-20-1,,,,,,
team,201309080cle,cle,Rush-Yds-TDs,13-47-0,,,,,,
team,201309080cle,mia,Cmp-Att-Yd-TD-INT,24-38-272-1-1,,,,,,
team,201309080cle,cle,Cmp-Att-Yd-TD-INT,26-53-289-1-3,,,,,,
team,201309080cle,mia,Sacked-Yards,4-17,,,,,,
team,201309080cle,cle,Sacked-Yards,6-45,,,,,,
team,201309080cle,mia,Net Pass Yards,255,,,,,,
team,201309080cle,cle,Net Pass Yards,244,,,,,,
team,201309080cle,mia,Total Yards,275,,,,,,
team,201309080cle,cle,Total Yards,291,,,,,,
team,201309080cle,mia,Fumbles-Lost,0-0,,,,,,
team,201309080cle,cle,Fumbles-Lost,2-0,,,,,,
team,201309080cle,mia,Turnovers,1,,,,,,
team,201309080cle,cle,Turnovers,3,,,,,,
team,201309080cle,mia,Penalties-Yards,10-77,,,,,,
team,201309080cle,cle,Penalties-Yards,9-57,,,,,,
team,201309080cle,mia,Third Down Conv.,8-16,,,,,,
team,201309080cle,cle,Third Down Conv.,1-14,,,,,,
team,201309080cle,mia,Fourth Down Conv.,0-0,,,,,,
team,201309080cle,cle,Fourth Down Conv.,2-4,,,,,,
team,201309080cle,mia,Time of Possession,32:47,,,,,,
team,201309080cle,cle,Time of Possession,27:13,,,,,,
player,201309080cle,mia,TannRy00,pass_cmp,24,,,,,
player,201309080cle,mia,TannRy00,pass_att,38,,,,,
player,201309080cle,mia,TannRy00,pass_yds,272,,,,,
player,201309080cle,mia,TannRy00,pass_td,1,,,,,
player,201309080cle,mia,TannRy00,pass_int,1,,,,,
player,201309080cle,mia,TannRy00,pass_sacked,4,,,,,
player,201309080cle,mia,TannRy00,pass_sacked_yds,17,,,,,
player,201309080cle,mia,TannRy00,pass_long,34,,,,,
player,201309080cle,mia,TannRy00,pass_rating,82.3,,,,,
player,201309080cle,mia,TannRy00,rush_att,5,,,,,
player,201309080cle,mia,TannRy00,rush_yds,3,,,,,
player,201309080cle,mia,TannRy00,rush_td,0,,,,,
player,201309080cle,mia,TannRy00,rush_long,3,,,,,
player,201309080cle,mia,TannRy00,targets,0,,,,,
player,201309080cle,mia,TannRy00,rec,0,,,,,
player,201309080cle,mia,TannRy00,rec_yds,0,,,,,
player,201309080cle,mia,TannRy00,rec_td,0,,,,,
player,201309080cle,mia,TannRy00,rec_long,0,,,,,
player,201309080cle,mia,TannRy00,fumbles,0,,,,,
player,201309080cle,mia,TannRy00,fumbles_lost,0,,,,,
player,201309080cle,mia,ThomDa03,pass_cmp,0,,,,,
player,201309080cle,mia,ThomDa03,pass_att,0,,,,,
player,201309080cle,mia,ThomDa03,pass_yds,0,,,,,
player,201309080cle,mia,ThomDa03,pass_td,0,,,,,
player,201309080cle,mia,ThomDa03,pass_int,0,,,,,
player,201309080cle,mia,ThomDa03,pass_sacked,0,,,,,
player,201309080cle,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201309080cle,mia,ThomDa03,pass_long,0,,,,,
player,201309080cle,mia,ThomDa03,pass_rating,,,,,,
player,201309080cle,mia,ThomDa03,rush_att,8,,,,,
player,201309080cle,mia,ThomDa03,rush_yds,14,,,,,
player,201309080cle,mia,ThomDa03,rush_td,1,,,,,
player,201309080cle,mia,ThomDa03,rush_long,4,,,,,
player,201309080cle,mia,ThomDa03,targets,1,,,,,
player,201309080cle,mia,ThomDa03,rec,1,,,,,
player,201309080cle,mia,ThomDa03,rec_yds,5,,,,,
player,201309080cle,mia,ThomDa03,rec_td,0,,,,,
player,201309080cle,mia,ThomDa03,rec_long,5,,,,,
player,201309080cle,mia,ThomDa03,fumbles,0,,,,,
player,201309080cle,mia,ThomDa03,fumbles_lost,0,,,,,
player,201309080cle,mia,MillLa01,pass_cmp,0,,,,,
player,201309080cle,mia,MillLa01,pass_att,0,,,,,
player,201309080cle,mia,MillLa01,pass_yds,0,,,,,
player,201309080cle,mia,MillLa01,pass_td,0,,,,,
player,201309080cle,mia,MillLa01,pass_int,0,,,,,
player,201309080cle,mia,MillLa01,pass_sacked,0,,,,,
player,201309080cle,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201309080cle,mia,MillLa01,pass_long,0,,,,,
player,201309080cle,mia,MillLa01,pass_rating,,,,,,
player,201309080cle,mia,MillLa01,rush_att,10,,,,,
player,201309080cle,mia,MillLa01,rush_yds,3,,,,,
player,201309080cle,mia,MillLa01,rush_td,0,,,,,
player,201309080cle,mia,MillLa01,rush_long,5,,,,,
player,201309080cle,mia,MillLa01,targets,1,,,,,
player,201309080cle,mia,MillLa01,rec,1,,,,,
player,201309080cle,mia,MillLa01,rec_yds,7,,,,,
player,201309080cle,mia,MillLa01,rec_td,0,,,,,
player,201309080cle,mia,MillLa01,rec_long,7,,,,,
player,201309080cle,mia,MillLa01,fumbles,0,,,,,
player,201309080cle,mia,MillLa01,fumbles_lost,0,,,,,
player,201309080cle,mia,HartBr00,pass_cmp,0,,,,,
player,201309080cle,mia,HartBr00,pass_att,0,,,,,
player,201309080cle,mia,HartBr00,pass_yds,0,,,,,
player,201309080cle,mia,HartBr00,pass_td,0,,,,,
player,201309080cle,mia,HartBr00,pass_int,0,,,,,
player,201309080cle,mia,HartBr00,pass_sacked,0,,,,,
player,201309080cle,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201309080cle,mia,HartBr00,pass_long,0,,,,,
player,201309080cle,mia,HartBr00,pass_rating,,,,,,
player,201309080cle,mia,HartBr00,rush_att,0,,,,,
player,201309080cle,mia,HartBr00,rush_yds,0,,,,,
player,201309080cle,mia,HartBr00,rush_td,0,,,,,
player,201309080cle,mia,HartBr00,rush_long,0,,,,,
player,201309080cle,mia,HartBr00,targets,14,,,,,
player,201309080cle,mia,HartBr00,rec,9,,,,,
player,201309080cle,mia,HartBr00,rec_yds,114,,,,,
player,201309080cle,mia,HartBr00,rec_td,1,,,,,
player,201309080cle,mia,HartBr00,rec_long,34,,,,,
player,201309080cle,mia,HartBr00,fumbles,0,,,,,
player,201309080cle,mia,HartBr00,fumbles_lost,0,,,,,
player,201309080cle,mia,GibsBr00,pass_cmp,0,,,,,
player,201309080cle,mia,GibsBr00,pass_att,0,,,,,
player,201309080cle,mia,GibsBr00,pass_yds,0,,,,,
player,201309080cle,mia,GibsBr00,pass_td,0,,,,,
player,201309080cle,mia,GibsBr00,pass_int,0,,,,,
player,201309080cle,mia,GibsBr00,pass_sacked,0,,,,,
player,201309080cle,mia,GibsBr00,pass_sacked_yds,0,,,,,
player,201309080cle,mia,GibsBr00,pass_long,0,,,,,
player,201309080cle,mia,GibsBr00,pass_rating,,,,,,
player,201309080cle,mia,GibsBr00,rush_att,0,,,,,
player,201309080cle,mia,GibsBr00,rush_yds,0,,,,,
player,201309080cle,mia,GibsBr00,rush_td,0,,,,,
player,201309080cle,mia,GibsBr00,rush_long,0,,,,,
player,201309080cle,mia,GibsBr00,targets,10,,,,,
player,201309080cle,mia,GibsBr00,rec,7,,,,,
player,201309080cle,mia,GibsBr00,rec_yds,77,,,,,
player,201309080cle,mia,GibsBr00,rec_td,0,,,,,
player,201309080cle,mia,GibsBr00,rec_long,24,,,,,
player,201309080cle,mia,GibsBr00,fumbles,0,,,,,
player,201309080cle,mia,GibsBr00,fumbles_lost,0,,,,,
player,201309080cle,mia,ClayCh00,pass_cmp,0,,,,,
player,201309080cle,mia,ClayCh00,pass_att,0,,,,,
player,201309080cle,mia,ClayCh00,pass_yds,0,,,,,
player,201309080cle,mia,ClayCh00,pass_td,0,,,,,
player,201309080cle,mia,ClayCh00,pass_int,0,,,,,
player,201309080cle,mia,ClayCh00,pass_sacked,0,,,,,
player,201309080cle,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201309080cle,mia,ClayCh00,pass_long,0,,,,,
player,201309080cle,mia,ClayCh00,pass_rating,,,,,,
player,201309080cle,mia,ClayCh00,rush_att,0,,,,,
player,201309080cle,mia,ClayCh00,rush_yds,0,,,,,
player,201309080cle,mia,ClayCh00,rush_td,0,,,,,
player,201309080cle,mia,ClayCh00,rush_long,0,,,,,
player,201309080cle,mia,ClayCh00,targets,6,,,,,
player,201309080cle,mia,ClayCh00,rec,5,,,,,
player,201309080cle,mia,ClayCh00,rec_yds,54,,,,,
player,201309080cle,mia,ClayCh00,rec_td,0,,,,,
player,201309080cle,mia,ClayCh00,rec_long,20,,,,,
player,201309080cle,mia,ClayCh00,fumbles,0,,,,,
player,201309080cle,mia,ClayCh00,fumbles_lost,0,,,,,
player,201309080cle,mia,WallMi00,pass_cmp,0,,,,,
player,201309080cle,mia,WallMi00,pass_att,0,,,,,
player,201309080cle,mia,WallMi00,pass_yds,0,,,,,
player,201309080cle,mia,WallMi00,pass_td,0,,,,,
player,201309080cle,mia,WallMi00,pass_int,0,,,,,
player,201309080cle,mia,WallMi00,pass_sacked,0,,,,,
player,201309080cle,mia,WallMi00,pass_sacked_yds,0,,,,,
player,201309080cle,mia,WallMi00,pass_long,0,,,,,
player,201309080cle,mia,WallMi00,pass_rating,,,,,,
player,201309080cle,mia,WallMi00,rush_att,0,,,,,
player,201309080cle,mia,WallMi00,rush_yds,0,,,,,
player,201309080cle,mia,WallMi00,rush_td,0,,,,,
player,201309080cle,mia,WallMi00,rush_long,0,,,,,
player,201309080cle,mia,WallMi00,targets,5,,,,,
player,201309080cle,mia,WallMi00,rec,1,,,,,
player,201309080cle,mia,WallMi00,rec_yds,15,,,,,
player,201309080cle,mia,WallMi00,rec_td,0,,,,,
player,201309080cle,mia,WallMi00,rec_long,15,,,,,
player,201309080cle,mia,WallMi00,fumbles,0,,,,,
player,201309080cle,mia,WallMi00,fumbles_lost,0,,,,,
player,201309080cle,cle,WeedBr00,pass_cmp,26,,,,,
player,201309080cle,cle,WeedBr00,pass_att,53,,,,,
player,201309080cle,cle,WeedBr00,pass_yds,289,,,,,
player,201309080cle,cle,WeedBr00,pass_td,1,,,,,
player,201309080cle,cle,WeedBr00,pass_int,3,,,,,
player,201309080cle,cle,WeedBr00,pass_sacked,6,,,,,
player,201309080cle,cle,WeedBr00,pass_sacked_yds,45,,,,,
player,201309080cle,cle,WeedBr00,pass_long,22,,,,,
player,201309080cle,cle,WeedBr00,pass_rating,48.4,,,,,
player,201309080cle,cle,WeedBr00,rush_att,0,,,,,
player,201309080cle,cle,WeedBr00,rush_yds,0,,,,,
player,201309080cle,cle,WeedBr00,rush_td,0,,,,,
player,201309080cle,cle,WeedBr00,rush_long,0,,,,,
player,201309080cle,cle,WeedBr00,targets,0,,,,,
player,201309080cle,cle,WeedBr00,rec,0,,,,,
player,201309080cle,cle,WeedBr00,rec_yds,0,,,,,
player,201309080cle,cle,WeedBr00,rec_td,0,,,,,
player,201309080cle,cle,WeedBr00,rec_long,0,,,,,
player,201309080cle,cle,WeedBr00,fumbles,1,,,,,
player,201309080cle,cle,WeedBr00,fumbles_lost,0,,,,,
player,201309080cle,cle,RichTr00,pass_cmp,0,,,,,
player,201309080cle,cle,RichTr00,pass_att,0,,,,,
player,201309080cle,cle,RichTr00,pass_yds,0,,,,,
player,201309080cle,cle,RichTr00,pass_td,0,,,,,
player,201309080cle,cle,RichTr00,pass_int,0,,,,,
player,201309080cle,cle,RichTr00,pass_sacked,0,,,,,
player,201309080cle,cle,RichTr00,pass_sacked_yds,0,,,,,
player,201309080cle,cle,RichTr00,pass_long,0,,,,,
player,201309080cle,cle,RichTr00,pass_rating,,,,,,
player,201309080cle,cle,RichTr00,rush_att,13,,,,,
player,201309080cle,cle,RichTr00,rush_yds,47,,,,,
player,201309080cle,cle,RichTr00,rush_td,0,,,,,
player,201309080cle,cle,RichTr00,rush_long,10,,,,,
player,201309080cle,cle,RichTr00,targets,6,,,,,
player,201309080cle,cle,RichTr00,rec,2,,,,,
player,201309080cle,cle,RichTr00,rec_yds,30,,,,,
player,201309080cle,cle,RichTr00,rec_td,0,,,,,
player,201309080cle,cle,RichTr00,rec_long,18,,,,,
player,201309080cle,cle,RichTr00,fumbles,0,,,,,
player,201309080cle,cle,RichTr00,fumbles_lost,0,,,,,
player,201309080cle,cle,CameJo00,pass_cmp,0,,,,,
player,201309080cle,cle,CameJo00,pass_att,0,,,,,
player,201309080cle,cle,CameJo00,pass_yds,0,,,,,
player,201309080cle,cle,CameJo00,pass_td,0,,,,,
player,201309080cle,cle,CameJo00,pass_int,0,,,,,
player,201309080cle,cle,CameJo00,pass_sacked,0,,,,,
player,201309080cle,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201309080cle,cle,CameJo00,pass_long,0,,,,,
