game,2013,12,20131124,201311240crd,clt,"Indianapolis Colts",11,crd,"Arizona Cardinals",40
player,201311240crd,clt,BrazLa00,pass_int,0,,,,,
player,201311240crd,clt,BrazLa00,pass_sacked,0,,,,,
player,201311240crd,clt,BrazLa00,pass_sacked_yds,0,,,,,
player,201311240crd,clt,BrazLa00,pass_long,0,,,,,
player,201311240crd,clt,BrazLa00,pass_rating,,,,,,
player,201311240crd,clt,BrazLa00,rush_att,0,,,,,
player,201311240crd,clt,BrazLa00,rush_yds,0,,,,,
player,201311240crd,clt,BrazLa00,rush_td,0,,,,,
player,201311240crd,clt,BrazLa00,rush_long,0,,,,,
player,201311240crd,clt,BrazLa00,targets,5,,,,,
player,201311240crd,clt,BrazLa00,rec,3,,,,,
player,201311240crd,clt,BrazLa00,rec_yds,35,,,,,
player,201311240crd,clt,BrazLa00,rec_td,0,,,,,
player,201311240crd,clt,BrazLa00,rec_long,14,,,,,
player,201311240crd,clt,BrazLa00,fumbles,0,,,,,
player,201311240crd,clt,BrazLa00,fumbles_lost,0,,,,,
player,201311240crd,clt,HeywDa00,pass_cmp,0,,,,,
player,201311240crd,clt,HeywDa00,pass_att,0,,,,,
player,201311240crd,clt,HeywDa00,pass_yds,0,,,,,
player,201311240crd,clt,HeywDa00,pass_td,0,,,,,
player,201311240crd,clt,HeywDa00,pass_int,0,,,,,
player,201311240crd,clt,HeywDa00,pass_sacked,0,,,,,
player,201311240crd,clt,HeywDa00,pass_sacked_yds,0,,,,,
player,201311240crd,clt,HeywDa00,pass_long,0,,,,,
player,201311240crd,clt,HeywDa00,pass_rating,,,,,,
player,201311240crd,clt,HeywDa00,rush_att,0,,,,,
player,201311240crd,clt,HeywDa00,rush_yds,0,,,,,
player,201311240crd,clt,HeywDa00,rush_td,0,,,,,
player,201311240crd,clt,HeywDa00,rush_long,0,,,,,
player,201311240crd,clt,HeywDa00,targets,6,,,,,
player,201311240crd,clt,HeywDa00,rec,3,,,,,
player,201311240crd,clt,HeywDa00,rec_yds,22,,,,,
player,201311240crd,clt,HeywDa00,rec_td,0,,,,,
player,201311240crd,clt,HeywDa00,rec_long,10,,,,,
player,201311240crd,clt,HeywDa00,fumbles,0,,,,,
player,201311240crd,clt,HeywDa00,fumbles_lost,0,,,,,
player,201311240crd,clt,CunnJu00,pass_cmp,0,,,,,
player,201311240crd,clt,CunnJu00,pass_att,0,,,,,
player,201311240crd,clt,CunnJu00,pass_yds,0,,,,,
player,201311240crd,clt,CunnJu00,pass_td,0,,,,,
player,201311240crd,clt,CunnJu00,pass_int,0,,,,,
player,201311240crd,clt,CunnJu00,pass_sacked,0,,,,,
player,201311240crd,clt,CunnJu00,pass_sacked_yds,0,,,,,
player,201311240crd,clt,CunnJu00,pass_long,0,,,,,
player,201311240crd,clt,CunnJu00,pass_rating,,,,,,
player,201311240crd,clt,CunnJu00,rush_att,0,,,,,
player,201311240crd,clt,CunnJu00,rush_yds,0,,,,,
player,201311240crd,clt,CunnJu00,rush_td,0,,,,,
player,201311240crd,clt,CunnJu00,rush_long,0,,,,,
player,201311240crd,clt,CunnJu00,targets,1,,,,,
player,201311240crd,clt,CunnJu00,rec,1,,,,,
player,201311240crd,clt,CunnJu00,rec_yds,4,,,,,
player,201311240crd,clt,CunnJu00,rec_td,0,,,,,
player,201311240crd,clt,CunnJu00,rec_long,4,,,,,
player,201311240crd,clt,CunnJu00,fumbles,0,,,,,
player,201311240crd,clt,CunnJu00,fumbles_lost,0,,,,,
player,201311240crd,clt,SateSa20,pass_cmp,0,,,,,
player,201311240crd,clt,SateSa20,pass_att,0,,,,,
player,201311240crd,clt,SateSa20,pass_yds,0,,,,,
player,201311240crd,clt,SateSa20,pass_td,0,,,,,
player,201311240crd,clt,SateSa20,pass_int,0,,,,,
player,201311240crd,clt,SateSa20,pass_sacked,0,,,,,
player,201311240crd,clt,SateSa20,pass_sacked_yds,0,,,,,
player,201311240crd,clt,SateSa20,pass_long,0,,,,,
player,201311240crd,clt,SateSa20,pass_rating,,,,,,
player,201311240crd,clt,SateSa20,rush_att,0,,,,,
player,201311240crd,clt,SateSa20,rush_yds,0,,,,,
player,201311240crd,clt,SateSa20,rush_td,0,,,,,
player,201311240crd,clt,SateSa20,rush_long,0,,,,,
player,201311240crd,clt,SateSa20,targets,1,,,,,
player,201311240crd,clt,SateSa20,rec,1,,,,,
player,201311240crd,clt,SateSa20,rec_yds,0,,,,,
player,201311240crd,clt,SateSa20,rec_td,0,,,,,
player,201311240crd,clt,SateSa20,rec_long,0,,,,,
player,201311240crd,clt,SateSa20,fumbles,0,,,,,
player,201311240crd,clt,SateSa20,fumbles_lost,0,,,,,
player,201311240crd,clt,ReedDa00,pass_cmp,0,,,,,
player,201311240crd,clt,ReedDa00,pass_att,0,,,,,
player,201311240crd,clt,ReedDa00,pass_yds,0,,,,,
player,201311240crd,clt,ReedDa00,pass_td,0,,,,,
player,201311240crd,clt,ReedDa00,pass_int,0,,,,,
player,201311240crd,clt,ReedDa00,pass_sacked,0,,,,,
player,201311240crd,clt,ReedDa00,pass_sacked_yds,0,,,,,
player,201311240crd,clt,ReedDa00,pass_long,0,,,,,
player,201311240crd,clt,ReedDa00,pass_rating,,,,,,
player,201311240crd,clt,ReedDa00,rush_att,0,,,,,
player,201311240crd,clt,ReedDa00,rush_yds,0,,,,,
player,201311240crd,clt,ReedDa00,rush_td,0,,,,,
player,201311240crd,clt,ReedDa00,rush_long,0,,,,,
player,201311240crd,clt,ReedDa00,targets,2,,,,,
player,201311240crd,clt,ReedDa00,rec,0,,,,,
player,201311240crd,clt,ReedDa00,rec_yds,0,,,,,
player,201311240crd,clt,ReedDa00,rec_td,0,,,,,
player,201311240crd,clt,ReedDa00,rec_long,0,,,,,
player,201311240crd,clt,ReedDa00,fumbles,0,,,,,
player,201311240crd,clt,ReedDa00,fumbles_lost,0,,,,,
player,201311240crd,clt,SaunWe00,pass_cmp,0,,,,,
player,201311240crd,clt,SaunWe00,pass_att,0,,,,,
player,201311240crd,clt,SaunWe00,pass_yds,0,,,,,
player,201311240crd,clt,SaunWe00,pass_td,0,,,,,
player,201311240crd,clt,SaunWe00,pass_int,0,,,,,
player,201311240crd,clt,SaunWe00,pass_sacked,0,,,,,
player,201311240crd,clt,SaunWe00,pass_sacked_yds,0,,,,,
player,201311240crd,clt,SaunWe00,pass_long,0,,,,,
player,201311240crd,clt,SaunWe00,pass_rating,,,,,,
player,201311240crd,clt,SaunWe00,rush_att,0,,,,,
player,201311240crd,clt,SaunWe00,rush_yds,0,,,,,
player,201311240crd,clt,SaunWe00,rush_td,0,,,,,
player,201311240crd,clt,SaunWe00,rush_long,0,,,,,
player,201311240crd,clt,SaunWe00,targets,2,,,,,
player,201311240crd,clt,SaunWe00,rec,0,,,,,
player,201311240crd,clt,SaunWe00,rec_yds,0,,,,,
player,201311240crd,clt,SaunWe00,rec_td,0,,,,,
player,201311240crd,clt,SaunWe00,rec_long,0,,,,,
player,201311240crd,clt,SaunWe00,fumbles,0,,,,,
player,201311240crd,clt,SaunWe00,fumbles_lost,0,,,,,
player,201311240crd,crd,PalmCa00,pass_cmp,26,,,,,
player,201311240crd,crd,PalmCa00,pass_att,37,,,,,
player,201311240crd,crd,PalmCa00,pass_yds,314,,,,,
player,201311240crd,crd,PalmCa00,pass_td,2,,,,,
player,201311240crd,crd,PalmCa00,pass_int,0,,,,,
player,201311240crd,crd,PalmCa00,pass_sacked,3,,,,,
player,201311240crd,crd,PalmCa00,pass_sacked_yds,24,,,,,
player,201311240crd,crd,PalmCa00,pass_long,32,,,,,
player,201311240crd,crd,PalmCa00,pass_rating,114.0,,,,,
player,201311240crd,crd,PalmCa00,rush_att,0,,,,,
player,201311240crd,crd,PalmCa00,rush_yds,0,,,,,
player,201311240crd,crd,PalmCa00,rush_td,0,,,,,
player,201311240crd,crd,PalmCa00,rush_long,0,,,,,
player,201311240crd,crd,PalmCa00,targets,0,,,,,
player,201311240crd,crd,PalmCa00,rec,0,,,,,
player,201311240crd,crd,PalmCa00,rec_yds,0,,,,,
player,201311240crd,crd,PalmCa00,rec_td,0,,,,,
player,201311240crd,crd,PalmCa00,rec_long,0,,,,,
player,201311240crd,crd,PalmCa00,fumbles,1,,,,,
player,201311240crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201311240crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201311240crd,crd,FitzLa00,pass_att,1,,,,,
player,201311240crd,crd,FitzLa00,pass_yds,0,,,,,
player,201311240crd,crd,FitzLa00,pass_td,0,,,,,
player,201311240crd,crd,FitzLa00,pass_int,0,,,,,
player,201311240crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201311240crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,FitzLa00,pass_long,0,,,,,
player,201311240crd,crd,FitzLa00,pass_rating,39.6,,,,,
player,201311240crd,crd,FitzLa00,rush_att,1,,,,,
player,201311240crd,crd,FitzLa00,rush_yds,4,,,,,
player,201311240crd,crd,FitzLa00,rush_td,0,,,,,
player,201311240crd,crd,FitzLa00,rush_long,4,,,,,
player,201311240crd,crd,FitzLa00,targets,11,,,,,
player,201311240crd,crd,FitzLa00,rec,5,,,,,
player,201311240crd,crd,FitzLa00,rec_yds,52,,,,,
player,201311240crd,crd,FitzLa00,rec_td,2,,,,,
player,201311240crd,crd,FitzLa00,rec_long,26,,,,,
player,201311240crd,crd,FitzLa00,fumbles,0,,,,,
player,201311240crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201311240crd,crd,MendRa00,pass_cmp,0,,,,,
player,201311240crd,crd,MendRa00,pass_att,0,,,,,
player,201311240crd,crd,MendRa00,pass_yds,0,,,,,
player,201311240crd,crd,MendRa00,pass_td,0,,,,,
player,201311240crd,crd,MendRa00,pass_int,0,,,,,
player,201311240crd,crd,MendRa00,pass_sacked,0,,,,,
player,201311240crd,crd,MendRa00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,MendRa00,pass_long,0,,,,,
player,201311240crd,crd,MendRa00,pass_rating,,,,,,
player,201311240crd,crd,MendRa00,rush_att,13,,,,,
player,201311240crd,crd,MendRa00,rush_yds,54,,,,,
player,201311240crd,crd,MendRa00,rush_td,1,,,,,
player,201311240crd,crd,MendRa00,rush_long,15,,,,,
player,201311240crd,crd,MendRa00,targets,2,,,,,
player,201311240crd,crd,MendRa00,rec,1,,,,,
player,201311240crd,crd,MendRa00,rec_yds,24,,,,,
player,201311240crd,crd,MendRa00,rec_td,0,,,,,
player,201311240crd,crd,MendRa00,rec_long,24,,,,,
player,201311240crd,crd,MendRa00,fumbles,0,,,,,
player,201311240crd,crd,MendRa00,fumbles_lost,0,,,,,
player,201311240crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201311240crd,crd,ElliAn00,pass_att,0,,,,,
player,201311240crd,crd,ElliAn00,pass_yds,0,,,,,
player,201311240crd,crd,ElliAn00,pass_td,0,,,,,
player,201311240crd,crd,ElliAn00,pass_int,0,,,,,
player,201311240crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201311240crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,ElliAn00,pass_long,0,,,,,
player,201311240crd,crd,ElliAn00,pass_rating,,,,,,
player,201311240crd,crd,ElliAn00,rush_att,10,,,,,
player,201311240crd,crd,ElliAn00,rush_yds,50,,,,,
player,201311240crd,crd,ElliAn00,rush_td,0,,,,,
player,201311240crd,crd,ElliAn00,rush_long,17,,,,,
player,201311240crd,crd,ElliAn00,targets,2,,,,,
player,201311240crd,crd,ElliAn00,rec,2,,,,,
player,201311240crd,crd,ElliAn00,rec_yds,21,,,,,
player,201311240crd,crd,ElliAn00,rec_td,0,,,,,
player,201311240crd,crd,ElliAn00,rec_long,13,,,,,
player,201311240crd,crd,ElliAn00,fumbles,0,,,,,
player,201311240crd,crd,ElliAn00,fumbles_lost,0,,,,,
player,201311240crd,crd,TaylSt00,pass_cmp,0,,,,,
player,201311240crd,crd,TaylSt00,pass_att,0,,,,,
player,201311240crd,crd,TaylSt00,pass_yds,0,,,,,
player,201311240crd,crd,TaylSt00,pass_td,0,,,,,
player,201311240crd,crd,TaylSt00,pass_int,0,,,,,
player,201311240crd,crd,TaylSt00,pass_sacked,0,,,,,
player,201311240crd,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,TaylSt00,pass_long,0,,,,,
player,201311240crd,crd,TaylSt00,pass_rating,,,,,,
player,201311240crd,crd,TaylSt00,rush_att,5,,,,,
player,201311240crd,crd,TaylSt00,rush_yds,10,,,,,
player,201311240crd,crd,TaylSt00,rush_td,0,,,,,
player,201311240crd,crd,TaylSt00,rush_long,3,,,,,
player,201311240crd,crd,TaylSt00,targets,1,,,,,
player,201311240crd,crd,TaylSt00,rec,1,,,,,
player,201311240crd,crd,TaylSt00,rec_yds,1,,,,,
player,201311240crd,crd,TaylSt00,rec_td,0,,,,,
player,201311240crd,crd,TaylSt00,rec_long,1,,,,,
player,201311240crd,crd,TaylSt00,fumbles,0,,,,,
player,201311240crd,crd,TaylSt00,fumbles_lost,0,,,,,
player,201311240crd,crd,PetePa00,pass_cmp,0,,,,,
player,201311240crd,crd,PetePa00,pass_att,0,,,,,
player,201311240crd,crd,PetePa00,pass_yds,0,,,,,
player,201311240crd,crd,PetePa00,pass_td,0,,,,,
player,201311240crd,crd,PetePa00,pass_int,0,,,,,
player,201311240crd,crd,PetePa00,pass_sacked,0,,,,,
player,201311240crd,crd,PetePa00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,PetePa00,pass_long,0,,,,,
player,201311240crd,crd,PetePa00,pass_rating,,,,,,
player,201311240crd,crd,PetePa00,rush_att,1,,,,,
player,201311240crd,crd,PetePa00,rush_yds,2,,,,,
player,201311240crd,crd,PetePa00,rush_td,0,,,,,
player,201311240crd,crd,PetePa00,rush_long,2,,,,,
player,201311240crd,crd,PetePa00,targets,1,,,,,
player,201311240crd,crd,PetePa00,rec,1,,,,,
player,201311240crd,crd,PetePa00,rec_yds,-4,,,,,
player,201311240crd,crd,PetePa00,rec_td,0,,,,,
player,201311240crd,crd,PetePa00,rec_long,-4,,,,,
player,201311240crd,crd,PetePa00,fumbles,0,,,,,
player,201311240crd,crd,PetePa00,fumbles_lost,0,,,,,
player,201311240crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201311240crd,crd,FloyMi00,pass_att,0,,,,,
player,201311240crd,crd,FloyMi00,pass_yds,0,,,,,
player,201311240crd,crd,FloyMi00,pass_td,0,,,,,
player,201311240crd,crd,FloyMi00,pass_int,0,,,,,
player,201311240crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201311240crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,FloyMi00,pass_long,0,,,,,
player,201311240crd,crd,FloyMi00,pass_rating,,,,,,
player,201311240crd,crd,FloyMi00,rush_att,0,,,,,
player,201311240crd,crd,FloyMi00,rush_yds,0,,,,,
player,201311240crd,crd,FloyMi00,rush_td,0,,,,,
player,201311240crd,crd,FloyMi00,rush_long,0,,,,,
player,201311240crd,crd,FloyMi00,targets,7,,,,,
player,201311240crd,crd,FloyMi00,rec,7,,,,,
player,201311240crd,crd,FloyMi00,rec_yds,104,,,,,
player,201311240crd,crd,FloyMi00,rec_td,0,,,,,
player,201311240crd,crd,FloyMi00,rec_long,29,,,,,
player,201311240crd,crd,FloyMi00,fumbles,0,,,,,
player,201311240crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201311240crd,crd,HousRo01,pass_cmp,0,,,,,
player,201311240crd,crd,HousRo01,pass_att,0,,,,,
player,201311240crd,crd,HousRo01,pass_yds,0,,,,,
player,201311240crd,crd,HousRo01,pass_td,0,,,,,
player,201311240crd,crd,HousRo01,pass_int,0,,,,,
player,201311240crd,crd,HousRo01,pass_sacked,0,,,,,
player,201311240crd,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201311240crd,crd,HousRo01,pass_long,0,,,,,
player,201311240crd,crd,HousRo01,pass_rating,,,,,,
player,201311240crd,crd,HousRo01,rush_att,0,,,,,
player,201311240crd,crd,HousRo01,rush_yds,0,,,,,
player,201311240crd,crd,HousRo01,rush_td,0,,,,,
player,201311240crd,crd,HousRo01,rush_long,0,,,,,
player,201311240crd,crd,HousRo01,targets,5,,,,,
player,201311240crd,crd,HousRo01,rec,4,,,,,
player,201311240crd,crd,HousRo01,rec_yds,51,,,,,
player,201311240crd,crd,HousRo01,rec_td,0,,,,,
player,201311240crd,crd,HousRo01,rec_long,20,,,,,
player,201311240crd,crd,HousRo01,fumbles,0,,,,,
player,201311240crd,crd,HousRo01,fumbles_lost,0,,,,,
player,201311240crd,crd,RobeAn00,pass_cmp,0,,,,,
player,201311240crd,crd,RobeAn00,pass_att,0,,,,,
player,201311240crd,crd,RobeAn00,pass_yds,0,,,,,
player,201311240crd,crd,RobeAn00,pass_td,0,,,,,
player,201311240crd,crd,RobeAn00,pass_int,0,,,,,
player,201311240crd,crd,RobeAn00,pass_sacked,0,,,,,
player,201311240crd,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201311240crd,crd,RobeAn00,pass_long,0,,,,,
player,201311240crd,crd,RobeAn00,pass_rating,,,,,,
player,201311240crd,crd,RobeAn00,rush_att,0,,,,,
player,201311240crd,crd,RobeAn00,rush_yds,0,,,,,
player,201311240crd,crd,RobeAn00,rush_td,0,,,,,
player,201311240crd,crd,RobeAn00,rush_long,0,,,,,
player,201311240crd,crd,RobeAn00,targets,5,,,,,
player,201311240crd,crd,RobeAn00,rec,3,,,,,
player,201311240crd,crd,RobeAn00,rec_yds,43,,,,,
player,201311240crd,crd,RobeAn00,rec_td,0,,,,,
player,201311240crd,crd,RobeAn00,rec_long,32,,,,,
player,201311240crd,crd,RobeAn00,fumbles,0,,,,,
player,201311240crd,crd,RobeAn00,fumbles_lost,0,,,,,
player,201311240crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201311240crd,crd,BrowJa03,pass_att,0,,,,,
player,201311240crd,crd,BrowJa03,pass_yds,0,,,,,
player,201311240crd,crd,BrowJa03,pass_td,0,,,,,
player,201311240crd,crd,BrowJa03,pass_int,0,,,,,
player,201311240crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201311240crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201311240crd,crd,BrowJa03,pass_long,0,,,,,
player,201311240crd,crd,BrowJa03,pass_rating,,,,,,
player,201311240crd,crd,BrowJa03,rush_att,0,,,,,
player,201311240crd,crd,BrowJa03,rush_yds,0,,,,,
player,201311240crd,crd,BrowJa03,rush_td,0,,,,,
player,201311240crd,crd,BrowJa03,rush_long,0,,,,,
player,201311240crd,crd,BrowJa03,targets,1,,,,,
