game,2013,6,20131013,201310130nwe,nor,"New Orleans Saints",27,nwe,"New England Patriots",30
player,201310130nwe,nor,LewiKe96,def_int_td,0,,,,,
player,201310130nwe,nor,LewiKe96,def_int_long,0,,,,,
player,201310130nwe,nor,LewiKe96,pass_defended,2,,,,,
player,201310130nwe,nor,LewiKe96,sacks,0.0,,,,,
player,201310130nwe,nor,LewiKe96,tackles_combined,7,,,,,
player,201310130nwe,nor,LewiKe96,tackles_solo,5,,,,,
player,201310130nwe,nor,LewiKe96,tackles_assists,2,,,,,
player,201310130nwe,nor,LewiKe96,tackles_loss,0,,,,,
player,201310130nwe,nor,LewiKe96,qb_hits,0,,,,,
player,201310130nwe,nor,LewiKe96,fumbles_rec,0,,,,,
player,201310130nwe,nor,LewiKe96,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,LewiKe96,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,LewiKe96,fumbles_forced,0,,,,,
player,201310130nwe,nor,JenkMa99,def_int,0,,,,,
player,201310130nwe,nor,JenkMa99,def_int_yds,0,,,,,
player,201310130nwe,nor,JenkMa99,def_int_td,0,,,,,
player,201310130nwe,nor,JenkMa99,def_int_long,0,,,,,
player,201310130nwe,nor,JenkMa99,pass_defended,1,,,,,
player,201310130nwe,nor,JenkMa99,sacks,1.5,,,,,
player,201310130nwe,nor,JenkMa99,tackles_combined,8,,,,,
player,201310130nwe,nor,JenkMa99,tackles_solo,3,,,,,
player,201310130nwe,nor,JenkMa99,tackles_assists,5,,,,,
player,201310130nwe,nor,JenkMa99,tackles_loss,2,,,,,
player,201310130nwe,nor,JenkMa99,qb_hits,2,,,,,
player,201310130nwe,nor,JenkMa99,fumbles_rec,0,,,,,
player,201310130nwe,nor,JenkMa99,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,JenkMa99,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,JenkMa99,fumbles_forced,0,,,,,
player,201310130nwe,nor,LoftCu99,def_int,0,,,,,
player,201310130nwe,nor,LoftCu99,def_int_yds,0,,,,,
player,201310130nwe,nor,LoftCu99,def_int_td,0,,,,,
player,201310130nwe,nor,LoftCu99,def_int_long,0,,,,,
player,201310130nwe,nor,LoftCu99,pass_defended,0,,,,,
player,201310130nwe,nor,LoftCu99,sacks,1.0,,,,,
player,201310130nwe,nor,LoftCu99,tackles_combined,12,,,,,
player,201310130nwe,nor,LoftCu99,tackles_solo,8,,,,,
player,201310130nwe,nor,LoftCu99,tackles_assists,4,,,,,
player,201310130nwe,nor,LoftCu99,tackles_loss,1,,,,,
player,201310130nwe,nor,LoftCu99,qb_hits,1,,,,,
player,201310130nwe,nor,LoftCu99,fumbles_rec,0,,,,,
player,201310130nwe,nor,LoftCu99,fumbles_rec_yds,0,,,,,
player,201310130nwe,nor,LoftCu99,fumbles_rec_td,0,,,,,
player,201310130nwe,nor,LoftCu99,fumbles_forced,0,,,,,
player,201310130nwe,nor,JordCa00,def_int,0,,,,,
