game,2013,14,20131208,201312080rav,min,"Minnesota Vikings",26,rav,"Baltimore Ravens",29
team,201312080rav,min,First Downs,15,,,,,,
team,201312080rav,rav,First Downs,23,,,,,,
team,201312080rav,min,Rush-Yds-TDs,25-114-1,,,,,,
team,201312080rav,rav,Rush-Yds-TDs,27-97-0,,,,,,
team,201312080rav,min,Cmp-Att-Yd-TD-INT,17-38-265-2-0,,,,,,
team,201312080rav,rav,Cmp-Att-Yd-TD-INT,28-50-245-3-3,,,,,,
team,201312080rav,min,Sacked-Yards,0-0,,,,,,
team,201312080rav,rav,Sacked-Yards,2-17,,,,,,
team,201312080rav,min,Net Pass Yards,265,,,,,,
team,201312080rav,rav,Net Pass Yards,228,,,,,,
team,201312080rav,min,Total Yards,379,,,,,,
team,201312080rav,rav,Total Yards,325,,,,,,
team,201312080rav,min,Fumbles-Lost,3-1,,,,,,
team,201312080rav,rav,Fumbles-Lost,1-0,,,,,,
team,201312080rav,min,Turnovers,1,,,,,,
team,201312080rav,rav,Turnovers,3,,,,,,
team,201312080rav,min,Penalties-Yards,6-90,,,,,,
team,201312080rav,rav,Penalties-Yards,5-45,,,,,,
team,201312080rav,min,Third Down Conv.,5-17,,,,,,
team,201312080rav,rav,Third Down Conv.,6-16,,,,,,
team,201312080rav,min,Fourth Down Conv.,1-1,,,,,,
team,201312080rav,rav,Fourth Down Conv.,1-3,,,,,,
team,201312080rav,min,Time of Possession,27:48,,,,,,
team,201312080rav,rav,Time of Possession,32:12,,,,,,
player,201312080rav,min,CassMa00,pass_cmp,17,,,,,
player,201312080rav,min,CassMa00,pass_att,38,,,,,
player,201312080rav,min,CassMa00,pass_yds,265,,,,,
player,201312080rav,min,CassMa00,pass_td,2,,,,,
player,201312080rav,min,CassMa00,pass_int,0,,,,,
player,201312080rav,min,CassMa00,pass_sacked,0,,,,,
player,201312080rav,min,CassMa00,pass_sacked_yds,0,,,,,
player,201312080rav,min,CassMa00,pass_long,79,,,,,
player,201312080rav,min,CassMa00,pass_rating,86.0,,,,,
player,201312080rav,min,CassMa00,rush_att,2,,,,,
player,201312080rav,min,CassMa00,rush_yds,6,,,,,
player,201312080rav,min,CassMa00,rush_td,0,,,,,
player,201312080rav,min,CassMa00,rush_long,5,,,,,
player,201312080rav,min,CassMa00,targets,0,,,,,
player,201312080rav,min,CassMa00,rec,0,,,,,
player,201312080rav,min,CassMa00,rec_yds,0,,,,,
player,201312080rav,min,CassMa00,rec_td,0,,,,,
player,201312080rav,min,CassMa00,rec_long,0,,,,,
player,201312080rav,min,CassMa00,fumbles,0,,,,,
player,201312080rav,min,CassMa00,fumbles_lost,0,,,,,
player,201312080rav,min,GerhTo00,pass_cmp,0,,,,,
player,201312080rav,min,GerhTo00,pass_att,0,,,,,
player,201312080rav,min,GerhTo00,pass_yds,0,,,,,
player,201312080rav,min,GerhTo00,pass_td,0,,,,,
player,201312080rav,min,GerhTo00,pass_int,0,,,,,
player,201312080rav,min,GerhTo00,pass_sacked,0,,,,,
player,201312080rav,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201312080rav,min,GerhTo00,pass_long,0,,,,,
player,201312080rav,min,GerhTo00,pass_rating,,,,,,
player,201312080rav,min,GerhTo00,rush_att,15,,,,,
player,201312080rav,min,GerhTo00,rush_yds,89,,,,,
player,201312080rav,min,GerhTo00,rush_td,1,,,,,
player,201312080rav,min,GerhTo00,rush_long,41,,,,,
