game,2013,10,20131110,201311100gnb,phi,"Philadelphia Eagles",27,gnb,"Green Bay Packers",13
team,201311100gnb,phi,First Downs,19,,,,,,
team,201311100gnb,gnb,First Downs,23,,,,,,
team,201311100gnb,phi,Rush-Yds-TDs,37-204-0,,,,,,
team,201311100gnb,gnb,Rush-Yds-TDs,30-99-0,,,,,,
team,201311100gnb,phi,Cmp-Att-Yd-TD-INT,12-18-228-3-0,,,,,,
team,201311100gnb,gnb,Cmp-Att-Yd-TD-INT,29-44-305-1-2,,,,,,
team,201311100gnb,phi,Sacked-Yards,3-17,,,,,,
team,201311100gnb,gnb,Sacked-Yards,1-8,,,,,,
team,201311100gnb,phi,Net Pass Yards,211,,,,,,
team,201311100gnb,gnb,Net Pass Yards,297,,,,,,
team,201311100gnb,phi,Total Yards,415,,,,,,
team,201311100gnb,gnb,Total Yards,396,,,,,,
team,201311100gnb,phi,Fumbles-Lost,1-1,,,,,,
team,201311100gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201311100gnb,phi,Turnovers,1,,,,,,
team,201311100gnb,gnb,Turnovers,2,,,,,,
team,201311100gnb,phi,Penalties-Yards,5-65,,,,,,
team,201311100gnb,gnb,Penalties-Yards,5-31,,,,,,
team,201311100gnb,phi,Third Down Conv.,4-11,,,,,,
team,201311100gnb,gnb,Third Down Conv.,7-16,,,,,,
team,201311100gnb,phi,Fourth Down Conv.,0-0,,,,,,
team,201311100gnb,gnb,Fourth Down Conv.,1-2,,,,,,
team,201311100gnb,phi,Time of Possession,25:36,,,,,,
team,201311100gnb,gnb,Time of Possession,34:24,,,,,,
player,201311100gnb,phi,FoleNi00,pass_cmp,12,,,,,
player,201311100gnb,phi,FoleNi00,pass_att,18,,,,,
player,201311100gnb,phi,FoleNi00,pass_yds,228,,,,,
player,201311100gnb,phi,FoleNi00,pass_td,3,,,,,
player,201311100gnb,phi,FoleNi00,pass_int,0,,,,,
player,201311100gnb,phi,FoleNi00,pass_sacked,3,,,,,
player,201311100gnb,phi,FoleNi00,pass_sacked_yds,17,,,,,
player,201311100gnb,phi,FoleNi00,pass_long,55,,,,,
player,201311100gnb,phi,FoleNi00,pass_rating,149.3,,,,,
player,201311100gnb,phi,FoleNi00,rush_att,8,,,,,
player,201311100gnb,phi,FoleNi00,rush_yds,38,,,,,
player,201311100gnb,phi,FoleNi00,rush_td,0,,,,,
player,201311100gnb,phi,FoleNi00,rush_long,16,,,,,
