game,2013,10,20131107,201311070min,was,"Washington Redskins",27,min,"Minnesota Vikings",34
team,201311070min,was,First Downs,27,,,,,,
team,201311070min,min,First Downs,22,,,,,,
team,201311070min,was,Rush-Yds-TDs,36-191-0,,,,,,
team,201311070min,min,Rush-Yds-TDs,24-91-2,,,,,,
team,201311070min,was,Cmp-Att-Yd-TD-INT,24-37-281-3-0,,,,,,
team,201311070min,min,Cmp-Att-Yd-TD-INT,21-27-221-2-1,,,,,,
team,201311070min,was,Sacked-Yards,4-39,,,,,,
team,201311070min,min,Sacked-Yards,1-5,,,,,,
team,201311070min,was,Net Pass Yards,242,,,,,,
team,201311070min,min,Net Pass Yards,216,,,,,,
team,201311070min,was,Total Yards,433,,,,,,
team,201311070min,min,Total Yards,307,,,,,,
team,201311070min,was,Fumbles-Lost,1-0,,,,,,
team,201311070min,min,Fumbles-Lost,1-0,,,,,,
team,201311070min,was,Turnovers,0,,,,,,
team,201311070min,min,Turnovers,1,,,,,,
team,201311070min,was,Penalties-Yards,8-63,,,,,,
team,201311070min,min,Penalties-Yards,1-7,,,,,,
team,201311070min,was,Third Down Conv.,9-16,,,,,,
team,201311070min,min,Third Down Conv.,6-10,,,,,,
team,201311070min,was,Fourth Down Conv.,1-2,,,,,,
team,201311070min,min,Fourth Down Conv.,0-0,,,,,,
team,201311070min,was,Time of Possession,36:01,,,,,,
team,201311070min,min,Time of Possession,23:59,,,,,,
player,201311070min,was,GrifRo01,pass_cmp,24,,,,,
player,201311070min,was,GrifRo01,pass_att,37,,,,,
player,201311070min,was,GrifRo01,pass_yds,281,,,,,
player,201311070min,was,GrifRo01,pass_td,3,,,,,
player,201311070min,was,GrifRo01,pass_int,0,,,,,
player,201311070min,was,GrifRo01,pass_sacked,4,,,,,
player,201311070min,was,GrifRo01,pass_sacked_yds,39,,,,,
player,201311070min,was,GrifRo01,pass_long,32,,,,,
player,201311070min,was,GrifRo01,pass_rating,114.8,,,,,
player,201311070min,was,GrifRo01,rush_att,7,,,,,
player,201311070min,was,GrifRo01,rush_yds,44,,,,,
player,201311070min,was,GrifRo01,rush_td,0,,,,,
player,201311070min,was,GrifRo01,rush_long,12,,,,,
player,201311070min,was,GrifRo01,targets,0,,,,,
player,201311070min,was,GrifRo01,rec,0,,,,,
player,201311070min,was,GrifRo01,rec_yds,0,,,,,
player,201311070min,was,GrifRo01,rec_td,0,,,,,
player,201311070min,was,GrifRo01,rec_long,0,,,,,
player,201311070min,was,GrifRo01,fumbles,0,,,,,
player,201311070min,was,GrifRo01,fumbles_lost,0,,,,,
player,201311070min,was,MorrAl00,pass_cmp,0,,,,,
player,201311070min,was,MorrAl00,pass_att,0,,,,,
player,201311070min,was,MorrAl00,pass_yds,0,,,,,
player,201311070min,was,MorrAl00,pass_td,0,,,,,
player,201311070min,was,MorrAl00,pass_int,0,,,,,
player,201311070min,was,MorrAl00,pass_sacked,0,,,,,
player,201311070min,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201311070min,was,MorrAl00,pass_long,0,,,,,
player,201311070min,was,MorrAl00,pass_rating,,,,,,
player,201311070min,was,MorrAl00,rush_att,26,,,,,
player,201311070min,was,MorrAl00,rush_yds,139,,,,,
player,201311070min,was,MorrAl00,rush_td,0,,,,,
player,201311070min,was,MorrAl00,rush_long,26,,,,,
player,201311070min,was,MorrAl00,targets,0,,,,,
player,201311070min,was,MorrAl00,rec,0,,,,,
player,201311070min,was,MorrAl00,rec_yds,0,,,,,
player,201311070min,was,MorrAl00,rec_td,0,,,,,
player,201311070min,was,MorrAl00,rec_long,0,,,,,
player,201311070min,was,MorrAl00,fumbles,0,,,,,
player,201311070min,was,MorrAl00,fumbles_lost,0,,,,,
player,201311070min,was,HeluRo00,pass_cmp,0,,,,,
player,201311070min,was,HeluRo00,pass_att,0,,,,,
player,201311070min,was,HeluRo00,pass_yds,0,,,,,
player,201311070min,was,HeluRo00,pass_td,0,,,,,
player,201311070min,was,HeluRo00,pass_int,0,,,,,
player,201311070min,was,HeluRo00,pass_sacked,0,,,,,
player,201311070min,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201311070min,was,HeluRo00,pass_long,0,,,,,
player,201311070min,was,HeluRo00,pass_rating,,,,,,
player,201311070min,was,HeluRo00,rush_att,2,,,,,
player,201311070min,was,HeluRo00,rush_yds,8,,,,,
player,201311070min,was,HeluRo00,rush_td,0,,,,,
player,201311070min,was,HeluRo00,rush_long,4,,,,,
player,201311070min,was,HeluRo00,targets,4,,,,,
player,201311070min,was,HeluRo00,rec,3,,,,,
player,201311070min,was,HeluRo00,rec_yds,23,,,,,
player,201311070min,was,HeluRo00,rec_td,0,,,,,
player,201311070min,was,HeluRo00,rec_long,9,,,,,
player,201311070min,was,HeluRo00,fumbles,0,,,,,
player,201311070min,was,HeluRo00,fumbles_lost,0,,,,,
player,201311070min,was,GarcPi00,pass_cmp,0,,,,,
player,201311070min,was,GarcPi00,pass_att,0,,,,,
player,201311070min,was,GarcPi00,pass_yds,0,,,,,
player,201311070min,was,GarcPi00,pass_td,0,,,,,
player,201311070min,was,GarcPi00,pass_int,0,,,,,
player,201311070min,was,GarcPi00,pass_sacked,0,,,,,
player,201311070min,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201311070min,was,GarcPi00,pass_long,0,,,,,
player,201311070min,was,GarcPi00,pass_rating,,,,,,
player,201311070min,was,GarcPi00,rush_att,0,,,,,
player,201311070min,was,GarcPi00,rush_yds,0,,,,,
player,201311070min,was,GarcPi00,rush_td,0,,,,,
player,201311070min,was,GarcPi00,rush_long,0,,,,,
player,201311070min,was,GarcPi00,targets,10,,,,,
player,201311070min,was,GarcPi00,rec,7,,,,,
player,201311070min,was,GarcPi00,rec_yds,119,,,,,
player,201311070min,was,GarcPi00,rec_td,1,,,,,
player,201311070min,was,GarcPi00,rec_long,32,,,,,
player,201311070min,was,GarcPi00,fumbles,0,,,,,
player,201311070min,was,GarcPi00,fumbles_lost,0,,,,,
player,201311070min,was,ReedJo02,pass_cmp,0,,,,,
player,201311070min,was,ReedJo02,pass_att,0,,,,,
player,201311070min,was,ReedJo02,pass_yds,0,,,,,
player,201311070min,was,ReedJo02,pass_td,0,,,,,
player,201311070min,was,ReedJo02,pass_int,0,,,,,
player,201311070min,was,ReedJo02,pass_sacked,0,,,,,
player,201311070min,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201311070min,was,ReedJo02,pass_long,0,,,,,
player,201311070min,was,ReedJo02,pass_rating,,,,,,
player,201311070min,was,ReedJo02,rush_att,0,,,,,
player,201311070min,was,ReedJo02,rush_yds,0,,,,,
player,201311070min,was,ReedJo02,rush_td,0,,,,,
player,201311070min,was,ReedJo02,rush_long,0,,,,,
player,201311070min,was,ReedJo02,targets,9,,,,,
player,201311070min,was,ReedJo02,rec,6,,,,,
player,201311070min,was,ReedJo02,rec_yds,62,,,,,
player,201311070min,was,ReedJo02,rec_td,1,,,,,
player,201311070min,was,ReedJo02,rec_long,17,,,,,
player,201311070min,was,ReedJo02,fumbles,0,,,,,
player,201311070min,was,ReedJo02,fumbles_lost,0,,,,,
player,201311070min,was,HankLe00,pass_cmp,0,,,,,
player,201311070min,was,HankLe00,pass_att,0,,,,,
player,201311070min,was,HankLe00,pass_yds,0,,,,,
player,201311070min,was,HankLe00,pass_td,0,,,,,
player,201311070min,was,HankLe00,pass_int,0,,,,,
player,201311070min,was,HankLe00,pass_sacked,0,,,,,
player,201311070min,was,HankLe00,pass_sacked_yds,0,,,,,
player,201311070min,was,HankLe00,pass_long,0,,,,,
player,201311070min,was,HankLe00,pass_rating,,,,,,
player,201311070min,was,HankLe00,rush_att,0,,,,,
player,201311070min,was,HankLe00,rush_yds,0,,,,,
player,201311070min,was,HankLe00,rush_td,0,,,,,
player,201311070min,was,HankLe00,rush_long,0,,,,,
player,201311070min,was,HankLe00,targets,5,,,,,
player,201311070min,was,HankLe00,rec,5,,,,,
player,201311070min,was,HankLe00,rec_yds,61,,,,,
player,201311070min,was,HankLe00,rec_td,0,,,,,
player,201311070min,was,HankLe00,rec_long,29,,,,,
player,201311070min,was,HankLe00,fumbles,0,,,,,
player,201311070min,was,HankLe00,fumbles_lost,0,,,,,
player,201311070min,was,MossSa00,pass_cmp,0,,,,,
player,201311070min,was,MossSa00,pass_att,0,,,,,
player,201311070min,was,MossSa00,pass_yds,0,,,,,
player,201311070min,was,MossSa00,pass_td,0,,,,,
player,201311070min,was,MossSa00,pass_int,0,,,,,
player,201311070min,was,MossSa00,pass_sacked,0,,,,,
player,201311070min,was,MossSa00,pass_sacked_yds,0,,,,,
player,201311070min,was,MossSa00,pass_long,0,,,,,
player,201311070min,was,MossSa00,pass_rating,,,,,,
