game,2013,15,20131215,201312150ram,nor,"New Orleans Saints",16,ram,"St. Louis Rams",27
player,201312150ram,nor,ThomPi00,rush_yds,21,,,,,
player,201312150ram,nor,ThomPi00,rush_td,0,,,,,
player,201312150ram,nor,ThomPi00,rush_long,8,,,,,
player,201312150ram,nor,ThomPi00,targets,8,,,,,
player,201312150ram,nor,ThomPi00,rec,7,,,,,
player,201312150ram,nor,ThomPi00,rec_yds,62,,,,,
player,201312150ram,nor,ThomPi00,rec_td,0,,,,,
player,201312150ram,nor,ThomPi00,rec_long,28,,,,,
player,201312150ram,nor,ThomPi00,fumbles,0,,,,,
player,201312150ram,nor,ThomPi00,fumbles_lost,0,,,,,
player,201312150ram,nor,IngrMa01,pass_cmp,0,,,,,
player,201312150ram,nor,IngrMa01,pass_att,0,,,,,
player,201312150ram,nor,IngrMa01,pass_yds,0,,,,,
player,201312150ram,nor,IngrMa01,pass_td,0,,,,,
player,201312150ram,nor,IngrMa01,pass_int,0,,,,,
player,201312150ram,nor,IngrMa01,pass_sacked,0,,,,,
player,201312150ram,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201312150ram,nor,IngrMa01,pass_long,0,,,,,
player,201312150ram,nor,IngrMa01,pass_rating,,,,,,
player,201312150ram,nor,IngrMa01,rush_att,1,,,,,
player,201312150ram,nor,IngrMa01,rush_yds,5,,,,,
player,201312150ram,nor,IngrMa01,rush_td,0,,,,,
player,201312150ram,nor,IngrMa01,rush_long,5,,,,,
player,201312150ram,nor,IngrMa01,targets,2,,,,,
player,201312150ram,nor,IngrMa01,rec,2,,,,,
player,201312150ram,nor,IngrMa01,rec_yds,39,,,,,
player,201312150ram,nor,IngrMa01,rec_td,0,,,,,
player,201312150ram,nor,IngrMa01,rec_long,23,,,,,
player,201312150ram,nor,IngrMa01,fumbles,0,,,,,
player,201312150ram,nor,IngrMa01,fumbles_lost,0,,,,,
player,201312150ram,nor,StilKe00,pass_cmp,0,,,,,
player,201312150ram,nor,StilKe00,pass_att,0,,,,,
player,201312150ram,nor,StilKe00,pass_yds,0,,,,,
player,201312150ram,nor,StilKe00,pass_td,0,,,,,
player,201312150ram,nor,StilKe00,pass_int,0,,,,,
player,201312150ram,nor,StilKe00,pass_sacked,0,,,,,
player,201312150ram,nor,StilKe00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,StilKe00,pass_long,0,,,,,
player,201312150ram,nor,StilKe00,pass_rating,,,,,,
player,201312150ram,nor,StilKe00,rush_att,1,,,,,
player,201312150ram,nor,StilKe00,rush_yds,3,,,,,
player,201312150ram,nor,StilKe00,rush_td,0,,,,,
player,201312150ram,nor,StilKe00,rush_long,3,,,,,
player,201312150ram,nor,StilKe00,targets,4,,,,,
player,201312150ram,nor,StilKe00,rec,4,,,,,
player,201312150ram,nor,StilKe00,rec_yds,47,,,,,
player,201312150ram,nor,StilKe00,rec_td,0,,,,,
player,201312150ram,nor,StilKe00,rec_long,20,,,,,
player,201312150ram,nor,StilKe00,fumbles,0,,,,,
player,201312150ram,nor,StilKe00,fumbles_lost,0,,,,,
player,201312150ram,nor,ColsMa00,pass_cmp,0,,,,,
player,201312150ram,nor,ColsMa00,pass_att,0,,,,,
player,201312150ram,nor,ColsMa00,pass_yds,0,,,,,
player,201312150ram,nor,ColsMa00,pass_td,0,,,,,
player,201312150ram,nor,ColsMa00,pass_int,0,,,,,
player,201312150ram,nor,ColsMa00,pass_sacked,0,,,,,
player,201312150ram,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,ColsMa00,pass_long,0,,,,,
player,201312150ram,nor,ColsMa00,pass_rating,,,,,,
player,201312150ram,nor,ColsMa00,rush_att,0,,,,,
player,201312150ram,nor,ColsMa00,rush_yds,0,,,,,
player,201312150ram,nor,ColsMa00,rush_td,0,,,,,
player,201312150ram,nor,ColsMa00,rush_long,0,,,,,
player,201312150ram,nor,ColsMa00,targets,13,,,,,
player,201312150ram,nor,ColsMa00,rec,8,,,,,
player,201312150ram,nor,ColsMa00,rec_yds,92,,,,,
player,201312150ram,nor,ColsMa00,rec_td,1,,,,,
player,201312150ram,nor,ColsMa00,rec_long,23,,,,,
player,201312150ram,nor,ColsMa00,fumbles,0,,,,,
player,201312150ram,nor,ColsMa00,fumbles_lost,0,,,,,
player,201312150ram,nor,MoorLa00,pass_cmp,0,,,,,
player,201312150ram,nor,MoorLa00,pass_att,0,,,,,
player,201312150ram,nor,MoorLa00,pass_yds,0,,,,,
player,201312150ram,nor,MoorLa00,pass_td,0,,,,,
player,201312150ram,nor,MoorLa00,pass_int,0,,,,,
player,201312150ram,nor,MoorLa00,pass_sacked,0,,,,,
player,201312150ram,nor,MoorLa00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,MoorLa00,pass_long,0,,,,,
player,201312150ram,nor,MoorLa00,pass_rating,,,,,,
player,201312150ram,nor,MoorLa00,rush_att,0,,,,,
player,201312150ram,nor,MoorLa00,rush_yds,0,,,,,
player,201312150ram,nor,MoorLa00,rush_td,0,,,,,
player,201312150ram,nor,MoorLa00,rush_long,0,,,,,
player,201312150ram,nor,MoorLa00,targets,7,,,,,
player,201312150ram,nor,MoorLa00,rec,6,,,,,
player,201312150ram,nor,MoorLa00,rec_yds,78,,,,,
player,201312150ram,nor,MoorLa00,rec_td,0,,,,,
player,201312150ram,nor,MoorLa00,rec_long,30,,,,,
player,201312150ram,nor,MoorLa00,fumbles,0,,,,,
player,201312150ram,nor,MoorLa00,fumbles_lost,0,,,,,
player,201312150ram,nor,GrahJi00,pass_cmp,0,,,,,
player,201312150ram,nor,GrahJi00,pass_att,0,,,,,
player,201312150ram,nor,GrahJi00,pass_yds,0,,,,,
player,201312150ram,nor,GrahJi00,pass_td,0,,,,,
player,201312150ram,nor,GrahJi00,pass_int,0,,,,,
player,201312150ram,nor,GrahJi00,pass_sacked,0,,,,,
player,201312150ram,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,GrahJi00,pass_long,0,,,,,
player,201312150ram,nor,GrahJi00,pass_rating,,,,,,
player,201312150ram,nor,GrahJi00,rush_att,0,,,,,
player,201312150ram,nor,GrahJi00,rush_yds,0,,,,,
player,201312150ram,nor,GrahJi00,rush_td,0,,,,,
player,201312150ram,nor,GrahJi00,rush_long,0,,,,,
player,201312150ram,nor,GrahJi00,targets,6,,,,,
player,201312150ram,nor,GrahJi00,rec,2,,,,,
player,201312150ram,nor,GrahJi00,rec_yds,25,,,,,
player,201312150ram,nor,GrahJi00,rec_td,0,,,,,
player,201312150ram,nor,GrahJi00,rec_long,13,,,,,
player,201312150ram,nor,GrahJi00,fumbles,0,,,,,
player,201312150ram,nor,GrahJi00,fumbles_lost,0,,,,,
player,201312150ram,nor,WatsBe00,pass_cmp,0,,,,,
player,201312150ram,nor,WatsBe00,pass_att,0,,,,,
player,201312150ram,nor,WatsBe00,pass_yds,0,,,,,
player,201312150ram,nor,WatsBe00,pass_td,0,,,,,
player,201312150ram,nor,WatsBe00,pass_int,0,,,,,
player,201312150ram,nor,WatsBe00,pass_sacked,0,,,,,
player,201312150ram,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201312150ram,nor,WatsBe00,pass_long,0,,,,,
player,201312150ram,nor,WatsBe00,pass_rating,,,,,,
player,201312150ram,nor,WatsBe00,rush_att,0,,,,,
player,201312150ram,nor,WatsBe00,rush_yds,0,,,,,
player,201312150ram,nor,WatsBe00,rush_td,0,,,,,
player,201312150ram,nor,WatsBe00,rush_long,0,,,,,
player,201312150ram,nor,WatsBe00,targets,3,,,,,
player,201312150ram,nor,WatsBe00,rec,2,,,,,
player,201312150ram,nor,WatsBe00,rec_yds,12,,,,,
player,201312150ram,nor,WatsBe00,rec_td,0,,,,,
player,201312150ram,nor,WatsBe00,rec_long,8,,,,,
player,201312150ram,nor,WatsBe00,fumbles,0,,,,,
player,201312150ram,nor,WatsBe00,fumbles_lost,0,,,,,
player,201312150ram,nor,HarrBr01,pass_cmp,0,,,,,
player,201312150ram,nor,HarrBr01,pass_att,0,,,,,
player,201312150ram,nor,HarrBr01,pass_yds,0,,,,,
player,201312150ram,nor,HarrBr01,pass_td,0,,,,,
player,201312150ram,nor,HarrBr01,pass_int,0,,,,,
player,201312150ram,nor,HarrBr01,pass_sacked,0,,,,,
player,201312150ram,nor,HarrBr01,pass_sacked_yds,0,,,,,
player,201312150ram,nor,HarrBr01,pass_long,0,,,,,
player,201312150ram,nor,HarrBr01,pass_rating,,,,,,
player,201312150ram,nor,HarrBr01,rush_att,0,,,,,
player,201312150ram,nor,HarrBr01,rush_yds,0,,,,,
player,201312150ram,nor,HarrBr01,rush_td,0,,,,,
player,201312150ram,nor,HarrBr01,rush_long,0,,,,,
player,201312150ram,nor,HarrBr01,targets,1,,,,,
player,201312150ram,nor,HarrBr01,rec,0,,,,,
player,201312150ram,nor,HarrBr01,rec_yds,0,,,,,
player,201312150ram,nor,HarrBr01,rec_td,0,,,,,
