game,2013,3,20130922,201309220rav,htx,"Houston Texans",9,rav,"Baltimore Ravens",30
team,201309220rav,htx,First Downs,18,,,,,,
team,201309220rav,rav,First Downs,16,,,,,,
team,201309220rav,htx,Rush-Yds-TDs,23-94-0,,,,,,
team,201309220rav,rav,Rush-Yds-TDs,31-75-1,,,,,,
team,201309220rav,htx,Cmp-Att-Yd-TD-INT,25-35-194-0-1,,,,,,
team,201309220rav,rav,Cmp-Att-Yd-TD-INT,16-24-171-0-0,,,,,,
team,201309220rav,htx,Sacked-Yards,3-24,,,,,,
team,201309220rav,rav,Sacked-Yards,2-10,,,,,,
team,201309220rav,htx,Net Pass Yards,170,,,,,,
team,201309220rav,rav,Net Pass Yards,161,,,,,,
team,201309220rav,htx,Total Yards,264,,,,,,
team,201309220rav,rav,Total Yards,236,,,,,,
team,201309220rav,htx,Fumbles-Lost,0-0,,,,,,
team,201309220rav,rav,Fumbles-Lost,1-0,,,,,,
team,201309220rav,htx,Turnovers,1,,,,,,
team,201309220rav,rav,Turnovers,0,,,,,,
team,201309220rav,htx,Penalties-Yards,14-113,,,,,,
team,201309220rav,rav,Penalties-Yards,10-87,,,,,,
team,201309220rav,htx,Third Down Conv.,3-12,,,,,,
team,201309220rav,rav,Third Down Conv.,8-16,,,,,,
team,201309220rav,htx,Fourth Down Conv.,0-1,,,,,,
team,201309220rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201309220rav,htx,Time of Possession,30:36,,,,,,
team,201309220rav,rav,Time of Possession,29:24,,,,,,
player,201309220rav,htx,SchaMa00,pass_cmp,25,,,,,
player,201309220rav,htx,SchaMa00,pass_att,35,,,,,
player,201309220rav,htx,SchaMa00,pass_yds,194,,,,,
player,201309220rav,htx,SchaMa00,pass_td,0,,,,,
player,201309220rav,htx,SchaMa00,pass_int,1,,,,,
player,201309220rav,htx,SchaMa00,pass_sacked,3,,,,,
player,201309220rav,htx,SchaMa00,pass_sacked_yds,24,,,,,
player,201309220rav,htx,SchaMa00,pass_long,18,,,,,
player,201309220rav,htx,SchaMa00,pass_rating,72.8,,,,,
player,201309220rav,htx,SchaMa00,rush_att,0,,,,,
player,201309220rav,htx,SchaMa00,rush_yds,0,,,,,
player,201309220rav,htx,SchaMa00,rush_td,0,,,,,
player,201309220rav,htx,SchaMa00,rush_long,0,,,,,
player,201309220rav,htx,SchaMa00,targets,0,,,,,
player,201309220rav,htx,SchaMa00,rec,0,,,,,
player,201309220rav,htx,SchaMa00,rec_yds,0,,,,,
player,201309220rav,htx,SchaMa00,rec_td,0,,,,,
player,201309220rav,htx,SchaMa00,rec_long,0,,,,,
player,201309220rav,htx,SchaMa00,fumbles,0,,,,,
player,201309220rav,htx,SchaMa00,fumbles_lost,0,,,,,
player,201309220rav,htx,FostAr00,pass_cmp,0,,,,,
player,201309220rav,htx,FostAr00,pass_att,0,,,,,
player,201309220rav,htx,FostAr00,pass_yds,0,,,,,
player,201309220rav,htx,FostAr00,pass_td,0,,,,,
player,201309220rav,htx,FostAr00,pass_int,0,,,,,
player,201309220rav,htx,FostAr00,pass_sacked,0,,,,,
player,201309220rav,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201309220rav,htx,FostAr00,pass_long,0,,,,,
player,201309220rav,htx,FostAr00,pass_rating,,,,,,
player,201309220rav,htx,FostAr00,rush_att,12,,,,,
