game,2013,12,20131124,201311240det,tam,"Tampa Bay Buccaneers",24,det,"Detroit Lions",21
team,201311240det,tam,First Downs,10,,,,,,
team,201311240det,det,First Downs,25,,,,,,
team,201311240det,tam,Rush-Yds-TDs,24-22-0,,,,,,
team,201311240det,det,Rush-Yds-TDs,24-104-0,,,,,,
team,201311240det,tam,Cmp-Att-Yd-TD-INT,14-21-247-2-0,,,,,,
team,201311240det,det,Cmp-Att-Yd-TD-INT,26-46-297-3-4,,,,,,
team,201311240det,tam,Sacked-Yards,4-40,,,,,,
team,201311240det,det,Sacked-Yards,2-11,,,,,,
team,201311240det,tam,Net Pass Yards,207,,,,,,
team,201311240det,det,Net Pass Yards,286,,,,,,
team,201311240det,tam,Total Yards,229,,,,,,
team,201311240det,det,Total Yards,390,,,,,,
team,201311240det,tam,Fumbles-Lost,1-0,,,,,,
team,201311240det,det,Fumbles-Lost,3-1,,,,,,
team,201311240det,tam,Turnovers,0,,,,,,
team,201311240det,det,Turnovers,5,,,,,,
team,201311240det,tam,Penalties-Yards,9-67,,,,,,
team,201311240det,det,Penalties-Yards,5-39,,,,,,
team,201311240det,tam,Third Down Conv.,4-14,,,,,,
team,201311240det,det,Third Down Conv.,8-15,,,,,,
team,201311240det,tam,Fourth Down Conv.,0-0,,,,,,
team,201311240det,det,Fourth Down Conv.,1-1,,,,,,
team,201311240det,tam,Time of Possession,26:38,,,,,,
team,201311240det,det,Time of Possession,33:22,,,,,,
player,201311240det,tam,GlenMi00,pass_cmp,14,,,,,
player,201311240det,tam,GlenMi00,pass_att,21,,,,,
player,201311240det,tam,GlenMi00,pass_yds,247,,,,,
player,201311240det,tam,GlenMi00,pass_td,2,,,,,
player,201311240det,tam,GlenMi00,pass_int,0,,,,,
player,201311240det,tam,GlenMi00,pass_sacked,4,,,,,
player,201311240det,tam,GlenMi00,pass_sacked_yds,40,,,,,
player,201311240det,tam,GlenMi00,pass_long,85,,,,,
player,201311240det,tam,GlenMi00,pass_rating,138.4,,,,,
player,201311240det,tam,GlenMi00,rush_att,4,,,,,
player,201311240det,tam,GlenMi00,rush_yds,-17,,,,,
player,201311240det,tam,GlenMi00,rush_td,0,,,,,
player,201311240det,tam,GlenMi00,rush_long,-1,,,,,
player,201311240det,tam,GlenMi00,targets,0,,,,,
player,201311240det,tam,GlenMi00,rec,0,,,,,
