game,2013,3,20130922,201309220sfo,clt,"Indianapolis Colts",27,sfo,"San Francisco 49ers",7
team,201309220sfo,clt,First Downs,23,,,,,,
team,201309220sfo,sfo,First Downs,14,,,,,,
team,201309220sfo,clt,Rush-Yds-TDs,40-184-3,,,,,,
team,201309220sfo,sfo,Rush-Yds-TDs,23-115-1,,,,,,
team,201309220sfo,clt,Cmp-Att-Yd-TD-INT,17-26-159-0-0,,,,,,
team,201309220sfo,sfo,Cmp-Att-Yd-TD-INT,13-27-150-0-1,,,,,,
team,201309220sfo,clt,Sacked-Yards,1-7,,,,,,
team,201309220sfo,sfo,Sacked-Yards,3-11,,,,,,
team,201309220sfo,clt,Net Pass Yards,152,,,,,,
team,201309220sfo,sfo,Net Pass Yards,139,,,,,,
team,201309220sfo,clt,Total Yards,336,,,,,,
team,201309220sfo,sfo,Total Yards,254,,,,,,
team,201309220sfo,clt,Fumbles-Lost,0-0,,,,,,
team,201309220sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201309220sfo,clt,Turnovers,0,,,,,,
team,201309220sfo,sfo,Turnovers,2,,,,,,
team,201309220sfo,clt,Penalties-Yards,1-10,,,,,,
team,201309220sfo,sfo,Penalties-Yards,6-48,,,,,,
team,201309220sfo,clt,Third Down Conv.,5-12,,,,,,
team,201309220sfo,sfo,Third Down Conv.,3-12,,,,,,
team,201309220sfo,clt,Fourth Down Conv.,0-0,,,,,,
team,201309220sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201309220sfo,clt,Time of Possession,36:25,,,,,,
team,201309220sfo,sfo,Time of Possession,23:35,,,,,,
player,201309220sfo,clt,LuckAn00,pass_cmp,17,,,,,
player,201309220sfo,clt,LuckAn00,pass_att,26,,,,,
player,201309220sfo,clt,LuckAn00,pass_yds,159,,,,,
player,201309220sfo,clt,LuckAn00,pass_td,0,,,,,
player,201309220sfo,clt,LuckAn00,pass_int,0,,,,,
player,201309220sfo,clt,LuckAn00,pass_sacked,1,,,,,
player,201309220sfo,clt,LuckAn00,pass_sacked_yds,7,,,,,
player,201309220sfo,clt,LuckAn00,pass_long,25,,,,,
player,201309220sfo,clt,LuckAn00,pass_rating,82.1,,,,,
player,201309220sfo,clt,LuckAn00,rush_att,4,,,,,
player,201309220sfo,clt,LuckAn00,rush_yds,24,,,,,
player,201309220sfo,clt,LuckAn00,rush_td,1,,,,,
player,201309220sfo,clt,LuckAn00,rush_long,15,,,,,
player,201309220sfo,clt,LuckAn00,targets,0,,,,,
player,201309220sfo,clt,LuckAn00,rec,0,,,,,
player,201309220sfo,clt,LuckAn00,rec_yds,0,,,,,
player,201309220sfo,clt,LuckAn00,rec_td,0,,,,,
player,201309220sfo,clt,LuckAn00,rec_long,0,,,,,
player,201309220sfo,clt,LuckAn00,fumbles,0,,,,,
player,201309220sfo,clt,LuckAn00,fumbles_lost,0,,,,,
player,201309220sfo,clt,BradAh00,pass_cmp,0,,,,,
player,201309220sfo,clt,BradAh00,pass_att,0,,,,,
player,201309220sfo,clt,BradAh00,pass_yds,0,,,,,
player,201309220sfo,clt,BradAh00,pass_td,0,,,,,
player,201309220sfo,clt,BradAh00,pass_int,0,,,,,
player,201309220sfo,clt,BradAh00,pass_sacked,0,,,,,
player,201309220sfo,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,BradAh00,pass_long,0,,,,,
player,201309220sfo,clt,BradAh00,pass_rating,,,,,,
player,201309220sfo,clt,BradAh00,rush_att,19,,,,,
player,201309220sfo,clt,BradAh00,rush_yds,95,,,,,
player,201309220sfo,clt,BradAh00,rush_td,1,,,,,
player,201309220sfo,clt,BradAh00,rush_long,27,,,,,
player,201309220sfo,clt,BradAh00,targets,4,,,,,
player,201309220sfo,clt,BradAh00,rec,3,,,,,
player,201309220sfo,clt,BradAh00,rec_yds,16,,,,,
player,201309220sfo,clt,BradAh00,rec_td,0,,,,,
player,201309220sfo,clt,BradAh00,rec_long,7,,,,,
player,201309220sfo,clt,BradAh00,fumbles,0,,,,,
player,201309220sfo,clt,BradAh00,fumbles_lost,0,,,,,
player,201309220sfo,clt,RichTr00,pass_cmp,0,,,,,
player,201309220sfo,clt,RichTr00,pass_att,0,,,,,
player,201309220sfo,clt,RichTr00,pass_yds,0,,,,,
player,201309220sfo,clt,RichTr00,pass_td,0,,,,,
player,201309220sfo,clt,RichTr00,pass_int,0,,,,,
player,201309220sfo,clt,RichTr00,pass_sacked,0,,,,,
player,201309220sfo,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,RichTr00,pass_long,0,,,,,
player,201309220sfo,clt,RichTr00,pass_rating,,,,,,
player,201309220sfo,clt,RichTr00,rush_att,13,,,,,
player,201309220sfo,clt,RichTr00,rush_yds,35,,,,,
player,201309220sfo,clt,RichTr00,rush_td,1,,,,,
player,201309220sfo,clt,RichTr00,rush_long,7,,,,,
player,201309220sfo,clt,RichTr00,targets,3,,,,,
player,201309220sfo,clt,RichTr00,rec,0,,,,,
player,201309220sfo,clt,RichTr00,rec_yds,0,,,,,
player,201309220sfo,clt,RichTr00,rec_td,0,,,,,
player,201309220sfo,clt,RichTr00,rec_long,0,,,,,
player,201309220sfo,clt,RichTr00,fumbles,0,,,,,
player,201309220sfo,clt,RichTr00,fumbles_lost,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_cmp,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_att,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_yds,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_td,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_int,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_sacked,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_long,0,,,,,
player,201309220sfo,clt,BrowDo00,pass_rating,,,,,,
player,201309220sfo,clt,BrowDo00,rush_att,3,,,,,
player,201309220sfo,clt,BrowDo00,rush_yds,25,,,,,
player,201309220sfo,clt,BrowDo00,rush_td,0,,,,,
player,201309220sfo,clt,BrowDo00,rush_long,16,,,,,
player,201309220sfo,clt,BrowDo00,targets,1,,,,,
player,201309220sfo,clt,BrowDo00,rec,0,,,,,
player,201309220sfo,clt,BrowDo00,rec_yds,0,,,,,
player,201309220sfo,clt,BrowDo00,rec_td,0,,,,,
player,201309220sfo,clt,BrowDo00,rec_long,0,,,,,
player,201309220sfo,clt,BrowDo00,fumbles,0,,,,,
player,201309220sfo,clt,BrowDo00,fumbles_lost,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_cmp,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_att,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_yds,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_td,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_int,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_sacked,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_long,0,,,,,
player,201309220sfo,clt,WaynRe00,pass_rating,,,,,,
player,201309220sfo,clt,WaynRe00,rush_att,1,,,,,
player,201309220sfo,clt,WaynRe00,rush_yds,5,,,,,
player,201309220sfo,clt,WaynRe00,rush_td,0,,,,,
player,201309220sfo,clt,WaynRe00,rush_long,5,,,,,
player,201309220sfo,clt,WaynRe00,targets,6,,,,,
player,201309220sfo,clt,WaynRe00,rec,4,,,,,
player,201309220sfo,clt,WaynRe00,rec_yds,58,,,,,
player,201309220sfo,clt,WaynRe00,rec_td,0,,,,,
player,201309220sfo,clt,WaynRe00,rec_long,25,,,,,
player,201309220sfo,clt,WaynRe00,fumbles,0,,,,,
player,201309220sfo,clt,WaynRe00,fumbles_lost,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_cmp,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_att,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_yds,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_td,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_int,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_sacked,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_long,0,,,,,
player,201309220sfo,clt,HeywDa00,pass_rating,,,,,,
player,201309220sfo,clt,HeywDa00,rush_att,0,,,,,
player,201309220sfo,clt,HeywDa00,rush_yds,0,,,,,
player,201309220sfo,clt,HeywDa00,rush_td,0,,,,,
player,201309220sfo,clt,HeywDa00,rush_long,0,,,,,
player,201309220sfo,clt,HeywDa00,targets,5,,,,,
player,201309220sfo,clt,HeywDa00,rec,5,,,,,
player,201309220sfo,clt,HeywDa00,rec_yds,59,,,,,
player,201309220sfo,clt,HeywDa00,rec_td,0,,,,,
player,201309220sfo,clt,HeywDa00,rec_long,19,,,,,
player,201309220sfo,clt,HeywDa00,fumbles,0,,,,,
player,201309220sfo,clt,HeywDa00,fumbles_lost,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_cmp,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_att,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_yds,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_td,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_int,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_sacked,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_long,0,,,,,
player,201309220sfo,clt,HiltT.00,pass_rating,,,,,,
player,201309220sfo,clt,HiltT.00,rush_att,0,,,,,
player,201309220sfo,clt,HiltT.00,rush_yds,0,,,,,
player,201309220sfo,clt,HiltT.00,rush_td,0,,,,,
player,201309220sfo,clt,HiltT.00,rush_long,0,,,,,
player,201309220sfo,clt,HiltT.00,targets,4,,,,,
player,201309220sfo,clt,HiltT.00,rec,2,,,,,
player,201309220sfo,clt,HiltT.00,rec_yds,13,,,,,
player,201309220sfo,clt,HiltT.00,rec_td,0,,,,,
player,201309220sfo,clt,HiltT.00,rec_long,8,,,,,
player,201309220sfo,clt,HiltT.00,fumbles,0,,,,,
player,201309220sfo,clt,HiltT.00,fumbles_lost,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_cmp,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_att,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_yds,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_td,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_int,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_sacked,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_long,0,,,,,
player,201309220sfo,clt,FleeCo00,pass_rating,,,,,,
player,201309220sfo,clt,FleeCo00,rush_att,0,,,,,
