game,2013,17,20131229,201312290sdg,kan,"Kansas City Chiefs",24,sdg,"San Diego Chargers",27
player,201312290sdg,kan,JenkA.00,rec_yds,67,,,,,
player,201312290sdg,kan,JenkA.00,rec_td,0,,,,,
player,201312290sdg,kan,JenkA.00,rec_long,48,,,,,
player,201312290sdg,kan,JenkA.00,fumbles,0,,,,,
player,201312290sdg,kan,JenkA.00,fumbles_lost,0,,,,,
player,201312290sdg,kan,McClDe00,pass_cmp,0,,,,,
player,201312290sdg,kan,McClDe00,pass_att,0,,,,,
player,201312290sdg,kan,McClDe00,pass_yds,0,,,,,
player,201312290sdg,kan,McClDe00,pass_td,0,,,,,
player,201312290sdg,kan,McClDe00,pass_int,0,,,,,
player,201312290sdg,kan,McClDe00,pass_sacked,0,,,,,
player,201312290sdg,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201312290sdg,kan,McClDe00,pass_long,0,,,,,
player,201312290sdg,kan,McClDe00,pass_rating,,,,,,
player,201312290sdg,kan,McClDe00,rush_att,0,,,,,
player,201312290sdg,kan,McClDe00,rush_yds,0,,,,,
player,201312290sdg,kan,McClDe00,rush_td,0,,,,,
player,201312290sdg,kan,McClDe00,rush_long,0,,,,,
player,201312290sdg,kan,McClDe00,targets,6,,,,,
player,201312290sdg,kan,McClDe00,rec,6,,,,,
player,201312290sdg,kan,McClDe00,rec_yds,62,,,,,
player,201312290sdg,kan,McClDe00,rec_td,1,,,,,
player,201312290sdg,kan,McClDe00,rec_long,28,,,,,
player,201312290sdg,kan,McClDe00,fumbles,0,,,,,
player,201312290sdg,kan,McClDe00,fumbles_lost,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_cmp,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_att,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_yds,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_td,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_int,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_sacked,0,,,,,
player,201312290sdg,kan,HemiJu00,pass_sacked_yds,0,,,,,
