game,2013,4,20130929,201309290sdg,dal,"Dallas Cowboys",21,sdg,"San Diego Chargers",30
team,201309290sdg,dal,First Downs,21,,,,,,
team,201309290sdg,sdg,First Downs,27,,,,,,
team,201309290sdg,dal,Rush-Yds-TDs,16-92-0,,,,,,
team,201309290sdg,sdg,Rush-Yds-TDs,27-112-0,,,,,,
team,201309290sdg,dal,Cmp-Att-Yd-TD-INT,27-37-246-2-0,,,,,,
team,201309290sdg,sdg,Cmp-Att-Yd-TD-INT,35-42-401-3-1,,,,,,
team,201309290sdg,dal,Sacked-Yards,3-19,,,,,,
team,201309290sdg,sdg,Sacked-Yards,1-7,,,,,,
team,201309290sdg,dal,Net Pass Yards,227,,,,,,
team,201309290sdg,sdg,Net Pass Yards,394,,,,,,
team,201309290sdg,dal,Total Yards,319,,,,,,
team,201309290sdg,sdg,Total Yards,506,,,,,,
team,201309290sdg,dal,Fumbles-Lost,2-1,,,,,,
team,201309290sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201309290sdg,dal,Turnovers,1,,,,,,
team,201309290sdg,sdg,Turnovers,1,,,,,,
team,201309290sdg,dal,Penalties-Yards,5-33,,,,,,
team,201309290sdg,sdg,Penalties-Yards,7-85,,,,,,
team,201309290sdg,dal,Third Down Conv.,3-9,,,,,,
team,201309290sdg,sdg,Third Down Conv.,5-12,,,,,,
team,201309290sdg,dal,Fourth Down Conv.,0-0,,,,,,
team,201309290sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201309290sdg,dal,Time of Possession,25:57,,,,,,
team,201309290sdg,sdg,Time of Possession,34:03,,,,,,
player,201309290sdg,dal,RomoTo00,pass_cmp,27,,,,,
player,201309290sdg,dal,RomoTo00,pass_att,37,,,,,
player,201309290sdg,dal,RomoTo00,pass_yds,246,,,,,
player,201309290sdg,dal,RomoTo00,pass_td,2,,,,,
player,201309290sdg,dal,RomoTo00,pass_int,0,,,,,
player,201309290sdg,dal,RomoTo00,pass_sacked,3,,,,,
player,201309290sdg,dal,RomoTo00,pass_sacked_yds,19,,,,,
player,201309290sdg,dal,RomoTo00,pass_long,34,,,,,
player,201309290sdg,dal,RomoTo00,pass_rating,108.6,,,,,
player,201309290sdg,dal,RomoTo00,rush_att,1,,,,,
player,201309290sdg,dal,RomoTo00,rush_yds,15,,,,,
player,201309290sdg,dal,RomoTo00,rush_td,0,,,,,
player,201309290sdg,dal,RomoTo00,rush_long,15,,,,,
player,201309290sdg,dal,RomoTo00,targets,0,,,,,
player,201309290sdg,dal,RomoTo00,rec,0,,,,,
player,201309290sdg,dal,RomoTo00,rec_yds,0,,,,,
player,201309290sdg,dal,RomoTo00,rec_td,0,,,,,
player,201309290sdg,dal,RomoTo00,rec_long,0,,,,,
player,201309290sdg,dal,RomoTo00,fumbles,0,,,,,
player,201309290sdg,dal,RomoTo00,fumbles_lost,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_cmp,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_att,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_yds,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_td,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_int,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_sacked,0,,,,,
player,201309290sdg,dal,MurrDe00,pass_sacked_yds,0,,,,,
