game,2013,11,20131117,201311170chi,rav,"Baltimore Ravens",20,chi,"Chicago Bears",23
team,201311170chi,rav,First Downs,23,,,,,,
team,201311170chi,chi,First Downs,18,,,,,,
team,201311170chi,rav,Rush-Yds-TDs,41-174-1,,,,,,
team,201311170chi,chi,Rush-Yds-TDs,26-104-0,,,,,,
team,201311170chi,rav,Cmp-Att-Yd-TD-INT,17-31-162-1-2,,,,,,
team,201311170chi,chi,Cmp-Att-Yd-TD-INT,19-31-216-1-0,,,,,,
team,201311170chi,rav,Sacked-Yards,3-19,,,,,,
team,201311170chi,chi,Sacked-Yards,2-1,,,,,,
team,201311170chi,rav,Net Pass Yards,143,,,,,,
team,201311170chi,chi,Net Pass Yards,215,,,,,,
team,201311170chi,rav,Total Yards,317,,,,,,
team,201311170chi,chi,Total Yards,319,,,,,,
team,201311170chi,rav,Fumbles-Lost,2-0,,,,,,
team,201311170chi,chi,Fumbles-Lost,2-0,,,,,,
team,201311170chi,rav,Turnovers,2,,,,,,
team,201311170chi,chi,Turnovers,0,,,,,,
team,201311170chi,rav,Penalties-Yards,5-46,,,,,,
team,201311170chi,chi,Penalties-Yards,13-111,,,,,,
team,201311170chi,rav,Third Down Conv.,8-18,,,,,,
team,201311170chi,chi,Third Down Conv.,5-13,,,,,,
team,201311170chi,rav,Fourth Down Conv.,1-2,,,,,,
team,201311170chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201311170chi,rav,Time of Possession,35:41,,,,,,
team,201311170chi,chi,Time of Possession,30:38,,,,,,
player,201311170chi,rav,FlacJo00,pass_cmp,17,,,,,
player,201311170chi,rav,FlacJo00,pass_att,31,,,,,
player,201311170chi,rav,FlacJo00,pass_yds,162,,,,,
player,201311170chi,rav,FlacJo00,pass_td,1,,,,,
player,201311170chi,rav,FlacJo00,pass_int,2,,,,,
player,201311170chi,rav,FlacJo00,pass_sacked,3,,,,,
player,201311170chi,rav,FlacJo00,pass_sacked_yds,19,,,,,
player,201311170chi,rav,FlacJo00,pass_long,17,,,,,
player,201311170chi,rav,FlacJo00,pass_rating,53.4,,,,,
player,201311170chi,rav,FlacJo00,rush_att,4,,,,,
player,201311170chi,rav,FlacJo00,rush_yds,20,,,,,
player,201311170chi,rav,FlacJo00,rush_td,0,,,,,
player,201311170chi,rav,FlacJo00,rush_long,11,,,,,
player,201311170chi,rav,FlacJo00,targets,0,,,,,
player,201311170chi,rav,FlacJo00,rec,0,,,,,
player,201311170chi,rav,FlacJo00,rec_yds,0,,,,,
player,201311170chi,rav,FlacJo00,rec_td,0,,,,,
player,201311170chi,rav,FlacJo00,rec_long,0,,,,,
player,201311170chi,rav,FlacJo00,fumbles,1,,,,,
player,201311170chi,rav,FlacJo00,fumbles_lost,0,,,,,
player,201311170chi,rav,RiceRa00,pass_cmp,0,,,,,
player,201311170chi,rav,RiceRa00,pass_att,0,,,,,
player,201311170chi,rav,RiceRa00,pass_yds,0,,,,,
player,201311170chi,rav,RiceRa00,pass_td,0,,,,,
player,201311170chi,rav,RiceRa00,pass_int,0,,,,,
player,201311170chi,rav,RiceRa00,pass_sacked,0,,,,,
player,201311170chi,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201311170chi,rav,RiceRa00,pass_long,0,,,,,
player,201311170chi,rav,RiceRa00,pass_rating,,,,,,
player,201311170chi,rav,RiceRa00,rush_att,25,,,,,
player,201311170chi,rav,RiceRa00,rush_yds,131,,,,,
player,201311170chi,rav,RiceRa00,rush_td,1,,,,,
player,201311170chi,rav,RiceRa00,rush_long,47,,,,,
player,201311170chi,rav,RiceRa00,targets,5,,,,,
player,201311170chi,rav,RiceRa00,rec,3,,,,,
player,201311170chi,rav,RiceRa00,rec_yds,17,,,,,
player,201311170chi,rav,RiceRa00,rec_td,0,,,,,
player,201311170chi,rav,RiceRa00,rec_long,12,,,,,
player,201311170chi,rav,RiceRa00,fumbles,0,,,,,
player,201311170chi,rav,RiceRa00,fumbles_lost,0,,,,,
player,201311170chi,rav,PierBe00,pass_cmp,0,,,,,
player,201311170chi,rav,PierBe00,pass_att,0,,,,,
player,201311170chi,rav,PierBe00,pass_yds,0,,,,,
player,201311170chi,rav,PierBe00,pass_td,0,,,,,
player,201311170chi,rav,PierBe00,pass_int,0,,,,,
player,201311170chi,rav,PierBe00,pass_sacked,0,,,,,
player,201311170chi,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201311170chi,rav,PierBe00,pass_long,0,,,,,
player,201311170chi,rav,PierBe00,pass_rating,,,,,,
player,201311170chi,rav,PierBe00,rush_att,10,,,,,
player,201311170chi,rav,PierBe00,rush_yds,18,,,,,
player,201311170chi,rav,PierBe00,rush_td,0,,,,,
player,201311170chi,rav,PierBe00,rush_long,8,,,,,
player,201311170chi,rav,PierBe00,targets,0,,,,,
player,201311170chi,rav,PierBe00,rec,0,,,,,
player,201311170chi,rav,PierBe00,rec_yds,0,,,,,
player,201311170chi,rav,PierBe00,rec_td,0,,,,,
player,201311170chi,rav,PierBe00,rec_long,0,,,,,
player,201311170chi,rav,PierBe00,fumbles,0,,,,,
player,201311170chi,rav,PierBe00,fumbles_lost,0,,,,,
player,201311170chi,rav,JoneJa03,pass_cmp,0,,,,,
player,201311170chi,rav,JoneJa03,pass_att,0,,,,,
player,201311170chi,rav,JoneJa03,pass_yds,0,,,,,
player,201311170chi,rav,JoneJa03,pass_td,0,,,,,
player,201311170chi,rav,JoneJa03,pass_int,0,,,,,
player,201311170chi,rav,JoneJa03,pass_sacked,0,,,,,
player,201311170chi,rav,JoneJa03,pass_sacked_yds,0,,,,,
player,201311170chi,rav,JoneJa03,pass_long,0,,,,,
player,201311170chi,rav,JoneJa03,pass_rating,,,,,,
player,201311170chi,rav,JoneJa03,rush_att,1,,,,,
player,201311170chi,rav,JoneJa03,rush_yds,4,,,,,
player,201311170chi,rav,JoneJa03,rush_td,0,,,,,
player,201311170chi,rav,JoneJa03,rush_long,4,,,,,
player,201311170chi,rav,JoneJa03,targets,2,,,,,
player,201311170chi,rav,JoneJa03,rec,2,,,,,
player,201311170chi,rav,JoneJa03,rec_yds,18,,,,,
player,201311170chi,rav,JoneJa03,rec_td,0,,,,,
player,201311170chi,rav,JoneJa03,rec_long,9,,,,,
player,201311170chi,rav,JoneJa03,fumbles,0,,,,,
player,201311170chi,rav,JoneJa03,fumbles_lost,0,,,,,
player,201311170chi,rav,LeacVo00,pass_cmp,0,,,,,
player,201311170chi,rav,LeacVo00,pass_att,0,,,,,
player,201311170chi,rav,LeacVo00,pass_yds,0,,,,,
player,201311170chi,rav,LeacVo00,pass_td,0,,,,,
player,201311170chi,rav,LeacVo00,pass_int,0,,,,,
player,201311170chi,rav,LeacVo00,pass_sacked,0,,,,,
player,201311170chi,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201311170chi,rav,LeacVo00,pass_long,0,,,,,
player,201311170chi,rav,LeacVo00,pass_rating,,,,,,
