game,2013,4,20130929,201309290kan,nyg,"New York Giants",7,kan,"Kansas City Chiefs",31
team,201309290kan,nyg,First Downs,11,,,,,,
team,201309290kan,kan,First Downs,21,,,,,,
team,201309290kan,nyg,Rush-Yds-TDs,21-98-0,,,,,,
team,201309290kan,kan,Rush-Yds-TDs,28-102-0,,,,,,
team,201309290kan,nyg,Cmp-Att-Yd-TD-INT,18-37-217-1-1,,,,,,
team,201309290kan,kan,Cmp-Att-Yd-TD-INT,24-41-288-3-2,,,,,,
team,201309290kan,nyg,Sacked-Yards,3-17,,,,,,
team,201309290kan,kan,Sacked-Yards,1-0,,,,,,
team,201309290kan,nyg,Net Pass Yards,200,,,,,,
team,201309290kan,kan,Net Pass Yards,288,,,,,,
team,201309290kan,nyg,Total Yards,298,,,,,,
team,201309290kan,kan,Total Yards,390,,,,,,
team,201309290kan,nyg,Fumbles-Lost,3-2,,,,,,
team,201309290kan,kan,Fumbles-Lost,1-1,,,,,,
team,201309290kan,nyg,Turnovers,3,,,,,,
team,201309290kan,kan,Turnovers,3,,,,,,
team,201309290kan,nyg,Penalties-Yards,7-65,,,,,,
team,201309290kan,kan,Penalties-Yards,7-62,,,,,,
team,201309290kan,nyg,Third Down Conv.,1-14,,,,,,
team,201309290kan,kan,Third Down Conv.,9-16,,,,,,
team,201309290kan,nyg,Fourth Down Conv.,1-2,,,,,,
team,201309290kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201309290kan,nyg,Time of Possession,24:04,,,,,,
team,201309290kan,kan,Time of Possession,35:56,,,,,,
player,201309290kan,nyg,MannEl00,pass_cmp,18,,,,,
player,201309290kan,nyg,MannEl00,pass_att,37,,,,,
player,201309290kan,nyg,MannEl00,pass_yds,217,,,,,
player,201309290kan,nyg,MannEl00,pass_td,1,,,,,
player,201309290kan,nyg,MannEl00,pass_int,1,,,,,
player,201309290kan,nyg,MannEl00,pass_sacked,3,,,,,
player,201309290kan,nyg,MannEl00,pass_sacked_yds,17,,,,,
player,201309290kan,nyg,MannEl00,pass_long,69,,,,,
player,201309290kan,nyg,MannEl00,pass_rating,64.8,,,,,
player,201309290kan,nyg,MannEl00,rush_att,2,,,,,
player,201309290kan,nyg,MannEl00,rush_yds,12,,,,,
player,201309290kan,nyg,MannEl00,rush_td,0,,,,,
player,201309290kan,nyg,MannEl00,rush_long,12,,,,,
player,201309290kan,nyg,MannEl00,targets,0,,,,,
player,201309290kan,nyg,MannEl00,rec,0,,,,,
player,201309290kan,nyg,MannEl00,rec_yds,0,,,,,
player,201309290kan,nyg,MannEl00,rec_td,0,,,,,
player,201309290kan,nyg,MannEl00,rec_long,0,,,,,
player,201309290kan,nyg,MannEl00,fumbles,2,,,,,
player,201309290kan,nyg,MannEl00,fumbles_lost,2,,,,,
player,201309290kan,nyg,WilsDa01,pass_cmp,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_att,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_yds,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_td,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_int,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_sacked,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_sacked_yds,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_long,0,,,,,
player,201309290kan,nyg,WilsDa01,pass_rating,,,,,,
player,201309290kan,nyg,WilsDa01,rush_att,13,,,,,
player,201309290kan,nyg,WilsDa01,rush_yds,55,,,,,
player,201309290kan,nyg,WilsDa01,rush_td,0,,,,,
player,201309290kan,nyg,WilsDa01,rush_long,15,,,,,
player,201309290kan,nyg,WilsDa01,targets,3,,,,,
player,201309290kan,nyg,WilsDa01,rec,2,,,,,
player,201309290kan,nyg,WilsDa01,rec_yds,8,,,,,
player,201309290kan,nyg,WilsDa01,rec_td,0,,,,,
player,201309290kan,nyg,WilsDa01,rec_long,6,,,,,
player,201309290kan,nyg,WilsDa01,fumbles,0,,,,,
player,201309290kan,nyg,WilsDa01,fumbles_lost,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_cmp,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_att,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_yds,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_td,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_int,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_sacked,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_sacked_yds,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_long,0,,,,,
player,201309290kan,nyg,ScotDa01,pass_rating,,,,,,
player,201309290kan,nyg,ScotDa01,rush_att,5,,,,,
player,201309290kan,nyg,ScotDa01,rush_yds,26,,,,,
player,201309290kan,nyg,ScotDa01,rush_td,0,,,,,
player,201309290kan,nyg,ScotDa01,rush_long,11,,,,,
player,201309290kan,nyg,ScotDa01,targets,2,,,,,
player,201309290kan,nyg,ScotDa01,rec,1,,,,,
player,201309290kan,nyg,ScotDa01,rec_yds,0,,,,,
player,201309290kan,nyg,ScotDa01,rec_td,0,,,,,
player,201309290kan,nyg,ScotDa01,rec_long,0,,,,,
player,201309290kan,nyg,ScotDa01,fumbles,0,,,,,
player,201309290kan,nyg,ScotDa01,fumbles_lost,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_cmp,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_att,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_yds,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_td,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_int,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_sacked,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_long,0,,,,,
player,201309290kan,nyg,JacoBr00,pass_rating,,,,,,
player,201309290kan,nyg,JacoBr00,rush_att,1,,,,,
player,201309290kan,nyg,JacoBr00,rush_yds,5,,,,,
player,201309290kan,nyg,JacoBr00,rush_td,0,,,,,
player,201309290kan,nyg,JacoBr00,rush_long,5,,,,,
player,201309290kan,nyg,JacoBr00,targets,1,,,,,
player,201309290kan,nyg,JacoBr00,rec,1,,,,,
player,201309290kan,nyg,JacoBr00,rec_yds,5,,,,,
player,201309290kan,nyg,JacoBr00,rec_td,0,,,,,
player,201309290kan,nyg,JacoBr00,rec_long,5,,,,,
player,201309290kan,nyg,JacoBr00,fumbles,0,,,,,
player,201309290kan,nyg,JacoBr00,fumbles_lost,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_cmp,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_att,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_yds,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_td,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_int,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_sacked,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_long,0,,,,,
player,201309290kan,nyg,CruzVi00,pass_rating,,,,,,
player,201309290kan,nyg,CruzVi00,rush_att,0,,,,,
player,201309290kan,nyg,CruzVi00,rush_yds,0,,,,,
player,201309290kan,nyg,CruzVi00,rush_td,0,,,,,
player,201309290kan,nyg,CruzVi00,rush_long,0,,,,,
player,201309290kan,nyg,CruzVi00,targets,16,,,,,
player,201309290kan,nyg,CruzVi00,rec,10,,,,,
player,201309290kan,nyg,CruzVi00,rec_yds,164,,,,,
player,201309290kan,nyg,CruzVi00,rec_td,1,,,,,
player,201309290kan,nyg,CruzVi00,rec_long,69,,,,,
player,201309290kan,nyg,CruzVi00,fumbles,0,,,,,
player,201309290kan,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201309290kan,nyg,NickHa01,pass_cmp,0,,,,,
player,201309290kan,nyg,NickHa01,pass_att,0,,,,,
player,201309290kan,nyg,NickHa01,pass_yds,0,,,,,
player,201309290kan,nyg,NickHa01,pass_td,0,,,,,
player,201309290kan,nyg,NickHa01,pass_int,0,,,,,
player,201309290kan,nyg,NickHa01,pass_sacked,0,,,,,
player,201309290kan,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201309290kan,nyg,NickHa01,pass_long,0,,,,,
player,201309290kan,nyg,NickHa01,pass_rating,,,,,,
player,201309290kan,nyg,NickHa01,rush_att,0,,,,,
