game,2013,4,20130929,201309290htx,sea,"Seattle Seahawks",23,htx,"Houston Texans",20
team,201309290htx,sea,First Downs,15,,,,,,
team,201309290htx,htx,First Downs,29,,,,,,
team,201309290htx,sea,Rush-Yds-TDs,30-179-1,,,,,,
team,201309290htx,htx,Rush-Yds-TDs,35-151-0,,,,,,
team,201309290htx,sea,Cmp-Att-Yd-TD-INT,12-23-123-0-1,,,,,,
team,201309290htx,htx,Cmp-Att-Yd-TD-INT,31-49-355-2-2,,,,,,
team,201309290htx,sea,Sacked-Yards,5-32,,,,,,
team,201309290htx,htx,Sacked-Yards,4-30,,,,,,
team,201309290htx,sea,Net Pass Yards,91,,,,,,
team,201309290htx,htx,Net Pass Yards,325,,,,,,
team,201309290htx,sea,Total Yards,270,,,,,,
team,201309290htx,htx,Total Yards,476,,,,,,
team,201309290htx,sea,Fumbles-Lost,3-1,,,,,,
team,201309290htx,htx,Fumbles-Lost,2-1,,,,,,
team,201309290htx,sea,Turnovers,2,,,,,,
team,201309290htx,htx,Turnovers,3,,,,,,
team,201309290htx,sea,Penalties-Yards,9-62,,,,,,
team,201309290htx,htx,Penalties-Yards,6-86,,,,,,
team,201309290htx,sea,Third Down Conv.,3-14,,,,,,
team,201309290htx,htx,Third Down Conv.,6-17,,,,,,
team,201309290htx,sea,Fourth Down Conv.,1-1,,,,,,
team,201309290htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201309290htx,sea,Time of Possession,31:48,,,,,,
team,201309290htx,htx,Time of Possession,39:53,,,,,,
player,201309290htx,sea,WilsRu00,pass_cmp,12,,,,,
player,201309290htx,sea,WilsRu00,pass_att,23,,,,,
player,201309290htx,sea,WilsRu00,pass_yds,123,,,,,
player,201309290htx,sea,WilsRu00,pass_td,0,,,,,
player,201309290htx,sea,WilsRu00,pass_int,1,,,,,
player,201309290htx,sea,WilsRu00,pass_sacked,5,,,,,
player,201309290htx,sea,WilsRu00,pass_sacked_yds,32,,,,,
player,201309290htx,sea,WilsRu00,pass_long,24,,,,,
player,201309290htx,sea,WilsRu00,pass_rating,49.7,,,,,
player,201309290htx,sea,WilsRu00,rush_att,10,,,,,
player,201309290htx,sea,WilsRu00,rush_yds,77,,,,,
player,201309290htx,sea,WilsRu00,rush_td,0,,,,,
player,201309290htx,sea,WilsRu00,rush_long,25,,,,,
player,201309290htx,sea,WilsRu00,targets,0,,,,,
player,201309290htx,sea,WilsRu00,rec,0,,,,,
player,201309290htx,sea,WilsRu00,rec_yds,0,,,,,
player,201309290htx,sea,WilsRu00,rec_td,0,,,,,
player,201309290htx,sea,WilsRu00,rec_long,0,,,,,
player,201309290htx,sea,WilsRu00,fumbles,1,,,,,
player,201309290htx,sea,WilsRu00,fumbles_lost,0,,,,,
player,201309290htx,sea,LyncMa00,pass_cmp,0,,,,,
player,201309290htx,sea,LyncMa00,pass_att,0,,,,,
player,201309290htx,sea,LyncMa00,pass_yds,0,,,,,
player,201309290htx,sea,LyncMa00,pass_td,0,,,,,
player,201309290htx,sea,LyncMa00,pass_int,0,,,,,
player,201309290htx,sea,LyncMa00,pass_sacked,0,,,,,
player,201309290htx,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201309290htx,sea,LyncMa00,pass_long,0,,,,,
player,201309290htx,sea,LyncMa00,pass_rating,,,,,,
player,201309290htx,sea,LyncMa00,rush_att,17,,,,,
player,201309290htx,sea,LyncMa00,rush_yds,98,,,,,
player,201309290htx,sea,LyncMa00,rush_td,1,,,,,
player,201309290htx,sea,LyncMa00,rush_long,43,,,,,
player,201309290htx,sea,LyncMa00,targets,3,,,,,
player,201309290htx,sea,LyncMa00,rec,3,,,,,
player,201309290htx,sea,LyncMa00,rec_yds,45,,,,,
player,201309290htx,sea,LyncMa00,rec_td,0,,,,,
player,201309290htx,sea,LyncMa00,rec_long,24,,,,,
player,201309290htx,sea,LyncMa00,fumbles,1,,,,,
player,201309290htx,sea,LyncMa00,fumbles_lost,1,,,,,
player,201309290htx,sea,TurbRo00,pass_cmp,0,,,,,
player,201309290htx,sea,TurbRo00,pass_att,0,,,,,
player,201309290htx,sea,TurbRo00,pass_yds,0,,,,,
player,201309290htx,sea,TurbRo00,pass_td,0,,,,,
player,201309290htx,sea,TurbRo00,pass_int,0,,,,,
player,201309290htx,sea,TurbRo00,pass_sacked,0,,,,,
player,201309290htx,sea,TurbRo00,pass_sacked_yds,0,,,,,
player,201309290htx,sea,TurbRo00,pass_long,0,,,,,
player,201309290htx,sea,TurbRo00,pass_rating,,,,,,
player,201309290htx,sea,TurbRo00,rush_att,3,,,,,
player,201309290htx,sea,TurbRo00,rush_yds,4,,,,,
player,201309290htx,sea,TurbRo00,rush_td,0,,,,,
player,201309290htx,sea,TurbRo00,rush_long,7,,,,,
player,201309290htx,sea,TurbRo00,targets,0,,,,,
player,201309290htx,sea,TurbRo00,rec,0,,,,,
player,201309290htx,sea,TurbRo00,rec_yds,0,,,,,
player,201309290htx,sea,TurbRo00,rec_td,0,,,,,
player,201309290htx,sea,TurbRo00,rec_long,0,,,,,
player,201309290htx,sea,TurbRo00,fumbles,0,,,,,
player,201309290htx,sea,TurbRo00,fumbles_lost,0,,,,,
player,201309290htx,sea,BaldDo00,pass_cmp,0,,,,,
player,201309290htx,sea,BaldDo00,pass_att,0,,,,,
player,201309290htx,sea,BaldDo00,pass_yds,0,,,,,
player,201309290htx,sea,BaldDo00,pass_td,0,,,,,
player,201309290htx,sea,BaldDo00,pass_int,0,,,,,
player,201309290htx,sea,BaldDo00,pass_sacked,0,,,,,
player,201309290htx,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201309290htx,sea,BaldDo00,pass_long,0,,,,,
player,201309290htx,sea,BaldDo00,pass_rating,,,,,,
player,201309290htx,sea,BaldDo00,rush_att,0,,,,,
player,201309290htx,sea,BaldDo00,rush_yds,0,,,,,
player,201309290htx,sea,BaldDo00,rush_td,0,,,,,
player,201309290htx,sea,BaldDo00,rush_long,0,,,,,
player,201309290htx,sea,BaldDo00,targets,4,,,,,
player,201309290htx,sea,BaldDo00,rec,3,,,,,
player,201309290htx,sea,BaldDo00,rec_yds,39,,,,,
player,201309290htx,sea,BaldDo00,rec_td,0,,,,,
player,201309290htx,sea,BaldDo00,rec_long,24,,,,,
player,201309290htx,sea,BaldDo00,fumbles,0,,,,,
player,201309290htx,sea,BaldDo00,fumbles_lost,0,,,,,
player,201309290htx,sea,TateGo00,pass_cmp,0,,,,,
player,201309290htx,sea,TateGo00,pass_att,0,,,,,
player,201309290htx,sea,TateGo00,pass_yds,0,,,,,
player,201309290htx,sea,TateGo00,pass_td,0,,,,,
player,201309290htx,sea,TateGo00,pass_int,0,,,,,
player,201309290htx,sea,TateGo00,pass_sacked,0,,,,,
player,201309290htx,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201309290htx,sea,TateGo00,pass_long,0,,,,,
player,201309290htx,sea,TateGo00,pass_rating,,,,,,
player,201309290htx,sea,TateGo00,rush_att,0,,,,,
player,201309290htx,sea,TateGo00,rush_yds,0,,,,,
player,201309290htx,sea,TateGo00,rush_td,0,,,,,
player,201309290htx,sea,TateGo00,rush_long,0,,,,,
player,201309290htx,sea,TateGo00,targets,5,,,,,
player,201309290htx,sea,TateGo00,rec,3,,,,,
player,201309290htx,sea,TateGo00,rec_yds,17,,,,,
player,201309290htx,sea,TateGo00,rec_td,0,,,,,
player,201309290htx,sea,TateGo00,rec_long,10,,,,,
player,201309290htx,sea,TateGo00,fumbles,0,,,,,
player,201309290htx,sea,TateGo00,fumbles_lost,0,,,,,
player,201309290htx,sea,RiceSi01,pass_cmp,0,,,,,
player,201309290htx,sea,RiceSi01,pass_att,0,,,,,
player,201309290htx,sea,RiceSi01,pass_yds,0,,,,,
player,201309290htx,sea,RiceSi01,pass_td,0,,,,,
player,201309290htx,sea,RiceSi01,pass_int,0,,,,,
player,201309290htx,sea,RiceSi01,pass_sacked,0,,,,,
player,201309290htx,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201309290htx,sea,RiceSi01,pass_long,0,,,,,
player,201309290htx,sea,RiceSi01,pass_rating,,,,,,
player,201309290htx,sea,RiceSi01,rush_att,0,,,,,
player,201309290htx,sea,RiceSi01,rush_yds,0,,,,,
player,201309290htx,sea,RiceSi01,rush_td,0,,,,,
player,201309290htx,sea,RiceSi01,rush_long,0,,,,,
player,201309290htx,sea,RiceSi01,targets,5,,,,,
player,201309290htx,sea,RiceSi01,rec,1,,,,,
player,201309290htx,sea,RiceSi01,rec_yds,11,,,,,
player,201309290htx,sea,RiceSi01,rec_td,0,,,,,
player,201309290htx,sea,RiceSi01,rec_long,11,,,,,
player,201309290htx,sea,RiceSi01,fumbles,0,,,,,
player,201309290htx,sea,RiceSi01,fumbles_lost,0,,,,,
player,201309290htx,sea,MillZa01,pass_cmp,0,,,,,
player,201309290htx,sea,MillZa01,pass_att,0,,,,,
player,201309290htx,sea,MillZa01,pass_yds,0,,,,,
player,201309290htx,sea,MillZa01,pass_td,0,,,,,
player,201309290htx,sea,MillZa01,pass_int,0,,,,,
player,201309290htx,sea,MillZa01,pass_sacked,0,,,,,
player,201309290htx,sea,MillZa01,pass_sacked_yds,0,,,,,
player,201309290htx,sea,MillZa01,pass_long,0,,,,,
player,201309290htx,sea,MillZa01,pass_rating,,,,,,
player,201309290htx,sea,MillZa01,rush_att,0,,,,,
player,201309290htx,sea,MillZa01,rush_yds,0,,,,,
player,201309290htx,sea,MillZa01,rush_td,0,,,,,
player,201309290htx,sea,MillZa01,rush_long,0,,,,,
player,201309290htx,sea,MillZa01,targets,3,,,,,
player,201309290htx,sea,MillZa01,rec,1,,,,,
player,201309290htx,sea,MillZa01,rec_yds,7,,,,,
player,201309290htx,sea,MillZa01,rec_td,0,,,,,
player,201309290htx,sea,MillZa01,rec_long,7,,,,,
player,201309290htx,sea,MillZa01,fumbles,0,,,,,
player,201309290htx,sea,MillZa01,fumbles_lost,0,,,,,
player,201309290htx,sea,ColeDe00,pass_cmp,0,,,,,
player,201309290htx,sea,ColeDe00,pass_att,0,,,,,
player,201309290htx,sea,ColeDe00,pass_yds,0,,,,,
player,201309290htx,sea,ColeDe00,pass_td,0,,,,,
player,201309290htx,sea,ColeDe00,pass_int,0,,,,,
player,201309290htx,sea,ColeDe00,pass_sacked,0,,,,,
player,201309290htx,sea,ColeDe00,pass_sacked_yds,0,,,,,
player,201309290htx,sea,ColeDe00,pass_long,0,,,,,
player,201309290htx,sea,ColeDe00,pass_rating,,,,,,
player,201309290htx,sea,ColeDe00,rush_att,0,,,,,
player,201309290htx,sea,ColeDe00,rush_yds,0,,,,,
player,201309290htx,sea,ColeDe00,rush_td,0,,,,,
player,201309290htx,sea,ColeDe00,rush_long,0,,,,,
player,201309290htx,sea,ColeDe00,targets,1,,,,,
player,201309290htx,sea,ColeDe00,rec,1,,,,,
player,201309290htx,sea,ColeDe00,rec_yds,4,,,,,
player,201309290htx,sea,ColeDe00,rec_td,0,,,,,
player,201309290htx,sea,ColeDe00,rec_long,4,,,,,
player,201309290htx,sea,ColeDe00,fumbles,0,,,,,
player,201309290htx,sea,ColeDe00,fumbles_lost,0,,,,,
player,201309290htx,sea,WillSt01,pass_cmp,0,,,,,
player,201309290htx,sea,WillSt01,pass_att,0,,,,,
