game,2013,11,20131117,201311170nor,sfo,"San Francisco 49ers",20,nor,"New Orleans Saints",23
player,201311170nor,sfo,HuntKe00,rec_long,0,,,,,
player,201311170nor,sfo,HuntKe00,fumbles,0,,,,,
player,201311170nor,sfo,HuntKe00,fumbles_lost,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_cmp,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_att,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_yds,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_td,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_int,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_sacked,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_long,0,,,,,
player,201311170nor,sfo,BoldAn00,pass_rating,,,,,,
player,201311170nor,sfo,BoldAn00,rush_att,0,,,,,
player,201311170nor,sfo,BoldAn00,rush_yds,0,,,,,
player,201311170nor,sfo,BoldAn00,rush_td,0,,,,,
player,201311170nor,sfo,BoldAn00,rush_long,0,,,,,
player,201311170nor,sfo,BoldAn00,targets,9,,,,,
player,201311170nor,sfo,BoldAn00,rec,6,,,,,
player,201311170nor,sfo,BoldAn00,rec_yds,56,,,,,
player,201311170nor,sfo,BoldAn00,rec_td,1,,,,,
player,201311170nor,sfo,BoldAn00,rec_long,14,,,,,
player,201311170nor,sfo,BoldAn00,fumbles,0,,,,,
player,201311170nor,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_cmp,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_att,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_yds,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_td,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_int,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_sacked,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_long,0,,,,,
player,201311170nor,sfo,DaviVe00,pass_rating,,,,,,
player,201311170nor,sfo,DaviVe00,rush_att,0,,,,,
player,201311170nor,sfo,DaviVe00,rush_yds,0,,,,,
player,201311170nor,sfo,DaviVe00,rush_td,0,,,,,
player,201311170nor,sfo,DaviVe00,rush_long,0,,,,,
player,201311170nor,sfo,DaviVe00,targets,5,,,,,
player,201311170nor,sfo,DaviVe00,rec,4,,,,,
player,201311170nor,sfo,DaviVe00,rec_yds,33,,,,,
player,201311170nor,sfo,DaviVe00,rec_td,1,,,,,
player,201311170nor,sfo,DaviVe00,rec_long,17,,,,,
player,201311170nor,sfo,DaviVe00,fumbles,0,,,,,
player,201311170nor,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_cmp,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_att,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_yds,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_td,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_int,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_sacked,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_long,0,,,,,
player,201311170nor,sfo,McDoVa00,pass_rating,,,,,,
player,201311170nor,sfo,McDoVa00,rush_att,0,,,,,
player,201311170nor,sfo,McDoVa00,rush_yds,0,,,,,
player,201311170nor,sfo,McDoVa00,rush_td,0,,,,,
player,201311170nor,sfo,McDoVa00,rush_long,0,,,,,
player,201311170nor,sfo,McDoVa00,targets,2,,,,,
player,201311170nor,sfo,McDoVa00,rec,1,,,,,
player,201311170nor,sfo,McDoVa00,rec_yds,10,,,,,
player,201311170nor,sfo,McDoVa00,rec_td,0,,,,,
player,201311170nor,sfo,McDoVa00,rec_long,10,,,,,
player,201311170nor,sfo,McDoVa00,fumbles,0,,,,,
player,201311170nor,sfo,McDoVa00,fumbles_lost,0,,,,,
player,201311170nor,sfo,MannMa01,pass_cmp,0,,,,,
player,201311170nor,sfo,MannMa01,pass_att,0,,,,,
player,201311170nor,sfo,MannMa01,pass_yds,0,,,,,
player,201311170nor,sfo,MannMa01,pass_td,0,,,,,
player,201311170nor,sfo,MannMa01,pass_int,0,,,,,
player,201311170nor,sfo,MannMa01,pass_sacked,0,,,,,
player,201311170nor,sfo,MannMa01,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,MannMa01,pass_long,0,,,,,
player,201311170nor,sfo,MannMa01,pass_rating,,,,,,
player,201311170nor,sfo,MannMa01,rush_att,0,,,,,
player,201311170nor,sfo,MannMa01,rush_yds,0,,,,,
player,201311170nor,sfo,MannMa01,rush_td,0,,,,,
player,201311170nor,sfo,MannMa01,rush_long,0,,,,,
player,201311170nor,sfo,MannMa01,targets,4,,,,,
player,201311170nor,sfo,MannMa01,rec,1,,,,,
player,201311170nor,sfo,MannMa01,rec_yds,8,,,,,
player,201311170nor,sfo,MannMa01,rec_td,0,,,,,
player,201311170nor,sfo,MannMa01,rec_long,8,,,,,
player,201311170nor,sfo,MannMa01,fumbles,0,,,,,
player,201311170nor,sfo,MannMa01,fumbles_lost,0,,,,,
player,201311170nor,sfo,MillBr02,pass_cmp,0,,,,,
player,201311170nor,sfo,MillBr02,pass_att,0,,,,,
player,201311170nor,sfo,MillBr02,pass_yds,0,,,,,
player,201311170nor,sfo,MillBr02,pass_td,0,,,,,
player,201311170nor,sfo,MillBr02,pass_int,0,,,,,
player,201311170nor,sfo,MillBr02,pass_sacked,0,,,,,
player,201311170nor,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,MillBr02,pass_long,0,,,,,
player,201311170nor,sfo,MillBr02,pass_rating,,,,,,
player,201311170nor,sfo,MillBr02,rush_att,0,,,,,
player,201311170nor,sfo,MillBr02,rush_yds,0,,,,,
player,201311170nor,sfo,MillBr02,rush_td,0,,,,,
player,201311170nor,sfo,MillBr02,rush_long,0,,,,,
player,201311170nor,sfo,MillBr02,targets,2,,,,,
player,201311170nor,sfo,MillBr02,rec,2,,,,,
player,201311170nor,sfo,MillBr02,rec_yds,8,,,,,
player,201311170nor,sfo,MillBr02,rec_td,0,,,,,
player,201311170nor,sfo,MillBr02,rec_long,7,,,,,
player,201311170nor,sfo,MillBr02,fumbles,0,,,,,
player,201311170nor,sfo,MillBr02,fumbles_lost,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_cmp,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_att,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_yds,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_td,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_int,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_sacked,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_sacked_yds,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_long,0,,,,,
player,201311170nor,sfo,BaldJo00,pass_rating,,,,,,
player,201311170nor,sfo,BaldJo00,rush_att,0,,,,,
player,201311170nor,sfo,BaldJo00,rush_yds,0,,,,,
player,201311170nor,sfo,BaldJo00,rush_td,0,,,,,
player,201311170nor,sfo,BaldJo00,rush_long,0,,,,,
player,201311170nor,sfo,BaldJo00,targets,3,,,,,
player,201311170nor,sfo,BaldJo00,rec,0,,,,,
player,201311170nor,sfo,BaldJo00,rec_yds,0,,,,,
player,201311170nor,sfo,BaldJo00,rec_td,0,,,,,
player,201311170nor,sfo,BaldJo00,rec_long,0,,,,,
player,201311170nor,sfo,BaldJo00,fumbles,0,,,,,
player,201311170nor,sfo,BaldJo00,fumbles_lost,0,,,,,
player,201311170nor,nor,BreeDr00,pass_cmp,30,,,,,
player,201311170nor,nor,BreeDr00,pass_att,43,,,,,
player,201311170nor,nor,BreeDr00,pass_yds,305,,,,,
player,201311170nor,nor,BreeDr00,pass_td,1,,,,,
player,201311170nor,nor,BreeDr00,pass_int,1,,,,,
player,201311170nor,nor,BreeDr00,pass_sacked,1,,,,,
player,201311170nor,nor,BreeDr00,pass_sacked_yds,10,,,,,
player,201311170nor,nor,BreeDr00,pass_long,44,,,,,
player,201311170nor,nor,BreeDr00,pass_rating,87.8,,,,,
player,201311170nor,nor,BreeDr00,rush_att,1,,,,,
player,201311170nor,nor,BreeDr00,rush_yds,-1,,,,,
player,201311170nor,nor,BreeDr00,rush_td,0,,,,,
player,201311170nor,nor,BreeDr00,rush_long,-1,,,,,
player,201311170nor,nor,BreeDr00,targets,0,,,,,
player,201311170nor,nor,BreeDr00,rec,0,,,,,
player,201311170nor,nor,BreeDr00,rec_yds,0,,,,,
player,201311170nor,nor,BreeDr00,rec_td,0,,,,,
player,201311170nor,nor,BreeDr00,rec_long,0,,,,,
player,201311170nor,nor,BreeDr00,fumbles,1,,,,,
player,201311170nor,nor,BreeDr00,fumbles_lost,0,,,,,
