game,2013,6,20131014,201310140sdg,clt,"Indianapolis Colts",9,sdg,"San Diego Chargers",19
team,201310140sdg,clt,First Downs,12,,,,,,
team,201310140sdg,sdg,First Downs,24,,,,,,
team,201310140sdg,clt,Rush-Yds-TDs,17-74-0,,,,,,
team,201310140sdg,sdg,Rush-Yds-TDs,37-147-0,,,,,,
team,201310140sdg,clt,Cmp-Att-Yd-TD-INT,18-30-202-0-1,,,,,,
team,201310140sdg,sdg,Cmp-Att-Yd-TD-INT,22-33-237-1-0,,,,,,
team,201310140sdg,clt,Sacked-Yards,1-9,,,,,,
team,201310140sdg,sdg,Sacked-Yards,2-10,,,,,,
team,201310140sdg,clt,Net Pass Yards,193,,,,,,
team,201310140sdg,sdg,Net Pass Yards,227,,,,,,
team,201310140sdg,clt,Total Yards,267,,,,,,
team,201310140sdg,sdg,Total Yards,374,,,,,,
team,201310140sdg,clt,Fumbles-Lost,0-0,,,,,,
team,201310140sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201310140sdg,clt,Turnovers,1,,,,,,
team,201310140sdg,sdg,Turnovers,0,,,,,,
team,201310140sdg,clt,Penalties-Yards,5-28,,,,,,
team,201310140sdg,sdg,Penalties-Yards,5-25,,,,,,
team,201310140sdg,clt,Third Down Conv.,2-10,,,,,,
team,201310140sdg,sdg,Third Down Conv.,7-14,,,,,,
team,201310140sdg,clt,Fourth Down Conv.,0-0,,,,,,
team,201310140sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201310140sdg,clt,Time of Possession,21:29,,,,,,
team,201310140sdg,sdg,Time of Possession,38:31,,,,,,
player,201310140sdg,clt,LuckAn00,pass_cmp,18,,,,,
player,201310140sdg,clt,LuckAn00,pass_att,30,,,,,
player,201310140sdg,clt,LuckAn00,pass_yds,202,,,,,
player,201310140sdg,clt,LuckAn00,pass_td,0,,,,,
player,201310140sdg,clt,LuckAn00,pass_int,1,,,,,
player,201310140sdg,clt,LuckAn00,pass_sacked,1,,,,,
player,201310140sdg,clt,LuckAn00,pass_sacked_yds,9,,,,,
player,201310140sdg,clt,LuckAn00,pass_long,35,,,,,
player,201310140sdg,clt,LuckAn00,pass_rating,66.3,,,,,
player,201310140sdg,clt,LuckAn00,rush_att,4,,,,,
player,201310140sdg,clt,LuckAn00,rush_yds,19,,,,,
player,201310140sdg,clt,LuckAn00,rush_td,0,,,,,
player,201310140sdg,clt,LuckAn00,rush_long,6,,,,,
player,201310140sdg,clt,LuckAn00,targets,0,,,,,
player,201310140sdg,clt,LuckAn00,rec,0,,,,,
player,201310140sdg,clt,LuckAn00,rec_yds,0,,,,,
player,201310140sdg,clt,LuckAn00,rec_td,0,,,,,
player,201310140sdg,clt,LuckAn00,rec_long,0,,,,,
player,201310140sdg,clt,LuckAn00,fumbles,0,,,,,
player,201310140sdg,clt,LuckAn00,fumbles_lost,0,,,,,
player,201310140sdg,clt,RichTr00,pass_cmp,0,,,,,
player,201310140sdg,clt,RichTr00,pass_att,0,,,,,
player,201310140sdg,clt,RichTr00,pass_yds,0,,,,,
player,201310140sdg,clt,RichTr00,pass_td,0,,,,,
player,201310140sdg,clt,RichTr00,pass_int,0,,,,,
player,201310140sdg,clt,RichTr00,pass_sacked,0,,,,,
player,201310140sdg,clt,RichTr00,pass_sacked_yds,0,,,,,
player,201310140sdg,clt,RichTr00,pass_long,0,,,,,
player,201310140sdg,clt,RichTr00,pass_rating,,,,,,
player,201310140sdg,clt,RichTr00,rush_att,10,,,,,
player,201310140sdg,clt,RichTr00,rush_yds,40,,,,,
player,201310140sdg,clt,RichTr00,rush_td,0,,,,,
player,201310140sdg,clt,RichTr00,rush_long,12,,,,,
player,201310140sdg,clt,RichTr00,targets,2,,,,,
player,201310140sdg,clt,RichTr00,rec,1,,,,,
player,201310140sdg,clt,RichTr00,rec_yds,13,,,,,
player,201310140sdg,clt,RichTr00,rec_td,0,,,,,
player,201310140sdg,clt,RichTr00,rec_long,13,,,,,
player,201310140sdg,clt,RichTr00,fumbles,0,,,,,
player,201310140sdg,clt,RichTr00,fumbles_lost,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_cmp,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_att,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_yds,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_td,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_int,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_sacked,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_long,0,,,,,
player,201310140sdg,clt,BrowDo00,pass_rating,,,,,,
player,201310140sdg,clt,BrowDo00,rush_att,3,,,,,
player,201310140sdg,clt,BrowDo00,rush_yds,15,,,,,
player,201310140sdg,clt,BrowDo00,rush_td,0,,,,,
player,201310140sdg,clt,BrowDo00,rush_long,8,,,,,
player,201310140sdg,clt,BrowDo00,targets,2,,,,,
player,201310140sdg,clt,BrowDo00,rec,2,,,,,
player,201310140sdg,clt,BrowDo00,rec_yds,19,,,,,
player,201310140sdg,clt,BrowDo00,rec_td,0,,,,,
player,201310140sdg,clt,BrowDo00,rec_long,14,,,,,
player,201310140sdg,clt,BrowDo00,fumbles,0,,,,,
player,201310140sdg,clt,BrowDo00,fumbles_lost,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_cmp,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_att,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_yds,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_td,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_int,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_sacked,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_long,0,,,,,
player,201310140sdg,clt,WaynRe00,pass_rating,,,,,,
player,201310140sdg,clt,WaynRe00,rush_att,0,,,,,
player,201310140sdg,clt,WaynRe00,rush_yds,0,,,,,
player,201310140sdg,clt,WaynRe00,rush_td,0,,,,,
player,201310140sdg,clt,WaynRe00,rush_long,0,,,,,
player,201310140sdg,clt,WaynRe00,targets,8,,,,,
player,201310140sdg,clt,WaynRe00,rec,5,,,,,
player,201310140sdg,clt,WaynRe00,rec_yds,88,,,,,
player,201310140sdg,clt,WaynRe00,rec_td,0,,,,,
player,201310140sdg,clt,WaynRe00,rec_long,35,,,,,
player,201310140sdg,clt,WaynRe00,fumbles,0,,,,,
player,201310140sdg,clt,WaynRe00,fumbles_lost,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_cmp,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_att,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_yds,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_td,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_int,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_sacked,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_long,0,,,,,
player,201310140sdg,clt,HiltT.00,pass_rating,,,,,,
player,201310140sdg,clt,HiltT.00,rush_att,0,,,,,
player,201310140sdg,clt,HiltT.00,rush_yds,0,,,,,
player,201310140sdg,clt,HiltT.00,rush_td,0,,,,,
player,201310140sdg,clt,HiltT.00,rush_long,0,,,,,
player,201310140sdg,clt,HiltT.00,targets,8,,,,,
player,201310140sdg,clt,HiltT.00,rec,5,,,,,
player,201310140sdg,clt,HiltT.00,rec_yds,43,,,,,
player,201310140sdg,clt,HiltT.00,rec_td,0,,,,,
player,201310140sdg,clt,HiltT.00,rec_long,11,,,,,
player,201310140sdg,clt,HiltT.00,fumbles,0,,,,,
player,201310140sdg,clt,HiltT.00,fumbles_lost,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_cmp,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_att,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_yds,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_td,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_int,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_sacked,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_long,0,,,,,
player,201310140sdg,clt,FleeCo00,pass_rating,,,,,,
player,201310140sdg,clt,FleeCo00,rush_att,0,,,,,
player,201310140sdg,clt,FleeCo00,rush_yds,0,,,,,
player,201310140sdg,clt,FleeCo00,rush_td,0,,,,,
player,201310140sdg,clt,FleeCo00,rush_long,0,,,,,
