game,2013,1,20130909,201309090sdg,htx,"Houston Texans",31,sdg,"San Diego Chargers",28
team,201309090sdg,htx,First Downs,26,,,,,,
team,201309090sdg,sdg,First Downs,14,,,,,,
team,201309090sdg,htx,Rush-Yds-TDs,28-120-0,,,,,,
team,201309090sdg,sdg,Rush-Yds-TDs,20-80-0,,,,,,
team,201309090sdg,htx,Cmp-Att-Yd-TD-INT,34-45-346-3-1,,,,,,
team,201309090sdg,sdg,Cmp-Att-Yd-TD-INT,14-29-195-4-1,,,,,,
team,201309090sdg,htx,Sacked-Yards,2-17,,,,,,
team,201309090sdg,sdg,Sacked-Yards,2-12,,,,,,
team,201309090sdg,htx,Net Pass Yards,329,,,,,,
team,201309090sdg,sdg,Net Pass Yards,183,,,,,,
team,201309090sdg,htx,Total Yards,449,,,,,,
team,201309090sdg,sdg,Total Yards,263,,,,,,
team,201309090sdg,htx,Fumbles-Lost,0-0,,,,,,
team,201309090sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201309090sdg,htx,Turnovers,1,,,,,,
team,201309090sdg,sdg,Turnovers,1,,,,,,
team,201309090sdg,htx,Penalties-Yards,7-73,,,,,,
team,201309090sdg,sdg,Penalties-Yards,7-55,,,,,,
team,201309090sdg,htx,Third Down Conv.,6-13,,,,,,
team,201309090sdg,sdg,Third Down Conv.,7-14,,,,,,
team,201309090sdg,htx,Fourth Down Conv.,1-2,,,,,,
team,201309090sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201309090sdg,htx,Time of Possession,36:31,,,,,,
team,201309090sdg,sdg,Time of Possession,23:29,,,,,,
player,201309090sdg,htx,SchaMa00,pass_cmp,34,,,,,
player,201309090sdg,htx,SchaMa00,pass_att,45,,,,,
player,201309090sdg,htx,SchaMa00,pass_yds,346,,,,,
player,201309090sdg,htx,SchaMa00,pass_td,3,,,,,
player,201309090sdg,htx,SchaMa00,pass_int,1,,,,,
player,201309090sdg,htx,SchaMa00,pass_sacked,2,,,,,
player,201309090sdg,htx,SchaMa00,pass_sacked_yds,17,,,,,
player,201309090sdg,htx,SchaMa00,pass_long,30,,,,,
player,201309090sdg,htx,SchaMa00,pass_rating,110.0,,,,,
player,201309090sdg,htx,SchaMa00,rush_att,0,,,,,
player,201309090sdg,htx,SchaMa00,rush_yds,0,,,,,
player,201309090sdg,htx,SchaMa00,rush_td,0,,,,,
player,201309090sdg,htx,SchaMa00,rush_long,0,,,,,
player,201309090sdg,htx,SchaMa00,targets,0,,,,,
player,201309090sdg,htx,SchaMa00,rec,0,,,,,
player,201309090sdg,htx,SchaMa00,rec_yds,0,,,,,
player,201309090sdg,htx,SchaMa00,rec_td,0,,,,,
player,201309090sdg,htx,SchaMa00,rec_long,0,,,,,
player,201309090sdg,htx,SchaMa00,fumbles,0,,,,,
player,201309090sdg,htx,SchaMa00,fumbles_lost,0,,,,,
player,201309090sdg,htx,FostAr00,pass_cmp,0,,,,,
player,201309090sdg,htx,FostAr00,pass_att,0,,,,,
player,201309090sdg,htx,FostAr00,pass_yds,0,,,,,
player,201309090sdg,htx,FostAr00,pass_td,0,,,,,
player,201309090sdg,htx,FostAr00,pass_int,0,,,,,
player,201309090sdg,htx,FostAr00,pass_sacked,0,,,,,
player,201309090sdg,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201309090sdg,htx,FostAr00,pass_long,0,,,,,
player,201309090sdg,htx,FostAr00,pass_rating,,,,,,
player,201309090sdg,htx,FostAr00,rush_att,18,,,,,
player,201309090sdg,htx,FostAr00,rush_yds,57,,,,,
player,201309090sdg,htx,FostAr00,rush_td,0,,,,,
player,201309090sdg,htx,FostAr00,rush_long,9,,,,,
player,201309090sdg,htx,FostAr00,targets,8,,,,,
player,201309090sdg,htx,FostAr00,rec,6,,,,,
player,201309090sdg,htx,FostAr00,rec_yds,33,,,,,
player,201309090sdg,htx,FostAr00,rec_td,0,,,,,
player,201309090sdg,htx,FostAr00,rec_long,8,,,,,
player,201309090sdg,htx,FostAr00,fumbles,0,,,,,
player,201309090sdg,htx,FostAr00,fumbles_lost,0,,,,,
player,201309090sdg,htx,TateBe00,pass_cmp,0,,,,,
player,201309090sdg,htx,TateBe00,pass_att,0,,,,,
player,201309090sdg,htx,TateBe00,pass_yds,0,,,,,
player,201309090sdg,htx,TateBe00,pass_td,0,,,,,
player,201309090sdg,htx,TateBe00,pass_int,0,,,,,
player,201309090sdg,htx,TateBe00,pass_sacked,0,,,,,
player,201309090sdg,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201309090sdg,htx,TateBe00,pass_long,0,,,,,
player,201309090sdg,htx,TateBe00,pass_rating,,,,,,
player,201309090sdg,htx,TateBe00,rush_att,9,,,,,
player,201309090sdg,htx,TateBe00,rush_yds,55,,,,,
player,201309090sdg,htx,TateBe00,rush_td,0,,,,,
player,201309090sdg,htx,TateBe00,rush_long,14,,,,,
player,201309090sdg,htx,TateBe00,targets,2,,,,,
player,201309090sdg,htx,TateBe00,rec,2,,,,,
player,201309090sdg,htx,TateBe00,rec_yds,7,,,,,
player,201309090sdg,htx,TateBe00,rec_td,0,,,,,
player,201309090sdg,htx,TateBe00,rec_long,4,,,,,
player,201309090sdg,htx,TateBe00,fumbles,0,,,,,
player,201309090sdg,htx,TateBe00,fumbles_lost,0,,,,,
player,201309090sdg,htx,KeoxSh00,pass_cmp,0,,,,,
player,201309090sdg,htx,KeoxSh00,pass_att,0,,,,,
player,201309090sdg,htx,KeoxSh00,pass_yds,0,,,,,
player,201309090sdg,htx,KeoxSh00,pass_td,0,,,,,
player,201309090sdg,htx,KeoxSh00,pass_int,0,,,,,
