game,2013,3,20130922,201309220car,nyg,"New York Giants",0,car,"Carolina Panthers",38
team,201309220car,nyg,First Downs,10,,,,,,
team,201309220car,car,First Downs,27,,,,,,
team,201309220car,nyg,Rush-Yds-TDs,16-60-0,,,,,,
team,201309220car,car,Rush-Yds-TDs,46-194-2,,,,,,
team,201309220car,nyg,Cmp-Att-Yd-TD-INT,14-27-135-0-2,,,,,,
team,201309220car,car,Cmp-Att-Yd-TD-INT,15-27-223-3-1,,,,,,
team,201309220car,nyg,Sacked-Yards,7-45,,,,,,
team,201309220car,car,Sacked-Yards,1-15,,,,,,
team,201309220car,nyg,Net Pass Yards,90,,,,,,
team,201309220car,car,Net Pass Yards,208,,,,,,
team,201309220car,nyg,Total Yards,150,,,,,,
team,201309220car,car,Total Yards,402,,,,,,
team,201309220car,nyg,Fumbles-Lost,1-1,,,,,,
team,201309220car,car,Fumbles-Lost,1-1,,,,,,
team,201309220car,nyg,Turnovers,3,,,,,,
team,201309220car,car,Turnovers,2,,,,,,
team,201309220car,nyg,Penalties-Yards,6-45,,,,,,
team,201309220car,car,Penalties-Yards,4-32,,,,,,
team,201309220car,nyg,Third Down Conv.,3-12,,,,,,
team,201309220car,car,Third Down Conv.,8-14,,,,,,
team,201309220car,nyg,Fourth Down Conv.,0-1,,,,,,
team,201309220car,car,Fourth Down Conv.,1-2,,,,,,
team,201309220car,nyg,Time of Possession,23:13,,,,,,
team,201309220car,car,Time of Possession,36:47,,,,,,
player,201309220car,nyg,MannEl00,pass_cmp,12,,,,,
player,201309220car,nyg,MannEl00,pass_att,23,,,,,
player,201309220car,nyg,MannEl00,pass_yds,119,,,,,
player,201309220car,nyg,MannEl00,pass_td,0,,,,,
player,201309220car,nyg,MannEl00,pass_int,1,,,,,
player,201309220car,nyg,MannEl00,pass_sacked,7,,,,,
player,201309220car,nyg,MannEl00,pass_sacked_yds,45,,,,,
player,201309220car,nyg,MannEl00,pass_long,24,,,,,
player,201309220car,nyg,MannEl00,pass_rating,49.0,,,,,
player,201309220car,nyg,MannEl00,rush_att,1,,,,,
player,201309220car,nyg,MannEl00,rush_yds,14,,,,,
player,201309220car,nyg,MannEl00,rush_td,0,,,,,
player,201309220car,nyg,MannEl00,rush_long,14,,,,,
player,201309220car,nyg,MannEl00,targets,0,,,,,
player,201309220car,nyg,MannEl00,rec,0,,,,,
player,201309220car,nyg,MannEl00,rec_yds,0,,,,,
player,201309220car,nyg,MannEl00,rec_td,0,,,,,
player,201309220car,nyg,MannEl00,rec_long,0,,,,,
player,201309220car,nyg,MannEl00,fumbles,0,,,,,
player,201309220car,nyg,MannEl00,fumbles_lost,0,,,,,
player,201309220car,nyg,PainCu00,pass_cmp,2,,,,,
player,201309220car,nyg,PainCu00,pass_att,4,,,,,
player,201309220car,nyg,PainCu00,pass_yds,16,,,,,
player,201309220car,nyg,PainCu00,pass_td,0,,,,,
player,201309220car,nyg,PainCu00,pass_int,1,,,,,
player,201309220car,nyg,PainCu00,pass_sacked,0,,,,,
player,201309220car,nyg,PainCu00,pass_sacked_yds,0,,,,,
player,201309220car,nyg,PainCu00,pass_long,9,,,,,
player,201309220car,nyg,PainCu00,pass_rating,20.8,,,,,
player,201309220car,nyg,PainCu00,rush_att,0,,,,,
player,201309220car,nyg,PainCu00,rush_yds,0,,,,,
player,201309220car,nyg,PainCu00,rush_td,0,,,,,
player,201309220car,nyg,PainCu00,rush_long,0,,,,,
player,201309220car,nyg,PainCu00,targets,0,,,,,
player,201309220car,nyg,PainCu00,rec,0,,,,,
player,201309220car,nyg,PainCu00,rec_yds,0,,,,,
player,201309220car,nyg,PainCu00,rec_td,0,,,,,
player,201309220car,nyg,PainCu00,rec_long,0,,,,,
player,201309220car,nyg,PainCu00,fumbles,0,,,,,
player,201309220car,nyg,PainCu00,fumbles_lost,0,,,,,
player,201309220car,nyg,WilsDa01,pass_cmp,0,,,,,
player,201309220car,nyg,WilsDa01,pass_att,0,,,,,
player,201309220car,nyg,WilsDa01,pass_yds,0,,,,,
player,201309220car,nyg,WilsDa01,pass_td,0,,,,,
player,201309220car,nyg,WilsDa01,pass_int,0,,,,,
player,201309220car,nyg,WilsDa01,pass_sacked,0,,,,,
player,201309220car,nyg,WilsDa01,pass_sacked_yds,0,,,,,
player,201309220car,nyg,WilsDa01,pass_long,0,,,,,
player,201309220car,nyg,WilsDa01,pass_rating,,,,,,
player,201309220car,nyg,WilsDa01,rush_att,11,,,,,
player,201309220car,nyg,WilsDa01,rush_yds,39,,,,,
player,201309220car,nyg,WilsDa01,rush_td,0,,,,,
player,201309220car,nyg,WilsDa01,rush_long,18,,,,,
player,201309220car,nyg,WilsDa01,targets,0,,,,,
player,201309220car,nyg,WilsDa01,rec,0,,,,,
player,201309220car,nyg,WilsDa01,rec_yds,0,,,,,
player,201309220car,nyg,WilsDa01,rec_td,0,,,,,
player,201309220car,nyg,WilsDa01,rec_long,0,,,,,
player,201309220car,nyg,WilsDa01,fumbles,0,,,,,
player,201309220car,nyg,WilsDa01,fumbles_lost,0,,,,,
player,201309220car,nyg,ScotDa01,pass_cmp,0,,,,,
player,201309220car,nyg,ScotDa01,pass_att,0,,,,,
player,201309220car,nyg,ScotDa01,pass_yds,0,,,,,
player,201309220car,nyg,ScotDa01,pass_td,0,,,,,
player,201309220car,nyg,ScotDa01,pass_int,0,,,,,
player,201309220car,nyg,ScotDa01,pass_sacked,0,,,,,
player,201309220car,nyg,ScotDa01,pass_sacked_yds,0,,,,,
player,201309220car,nyg,ScotDa01,pass_long,0,,,,,
player,201309220car,nyg,ScotDa01,pass_rating,,,,,,
player,201309220car,nyg,ScotDa01,rush_att,1,,,,,
player,201309220car,nyg,ScotDa01,rush_yds,5,,,,,
player,201309220car,nyg,ScotDa01,rush_td,0,,,,,
player,201309220car,nyg,ScotDa01,rush_long,5,,,,,
player,201309220car,nyg,ScotDa01,targets,3,,,,,
player,201309220car,nyg,ScotDa01,rec,2,,,,,
player,201309220car,nyg,ScotDa01,rec_yds,17,,,,,
player,201309220car,nyg,ScotDa01,rec_td,0,,,,,
player,201309220car,nyg,ScotDa01,rec_long,9,,,,,
player,201309220car,nyg,ScotDa01,fumbles,0,,,,,
player,201309220car,nyg,ScotDa01,fumbles_lost,0,,,,,
player,201309220car,nyg,JacoBr00,pass_cmp,0,,,,,
player,201309220car,nyg,JacoBr00,pass_att,0,,,,,
player,201309220car,nyg,JacoBr00,pass_yds,0,,,,,
player,201309220car,nyg,JacoBr00,pass_td,0,,,,,
player,201309220car,nyg,JacoBr00,pass_int,0,,,,,
player,201309220car,nyg,JacoBr00,pass_sacked,0,,,,,
player,201309220car,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201309220car,nyg,JacoBr00,pass_long,0,,,,,
player,201309220car,nyg,JacoBr00,pass_rating,,,,,,
player,201309220car,nyg,JacoBr00,rush_att,3,,,,,
player,201309220car,nyg,JacoBr00,rush_yds,2,,,,,
player,201309220car,nyg,JacoBr00,rush_td,0,,,,,
player,201309220car,nyg,JacoBr00,rush_long,2,,,,,
player,201309220car,nyg,JacoBr00,targets,0,,,,,
player,201309220car,nyg,JacoBr00,rec,0,,,,,
player,201309220car,nyg,JacoBr00,rec_yds,0,,,,,
player,201309220car,nyg,JacoBr00,rec_td,0,,,,,
player,201309220car,nyg,JacoBr00,rec_long,0,,,,,
player,201309220car,nyg,JacoBr00,fumbles,0,,,,,
player,201309220car,nyg,JacoBr00,fumbles_lost,0,,,,,
player,201309220car,nyg,RandRu00,pass_cmp,0,,,,,
player,201309220car,nyg,RandRu00,pass_att,0,,,,,
player,201309220car,nyg,RandRu00,pass_yds,0,,,,,
