game,2013,13,20131201,201312010sfo,ram,"St. Louis Rams",13,sfo,"San Francisco 49ers",23
team,201312010sfo,ram,First Downs,19,,,,,,
team,201312010sfo,sfo,First Downs,20,,,,,,
team,201312010sfo,ram,Rush-Yds-TDs,26-114-0,,,,,,
team,201312010sfo,sfo,Rush-Yds-TDs,30-83-1,,,,,,
team,201312010sfo,ram,Cmp-Att-Yd-TD-INT,19-38-218-1-1,,,,,,
team,201312010sfo,sfo,Cmp-Att-Yd-TD-INT,19-28-275-1-0,,,,,,
team,201312010sfo,ram,Sacked-Yards,3-20,,,,,,
team,201312010sfo,sfo,Sacked-Yards,4-20,,,,,,
team,201312010sfo,ram,Net Pass Yards,198,,,,,,
team,201312010sfo,sfo,Net Pass Yards,255,,,,,,
team,201312010sfo,ram,Total Yards,312,,,,,,
team,201312010sfo,sfo,Total Yards,338,,,,,,
team,201312010sfo,ram,Fumbles-Lost,0-0,,,,,,
team,201312010sfo,sfo,Fumbles-Lost,2-1,,,,,,
team,201312010sfo,ram,Turnovers,1,,,,,,
team,201312010sfo,sfo,Turnovers,1,,,,,,
team,201312010sfo,ram,Penalties-Yards,11-105,,,,,,
team,201312010sfo,sfo,Penalties-Yards,9-85,,,,,,
team,201312010sfo,ram,Third Down Conv.,4-13,,,,,,
team,201312010sfo,sfo,Third Down Conv.,4-12,,,,,,
team,201312010sfo,ram,Fourth Down Conv.,0-2,,,,,,
team,201312010sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201312010sfo,ram,Time of Possession,26:56,,,,,,
team,201312010sfo,sfo,Time of Possession,33:04,,,,,,
player,201312010sfo,ram,ClemKe00,pass_cmp,19,,,,,
player,201312010sfo,ram,ClemKe00,pass_att,37,,,,,
player,201312010sfo,ram,ClemKe00,pass_yds,218,,,,,
player,201312010sfo,ram,ClemKe00,pass_td,1,,,,,
player,201312010sfo,ram,ClemKe00,pass_int,1,,,,,
player,201312010sfo,ram,ClemKe00,pass_sacked,3,,,,,
player,201312010sfo,ram,ClemKe00,pass_sacked_yds,20,,,,,
player,201312010sfo,ram,ClemKe00,pass_long,29,,,,,
player,201312010sfo,ram,ClemKe00,pass_rating,67.2,,,,,
player,201312010sfo,ram,ClemKe00,rush_att,3,,,,,
player,201312010sfo,ram,ClemKe00,rush_yds,21,,,,,
player,201312010sfo,ram,ClemKe00,rush_td,0,,,,,
player,201312010sfo,ram,ClemKe00,rush_long,12,,,,,
player,201312010sfo,ram,ClemKe00,targets,0,,,,,
player,201312010sfo,ram,ClemKe00,rec,0,,,,,
player,201312010sfo,ram,ClemKe00,rec_yds,0,,,,,
player,201312010sfo,ram,ClemKe00,rec_td,0,,,,,
player,201312010sfo,ram,ClemKe00,rec_long,0,,,,,
player,201312010sfo,ram,ClemKe00,fumbles,0,,,,,
player,201312010sfo,ram,ClemKe00,fumbles_lost,0,,,,,
player,201312010sfo,ram,AustTa00,pass_cmp,0,,,,,
player,201312010sfo,ram,AustTa00,pass_att,1,,,,,
player,201312010sfo,ram,AustTa00,pass_yds,0,,,,,
player,201312010sfo,ram,AustTa00,pass_td,0,,,,,
player,201312010sfo,ram,AustTa00,pass_int,0,,,,,
player,201312010sfo,ram,AustTa00,pass_sacked,0,,,,,
player,201312010sfo,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201312010sfo,ram,AustTa00,pass_long,0,,,,,
player,201312010sfo,ram,AustTa00,pass_rating,39.6,,,,,
player,201312010sfo,ram,AustTa00,rush_att,1,,,,,
player,201312010sfo,ram,AustTa00,rush_yds,10,,,,,
player,201312010sfo,ram,AustTa00,rush_td,0,,,,,
player,201312010sfo,ram,AustTa00,rush_long,10,,,,,
player,201312010sfo,ram,AustTa00,targets,7,,,,,
player,201312010sfo,ram,AustTa00,rec,4,,,,,
player,201312010sfo,ram,AustTa00,rec_yds,25,,,,,
