game,2013,2,20130915,201309150kan,dal,"Dallas Cowboys",16,kan,"Kansas City Chiefs",17
team,201309150kan,dal,First Downs,20,,,,,,
team,201309150kan,kan,First Downs,19,,,,,,
team,201309150kan,dal,Rush-Yds-TDs,16-37-0,,,,,,
team,201309150kan,kan,Rush-Yds-TDs,25-114-0,,,,,,
team,201309150kan,dal,Cmp-Att-Yd-TD-INT,30-42-298-1-0,,,,,,
team,201309150kan,kan,Cmp-Att-Yd-TD-INT,21-36-223-2-0,,,,,,
team,201309150kan,dal,Sacked-Yards,3-17,,,,,,
team,201309150kan,kan,Sacked-Yards,4-24,,,,,,
team,201309150kan,dal,Net Pass Yards,281,,,,,,
team,201309150kan,kan,Net Pass Yards,199,,,,,,
team,201309150kan,dal,Total Yards,318,,,,,,
team,201309150kan,kan,Total Yards,313,,,,,,
team,201309150kan,dal,Fumbles-Lost,2-2,,,,,,
team,201309150kan,kan,Fumbles-Lost,0-0,,,,,,
team,201309150kan,dal,Turnovers,2,,,,,,
team,201309150kan,kan,Turnovers,0,,,,,,
team,201309150kan,dal,Penalties-Yards,5-27,,,,,,
team,201309150kan,kan,Penalties-Yards,10-45,,,,,,
team,201309150kan,dal,Third Down Conv.,3-11,,,,,,
team,201309150kan,kan,Third Down Conv.,4-13,,,,,,
team,201309150kan,dal,Fourth Down Conv.,0-0,,,,,,
team,201309150kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201309150kan,dal,Time of Possession,31:47,,,,,,
team,201309150kan,kan,Time of Possession,28:13,,,,,,
player,201309150kan,dal,RomoTo00,pass_cmp,30,,,,,
player,201309150kan,dal,RomoTo00,pass_att,42,,,,,
player,201309150kan,dal,RomoTo00,pass_yds,298,,,,,
player,201309150kan,dal,RomoTo00,pass_td,1,,,,,
player,201309150kan,dal,RomoTo00,pass_int,0,,,,,
player,201309150kan,dal,RomoTo00,pass_sacked,3,,,,,
player,201309150kan,dal,RomoTo00,pass_sacked_yds,17,,,,,
player,201309150kan,dal,RomoTo00,pass_long,53,,,,,
player,201309150kan,dal,RomoTo00,pass_rating,99.1,,,,,
player,201309150kan,dal,RomoTo00,rush_att,2,,,,,
player,201309150kan,dal,RomoTo00,rush_yds,3,,,,,
player,201309150kan,dal,RomoTo00,rush_td,0,,,,,
player,201309150kan,dal,RomoTo00,rush_long,4,,,,,
player,201309150kan,dal,RomoTo00,targets,0,,,,,
player,201309150kan,dal,RomoTo00,rec,0,,,,,
player,201309150kan,dal,RomoTo00,rec_yds,0,,,,,
player,201309150kan,dal,RomoTo00,rec_td,0,,,,,
player,201309150kan,dal,RomoTo00,rec_long,0,,,,,
player,201309150kan,dal,RomoTo00,fumbles,1,,,,,
player,201309150kan,dal,RomoTo00,fumbles_lost,1,,,,,
player,201309150kan,dal,MurrDe00,pass_cmp,0,,,,,
player,201309150kan,dal,MurrDe00,pass_att,0,,,,,
player,201309150kan,dal,MurrDe00,pass_yds,0,,,,,
player,201309150kan,dal,MurrDe00,pass_td,0,,,,,
player,201309150kan,dal,MurrDe00,pass_int,0,,,,,
player,201309150kan,dal,MurrDe00,pass_sacked,0,,,,,
player,201309150kan,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201309150kan,dal,MurrDe00,pass_long,0,,,,,
player,201309150kan,dal,MurrDe00,pass_rating,,,,,,
player,201309150kan,dal,MurrDe00,rush_att,12,,,,,
player,201309150kan,dal,MurrDe00,rush_yds,25,,,,,
player,201309150kan,dal,MurrDe00,rush_td,0,,,,,
player,201309150kan,dal,MurrDe00,rush_long,6,,,,,
player,201309150kan,dal,MurrDe00,targets,6,,,,,
player,201309150kan,dal,MurrDe00,rec,5,,,,,
player,201309150kan,dal,MurrDe00,rec_yds,49,,,,,
