game,2013,7,20131020,201310200kan,htx,"Houston Texans",16,kan,"Kansas City Chiefs",17
team,201310200kan,htx,First Downs,14,,,,,,
team,201310200kan,kan,First Downs,20,,,,,,
team,201310200kan,htx,Rush-Yds-TDs,24-73-0,,,,,,
team,201310200kan,kan,Rush-Yds-TDs,32-126-2,,,,,,
team,201310200kan,htx,Cmp-Att-Yd-TD-INT,15-25-271-1-0,,,,,,
team,201310200kan,kan,Cmp-Att-Yd-TD-INT,23-34-240-0-1,,,,,,
team,201310200kan,htx,Sacked-Yards,5-50,,,,,,
team,201310200kan,kan,Sacked-Yards,2-9,,,,,,
team,201310200kan,htx,Net Pass Yards,221,,,,,,
team,201310200kan,kan,Net Pass Yards,231,,,,,,
team,201310200kan,htx,Total Yards,294,,,,,,
team,201310200kan,kan,Total Yards,357,,,,,,
team,201310200kan,htx,Fumbles-Lost,2-1,,,,,,
team,201310200kan,kan,Fumbles-Lost,1-1,,,,,,
team,201310200kan,htx,Turnovers,1,,,,,,
team,201310200kan,kan,Turnovers,2,,,,,,
team,201310200kan,htx,Penalties-Yards,4-40,,,,,,
team,201310200kan,kan,Penalties-Yards,5-24,,,,,,
team,201310200kan,htx,Third Down Conv.,4-12,,,,,,
team,201310200kan,kan,Third Down Conv.,7-15,,,,,,
team,201310200kan,htx,Fourth Down Conv.,0-0,,,,,,
team,201310200kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201310200kan,htx,Time of Possession,27:48,,,,,,
team,201310200kan,kan,Time of Possession,32:12,,,,,,
player,201310200kan,htx,KeenCa00,pass_cmp,15,,,,,
player,201310200kan,htx,KeenCa00,pass_att,25,,,,,
player,201310200kan,htx,KeenCa00,pass_yds,271,,,,,
player,201310200kan,htx,KeenCa00,pass_td,1,,,,,
player,201310200kan,htx,KeenCa00,pass_int,0,,,,,
player,201310200kan,htx,KeenCa00,pass_sacked,5,,,,,
player,201310200kan,htx,KeenCa00,pass_sacked_yds,50,,,,,
player,201310200kan,htx,KeenCa00,pass_long,42,,,,,
player,201310200kan,htx,KeenCa00,pass_rating,110.6,,,,,
player,201310200kan,htx,KeenCa00,rush_att,3,,,,,
player,201310200kan,htx,KeenCa00,rush_yds,10,,,,,
player,201310200kan,htx,KeenCa00,rush_td,0,,,,,
player,201310200kan,htx,KeenCa00,rush_long,9,,,,,
player,201310200kan,htx,KeenCa00,targets,0,,,,,
player,201310200kan,htx,KeenCa00,rec,0,,,,,
player,201310200kan,htx,KeenCa00,rec_yds,0,,,,,
player,201310200kan,htx,KeenCa00,rec_td,0,,,,,
player,201310200kan,htx,KeenCa00,rec_long,0,,,,,
player,201310200kan,htx,KeenCa00,fumbles,2,,,,,
player,201310200kan,htx,KeenCa00,fumbles_lost,1,,,,,
player,201310200kan,htx,TateBe00,pass_cmp,0,,,,,
player,201310200kan,htx,TateBe00,pass_att,0,,,,,
player,201310200kan,htx,TateBe00,pass_yds,0,,,,,
player,201310200kan,htx,TateBe00,pass_td,0,,,,,
