game,2013,2,20130915,201309150atl,ram,"St. Louis Rams",24,atl,"Atlanta Falcons",31
team,201309150atl,ram,First Downs,24,,,,,,
team,201309150atl,atl,First Downs,19,,,,,,
team,201309150atl,ram,Rush-Yds-TDs,18-69-0,,,,,,
team,201309150atl,atl,Rush-Yds-TDs,16-36-1,,,,,,
team,201309150atl,ram,Cmp-Att-Yd-TD-INT,32-55-352-3-1,,,,,,
team,201309150atl,atl,Cmp-Att-Yd-TD-INT,33-43-374-2-0,,,,,,
team,201309150atl,ram,Sacked-Yards,0-0,,,,,,
team,201309150atl,atl,Sacked-Yards,2-17,,,,,,
team,201309150atl,ram,Net Pass Yards,352,,,,,,
team,201309150atl,atl,Net Pass Yards,357,,,,,,
team,201309150atl,ram,Total Yards,421,,,,,,
team,201309150atl,atl,Total Yards,393,,,,,,
team,201309150atl,ram,Fumbles-Lost,0-0,,,,,,
team,201309150atl,atl,Fumbles-Lost,0-0,,,,,,
team,201309150atl,ram,Turnovers,1,,,,,,
team,201309150atl,atl,Turnovers,0,,,,,,
team,201309150atl,ram,Penalties-Yards,7-53,,,,,,
team,201309150atl,atl,Penalties-Yards,7-53,,,,,,
team,201309150atl,ram,Third Down Conv.,7-17,,,,,,
team,201309150atl,atl,Third Down Conv.,7-13,,,,,,
team,201309150atl,ram,Fourth Down Conv.,2-2,,,,,,
team,201309150atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201309150atl,ram,Time of Possession,29:43,,,,,,
team,201309150atl,atl,Time of Possession,30:17,,,,,,
player,201309150atl,ram,BradSa00,pass_cmp,32,,,,,
player,201309150atl,ram,BradSa00,pass_att,55,,,,,
player,201309150atl,ram,BradSa00,pass_yds,352,,,,,
player,201309150atl,ram,BradSa00,pass_td,3,,,,,
player,201309150atl,ram,BradSa00,pass_int,1,,,,,
player,201309150atl,ram,BradSa00,pass_sacked,0,,,,,
player,201309150atl,ram,BradSa00,pass_sacked_yds,0,,,,,
player,201309150atl,ram,BradSa00,pass_long,47,,,,,
player,201309150atl,ram,BradSa00,pass_rating,87.8,,,,,
player,201309150atl,ram,BradSa00,rush_att,3,,,,,
player,201309150atl,ram,BradSa00,rush_yds,25,,,,,
player,201309150atl,ram,BradSa00,rush_td,0,,,,,
player,201309150atl,ram,BradSa00,rush_long,23,,,,,
player,201309150atl,ram,BradSa00,targets,0,,,,,
player,201309150atl,ram,BradSa00,rec,0,,,,,
player,201309150atl,ram,BradSa00,rec_yds,0,,,,,
player,201309150atl,ram,BradSa00,rec_td,0,,,,,
player,201309150atl,ram,BradSa00,rec_long,0,,,,,
player,201309150atl,ram,BradSa00,fumbles,0,,,,,
player,201309150atl,ram,BradSa00,fumbles_lost,0,,,,,
player,201309150atl,ram,RichDa00,pass_cmp,0,,,,,
player,201309150atl,ram,RichDa00,pass_att,0,,,,,
player,201309150atl,ram,RichDa00,pass_yds,0,,,,,
player,201309150atl,ram,RichDa00,pass_td,0,,,,,
player,201309150atl,ram,RichDa00,pass_int,0,,,,,
player,201309150atl,ram,RichDa00,pass_sacked,0,,,,,
player,201309150atl,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201309150atl,ram,RichDa00,pass_long,0,,,,,
player,201309150atl,ram,RichDa00,pass_rating,,,,,,
player,201309150atl,ram,RichDa00,rush_att,10,,,,,
player,201309150atl,ram,RichDa00,rush_yds,35,,,,,
player,201309150atl,ram,RichDa00,rush_td,0,,,,,
player,201309150atl,ram,RichDa00,rush_long,10,,,,,
player,201309150atl,ram,RichDa00,targets,6,,,,,
player,201309150atl,ram,RichDa00,rec,5,,,,,
player,201309150atl,ram,RichDa00,rec_yds,45,,,,,
player,201309150atl,ram,RichDa00,rec_td,0,,,,,
player,201309150atl,ram,RichDa00,rec_long,19,,,,,
player,201309150atl,ram,RichDa00,fumbles,0,,,,,
player,201309150atl,ram,RichDa00,fumbles_lost,0,,,,,
player,201309150atl,ram,AustTa00,pass_cmp,0,,,,,
player,201309150atl,ram,AustTa00,pass_att,0,,,,,
player,201309150atl,ram,AustTa00,pass_yds,0,,,,,
player,201309150atl,ram,AustTa00,pass_td,0,,,,,
player,201309150atl,ram,AustTa00,pass_int,0,,,,,
player,201309150atl,ram,AustTa00,pass_sacked,0,,,,,
player,201309150atl,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201309150atl,ram,AustTa00,pass_long,0,,,,,
player,201309150atl,ram,AustTa00,pass_rating,,,,,,
player,201309150atl,ram,AustTa00,rush_att,2,,,,,
player,201309150atl,ram,AustTa00,rush_yds,8,,,,,
player,201309150atl,ram,AustTa00,rush_td,0,,,,,
player,201309150atl,ram,AustTa00,rush_long,7,,,,,
player,201309150atl,ram,AustTa00,targets,12,,,,,
player,201309150atl,ram,AustTa00,rec,6,,,,,
player,201309150atl,ram,AustTa00,rec_yds,47,,,,,
player,201309150atl,ram,AustTa00,rec_td,2,,,,,
player,201309150atl,ram,AustTa00,rec_long,11,,,,,
player,201309150atl,ram,AustTa00,fumbles,0,,,,,
player,201309150atl,ram,AustTa00,fumbles_lost,0,,,,,
player,201309150atl,ram,PeadIs00,pass_cmp,0,,,,,
player,201309150atl,ram,PeadIs00,pass_att,0,,,,,
player,201309150atl,ram,PeadIs00,pass_yds,0,,,,,
player,201309150atl,ram,PeadIs00,pass_td,0,,,,,
player,201309150atl,ram,PeadIs00,pass_int,0,,,,,
player,201309150atl,ram,PeadIs00,pass_sacked,0,,,,,
player,201309150atl,ram,PeadIs00,pass_sacked_yds,0,,,,,
player,201309150atl,ram,PeadIs00,pass_long,0,,,,,
player,201309150atl,ram,PeadIs00,pass_rating,,,,,,
player,201309150atl,ram,PeadIs00,rush_att,1,,,,,
player,201309150atl,ram,PeadIs00,rush_yds,1,,,,,
player,201309150atl,ram,PeadIs00,rush_td,0,,,,,
player,201309150atl,ram,PeadIs00,rush_long,1,,,,,
player,201309150atl,ram,PeadIs00,targets,4,,,,,
player,201309150atl,ram,PeadIs00,rec,2,,,,,
player,201309150atl,ram,PeadIs00,rec_yds,18,,,,,
player,201309150atl,ram,PeadIs00,rec_td,0,,,,,
player,201309150atl,ram,PeadIs00,rec_long,9,,,,,
player,201309150atl,ram,PeadIs00,fumbles,0,,,,,
player,201309150atl,ram,PeadIs00,fumbles_lost,0,,,,,
player,201309150atl,ram,GiveCh00,pass_cmp,0,,,,,
player,201309150atl,ram,GiveCh00,pass_att,0,,,,,
player,201309150atl,ram,GiveCh00,pass_yds,0,,,,,
player,201309150atl,ram,GiveCh00,pass_td,0,,,,,
player,201309150atl,ram,GiveCh00,pass_int,0,,,,,
player,201309150atl,ram,GiveCh00,pass_sacked,0,,,,,
player,201309150atl,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201309150atl,ram,GiveCh00,pass_long,0,,,,,
player,201309150atl,ram,GiveCh00,pass_rating,,,,,,
player,201309150atl,ram,GiveCh00,rush_att,0,,,,,
player,201309150atl,ram,GiveCh00,rush_yds,0,,,,,
player,201309150atl,ram,GiveCh00,rush_td,0,,,,,
player,201309150atl,ram,GiveCh00,rush_long,0,,,,,
player,201309150atl,ram,GiveCh00,targets,8,,,,,
player,201309150atl,ram,GiveCh00,rec,5,,,,,
player,201309150atl,ram,GiveCh00,rec_yds,105,,,,,
player,201309150atl,ram,GiveCh00,rec_td,0,,,,,
player,201309150atl,ram,GiveCh00,rec_long,47,,,,,
player,201309150atl,ram,GiveCh00,fumbles,0,,,,,
player,201309150atl,ram,GiveCh00,fumbles_lost,0,,,,,
player,201309150atl,ram,PettAu00,pass_cmp,0,,,,,
player,201309150atl,ram,PettAu00,pass_att,0,,,,,
player,201309150atl,ram,PettAu00,pass_yds,0,,,,,
player,201309150atl,ram,PettAu00,pass_td,0,,,,,
player,201309150atl,ram,PettAu00,pass_int,0,,,,,
player,201309150atl,ram,PettAu00,pass_sacked,0,,,,,
player,201309150atl,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201309150atl,ram,PettAu00,pass_long,0,,,,,
player,201309150atl,ram,PettAu00,pass_rating,,,,,,
player,201309150atl,ram,PettAu00,rush_att,0,,,,,
player,201309150atl,ram,PettAu00,rush_yds,0,,,,,
player,201309150atl,ram,PettAu00,rush_td,0,,,,,
player,201309150atl,ram,PettAu00,rush_long,0,,,,,
player,201309150atl,ram,PettAu00,targets,11,,,,,
player,201309150atl,ram,PettAu00,rec,8,,,,,
player,201309150atl,ram,PettAu00,rec_yds,78,,,,,
player,201309150atl,ram,PettAu00,rec_td,1,,,,,
player,201309150atl,ram,PettAu00,rec_long,20,,,,,
