game,2013,9,20131103,201311030ram,oti,"Tennessee Titans",28,ram,"St. Louis Rams",21
team,201311030ram,oti,First Downs,22,,,,,,
team,201311030ram,ram,First Downs,21,,,,,,
team,201311030ram,oti,Rush-Yds-TDs,35-198-4,,,,,,
team,201311030ram,ram,Rush-Yds-TDs,32-160-2,,,,,,
team,201311030ram,oti,Cmp-Att-Yd-TD-INT,13-22-185-0-2,,,,,,
team,201311030ram,ram,Cmp-Att-Yd-TD-INT,20-35-210-1-0,,,,,,
team,201311030ram,oti,Sacked-Yards,4-20,,,,,,
team,201311030ram,ram,Sacked-Yards,2-7,,,,,,
team,201311030ram,oti,Net Pass Yards,165,,,,,,
team,201311030ram,ram,Net Pass Yards,203,,,,,,
team,201311030ram,oti,Total Yards,363,,,,,,
team,201311030ram,ram,Total Yards,363,,,,,,
team,201311030ram,oti,Fumbles-Lost,1-0,,,,,,
team,201311030ram,ram,Fumbles-Lost,2-2,,,,,,
team,201311030ram,oti,Turnovers,2,,,,,,
team,201311030ram,ram,Turnovers,2,,,,,,
team,201311030ram,oti,Penalties-Yards,3-30,,,,,,
team,201311030ram,ram,Penalties-Yards,6-44,,,,,,
team,201311030ram,oti,Third Down Conv.,7-12,,,,,,
team,201311030ram,ram,Third Down Conv.,5-13,,,,,,
team,201311030ram,oti,Fourth Down Conv.,0-0,,,,,,
team,201311030ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201311030ram,oti,Time of Possession,27:09,,,,,,
team,201311030ram,ram,Time of Possession,32:51,,,,,,
player,201311030ram,oti,LockJa00,pass_cmp,13,,,,,
player,201311030ram,oti,LockJa00,pass_att,22,,,,,
player,201311030ram,oti,LockJa00,pass_yds,185,,,,,
player,201311030ram,oti,LockJa00,pass_td,0,,,,,
player,201311030ram,oti,LockJa00,pass_int,2,,,,,
player,201311030ram,oti,LockJa00,pass_sacked,4,,,,,
player,201311030ram,oti,LockJa00,pass_sacked_yds,20,,,,,
player,201311030ram,oti,LockJa00,pass_long,45,,,,,
player,201311030ram,oti,LockJa00,pass_rating,48.5,,,,,
player,201311030ram,oti,LockJa00,rush_att,3,,,,,
player,201311030ram,oti,LockJa00,rush_yds,10,,,,,
player,201311030ram,oti,LockJa00,rush_td,1,,,,,
player,201311030ram,oti,LockJa00,rush_long,6,,,,,
player,201311030ram,oti,LockJa00,targets,0,,,,,
player,201311030ram,oti,LockJa00,rec,0,,,,,
player,201311030ram,oti,LockJa00,rec_yds,0,,,,,
player,201311030ram,oti,LockJa00,rec_td,0,,,,,
player,201311030ram,oti,LockJa00,rec_long,0,,,,,
player,201311030ram,oti,LockJa00,fumbles,0,,,,,
player,201311030ram,oti,LockJa00,fumbles_lost,0,,,,,
player,201311030ram,oti,JohnCh04,pass_cmp,0,,,,,
player,201311030ram,oti,JohnCh04,pass_att,0,,,,,
player,201311030ram,oti,JohnCh04,pass_yds,0,,,,,
player,201311030ram,oti,JohnCh04,pass_td,0,,,,,
player,201311030ram,oti,JohnCh04,pass_int,0,,,,,
player,201311030ram,oti,JohnCh04,pass_sacked,0,,,,,
player,201311030ram,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201311030ram,oti,JohnCh04,pass_long,0,,,,,
player,201311030ram,oti,JohnCh04,pass_rating,,,,,,
player,201311030ram,oti,JohnCh04,rush_att,23,,,,,
player,201311030ram,oti,JohnCh04,rush_yds,150,,,,,
player,201311030ram,oti,JohnCh04,rush_td,2,,,,,
player,201311030ram,oti,JohnCh04,rush_long,24,,,,,
player,201311030ram,oti,JohnCh04,targets,4,,,,,
player,201311030ram,oti,JohnCh04,rec,3,,,,,
player,201311030ram,oti,JohnCh04,rec_yds,20,,,,,
player,201311030ram,oti,JohnCh04,rec_td,0,,,,,
player,201311030ram,oti,JohnCh04,rec_long,10,,,,,
player,201311030ram,oti,JohnCh04,fumbles,0,,,,,
player,201311030ram,oti,JohnCh04,fumbles_lost,0,,,,,
player,201311030ram,oti,GreeSh00,pass_cmp,0,,,,,
player,201311030ram,oti,GreeSh00,pass_att,0,,,,,
player,201311030ram,oti,GreeSh00,pass_yds,0,,,,,
player,201311030ram,oti,GreeSh00,pass_td,0,,,,,
player,201311030ram,oti,GreeSh00,pass_int,0,,,,,
player,201311030ram,oti,GreeSh00,pass_sacked,0,,,,,
player,201311030ram,oti,GreeSh00,pass_sacked_yds,0,,,,,
player,201311030ram,oti,GreeSh00,pass_long,0,,,,,
player,201311030ram,oti,GreeSh00,pass_rating,,,,,,
player,201311030ram,oti,GreeSh00,rush_att,9,,,,,
player,201311030ram,oti,GreeSh00,rush_yds,38,,,,,
player,201311030ram,oti,GreeSh00,rush_td,1,,,,,
player,201311030ram,oti,GreeSh00,rush_long,15,,,,,
player,201311030ram,oti,GreeSh00,targets,1,,,,,
