game,2013,8,20131027,201310270rai,pit,"Pittsburgh Steelers",18,rai,"Oakland Raiders",21
player,201310270rai,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201310270rai,pit,BrowAn04,pass_long,0,,,,,
player,201310270rai,pit,BrowAn04,pass_rating,,,,,,
player,201310270rai,pit,BrowAn04,rush_att,1,,,,,
player,201310270rai,pit,BrowAn04,rush_yds,2,,,,,
player,201310270rai,pit,BrowAn04,rush_td,0,,,,,
player,201310270rai,pit,BrowAn04,rush_long,2,,,,,
player,201310270rai,pit,BrowAn04,targets,13,,,,,
player,201310270rai,pit,BrowAn04,rec,9,,,,,
player,201310270rai,pit,BrowAn04,rec_yds,82,,,,,
player,201310270rai,pit,BrowAn04,rec_td,0,,,,,
player,201310270rai,pit,BrowAn04,rec_long,21,,,,,
player,201310270rai,pit,BrowAn04,fumbles,0,,,,,
player,201310270rai,pit,BrowAn04,fumbles_lost,0,,,,,
player,201310270rai,pit,SandEm00,pass_cmp,0,,,,,
player,201310270rai,pit,SandEm00,pass_att,0,,,,,
player,201310270rai,pit,SandEm00,pass_yds,0,,,,,
player,201310270rai,pit,SandEm00,pass_td,0,,,,,
player,201310270rai,pit,SandEm00,pass_int,0,,,,,
player,201310270rai,pit,SandEm00,pass_sacked,0,,,,,
player,201310270rai,pit,SandEm00,pass_sacked_yds,0,,,,,
player,201310270rai,pit,SandEm00,pass_long,0,,,,,
player,201310270rai,pit,SandEm00,pass_rating,,,,,,
player,201310270rai,pit,SandEm00,rush_att,0,,,,,
player,201310270rai,pit,SandEm00,rush_yds,0,,,,,
player,201310270rai,pit,SandEm00,rush_td,0,,,,,
player,201310270rai,pit,SandEm00,rush_long,0,,,,,
player,201310270rai,pit,SandEm00,targets,11,,,,,
player,201310270rai,pit,SandEm00,rec,7,,,,,
player,201310270rai,pit,SandEm00,rec_yds,88,,,,,
player,201310270rai,pit,SandEm00,rec_td,1,,,,,
player,201310270rai,pit,SandEm00,rec_long,33,,,,,
player,201310270rai,pit,SandEm00,fumbles,0,,,,,
player,201310270rai,pit,SandEm00,fumbles_lost,0,,,,,
player,201310270rai,pit,CotcJe00,pass_cmp,0,,,,,
player,201310270rai,pit,CotcJe00,pass_att,0,,,,,
player,201310270rai,pit,CotcJe00,pass_yds,0,,,,,
player,201310270rai,pit,CotcJe00,pass_td,0,,,,,
player,201310270rai,pit,CotcJe00,pass_int,0,,,,,
player,201310270rai,pit,CotcJe00,pass_sacked,0,,,,,
player,201310270rai,pit,CotcJe00,pass_sacked_yds,0,,,,,
player,201310270rai,pit,CotcJe00,pass_long,0,,,,,
player,201310270rai,pit,CotcJe00,pass_rating,,,,,,
player,201310270rai,pit,CotcJe00,rush_att,0,,,,,
player,201310270rai,pit,CotcJe00,rush_yds,0,,,,,
player,201310270rai,pit,CotcJe00,rush_td,0,,,,,
player,201310270rai,pit,CotcJe00,rush_long,0,,,,,
player,201310270rai,pit,CotcJe00,targets,4,,,,,
player,201310270rai,pit,CotcJe00,rec,3,,,,,
player,201310270rai,pit,CotcJe00,rec_yds,39,,,,,
player,201310270rai,pit,CotcJe00,rec_td,0,,,,,
player,201310270rai,pit,CotcJe00,rec_long,17,,,,,
player,201310270rai,pit,CotcJe00,fumbles,0,,,,,
player,201310270rai,pit,CotcJe00,fumbles_lost,0,,,,,
player,201310270rai,pit,MillHe00,pass_cmp,0,,,,,
player,201310270rai,pit,MillHe00,pass_att,0,,,,,
player,201310270rai,pit,MillHe00,pass_yds,0,,,,,
player,201310270rai,pit,MillHe00,pass_td,0,,,,,
player,201310270rai,pit,MillHe00,pass_int,0,,,,,
player,201310270rai,pit,MillHe00,pass_sacked,0,,,,,
player,201310270rai,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201310270rai,pit,MillHe00,pass_long,0,,,,,
player,201310270rai,pit,MillHe00,pass_rating,,,,,,
player,201310270rai,pit,MillHe00,rush_att,0,,,,,
player,201310270rai,pit,MillHe00,rush_yds,0,,,,,
player,201310270rai,pit,MillHe00,rush_td,0,,,,,
player,201310270rai,pit,MillHe00,rush_long,0,,,,,
player,201310270rai,pit,MillHe00,targets,7,,,,,
player,201310270rai,pit,MillHe00,rec,3,,,,,
player,201310270rai,pit,MillHe00,rec_yds,19,,,,,
player,201310270rai,pit,MillHe00,rec_td,0,,,,,
player,201310270rai,pit,MillHe00,rec_long,10,,,,,
player,201310270rai,pit,MillHe00,fumbles,0,,,,,
player,201310270rai,pit,MillHe00,fumbles_lost,0,,,,,
player,201310270rai,pit,JoneFe00,pass_cmp,0,,,,,
player,201310270rai,pit,JoneFe00,pass_att,0,,,,,
player,201310270rai,pit,JoneFe00,pass_yds,0,,,,,
player,201310270rai,pit,JoneFe00,pass_td,0,,,,,
player,201310270rai,pit,JoneFe00,pass_int,0,,,,,
player,201310270rai,pit,JoneFe00,pass_sacked,0,,,,,
player,201310270rai,pit,JoneFe00,pass_sacked_yds,0,,,,,
player,201310270rai,pit,JoneFe00,pass_long,0,,,,,
player,201310270rai,pit,JoneFe00,pass_rating,,,,,,
player,201310270rai,pit,JoneFe00,rush_att,1,,,,,
player,201310270rai,pit,JoneFe00,rush_yds,-1,,,,,
player,201310270rai,pit,JoneFe00,rush_td,0,,,,,
player,201310270rai,pit,JoneFe00,rush_long,-1,,,,,
player,201310270rai,pit,JoneFe00,targets,3,,,,,
player,201310270rai,pit,JoneFe00,rec,2,,,,,
player,201310270rai,pit,JoneFe00,rec_yds,20,,,,,
player,201310270rai,pit,JoneFe00,rec_td,0,,,,,
player,201310270rai,pit,JoneFe00,rec_long,11,,,,,
player,201310270rai,pit,JoneFe00,fumbles,0,,,,,
player,201310270rai,pit,JoneFe00,fumbles_lost,0,,,,,
player,201310270rai,rai,PryoTe00,pass_cmp,10,,,,,
player,201310270rai,rai,PryoTe00,pass_att,19,,,,,
player,201310270rai,rai,PryoTe00,pass_yds,88,,,,,
player,201310270rai,rai,PryoTe00,pass_td,0,,,,,
player,201310270rai,rai,PryoTe00,pass_int,2,,,,,
player,201310270rai,rai,PryoTe00,pass_sacked,2,,,,,
player,201310270rai,rai,PryoTe00,pass_sacked_yds,6,,,,,
player,201310270rai,rai,PryoTe00,pass_long,18,,,,,
player,201310270rai,rai,PryoTe00,pass_rating,25.7,,,,,
player,201310270rai,rai,PryoTe00,rush_att,9,,,,,
player,201310270rai,rai,PryoTe00,rush_yds,106,,,,,
player,201310270rai,rai,PryoTe00,rush_td,1,,,,,
player,201310270rai,rai,PryoTe00,rush_long,93,,,,,
player,201310270rai,rai,PryoTe00,targets,0,,,,,
player,201310270rai,rai,PryoTe00,rec,0,,,,,
player,201310270rai,rai,PryoTe00,rec_yds,0,,,,,
player,201310270rai,rai,PryoTe00,rec_td,0,,,,,
player,201310270rai,rai,PryoTe00,rec_long,0,,,,,
player,201310270rai,rai,PryoTe00,fumbles,0,,,,,
player,201310270rai,rai,PryoTe00,fumbles_lost,0,,,,,
player,201310270rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201310270rai,rai,McFaDa00,pass_att,0,,,,,
player,201310270rai,rai,McFaDa00,pass_yds,0,,,,,
player,201310270rai,rai,McFaDa00,pass_td,0,,,,,
