game,2013,4,20130929,201309290den,phi,"Philadelphia Eagles",20,den,"Denver Broncos",52
team,201309290den,phi,First Downs,21,,,,,,
team,201309290den,den,First Downs,35,,,,,,
team,201309290den,phi,Rush-Yds-TDs,35-166-1,,,,,,
team,201309290den,den,Rush-Yds-TDs,33-141-1,,,,,,
team,201309290den,phi,Cmp-Att-Yd-TD-INT,17-31-297-1-0,,,,,,
team,201309290den,den,Cmp-Att-Yd-TD-INT,30-37-337-4-0,,,,,,
team,201309290den,phi,Sacked-Yards,3-13,,,,,,
team,201309290den,den,Sacked-Yards,1-6,,,,,,
team,201309290den,phi,Net Pass Yards,284,,,,,,
team,201309290den,den,Net Pass Yards,331,,,,,,
team,201309290den,phi,Total Yards,450,,,,,,
team,201309290den,den,Total Yards,472,,,,,,
team,201309290den,phi,Fumbles-Lost,0-0,,,,,,
team,201309290den,den,Fumbles-Lost,0-0,,,,,,
team,201309290den,phi,Turnovers,0,,,,,,
team,201309290den,den,Turnovers,0,,,,,,
team,201309290den,phi,Penalties-Yards,8-62,,,,,,
team,201309290den,den,Penalties-Yards,2-25,,,,,,
team,201309290den,phi,Third Down Conv.,8-16,,,,,,
team,201309290den,den,Third Down Conv.,5-8,,,,,,
team,201309290den,phi,Fourth Down Conv.,0-0,,,,,,
team,201309290den,den,Fourth Down Conv.,0-0,,,,,,
team,201309290den,phi,Time of Possession,26:38,,,,,,
team,201309290den,den,Time of Possession,33:22,,,,,,
player,201309290den,phi,VickMi00,pass_cmp,14,,,,,
player,201309290den,phi,VickMi00,pass_att,27,,,,,
player,201309290den,phi,VickMi00,pass_yds,248,,,,,
player,201309290den,phi,VickMi00,pass_td,0,,,,,
player,201309290den,phi,VickMi00,pass_int,0,,,,,
player,201309290den,phi,VickMi00,pass_sacked,3,,,,,
player,201309290den,phi,VickMi00,pass_sacked_yds,13,,,,,
player,201309290den,phi,VickMi00,pass_long,38,,,,,
player,201309290den,phi,VickMi00,pass_rating,83.6,,,,,
player,201309290den,phi,VickMi00,rush_att,8,,,,,
player,201309290den,phi,VickMi00,rush_yds,41,,,,,
player,201309290den,phi,VickMi00,rush_td,0,,,,,
player,201309290den,phi,VickMi00,rush_long,13,,,,,
player,201309290den,phi,VickMi00,targets,0,,,,,
player,201309290den,phi,VickMi00,rec,0,,,,,
player,201309290den,phi,VickMi00,rec_yds,0,,,,,
player,201309290den,phi,VickMi00,rec_td,0,,,,,
player,201309290den,phi,VickMi00,rec_long,0,,,,,
player,201309290den,phi,VickMi00,fumbles,0,,,,,
player,201309290den,phi,VickMi00,fumbles_lost,0,,,,,
player,201309290den,phi,FoleNi00,pass_cmp,3,,,,,
player,201309290den,phi,FoleNi00,pass_att,4,,,,,
player,201309290den,phi,FoleNi00,pass_yds,49,,,,,
player,201309290den,phi,FoleNi00,pass_td,1,,,,,
player,201309290den,phi,FoleNi00,pass_int,0,,,,,
player,201309290den,phi,FoleNi00,pass_sacked,0,,,,,
player,201309290den,phi,FoleNi00,pass_sacked_yds,0,,,,,
player,201309290den,phi,FoleNi00,pass_long,37,,,,,
player,201309290den,phi,FoleNi00,pass_rating,155.2,,,,,
player,201309290den,phi,FoleNi00,rush_att,0,,,,,
player,201309290den,phi,FoleNi00,rush_yds,0,,,,,
player,201309290den,phi,FoleNi00,rush_td,0,,,,,
player,201309290den,phi,FoleNi00,rush_long,0,,,,,
player,201309290den,phi,FoleNi00,targets,0,,,,,
player,201309290den,phi,FoleNi00,rec,0,,,,,
player,201309290den,phi,FoleNi00,rec_yds,0,,,,,
player,201309290den,phi,FoleNi00,rec_td,0,,,,,
player,201309290den,phi,FoleNi00,rec_long,0,,,,,
player,201309290den,phi,FoleNi00,fumbles,0,,,,,
player,201309290den,phi,FoleNi00,fumbles_lost,0,,,,,
player,201309290den,phi,McCoLe01,pass_cmp,0,,,,,
player,201309290den,phi,McCoLe01,pass_att,0,,,,,
player,201309290den,phi,McCoLe01,pass_yds,0,,,,,
player,201309290den,phi,McCoLe01,pass_td,0,,,,,
player,201309290den,phi,McCoLe01,pass_int,0,,,,,
player,201309290den,phi,McCoLe01,pass_sacked,0,,,,,
player,201309290den,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201309290den,phi,McCoLe01,pass_long,0,,,,,
player,201309290den,phi,McCoLe01,pass_rating,,,,,,
player,201309290den,phi,McCoLe01,rush_att,16,,,,,
player,201309290den,phi,McCoLe01,rush_yds,73,,,,,
player,201309290den,phi,McCoLe01,rush_td,0,,,,,
player,201309290den,phi,McCoLe01,rush_long,15,,,,,
player,201309290den,phi,McCoLe01,targets,3,,,,,
player,201309290den,phi,McCoLe01,rec,1,,,,,
player,201309290den,phi,McCoLe01,rec_yds,21,,,,,
player,201309290den,phi,McCoLe01,rec_td,0,,,,,
player,201309290den,phi,McCoLe01,rec_long,21,,,,,
player,201309290den,phi,McCoLe01,fumbles,0,,,,,
player,201309290den,phi,McCoLe01,fumbles_lost,0,,,,,
player,201309290den,phi,PolkCh00,pass_cmp,0,,,,,
player,201309290den,phi,PolkCh00,pass_att,0,,,,,
player,201309290den,phi,PolkCh00,pass_yds,0,,,,,
player,201309290den,phi,PolkCh00,pass_td,0,,,,,
player,201309290den,phi,PolkCh00,pass_int,0,,,,,
player,201309290den,phi,PolkCh00,pass_sacked,0,,,,,
player,201309290den,phi,PolkCh00,pass_sacked_yds,0,,,,,
player,201309290den,phi,PolkCh00,pass_long,0,,,,,
player,201309290den,phi,PolkCh00,pass_rating,,,,,,
player,201309290den,phi,PolkCh00,rush_att,3,,,,,
player,201309290den,phi,PolkCh00,rush_yds,33,,,,,
player,201309290den,phi,PolkCh00,rush_td,1,,,,,
player,201309290den,phi,PolkCh00,rush_long,28,,,,,
player,201309290den,phi,PolkCh00,targets,2,,,,,
player,201309290den,phi,PolkCh00,rec,2,,,,,
player,201309290den,phi,PolkCh00,rec_yds,19,,,,,
player,201309290den,phi,PolkCh00,rec_td,0,,,,,
player,201309290den,phi,PolkCh00,rec_long,13,,,,,
player,201309290den,phi,PolkCh00,fumbles,0,,,,,
player,201309290den,phi,PolkCh00,fumbles_lost,0,,,,,
player,201309290den,phi,BrowBr02,pass_cmp,0,,,,,
player,201309290den,phi,BrowBr02,pass_att,0,,,,,
player,201309290den,phi,BrowBr02,pass_yds,0,,,,,
player,201309290den,phi,BrowBr02,pass_td,0,,,,,
player,201309290den,phi,BrowBr02,pass_int,0,,,,,
player,201309290den,phi,BrowBr02,pass_sacked,0,,,,,
player,201309290den,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201309290den,phi,BrowBr02,pass_long,0,,,,,
player,201309290den,phi,BrowBr02,pass_rating,,,,,,
player,201309290den,phi,BrowBr02,rush_att,8,,,,,
player,201309290den,phi,BrowBr02,rush_yds,19,,,,,
player,201309290den,phi,BrowBr02,rush_td,0,,,,,
player,201309290den,phi,BrowBr02,rush_long,9,,,,,
player,201309290den,phi,BrowBr02,targets,3,,,,,
player,201309290den,phi,BrowBr02,rec,2,,,,,
player,201309290den,phi,BrowBr02,rec_yds,41,,,,,
player,201309290den,phi,BrowBr02,rec_td,0,,,,,
player,201309290den,phi,BrowBr02,rec_long,35,,,,,
player,201309290den,phi,BrowBr02,fumbles,0,,,,,
player,201309290den,phi,BrowBr02,fumbles_lost,0,,,,,
player,201309290den,phi,CeleBr00,pass_cmp,0,,,,,
player,201309290den,phi,CeleBr00,pass_att,0,,,,,
player,201309290den,phi,CeleBr00,pass_yds,0,,,,,
player,201309290den,phi,CeleBr00,pass_td,0,,,,,
player,201309290den,phi,CeleBr00,pass_int,0,,,,,
player,201309290den,phi,CeleBr00,pass_sacked,0,,,,,
player,201309290den,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201309290den,phi,CeleBr00,pass_long,0,,,,,
player,201309290den,phi,CeleBr00,pass_rating,,,,,,
player,201309290den,phi,CeleBr00,rush_att,0,,,,,
player,201309290den,phi,CeleBr00,rush_yds,0,,,,,
player,201309290den,phi,CeleBr00,rush_td,0,,,,,
player,201309290den,phi,CeleBr00,rush_long,0,,,,,
player,201309290den,phi,CeleBr00,targets,6,,,,,
player,201309290den,phi,CeleBr00,rec,3,,,,,
player,201309290den,phi,CeleBr00,rec_yds,57,,,,,
player,201309290den,phi,CeleBr00,rec_td,0,,,,,
player,201309290den,phi,CeleBr00,rec_long,27,,,,,
player,201309290den,phi,CeleBr00,fumbles,0,,,,,
player,201309290den,phi,CeleBr00,fumbles_lost,0,,,,,
player,201309290den,phi,MaehJe00,pass_cmp,0,,,,,
player,201309290den,phi,MaehJe00,pass_att,0,,,,,
player,201309290den,phi,MaehJe00,pass_yds,0,,,,,
player,201309290den,phi,MaehJe00,pass_td,0,,,,,
player,201309290den,phi,MaehJe00,pass_int,0,,,,,
player,201309290den,phi,MaehJe00,pass_sacked,0,,,,,
player,201309290den,phi,MaehJe00,pass_sacked_yds,0,,,,,
player,201309290den,phi,MaehJe00,pass_long,0,,,,,
player,201309290den,phi,MaehJe00,pass_rating,,,,,,
player,201309290den,phi,MaehJe00,rush_att,0,,,,,
player,201309290den,phi,MaehJe00,rush_yds,0,,,,,
player,201309290den,phi,MaehJe00,rush_td,0,,,,,
player,201309290den,phi,MaehJe00,rush_long,0,,,,,
player,201309290den,phi,MaehJe00,targets,2,,,,,
player,201309290den,phi,MaehJe00,rec,2,,,,,
player,201309290den,phi,MaehJe00,rec_yds,43,,,,,
player,201309290den,phi,MaehJe00,rec_td,1,,,,,
player,201309290den,phi,MaehJe00,rec_long,37,,,,,
player,201309290den,phi,MaehJe00,fumbles,0,,,,,
player,201309290den,phi,MaehJe00,fumbles_lost,0,,,,,
player,201309290den,phi,ErtzZa00,pass_cmp,0,,,,,
player,201309290den,phi,ErtzZa00,pass_att,0,,,,,
player,201309290den,phi,ErtzZa00,pass_yds,0,,,,,
player,201309290den,phi,ErtzZa00,pass_td,0,,,,,
player,201309290den,phi,ErtzZa00,pass_int,0,,,,,
player,201309290den,phi,ErtzZa00,pass_sacked,0,,,,,
player,201309290den,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201309290den,phi,ErtzZa00,pass_long,0,,,,,
player,201309290den,phi,ErtzZa00,pass_rating,,,,,,
player,201309290den,phi,ErtzZa00,rush_att,0,,,,,
player,201309290den,phi,ErtzZa00,rush_yds,0,,,,,
player,201309290den,phi,ErtzZa00,rush_td,0,,,,,
player,201309290den,phi,ErtzZa00,rush_long,0,,,,,
player,201309290den,phi,ErtzZa00,targets,2,,,,,
