game,2013,8,20131027,201310270den,was,"Washington Redskins",21,den,"Denver Broncos",45
player,201310270den,was,CousKi00,rush_long,1,,,,,
player,201310270den,was,CousKi00,targets,0,,,,,
player,201310270den,was,CousKi00,rec,0,,,,,
player,201310270den,was,CousKi00,rec_yds,0,,,,,
player,201310270den,was,CousKi00,rec_td,0,,,,,
player,201310270den,was,CousKi00,rec_long,0,,,,,
player,201310270den,was,CousKi00,fumbles,0,,,,,
player,201310270den,was,CousKi00,fumbles_lost,0,,,,,
player,201310270den,was,MorrAl00,pass_cmp,0,,,,,
player,201310270den,was,MorrAl00,pass_att,0,,,,,
player,201310270den,was,MorrAl00,pass_yds,0,,,,,
player,201310270den,was,MorrAl00,pass_td,0,,,,,
player,201310270den,was,MorrAl00,pass_int,0,,,,,
player,201310270den,was,MorrAl00,pass_sacked,0,,,,,
player,201310270den,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201310270den,was,MorrAl00,pass_long,0,,,,,
player,201310270den,was,MorrAl00,pass_rating,,,,,,
player,201310270den,was,MorrAl00,rush_att,17,,,,,
player,201310270den,was,MorrAl00,rush_yds,93,,,,,
player,201310270den,was,MorrAl00,rush_td,1,,,,,
player,201310270den,was,MorrAl00,rush_long,27,,,,,
player,201310270den,was,MorrAl00,targets,0,,,,,
player,201310270den,was,MorrAl00,rec,0,,,,,
player,201310270den,was,MorrAl00,rec_yds,0,,,,,
player,201310270den,was,MorrAl00,rec_td,0,,,,,
player,201310270den,was,MorrAl00,rec_long,0,,,,,
player,201310270den,was,MorrAl00,fumbles,1,,,,,
player,201310270den,was,MorrAl00,fumbles_lost,0,,,,,
player,201310270den,was,HeluRo00,pass_cmp,0,,,,,
player,201310270den,was,HeluRo00,pass_att,0,,,,,
player,201310270den,was,HeluRo00,pass_yds,0,,,,,
player,201310270den,was,HeluRo00,pass_td,0,,,,,
player,201310270den,was,HeluRo00,pass_int,0,,,,,
player,201310270den,was,HeluRo00,pass_sacked,0,,,,,
player,201310270den,was,HeluRo00,pass_sacked_yds,0,,,,,
player,201310270den,was,HeluRo00,pass_long,0,,,,,
player,201310270den,was,HeluRo00,pass_rating,,,,,,
player,201310270den,was,HeluRo00,rush_att,5,,,,,
player,201310270den,was,HeluRo00,rush_yds,11,,,,,
player,201310270den,was,HeluRo00,rush_td,0,,,,,
player,201310270den,was,HeluRo00,rush_long,4,,,,,
player,201310270den,was,HeluRo00,targets,1,,,,,
player,201310270den,was,HeluRo00,rec,1,,,,,
player,201310270den,was,HeluRo00,rec_yds,14,,,,,
player,201310270den,was,HeluRo00,rec_td,0,,,,,
player,201310270den,was,HeluRo00,rec_long,14,,,,,
player,201310270den,was,HeluRo00,fumbles,0,,,,,
player,201310270den,was,HeluRo00,fumbles_lost,0,,,,,
player,201310270den,was,ReedJo02,pass_cmp,0,,,,,
player,201310270den,was,ReedJo02,pass_att,0,,,,,
player,201310270den,was,ReedJo02,pass_yds,0,,,,,
player,201310270den,was,ReedJo02,pass_td,0,,,,,
player,201310270den,was,ReedJo02,pass_int,0,,,,,
player,201310270den,was,ReedJo02,pass_sacked,0,,,,,
player,201310270den,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201310270den,was,ReedJo02,pass_long,0,,,,,
player,201310270den,was,ReedJo02,pass_rating,,,,,,
player,201310270den,was,ReedJo02,rush_att,0,,,,,
player,201310270den,was,ReedJo02,rush_yds,0,,,,,
player,201310270den,was,ReedJo02,rush_td,0,,,,,
player,201310270den,was,ReedJo02,rush_long,0,,,,,
player,201310270den,was,ReedJo02,targets,14,,,,,
player,201310270den,was,ReedJo02,rec,8,,,,,
player,201310270den,was,ReedJo02,rec_yds,90,,,,,
player,201310270den,was,ReedJo02,rec_td,0,,,,,
player,201310270den,was,ReedJo02,rec_long,17,,,,,
player,201310270den,was,ReedJo02,fumbles,0,,,,,
player,201310270den,was,ReedJo02,fumbles_lost,0,,,,,
player,201310270den,was,GarcPi00,pass_cmp,0,,,,,
player,201310270den,was,GarcPi00,pass_att,0,,,,,
player,201310270den,was,GarcPi00,pass_yds,0,,,,,
player,201310270den,was,GarcPi00,pass_td,0,,,,,
player,201310270den,was,GarcPi00,pass_int,0,,,,,
player,201310270den,was,GarcPi00,pass_sacked,0,,,,,
player,201310270den,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201310270den,was,GarcPi00,pass_long,0,,,,,
player,201310270den,was,GarcPi00,pass_rating,,,,,,
player,201310270den,was,GarcPi00,rush_att,0,,,,,
player,201310270den,was,GarcPi00,rush_yds,0,,,,,
player,201310270den,was,GarcPi00,rush_td,0,,,,,
player,201310270den,was,GarcPi00,rush_long,0,,,,,
player,201310270den,was,GarcPi00,targets,11,,,,,
player,201310270den,was,GarcPi00,rec,7,,,,,
player,201310270den,was,GarcPi00,rec_yds,46,,,,,
player,201310270den,was,GarcPi00,rec_td,0,,,,,
player,201310270den,was,GarcPi00,rec_long,14,,,,,
player,201310270den,was,GarcPi00,fumbles,0,,,,,
player,201310270den,was,GarcPi00,fumbles_lost,0,,,,,
player,201310270den,was,MossSa00,pass_cmp,0,,,,,
player,201310270den,was,MossSa00,pass_att,0,,,,,
player,201310270den,was,MossSa00,pass_yds,0,,,,,
player,201310270den,was,MossSa00,pass_td,0,,,,,
player,201310270den,was,MossSa00,pass_int,0,,,,,
player,201310270den,was,MossSa00,pass_sacked,0,,,,,
player,201310270den,was,MossSa00,pass_sacked_yds,0,,,,,
player,201310270den,was,MossSa00,pass_long,0,,,,,
player,201310270den,was,MossSa00,pass_rating,,,,,,
player,201310270den,was,MossSa00,rush_att,0,,,,,
player,201310270den,was,MossSa00,rush_yds,0,,,,,
player,201310270den,was,MossSa00,rush_td,0,,,,,
player,201310270den,was,MossSa00,rush_long,0,,,,,
player,201310270den,was,MossSa00,targets,5,,,,,
player,201310270den,was,MossSa00,rec,2,,,,,
