game,2013,5,20131006,201310060mia,rav,"Baltimore Ravens",26,mia,"Miami Dolphins",23
team,201310060mia,rav,First Downs,20,,,,,,
team,201310060mia,mia,First Downs,10,,,,,,
team,201310060mia,rav,Rush-Yds-TDs,40-133-2,,,,,,
team,201310060mia,mia,Rush-Yds-TDs,11-22-0,,,,,,
team,201310060mia,rav,Cmp-Att-Yd-TD-INT,19-32-269-0-1,,,,,,
team,201310060mia,mia,Cmp-Att-Yd-TD-INT,21-40-307-1-0,,,,,,
team,201310060mia,rav,Sacked-Yards,2-18,,,,,,
team,201310060mia,mia,Sacked-Yards,6-35,,,,,,
team,201310060mia,rav,Net Pass Yards,251,,,,,,
team,201310060mia,mia,Net Pass Yards,272,,,,,,
team,201310060mia,rav,Total Yards,384,,,,,,
team,201310060mia,mia,Total Yards,294,,,,,,
team,201310060mia,rav,Fumbles-Lost,1-1,,,,,,
team,201310060mia,mia,Fumbles-Lost,1-0,,,,,,
team,201310060mia,rav,Turnovers,2,,,,,,
team,201310060mia,mia,Turnovers,0,,,,,,
team,201310060mia,rav,Penalties-Yards,6-64,,,,,,
team,201310060mia,mia,Penalties-Yards,4-65,,,,,,
team,201310060mia,rav,Third Down Conv.,6-16,,,,,,
team,201310060mia,mia,Third Down Conv.,3-16,,,,,,
team,201310060mia,rav,Fourth Down Conv.,0-0,,,,,,
team,201310060mia,mia,Fourth Down Conv.,1-1,,,,,,
team,201310060mia,rav,Time of Possession,36:16,,,,,,
team,201310060mia,mia,Time of Possession,23:44,,,,,,
player,201310060mia,rav,FlacJo00,pass_cmp,19,,,,,
player,201310060mia,rav,FlacJo00,pass_att,32,,,,,
player,201310060mia,rav,FlacJo00,pass_yds,269,,,,,
player,201310060mia,rav,FlacJo00,pass_td,0,,,,,
player,201310060mia,rav,FlacJo00,pass_int,1,,,,,
player,201310060mia,rav,FlacJo00,pass_sacked,2,,,,,
player,201310060mia,rav,FlacJo00,pass_sacked_yds,18,,,,,
player,201310060mia,rav,FlacJo00,pass_long,43,,,,,
player,201310060mia,rav,FlacJo00,pass_rating,73.6,,,,,
player,201310060mia,rav,FlacJo00,rush_att,2,,,,,
player,201310060mia,rav,FlacJo00,rush_yds,13,,,,,
player,201310060mia,rav,FlacJo00,rush_td,0,,,,,
player,201310060mia,rav,FlacJo00,rush_long,14,,,,,
player,201310060mia,rav,FlacJo00,targets,0,,,,,
player,201310060mia,rav,FlacJo00,rec,0,,,,,
player,201310060mia,rav,FlacJo00,rec_yds,0,,,,,
player,201310060mia,rav,FlacJo00,rec_td,0,,,,,
player,201310060mia,rav,FlacJo00,rec_long,0,,,,,
player,201310060mia,rav,FlacJo00,fumbles,0,,,,,
player,201310060mia,rav,FlacJo00,fumbles_lost,0,,,,,
player,201310060mia,rav,RiceRa00,pass_cmp,0,,,,,
player,201310060mia,rav,RiceRa00,pass_att,0,,,,,
player,201310060mia,rav,RiceRa00,pass_yds,0,,,,,
player,201310060mia,rav,RiceRa00,pass_td,0,,,,,
player,201310060mia,rav,RiceRa00,pass_int,0,,,,,
player,201310060mia,rav,RiceRa00,pass_sacked,0,,,,,
player,201310060mia,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201310060mia,rav,RiceRa00,pass_long,0,,,,,
player,201310060mia,rav,RiceRa00,pass_rating,,,,,,
player,201310060mia,rav,RiceRa00,rush_att,27,,,,,
player,201310060mia,rav,RiceRa00,rush_yds,74,,,,,
player,201310060mia,rav,RiceRa00,rush_td,2,,,,,
player,201310060mia,rav,RiceRa00,rush_long,7,,,,,
player,201310060mia,rav,RiceRa00,targets,7,,,,,
player,201310060mia,rav,RiceRa00,rec,6,,,,,
player,201310060mia,rav,RiceRa00,rec_yds,28,,,,,
player,201310060mia,rav,RiceRa00,rec_td,0,,,,,
player,201310060mia,rav,RiceRa00,rec_long,9,,,,,
player,201310060mia,rav,RiceRa00,fumbles,1,,,,,
player,201310060mia,rav,RiceRa00,fumbles_lost,1,,,,,
player,201310060mia,rav,PierBe00,pass_cmp,0,,,,,
player,201310060mia,rav,PierBe00,pass_att,0,,,,,
player,201310060mia,rav,PierBe00,pass_yds,0,,,,,
player,201310060mia,rav,PierBe00,pass_td,0,,,,,
player,201310060mia,rav,PierBe00,pass_int,0,,,,,
player,201310060mia,rav,PierBe00,pass_sacked,0,,,,,
player,201310060mia,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201310060mia,rav,PierBe00,pass_long,0,,,,,
player,201310060mia,rav,PierBe00,pass_rating,,,,,,
player,201310060mia,rav,PierBe00,rush_att,11,,,,,
player,201310060mia,rav,PierBe00,rush_yds,46,,,,,
player,201310060mia,rav,PierBe00,rush_td,0,,,,,
player,201310060mia,rav,PierBe00,rush_long,28,,,,,
player,201310060mia,rav,PierBe00,targets,0,,,,,
player,201310060mia,rav,PierBe00,rec,0,,,,,
player,201310060mia,rav,PierBe00,rec_yds,0,,,,,
player,201310060mia,rav,PierBe00,rec_td,0,,,,,
player,201310060mia,rav,PierBe00,rec_long,0,,,,,
player,201310060mia,rav,PierBe00,fumbles,0,,,,,
player,201310060mia,rav,PierBe00,fumbles_lost,0,,,,,
player,201310060mia,rav,SmitTo02,pass_cmp,0,,,,,
player,201310060mia,rav,SmitTo02,pass_att,0,,,,,
player,201310060mia,rav,SmitTo02,pass_yds,0,,,,,
player,201310060mia,rav,SmitTo02,pass_td,0,,,,,
player,201310060mia,rav,SmitTo02,pass_int,0,,,,,
player,201310060mia,rav,SmitTo02,pass_sacked,0,,,,,
player,201310060mia,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201310060mia,rav,SmitTo02,pass_long,0,,,,,
player,201310060mia,rav,SmitTo02,pass_rating,,,,,,
player,201310060mia,rav,SmitTo02,rush_att,0,,,,,
player,201310060mia,rav,SmitTo02,rush_yds,0,,,,,
player,201310060mia,rav,SmitTo02,rush_td,0,,,,,
player,201310060mia,rav,SmitTo02,rush_long,0,,,,,
player,201310060mia,rav,SmitTo02,targets,9,,,,,
player,201310060mia,rav,SmitTo02,rec,6,,,,,
player,201310060mia,rav,SmitTo02,rec_yds,121,,,,,
player,201310060mia,rav,SmitTo02,rec_td,0,,,,,
player,201310060mia,rav,SmitTo02,rec_long,41,,,,,
player,201310060mia,rav,SmitTo02,fumbles,0,,,,,
player,201310060mia,rav,SmitTo02,fumbles_lost,0,,,,,
player,201310060mia,rav,DossTa00,pass_cmp,0,,,,,
